"EG04_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_006.tcf]","Time (h)","SQ FC01.1_R [EG04_006]","SQ FC01.2_R [EG04_006]","SQ FC02.04 [EG04_006]","SQ FC_weir1 [EG04_006]","SQ ds_weir [EG04_006]"
     130,          2.150000,     15.3544,     21.2153,      1.4358,     15.5321,     33.0546
     131,          2.166667,     14.8571,     20.7073,      1.3878,     15.0410,     30.9107
     132,          2.183333,     14.3443,     20.3463,      1.3417,     14.5340,     29.0675
     133,          2.200000,     13.8489,     19.7057,      1.3037,     14.0352,     27.5152
     134,          2.216667,     13.4259,     19.2001,      1.2725,     13.5801,     26.2101
     135,          2.233333,     13.0859,     18.7097,      1.2453,     13.2111,     25.1102
     136,          2.250000,     12.8064,     18.2112,      1.2221,     12.9114,     24.1751
     137,          2.266667,     12.5656,     17.7152,      1.1992,     12.6578,     23.3589
     138,          2.283334,     12.3418,     17.2217,      1.1768,     12.4275,     22.6431
     139,          2.300000,     12.1140,     16.7487,      1.1545,     12.2015,     21.9994
     140,          2.316667,     11.8720,     16.2698,      1.1324,     11.9658,     21.4066
     141,          2.333333,     11.6244,     15.8410,      1.1088,     11.7204,     20.8573
     142,          2.350000,     11.3735,     15.4476,      1.0872,     11.4725,     20.3264
     143,          2.366667,     11.1302,     15.0670,      1.0658,     11.2269,     19.8264
     144,          2.383333,     10.9127,     14.7063,      1.0452,     10.9988,     19.3331
     145,          2.400000,     10.7180,     14.3549,      1.0295,     10.7962,     18.8491
     146,          2.416667,     10.5411,     14.0239,      1.0122,     10.6128,     18.3934
     147,          2.433333,     10.3730,     13.6992,      0.9962,     10.4429,     17.9548
     148,          2.450000,     10.2068,     13.3979,      0.9759,     10.2763,     17.5451
     149,          2.466667,     10.0267,     13.1070,      0.9557,     10.0997,     17.1443
     150,          2.483333,      9.8265,     12.8417,      0.9357,      9.9076,     16.7729
     151,          2.500000,      9.6087,     12.5784,      0.9126,      9.6973,     16.4078
     152,          2.516667,      9.3781,     12.3339,      0.8891,      9.4718,     16.0171
     153,          2.533334,      9.1400,     12.0958,      0.8651,      9.2374,     15.6458
     154,          2.550000,      8.8963,     11.8707,      0.8415,      8.9940,     15.3286
     155,          2.566667,      8.6476,     11.6343,      0.8182,      8.7515,     15.0612
     156,          2.583333,      8.3983,     11.4140,      0.7954,      8.5021,     14.8145
     157,          2.600000,      8.1456,     11.1813,      0.7728,      8.2504,     14.5260
     158,          2.616667,      7.9034,     10.9344,      0.7539,      8.0049,     14.1918
     159,          2.633333,      7.6799,     10.6668,      0.7363,      7.7738,     13.8301
     160,          2.650000,      7.4805,     10.4182,      0.7189,      7.5648,     13.4661
     161,          2.666667,      7.2996,     10.1845,      0.7018,      7.3774,     13.1100
     162,          2.683333,      7.1314,      9.9864,      0.6847,      7.2043,     12.7773
     163,          2.700000,      6.9657,      9.7201,      0.6680,      7.0382,     12.4702
     164,          2.716667,      6.7925,      9.5109,      0.6483,      6.8669,     12.1828
     165,          2.733334,      6.6019,      9.3129,      0.6279,      6.6848,     11.9198
     166,          2.750000,      6.3937,      9.1020,      0.6089,      6.4844,     11.6617
     167,          2.766667,      6.1745,      8.8649,      0.5891,      6.2711,     11.4084
     168,          2.783334,      5.9466,      8.6380,      0.5670,      6.0476,     11.1741
     169,          2.800000,      5.7107,      8.4069,      0.5442,      5.8154,     10.9451
     170,          2.816667,      5.4678,      8.1910,      0.5219,      5.5779,     10.7188
     171,          2.833333,      5.2207,      7.9802,      0.4994,      5.3324,     10.4962
     172,          2.850000,      4.9693,      7.7682,      0.4777,      5.0846,     10.2747
     173,          2.866667,      4.7195,      7.5545,      0.4568,      4.8349,     10.0557
     174,          2.883333,      4.4768,      7.3365,      0.4364,      4.5895,      9.8390
     175,          2.900000,      4.2442,      7.1114,      0.4159,      4.3554,      9.6246
     176,          2.916667,      4.0213,      6.8936,      0.3944,      4.1285,      9.4068
     177,          2.933333,      3.8065,      6.6525,      0.3754,      3.9094,      9.1971
     178,          2.950000,      3.5998,      6.4207,      0.3569,      3.7000,      8.9900
     179,          2.966667,      3.3998,      6.1791,      0.3389,      3.4990,      8.7842
     180,          2.983334,      3.2140,      5.9455,      0.3215,      3.3076,      8.5830
     181,          3.000000,      3.0377,      5.7153,      0.3052,      3.1260,      8.3823
