"EG04_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_006.tcf]","Time(h)","F ds1 [EG04_006]","F ds2 [EG04_006]","F ds3 [EG04_006]","F ds4 [EG04_006]","F ds5 [EG04_006]","F ds_weir [EG04_006]","F FC01.01 [EG04_006]","F FC01.02 [EG04_006]","F FC01.03 [EG04_006]","F FC01.04 [EG04_006]","F FC01.05 [EG04_006]","F FC01.06 [EG04_006]","F FC01.07 [EG04_006]","F FC01.08 [EG04_006]","F FC01.09 [EG04_006]","F FC01.12 [EG04_006]","F FC01.13 [EG04_006]","F FC01.14 [EG04_006]","F FC01.15 [EG04_006]","F FC01.16 [EG04_006]","F FC01.17 [EG04_006]","F FC01.18 [EG04_006]","F FC01.19 [EG04_006]","F FC01.1_R [EG04_006]","F FC01.20 [EG04_006]","F FC01.21 [EG04_006]","F FC01.22 [EG04_006]","F FC01.23 [EG04_006]","F FC01.24 [EG04_006]","F FC01.25 [EG04_006]","F FC01.26 [EG04_006]","F FC01.27 [EG04_006]","F FC01.28A [EG04_006]","F FC01.28B [EG04_006]","F FC01.29 [EG04_006]","F FC01.2_R [EG04_006]","F FC01.30 [EG04_006]","F FC01.31 [EG04_006]","F FC01.32 [EG04_006]","F FC01.33 [EG04_006]","F FC01.34 [EG04_006]","F FC01.36 [EG04_006]","F FC01.37 [EG04_006]","F FC01.38 [EG04_006]","F FC01.39 [EG04_006]","F FC01.40 [EG04_006]","F FC02.01 [EG04_006]","F FC02.02 [EG04_006]","F FC02.03 [EG04_006]","F FC02.04 [EG04_006]","F FC02.05 [EG04_006]","F FC02.06 [EG04_006]","F FC_weir1 [EG04_006]","F RD_weir [EG04_006]"
      32,          0.516667,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A L,,,,E,,,,,,,A,A,A,E,,T,,E
      33,          0.533333,E,E,E,E,E,E,E,*,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,,,A,A,A,E,,T,,E
      34,          0.550000,*,E,E,E,E,E,*,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,,,A,A,A,E,,T,,E
      35,          0.566667,,,E,E,E,E,,,,,,,,,,,,,,,,,,B,,A,,,,,,,,,,D L,,,,E,,,,,,,A,,,,,T,,E
      36,          0.583333,,,,,E,E,,,,,,,,,,,,,,,,,,B,,A,,,,,,,,,,D L,,,,E,,,,,,,,,,,,T,,E
      37,          0.600000,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,D L,,,,E,,,,,,,,,,,,T,,E
      38,          0.616667,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F L,,,,E,,F,,,,,,,,,,T,,E
      39,          0.633333,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F L,,,,E,,F,,,,,,,,,,T,,E
      40,          0.650000,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F L,,,,E,,F,,,,,,,,,,T,,E
      41,          0.666667,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F,,,,E,,F,F,,,,,,,,,T,,E
      42,          0.683333,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F,,,,E,,F,F,,,,,,,,,T,,E
      43,          0.700000,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F,,,,E,,F,F,,,,,,,,,T,,E
      44,          0.716667,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F,,,,E,,F,F,,,,,,,,,T,,
      45,          0.733333,,,,,,,,,,,,,,,,,,,,,,F,,L,,A,,,,,,,,,,F,,,,E,,F,F,,,,,,,,,T,,F
      46,          0.750000,,,,,,,,,,,,,,,,,,,,,F,F,,L,,A,,,,,,,,,,F,,,,E,,F,F,,,,,,,,,T,F,F
      47,          0.766667,,,,,,,,,,,,,,,,,,,,F,F,F,,L,,A,,,,,,,,,,F,,,,E,,F,F,,,,,,,,,T,F,F
      48,          0.783333,,,,,,,,,,,,,,,,,,,,F,F,F,,L,,A,,,,,,,,,,F,,,,E,,F,F,,,,,,,,,T,F,F
      49,          0.800000,,,,,,,,,,,,,,,,,,,,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      50,          0.816667,,,,,,,,,,,,,,,,,,,,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      51,          0.833333,,,,,,,,,,,,,,,,,,,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      52,          0.850000,,,,,,,,,,,,,,,,,,,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      53,          0.866667,,,,,,,,,,,,,,,,F,,,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      54,          0.883333,,,,,,,,,,,,,,,,F,,,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      55,          0.900000,,,,,,,,,,,,,,,,F,,,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      56,          0.916667,,,,,,,,,,,,,,,,F,F,,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      57,          0.933333,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      58,          0.950000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      59,          0.966667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      60,          0.983333,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      61,          1.000000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      62,          1.016667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      63,          1.033333,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      64,          1.050000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      65,          1.066667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      66,          1.083333,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      67,          1.100000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      68,          1.116667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      69,          1.133333,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      70,          1.150000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      71,          1.166667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      72,          1.183333,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      73,          1.200000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      74,          1.216667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      75,          1.233333,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      76,          1.250000,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      77,          1.266667,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      78,          1.283333,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      79,          1.300000,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      80,          1.316667,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      81,          1.333333,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      82,          1.350000,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      83,          1.366667,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      84,          1.383333,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      85,          1.400000,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      86,          1.416667,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      87,          1.433333,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      88,          1.450000,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      89,          1.466667,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      90,          1.483333,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,F,F
      91,          1.500000,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,,
      92,          1.516667,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,,
      93,          1.533333,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,,E
      94,          1.550000,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,,E
      95,          1.566667,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,,E
      96,          1.583333,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,,E
      97,          1.600000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,,E
      98,          1.616667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,,E
      99,          1.633333,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,F,,,,,,,,,T,,E
     100,          1.650000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,,,,,,,,,,T,,E
     101,          1.666667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,,,,,,,,,,T,,E
     102,          1.683333,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,,,,,,,,,,T,,E
     103,          1.700000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,,,,,,,,,,T,,E
     104,          1.716667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,F,,,,,,,,,,T,,E
     105,          1.733333,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,,,,,,,,,,,T,,E
     106,          1.750000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,,A,,,,,,,,,,L,,,,E,,,,,,,,,,,,T,,E
     107,          1.766667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,,L,,A,,,,,,,,,,L,,,,E,,,,,,,,,,,,T,,E
     108,          1.783333,,,,,,,F,,,,,,,,,F,F,,F,F,F,F,,B,,A,,,,,,,,,,L,,,,E,,,,,,,,,,,,T,,E
     109,          1.800000,,,,,,,F,,,,,,,,,F,F,,F,F,F,F,,B,,A,,,,,,,,,,L,,,,E,,,,,,,,,,,,T,,E
     110,          1.816667,,,,,,,F,,,,,,,,,F,,,,F,F,F,,A,,A,,,,,,,,,,L,,,,E,,,,,,,,,,,,T,,E
     111,          1.833333,,,,,,,F,,,,,,,,,F,,,,F,F,F,,A,,A,,,,,,,,,,L,,,,E,,,,,,,,,,,,T,,E
     112,          1.850000,,,,,,,F,,,,,,,,,F,,,,,,,,A,,A,,,,,,,,,,L,,,,E,,,,,,,,,,,,T,,E
     113,          1.866667,,,,,,,F,,,,,,,,,F,,,,,,,,A,,A,,,,,,,,,,L,,,,E,,,,,,,,,,,,T,,E
     114,          1.883333,,,,,,,F,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,L,,,,E,,,,,,,,,,,,T,,E
     115,          1.900000,,,,,,,F,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,L,,,,E,,,,,,,,,,,,T,,E
     116,          1.916667,,,,,,,F,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     117,          1.933333,,,,,,,F,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     118,          1.950000,,,,,,,F,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     119,          1.966667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     120,          1.983333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     121,          2.000000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     122,          2.016667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     123,          2.033334,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     124,          2.050000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     125,          2.066667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     126,          2.083333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     127,          2.100000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     128,          2.116667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     129,          2.133333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     130,          2.150000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     131,          2.166667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     132,          2.183333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     133,          2.200000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,,,,,,,,T,,E
     134,          2.216667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,,,,,,,,T,,E
     135,          2.233333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,,,,,,,,T,,E
     136,          2.250000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     137,          2.266667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     138,          2.283334,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     139,          2.300000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     140,          2.316667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     141,          2.333333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     142,          2.350000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     143,          2.366667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     144,          2.383333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,,,,,,,,T,,E
     145,          2.400000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     146,          2.416667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     147,          2.433333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,,,,,,,,T,,E
     148,          2.450000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     149,          2.466667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,,,,,,,,T,,E
     150,          2.483333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,,,,,,,,T,,E
     151,          2.500000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,,,,,,,,T,,E
