"EG04_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_004.tcf]","Time (h)","Q ds1 [EG04_004]","Q ds2 [EG04_004]","Q ds3 [EG04_004]","Q ds4 [EG04_004]","Q ds5 [EG04_004]","Q ds6 [EG04_004]","Q FC01.01 [EG04_004]","Q FC01.02 [EG04_004]","Q FC01.03 [EG04_004]","Q FC01.04 [EG04_004]","Q FC01.05 [EG04_004]","Q FC01.06 [EG04_004]","Q FC01.07 [EG04_004]","Q FC01.08 [EG04_004]","Q FC01.09 [EG04_004]","Q FC01.12 [EG04_004]","Q FC01.13 [EG04_004]","Q FC01.14 [EG04_004]","Q FC01.15 [EG04_004]","Q FC01.16 [EG04_004]","Q FC01.17 [EG04_004]","Q FC01.18 [EG04_004]","Q FC01.19 [EG04_004]","Q FC01.1_R [EG04_004]","Q FC01.20 [EG04_004]","Q FC01.21 [EG04_004]","Q FC01.22 [EG04_004]","Q FC01.23 [EG04_004]","Q FC01.24 [EG04_004]","Q FC01.25 [EG04_004]","Q FC01.26 [EG04_004]","Q FC01.27 [EG04_004]","Q FC01.28A [EG04_004]","Q FC01.28B [EG04_004]","Q FC01.29 [EG04_004]","Q FC01.2_R [EG04_004]","Q FC01.30 [EG04_004]","Q FC01.31 [EG04_004]","Q FC01.32 [EG04_004]","Q FC01.33 [EG04_004]","Q FC01.34 [EG04_004]","Q FC01.36 [EG04_004]","Q FC01.37 [EG04_004]","Q FC01.38 [EG04_004]","Q FC01.39 [EG04_004]","Q FC01.40 [EG04_004]","Q FC02.01 [EG04_004]","Q FC02.02 [EG04_004]","Q FC02.03 [EG04_004]","Q FC02.04 [EG04_004]","Q FC02.05 [EG04_004]","Q FC02.06 [EG04_004]","Q FC_weir1 [EG04_004]","Q RD_weir [EG04_004]"
      47,          0.766667,          30.169,          28.810,          25.422,          17.084,          14.727,           6.317,          32.524,          34.009,          34.553,          35.352,          36.743,          38.659,          40.091,          41.089,          43.031,          41.468,          48.181,          48.552,          47.758,          37.963,          31.746,          37.100,          41.297,          52.267,          34.487,          36.000,          35.204,          33.951,          30.524,          30.682,          30.924,          31.140,          31.381,          30.038,          30.139,          45.406,          58.690,          64.849,          66.332,           0.000,          69.166,          42.451,          57.383,          73.062,          86.074,          88.152,           6.784,           7.776,           8.156,           8.306,           8.368,           8.498,          69.560,           7.983
      48,          0.783333,          33.289,          33.005,          29.398,          20.864,          16.912,           9.211,          35.968,          37.831,          38.334,          39.086,          40.253,          41.992,          43.301,          44.210,          45.975,          43.726,          51.069,          51.209,          50.143,          39.630,          33.302,          39.002,          43.908,          52.541,          35.652,          37.261,          35.986,          34.802,          31.986,          32.175,          32.456,          32.753,          33.033,          31.002,          31.187,          48.657,          64.340,          69.695,          70.690,           0.000,          72.841,          44.237,          58.133,          73.685,          87.473,          88.905,           6.637,           7.773,           8.243,           8.427,           8.476,           8.571,          73.194,           9.549
      49,          0.800000,          35.834,          36.968,          33.462,          26.684,          20.028,          11.832,          39.245,          41.515,          41.965,          42.656,          43.733,          45.332,          46.564,          47.423,          49.089,          46.428,          54.488,          54.432,          53.289,          41.879,          35.234,          41.071,          46.752,          52.706,          36.950,          38.798,          36.795,          35.596,          33.380,          33.571,          33.827,          34.273,          34.511,          31.563,          31.835,          52.237,          68.312,          72.903,          73.847,           0.000,          74.882,          45.526,          58.669,          74.249,          88.625,          89.643,           6.460,           7.768,           8.314,           8.522,           8.559,           8.642,          76.228,          10.545
      50,          0.816667,          38.048,          40.572,          37.462,          33.145,          24.963,          15.194,          42.242,          45.025,          45.488,          46.080,          46.935,          48.230,          49.207,          49.878,          51.155,          48.134,          58.489,          58.159,          56.801,          44.076,          36.794,          43.054,          49.371,          52.810,          38.291,          40.332,          37.517,          36.279,          34.341,          34.513,          34.715,          35.400,          35.557,          31.936,          32.233,          54.238,          71.038,          74.940,          75.872,           0.000,          76.213,          46.308,          59.163,          74.762,          89.606,          90.376,           6.540,           7.866,           8.402,           8.605,           8.637,           8.713,          78.176,          11.186
      51,          0.833333,          39.704,          44.143,          41.386,          37.904,          30.411,          19.665,          44.527,          47.713,          48.297,          48.838,          49.572,          50.685,          51.532,          52.113,          53.236,          49.649,          62.054,          61.763,          60.112,          45.865,          37.987,          44.795,          51.516,          52.880,          39.290,          41.633,          38.113,          36.804,          34.855,          34.998,          35.144,          36.060,          36.160,          32.224,          32.529,          56.782,          72.862,          76.332,          77.258,           0.000,          77.114,          46.840,          59.642,          75.200,          90.477,          91.071,           6.786,           8.031,           8.505,           8.683,           8.714,           8.779,          79.509,          11.628
      52,          0.850000,          41.020,          47.138,          44.785,          41.976,          35.289,          24.255,          46.457,          50.037,          50.781,          51.348,          52.031,          53.070,          53.855,          54.395,          55.371,          50.777,          64.566,          64.696,          62.860,          47.279,          38.938,          46.105,          53.345,          52.931,          40.093,          42.650,          38.561,          37.159,          35.161,          35.270,          35.381,          36.496,          36.560,          32.429,          32.748,          59.498,          74.124,          77.300,          78.237,           0.000,          77.756,          47.232,          60.013,          75.513,          91.012,          91.319,           6.990,           8.181,           8.597,           8.739,           8.759,           8.798,          80.466,          11.952
      53,          0.866667,          42.263,          49.857,          47.740,          45.432,          39.682,          28.670,          48.200,          52.115,          53.014,          53.723,          54.340,          55.285,          56.000,          56.498,          57.269,          51.894,          65.534,          66.477,          64.664,          48.244,          39.651,          47.132,          54.715,          52.962,          40.702,          43.436,          38.913,          37.445,          35.343,          35.427,          35.511,          36.784,          36.830,          32.577,          32.915,          62.102,          75.021,          77.994,          78.953,           0.000,          78.201,          47.435,          60.225,          75.667,          91.304,          91.530,           7.205,           8.312,           8.667,           8.775,           8.789,           8.817,          81.164,          12.153
      54,          0.883333,          43.327,          52.333,          50.281,          48.309,          43.601,          32.830,          49.754,          53.951,          55.011,          55.911,          56.470,          57.313,          57.950,          58.385,          58.864,          53.013,          64.634,          67.066,          65.650,          48.809,          40.100,          47.819,          55.609,          52.983,          41.164,          44.020,          39.170,          37.651,          35.463,          35.524,          35.585,          36.982,          37.012,          32.677,          33.022,          64.427,          75.617,          78.441,          79.395,           0.000,          78.470,          47.591,          60.355,          75.795,          91.558,          91.739,           7.374,           8.406,           8.716,           8.801,           8.810,           8.835,          81.576,          12.286
      55,          0.900000,          44.229,          54.527,          52.646,          50.787,          46.883,          37.700,          51.076,          55.531,          56.741,          57.843,          58.322,          59.044,          59.588,          59.954,          60.116,          53.835,          62.412,          66.581,          65.902,          49.029,          40.377,          48.307,          56.273,          52.997,          41.470,          44.438,          39.351,          37.798,          35.535,          35.578,          35.623,          37.108,          37.129,          32.741,          33.088,          66.364,          75.986,          78.722,          79.674,           0.000,          78.646,          47.718,          60.461,          75.919,          91.789,          91.944,           7.502,           8.486,           8.766,           8.827,           8.836,           8.854,          81.846,          12.378
      56,          0.916667,          44.949,          56.495,          54.803,          53.041,          49.658,          41.822,          52.153,          56.842,          58.187,          59.492,          59.896,          60.498,          60.949,          61.253,          61.076,          53.954,          59.392,          65.315,          65.566,          48.975,          40.487,          48.585,          56.678,          53.008,          41.645,          44.715,          39.468,          37.894,          35.575,          35.608,          35.642,          37.189,          37.204,          32.783,          33.136,          67.980,          76.239,          78.921,          79.880,           0.000,          78.785,          47.821,          60.561,          76.035,          92.004,          92.150,           7.603,           8.546,           8.798,           8.846,           8.855,           8.873,          82.050,          12.452
      57,          0.933333,          45.410,          57.845,          56.642,          55.101,          52.085,          45.310,          52.999,          57.902,          59.366,          60.859,          61.193,          61.690,          62.060,          62.311,          61.832,          53.598,          56.194,          63.605,          64.841,          48.720,          40.486,          48.707,          56.894,          53.017,          41.728,          44.874,          39.524,          37.939,          35.596,          35.624,          35.651,          37.247,          37.258,          32.813,          33.171,          69.341,          76.435,          79.083,          80.048,           0.000,          78.900,          47.908,          60.650,          76.138,          92.150,          92.177,           7.661,           8.584,           8.822,           8.861,           8.867,           8.875,          82.216,          12.513
      58,          0.950000,          45.646,          59.072,          57.955,          56.802,          54.210,          48.302,          53.512,          58.706,          60.287,          61.981,          62.266,          62.678,          62.985,          63.191,          62.450,          52.502,          52.877,          61.476,          63.791,          48.309,          40.408,          48.730,          57.005,          53.023,          41.744,          44.961,          39.539,          37.955,          35.609,          35.633,          35.655,          37.292,          37.301,          32.842,          33.201,          70.518,          76.584,          79.204,          80.172,           0.000,          78.977,          47.953,          60.659,          76.116,          92.104,          92.084,           7.694,           8.602,           8.831,           8.864,           8.867,           8.866,          82.336,          12.551
      59,          0.966667,          47.063,          61.553,          59.770,          58.346,          56.031,          50.868,          53.373,          59.070,          60.845,          62.864,          63.133,          63.487,          63.742,          63.913,          62.940,          52.394,          49.801,          58.964,          62.466,          47.751,          40.252,          48.664,          57.021,          53.024,          41.705,          44.994,          39.514,          37.931,          35.614,          35.635,          35.655,          37.326,          37.331,          32.857,          33.220,          71.483,          76.674,          79.268,          80.229,           0.000,          78.993,          47.959,          60.627,          76.058,          92.021,          91.988,           7.696,           8.601,           8.833,           8.864,           8.863,           8.858,          82.383,          12.558
      60,          0.983333,          47.723,          63.909,          62.003,          60.197,          57.768,          53.065,          53.392,          59.389,          61.280,          63.595,          63.842,          64.147,          64.363,          64.513,          63.364,          51.814,          47.180,          56.370,          60.960,          47.093,          40.018,          48.535,          56.961,          53.024,          41.626,          44.992,          39.461,          37.897,          35.612,          35.626,          35.643,          37.340,          37.345,          32.861,          33.221,          72.329,          76.700,          79.278,          80.236,           0.000,          78.986,          47.946,          60.595,          76.010,          91.937,          91.895,           7.688,           8.597,           8.822,           8.859,           8.856,           8.850,          82.380,          12.554
      61,          1.000000,          48.276,          65.914,          64.138,          62.295,          59.616,          55.057,          53.440,          59.649,          61.627,          64.205,          64.415,          64.686,          64.870,          64.997,          63.705,          51.357,          44.988,          53.820,          59.337,          46.321,          39.733,          48.331,          56.822,          53.021,          41.488,          44.942,          39.389,          37.837,          35.584,          35.608,          35.627,          37.343,          37.345,          32.861,          33.221,          73.064,          76.696,          79.263,          80.214,           0.000,          78.959,          47.921,          60.554,          75.954,          91.844,          91.803,           7.690,           8.589,           8.819,           8.850,           8.847,           8.841,          82.349,          12.538
      62,          1.016667,          48.793,          67.638,          66.035,          64.379,          61.582,          56.977,          53.517,          59.886,          61.929,          64.729,          64.913,          65.143,          65.304,          65.414,          63.999,          51.005,          43.141,          51.389,          57.659,          45.479,          39.395,          48.059,          56.640,          53.018,          41.318,          44.841,          39.267,          37.736,          35.562,          35.586,          35.604,          37.340,          37.342,          32.858,          33.212,          73.713,          76.658,          79.226,          80.173,           0.000,          78.923,          47.886,          60.494,          75.857,          91.602,          91.370,           7.642,           8.559,           8.802,           8.832,           8.821,           8.797,          82.305,          12.517
      63,          1.033333,          49.258,          69.112,          67.700,          66.300,          63.567,          58.767,          53.598,          60.095,          62.181,          65.196,          65.348,          65.538,          65.678,          65.777,          64.256,          50.824,          41.458,          49.137,          55.989,          44.606,          39.030,          47.758,          56.381,          53.010,          41.122,          44.731,          39.141,          37.632,          35.534,          35.556,          35.576,          37.328,          37.330,          32.847,          33.200,          74.293,          76.598,          79.159,          80.093,           0.000,          78.832,          47.782,          60.305,          75.577,          91.126,          90.857,           7.593,           8.513,           8.764,           8.798,           8.783,           8.747,          82.203,          12.462
      64,          1.050000,          49.562,          70.333,          69.128,          67.982,          65.474,          60.364,          53.657,          60.261,          62.393,          65.597,          65.734,          65.884,          66.008,          66.092,          64.489,          50.727,          39.932,          47.080,          54.369,          43.734,          38.623,          47.445,          56.130,          52.996,          40.907,          44.573,          38.995,          37.518,          35.506,          35.521,          35.536,          37.305,          37.304,          32.827,          33.171,          74.811,          76.462,          79.012,          79.923,           0.000,          78.673,          47.639,          60.095,          75.292,          90.626,          90.344,           7.543,           8.460,           8.713,           8.758,           8.738,           8.697,          82.008,          12.374
      65,          1.066667,          49.854,          71.408,          70.360,          69.393,          67.193,          62.043,          53.713,          60.398,          62.572,          65.949,          66.074,          66.199,          66.307,          66.379,          64.692,          50.594,          38.961,          45.149,          52.753,          42.808,          38.179,          47.057,          55.810,          52.980,          40.661,          44.424,          38.841,          37.387,          35.446,          35.472,          35.490,          37.262,          37.260,          32.794,          33.129,          75.280,          76.258,          78.808,          79.695,           0.000,          78.479,          47.474,          59.874,          75.001,          90.122,          89.827,           7.486,           8.410,           8.673,           8.709,           8.689,           8.647,          81.757,          12.270
      66,          1.083333,          50.133,          72.347,          71.428,          70.609,          68.663,          64.142,          53.793,          60.547,          62.744,          66.266,          66.373,          66.463,          66.560,          66.628,          64.879,          50.667,          37.650,          43.508,          51.265,          41.897,          37.737,          46.657,          55.459,          52.962,          40.383,          44.234,          38.662,          37.240,          35.388,          35.413,          35.432,          37.207,          37.201,          32.754,          33.076,          75.708,          76.005,          78.572,          79.436,           0.000,          78.263,          47.295,          59.647,          74.705,          89.608,          89.259,           7.421,           8.353,           8.621,           8.659,           8.639,           8.591,          81.475,          12.155
      67,          1.100000,          50.379,          73.189,          72.369,          71.663,          69.933,          66.132,          53.870,          60.679,          62.889,          66.547,          66.643,          66.714,          66.800,          66.857,          65.052,          50.737,          36.373,          41.948,          49.819,          40.998,          37.280,          46.251,          55.095,          52.942,          40.101,          44.044,          38.489,          37.101,          35.321,          35.349,          35.365,          37.139,          37.133,          32.708,          33.019,          76.098,          75.725,          78.312,          79.148,           0.000,          78.017,          47.079,          59.333,          74.237,          88.644,          87.950,           7.376,           8.298,           8.557,           8.586,           8.542,           8.464,          81.162,          12.026
      68,          1.116667,          50.599,          73.914,          73.199,          72.592,          71.054,          67.830,          53.945,          60.804,          63.028,          66.799,          66.883,          66.930,          67.008,          67.062,          65.212,          50.746,          35.358,          40.533,          48.428,          40.092,          36.798,          45.820,          54.696,          52.909,          39.800,          43.807,          38.275,          36.913,          35.252,          35.277,          35.295,          37.063,          37.054,          32.647,          32.939,          76.455,          75.344,          77.937,          78.713,           0.000,          77.602,          46.728,          58.780,          73.450,          87.334,          86.592,           7.265,           8.184,           8.451,           8.483,           8.434,           8.332,          80.657,          11.815
      69,          1.133333,          50.803,          74.534,          73.917,          73.399,          72.037,          69.287,          54.017,          60.916,          63.154,          67.024,          67.097,          67.128,          67.199,          67.248,          65.353,          50.769,          34.473,          39.258,          47.130,          39.202,          36.294,          45.340,          54.219,          52.867,          39.443,          43.539,          38.042,          36.717,          35.166,          35.190,          35.205,          36.953,          36.941,          32.565,          32.826,          76.780,          74.797,          77.404,          78.113,           0.000,          77.084,          46.304,          58.192,          72.662,          85.998,          85.227,           7.171,           8.069,           8.333,           8.366,           8.313,           8.201,          79.989,          11.545
      70,          1.150000,          50.975,          75.076,          74.537,          74.090,          72.900,          70.543,          54.081,          61.017,          63.268,          67.234,          67.305,          67.316,          67.378,          67.420,          65.482,          50.828,          33.664,          38.085,          45.884,          38.321,          35.771,          44.838,          53.702,          52.819,          39.074,          43.241,          37.803,          36.509,          35.064,          35.083,          35.096,          36.811,          36.792,          32.459,          32.692,          77.078,          74.122,          76.775,          77.425,           0.000,          76.507,          45.842,          57.592,          71.868,          84.654,          83.859,           7.066,           7.949,           8.207,           8.239,           8.186,           8.069,          79.235,          11.244
      71,          1.166667,          51.135,          75.565,          75.086,          74.695,          73.656,          71.627,          54.144,          61.108,          63.372,          67.416,          67.478,          67.474,          67.534,          67.574,          65.606,          50.883,          32.936,          37.005,          44.687,          37.434,          35.214,          44.287,          53.134,          52.768,          38.676,          42.925,          37.567,          36.306,          34.941,          34.961,          34.969,          36.640,          36.616,          32.339,          32.540,          77.347,          73.354,          76.068,          76.655,           0.000,          75.879,          45.364,          56.980,          71.050,          83.285,          82.493,           6.989,           7.848,           8.089,           8.113,           8.060,           7.938,          78.424,          10.927
      72,          1.183333,          51.278,          75.986,          75.566,          75.220,          74.310,          72.565,          54.204,          61.198,          63.471,          67.589,          67.642,          67.625,          67.675,          67.708,          65.704,          50.945,          32.278,          35.996,          43.541,          36.555,          34.646,          43.708,          52.513,          52.715,          38.252,          42.605,          37.304,          36.071,          34.816,          34.831,          34.836,          36.454,          36.432,          32.216,          32.387,          77.589,          72.588,          75.393,          75.931,           0.000,          75.261,          44.867,          56.351,          70.209,          81.852,          80.919,           6.876,           7.718,           7.958,           7.979,           7.919,           7.784,          77.637,          10.598
      73,          1.200000,          51.412,          76.371,          75.990,          75.690,          74.886,          73.379,          54.256,          61.272,          63.549,          67.731,          67.786,          67.753,          67.799,          67.832,          65.805,          51.012,          31.667,          35.081,          42.467,          35.713,          34.096,          43.118,          51.859,          52.657,          37.836,          42.264,          37.052,          35.846,          34.671,          34.703,          34.702,          36.266,          36.243,          32.094,          32.238,          77.802,          71.820,          74.715,          75.215,           0.000,          74.715,          44.316,          55.613,          69.186,          80.185,          79.209,           6.753,           7.561,           7.805,           7.830,           7.761,           7.617,          76.892,          10.246
      74,          1.216667,          51.536,          76.713,          76.373,          76.097,          75.395,          74.084,          54.309,          61.351,          63.631,          67.875,          67.920,          67.877,          67.916,          67.941,          65.884,          51.097,          31.118,          34.280,          41.513,          34.944,          33.544,          42.575,          51.248,          52.592,          37.448,          41.871,          36.753,          35.596,          34.558,          34.573,          34.567,          36.074,          36.048,          31.969,          32.085,          77.990,          71.015,          73.979,          74.413,           0.000,          73.974,          43.718,          54.830,          68.120,          78.477,          77.493,           6.659,           7.452,           7.671,           7.671,           7.602,           7.450,          76.003,           9.858
      75,          1.233333,          51.645,          77.019,          76.712,          76.469,          75.841,          74.699,          54.348,          61.407,          63.692,          67.982,          68.027,          67.978,          68.012,          68.038,          65.962,          51.169,          30.603,          33.552,          40.608,          34.199,          33.000,          42.035,          50.618,          52.522,          37.033,          41.527,          36.494,          35.358,          34.425,          34.430,          34.426,          35.862,          35.832,          31.829,          31.906,          78.155,          70.088,          73.105,          73.444,           0.000,          73.076,          43.075,          54.052,          67.054,          76.773,          75.780,           6.517,           7.293,           7.502,           7.512,           7.442,           7.286,          74.928,           9.443
      76,          1.250000,          51.745,          77.293,          77.024,          76.796,          76.242,          75.240,          54.386,          61.465,          63.751,          68.088,          68.127,          68.063,          68.094,          68.117,          66.018,          51.251,          30.141,          32.885,          39.777,          33.495,          32.471,          41.474,          49.975,          52.452,          36.613,          41.163,          36.231,          35.121,          34.268,          34.271,          34.265,          35.620,          35.588,          31.678,          31.719,          78.297,          69.116,          72.203,          72.472,           0.000,          72.264,          42.418,          53.225,          65.942,          75.064,          74.063,           6.415,           7.142,           7.341,           7.350,           7.275,           7.119,          73.888,           9.030
      77,          1.266667,          51.826,          77.534,          77.293,          77.103,          76.593,          75.712,          54.422,          61.512,          63.801,          68.176,          68.211,          68.141,          68.167,          68.185,          66.071,          51.313,          29.742,          32.284,          39.001,          32.823,          31.951,          40.909,          49.335,          52.377,          36.193,          40.786,          35.961,          34.877,          34.115,          34.114,          34.102,          35.375,          35.342,          31.531,          31.541,          78.415,          68.159,          71.347,          71.564,           0.000,          71.445,          41.767,          52.392,          64.756,          73.119,          71.888,           6.291,           6.988,           7.171,           7.174,           7.090,           6.908,          72.905,           8.599
      78,          1.283333,          51.906,          77.744,          77.537,          77.356,          76.916,          76.131,          54.446,          61.546,          63.835,          68.247,          68.280,          68.204,          68.227,          68.245,          66.115,          51.387,          29.316,          31.750,          38.289,          32.195,          31.452,          40.352,          48.699,          52.291,          35.777,          40.397,          35.685,          34.622,          33.958,          33.954,          33.939,          35.126,          35.094,          31.384,          31.358,          78.511,          67.169,          70.395,          70.465,           0.000,          69.883,          41.006,          51.347,          63.253,          70.862,          69.590,           6.158,           6.820,           6.983,           6.977,           6.883,           6.688,          71.465,           8.119
      79,          1.300000,          51.959,          77.939,          77.743,          77.588,          77.192,          76.504,          54.467,          61.582,          63.873,          68.318,          68.351,          68.261,          68.278,          68.290,          66.141,          51.429,          28.997,          31.266,          37.647,          31.618,          30.972,          39.811,          48.066,          52.194,          35.362,          39.992,          35.393,          34.354,          33.793,          33.784,          33.759,          34.844,          34.800,          31.186,          31.110,          78.586,          65.927,          69.247,          69.311,           0.000,          69.283,          40.188,          50.253,          61.712,          68.564,          67.288,           6.012,           6.633,           6.782,           6.771,           6.676,           6.466,          70.429,           7.583
      80,          1.316667,          52.017,          78.091,          77.928,          77.796,          77.443,          76.836,          54.482,          61.609,          63.901,          68.366,          68.389,          68.297,          68.313,          68.324,          66.167,          51.462,          28.719,          30.822,          37.040,          31.048,          30.476,          39.241,          47.389,          52.088,          34.937,          39.570,          35.118,          34.093,          33.601,          33.585,          33.553,          34.528,          34.486,          31.019,          30.889,          78.640,          64.717,          68.100,          68.108,           0.000,          68.195,          39.331,          49.150,          60.128,          66.256,          64.984,           5.884,           6.454,           6.575,           6.557,           6.459,           6.246,          69.135,           7.013
      81,          1.333333,          52.054,          78.232,          78.091,          77.964,          77.657,          77.120,          54.493,          61.623,          63.913,          68.401,          68.424,          68.326,          68.340,          68.348,          66.180,          51.504,          28.458,          30.408,          36.460,          30.501,          29.993,          38.663,          46.691,          51.975,          34.499,          39.089,          34.804,          33.795,          33.377,          33.359,          33.322,          34.176,          34.139,          30.840,          30.677,          78.672,          63.593,          67.260,          67.438,           0.000,          66.714,          38.444,          48.029,          58.507,          63.939,          62.690,           5.747,           6.271,           6.372,           6.344,           6.246,           6.028,          68.647,           6.425
      82,          1.350000,          52.098,          78.340,          78.223,          78.131,          77.861,          77.374,          54.501,          61.636,          63.927,          68.432,          68.450,          68.345,          68.350,          68.354,          66.175,          51.532,          28.231,          30.040,          35.924,          29.983,          29.525,          38.107,          46.027,          51.854,          34.089,          38.668,          34.513,          33.521,          33.223,          33.199,          33.142,          33.858,          33.763,          30.754,          30.524,          78.681,          62.659,          66.096,          65.857,           0.000,          65.467,          37.563,          46.936,          56.908,          61.709,          60.542,           5.577,           6.072,           6.161,           6.134,           6.036,           5.819,          66.590,           5.818
      83,          1.366667,          52.116,          78.431,          78.337,          78.254,          78.024,          77.604,          54.501,          61.640,          63.931,          68.442,          68.455,          68.343,          68.348,          68.351,          66.169,          51.562,          28.055,          29.763,          35.504,          29.570,          29.121,          37.570,          45.367,          51.728,          33.652,          38.137,          34.173,          33.197,          32.888,          32.854,          32.802,          33.390,          33.319,          30.538,          30.244,          78.669,          61.045,          64.465,          64.269,           0.000,          64.134,          36.687,          45.882,          55.357,          59.564,          58.411,           5.486,           5.911,           5.966,           5.927,           5.829,           5.611,          64.965,           5.205
      84,          1.383333,          52.134,          78.488,          78.420,          78.352,          78.166,          77.794,          54.499,          61.633,          63.921,          68.443,          68.454,          68.339,          68.344,          68.348,          66.155,          51.565,          27.902,          29.503,          35.084,          29.127,          28.650,          36.971,          44.602,          51.596,          33.180,          37.655,          33.867,          32.871,          32.597,          32.567,          32.510,          32.977,          32.914,          30.303,          29.974,          78.638,          59.549,          63.021,          62.758,           0.000,          62.628,          35.847,          44.833,          53.782,          57.409,          56.281,           5.358,           5.744,           5.769,           5.721,           5.623,           5.406,          63.215,           4.591
      85,          1.400000,          52.133,          78.536,          78.480,          78.429,          78.266,          77.963,          54.483,          61.625,          63.914,          68.440,          68.451,          68.329,          68.323,          68.320,          66.124,          51.569,          27.738,          29.218,          34.631,          28.663,          28.171,          36.375,          43.865,          51.455,          32.746,          37.175,          33.575,          32.575,          32.328,          32.287,          32.223,          32.577,          32.512,          30.075,          29.712,          78.582,          58.126,          61.597,          61.324,           0.000,          61.210,          34.955,          43.785,          52.196,          55.259,          54.149,           5.228,           5.568,           5.572,           5.514,           5.414,           5.198,          61.654,           3.967
      86,          1.416667,          52.129,          78.563,          78.519,          78.494,          78.366,          78.097,          54.472,          61.613,          63.898,          68.420,          68.422,          68.292,          68.286,          68.280,          66.085,          51.565,          27.614,          28.990,          34.228,          28.230,          27.716,          35.801,          43.156,          51.305,          32.331,          36.687,          33.251,          32.247,          32.054,          32.013,          31.948,          32.215,          32.156,          29.884,          29.494,          78.500,          56.883,          60.336,          60.035,           0.000,          59.939,          34.046,          42.738,          50.629,          53.128,          52.021,           5.088,           5.388,           5.370,           5.309,           5.209,           4.991,          60.301,           3.333
      87,          1.433333,          52.119,          78.551,          78.538,          78.519,          78.434,          78.215,          54.451,          61.584,          63.864,          68.381,          68.382,          68.253,          68.243,          68.234,          66.030,          51.563,          27.533,          28.843,          33.921,          27.887,          27.334,          35.272,          42.488,          51.142,          31.939,          36.263,          32.982,          31.954,          31.791,          31.740,          31.666,          31.840,          31.759,          29.591,          29.090,          78.394,          54.726,          57.611,          57.029,           0.000,          56.358,          33.285,          41.699,          49.027,          51.050,          49.936,           4.980,           5.210,           5.173,           5.107,           5.007,           4.790,          56.832,           2.691
      88,          1.450000,          52.096,          78.540,          78.539,          78.533,          78.478,          78.315,          54.424,          61.550,          63.829,          68.338,          68.330,          68.193,          68.176,          68.166,          65.966,          51.538,          27.492,          28.750,          33.683,          27.588,          26.941,          34.759,          41.803,          50.965,          31.561,          35.772,          32.660,          31.613,          31.348,          31.278,          31.173,          31.240,          31.134,          29.188,          28.633,          78.264,          52.533,          55.461,          55.039,           0.000,          54.249,          32.492,          40.751,          47.514,          49.042,          47.886,           4.948,           5.064,           4.989,           4.908,           4.809,           4.592,          54.767,           2.049
      89,          1.466667,          52.054,          78.482,          78.517,          78.542,          78.511,          78.375,          54.387,          61.509,          63.782,          68.273,          68.263,          68.122,          68.105,          68.094,          65.898,          51.493,          27.425,          28.606,          33.340,          27.155,          26.406,          34.085,          40.935,          50.770,          31.075,          35.269,          32.309,          31.230,          30.886,          30.804,          30.704,          30.716,          30.634,          28.927,          28.377,          78.108,          51.067,          53.953,          53.631,           0.000,          53.035,          31.761,          39.849,          46.004,          47.040,          45.840,           4.889,           4.936,           4.804,           4.714,           4.612,           4.395,          53.398,           1.411
      90,          1.483333,          52.004,          78.410,          78.465,          78.501,          78.506,          78.428,          54.343,          61.458,          63.727,          68.199,          68.188,          68.045,          68.018,          67.999,          65.803,          51.461,          27.350,          28.448,          32.969,          26.726,          25.925,          33.425,          40.080,          50.551,          30.609,          34.759,          31.943,          30.819,          30.509,          30.443,          30.349,          30.338,          30.273,          28.732,          28.194,          77.917,          50.007,          52.776,          52.515,           0.000,          51.976,          31.015,          39.034,          44.535,          45.054,          43.793,           4.702,           4.756,           4.617,           4.516,           4.415,           4.196,          52.285,           0.792
      91,          1.500000,          51.954,          78.316,          78.390,          78.446,          78.495,          78.455,          54.297,          61.398,          63.663,          68.112,          68.090,          67.936,          67.908,          67.889,          65.696,          51.413,          27.382,          28.464,          32.795,          26.479,          25.586,          32.923,          39.445,          50.298,          30.235,          34.301,          31.595,          30.463,          30.233,          30.157,          30.067,          30.043,          29.984,          28.559,          28.012,          77.692,          49.000,          51.659,          51.428,           0.000,          50.871,          30.496,          38.325,          43.105,          43.084,          41.750,           4.536,           4.557,           4.420,           4.321,           4.220,           4.000,          51.173,           0.272
      92,          1.516667,          51.886,          78.200,          78.294,          78.379,          78.447,          78.454,          54.236,          61.324,          63.582,          67.998,          67.975,          67.824,          67.786,          67.759,          65.574,          51.349,          27.571,          28.611,          32.812,          26.398,          25.361,          32.571,          38.975,          49.993,          29.968,          33.955,          31.331,          30.180,          29.972,          29.892,          29.808,          29.775,          29.722,          28.398,          27.859,          77.440,          48.173,          50.732,          50.566,           0.000,          50.148,          30.057,          37.803,          41.805,          41.262,          39.876,           4.388,           4.383,           4.228,           4.133,           4.036,           3.820,          50.370,           0.020
