"EG15_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_003.tcf]","Time (h)","Q FC01.1_R [EG15_003]","Q FC01.2_R [EG15_003]","Q FC04.1_C [EG15_003]","Q Pipe0 [EG15_003]","Q Pipe1 [EG15_003]","Q Pipe10 [EG15_003]","Q Pipe11 [EG15_003]","Q Pipe12 [EG15_003]","Q Pipe13 [EG15_003]","Q Pipe14 [EG15_003]","Q Pipe15 [EG15_003]","Q Pipe16 [EG15_003]","Q Pipe17 [EG15_003]","Q Pipe19 [EG15_003]","Q Pipe2 [EG15_003]","Q Pipe3 [EG15_003]","Q Pipe4 [EG15_003]","Q Pipe5 [EG15_003]","Q Pipe6 [EG15_003]","Q Pipe7 [EG15_003]","Q Pipe8 [EG15_003]","Q Pipe9 [EG15_003]","Q Pit1 [EG15_003]","Q Pit10 [EG15_003]","Q Pit11 [EG15_003]","Q Pit12 [EG15_003]","Q Pit13 [EG15_003]","Q Pit14 [EG15_003]","Q Pit15 [EG15_003]","Q Pit16 [EG15_003]","Q Pit17 [EG15_003]","Q Pit18 [EG15_003]","Q Pit19 [EG15_003]","Q Pit2 [EG15_003]","Q Pit3 [EG15_003]","Q Pit4 [EG15_003]","Q Pit5 [EG15_003]","Q Pit6 [EG15_003]","Q Pit7 [EG15_003]","Q Pit8 [EG15_003]","Q Pit9 [EG15_003]"
      11,          0.166667,           0.000,           0.086,           0.000,           0.001,           0.041,           0.037,           0.039,           0.039,           0.093,           0.103,           0.040,           0.110,           0.113,           0.047,           0.020,           0.015,           0.019,           0.035,           0.026,           0.018,           0.029,           0.043,           0.002,           0.070,           0.024,           0.025,           0.036,           0.023,           0.000,           0.000,           0.002,           0.016,           0.019,           0.043,           0.000,           0.011,           0.016,           0.021,           0.000,           0.011,           0.020
      12,          0.183333,           0.000,           0.108,           0.000,           0.003,           0.050,           0.052,           0.052,           0.055,           0.125,           0.142,           0.059,           0.104,           0.157,           0.063,           0.026,           0.020,           0.026,           0.052,           0.042,           0.023,           0.038,           0.060,           0.000,           0.082,           0.029,           0.030,           0.056,           0.026,           0.006,           0.000,           0.000,           0.019,           0.025,           0.051,           0.000,           0.013,           0.023,           0.027,           0.010,           0.014,           0.003
      13,          0.200000,           0.498,           0.002,           0.000,           0.002,           0.061,           0.072,           0.077,           0.076,           0.159,           0.183,           0.081,           0.020,           0.204,           0.083,           0.035,           0.027,           0.035,           0.072,           0.062,           0.030,           0.048,           0.080,           0.000,           0.092,           0.035,           0.034,           0.024,           0.028,           0.000,           0.000,           0.014,           0.023,           0.031,           0.062,           0.000,           0.018,           0.030,           0.037,           0.001,           0.017,           0.032
      14,          0.216667,           1.543,           0.052,           0.005,           0.001,           0.072,           0.095,          -0.059,          -0.049,           0.022,           0.058,          -0.090,           0.014,           0.083,           0.105,           0.046,           0.034,           0.049,           0.093,          -0.037,           0.039,           0.061,           0.106,           0.000,           0.101,           0.042,           0.037,           0.051,           0.031,           0.012,           0.001,           0.014,           0.028,           0.041,           0.074,           0.000,           0.024,           0.037,           0.048,           0.013,           0.019,           0.024
      15,          0.233333,           2.347,           0.161,           0.016,          -0.011,           0.009,          -0.080,          -0.067,          -0.077,           0.032,           0.065,          -0.105,           0.007,           0.095,          -0.116,           0.059,           0.042,          -0.017,          -0.122,          -0.129,           0.055,          -0.023,          -0.068,           0.016,           0.109,           0.047,           0.041,           0.032,           0.034,           0.002,           0.001,           0.017,           0.036,           0.061,           0.086,           0.000,           0.029,           0.045,           0.060,           0.000,           0.021,           0.026
      16,          0.250000,           2.991,           0.405,           0.033,          -0.015,           0.045,           0.123,           0.113,           0.114,           0.145,           0.179,          -0.166,           0.032,           0.199,          -0.119,           0.046,          -0.134,          -0.138,          -0.149,          -0.176,           0.072,           0.099,           0.137,           0.000,           0.046,           0.052,           0.044,           0.038,           0.037,           0.003,           0.001,           0.024,           0.056,           0.098,           0.090,           0.005,           0.033,           0.051,           0.073,           0.012,           0.024,           0.027
      17,          0.266667,           3.508,           0.054,           0.058,           0.001,           0.098,           0.265,           0.187,           0.255,           0.073,          -0.031,           0.131,           0.001,          -0.100,           0.186,           0.028,           0.057,           0.089,           0.187,           0.200,           0.118,           0.191,           0.254,           0.003,          -0.114,          -0.102,          -0.067,          -0.029,          -0.069,           0.011,           0.001,           0.036,           0.074,           0.119,           0.098,           0.000,           0.036,           0.057,           0.028,           0.014,          -0.010,          -0.067
      18,          0.283333,           3.960,           0.794,           0.089,          -0.001,           0.099,           0.270,           0.158,           0.246,           0.064,          -0.004,           0.118,           0.001,          -0.068,           0.214,           0.022,           0.064,           0.094,           0.213,           0.216,           0.120,           0.197,           0.254,           0.000,          -0.093,          -0.067,          -0.064,          -0.049,          -0.097,           0.005,           0.007,           0.035,           0.078,           0.120,           0.096,           0.025,           0.038,           0.066,           0.022,           0.017,          -0.024,          -0.088
      19,          0.300000,           4.411,           0.665,           0.126,           0.002,           0.091,           0.271,           0.129,           0.236,           0.064,           0.013,           0.104,           0.001,          -0.040,           0.213,           0.017,           0.080,           0.123,           0.215,           0.205,           0.121,           0.202,           0.254,           0.000,          -0.065,          -0.050,          -0.052,          -0.062,          -0.100,          -0.011,           0.000,           0.035,           0.081,           0.122,           0.081,           0.000,           0.040,           0.083,           0.017,           0.017,          -0.035,          -0.106
      20,          0.316667,           4.896,           0.219,           0.165,          -0.002,           0.072,           0.267,           0.117,           0.221,           0.054,           0.007,           0.096,           0.001,          -0.036,           0.217,           0.015,           0.095,           0.134,           0.220,           0.182,           0.128,           0.207,           0.253,           0.000,          -0.063,          -0.046,          -0.042,          -0.058,          -0.085,          -0.036,           0.007,           0.032,           0.079,           0.127,           0.071,           0.008,           0.042,           0.096,           0.015,           0.015,          -0.047,          -0.102
      21,          0.333333,           5.404,          -0.004,           0.205,           0.004,           0.065,           0.260,           0.103,           0.205,           0.047,           0.006,           0.082,           0.001,          -0.028,           0.213,           0.017,           0.100,           0.143,           0.215,           0.155,           0.123,           0.203,           0.252,           0.005,          -0.061,          -0.040,          -0.034,          -0.052,          -0.073,          -0.059,           0.001,           0.027,           0.083,           0.122,           0.069,           0.000,           0.047,           0.098,           0.017,           0.014,          -0.060,          -0.093
      22,          0.350000,           5.910,           1.235,           0.243,           0.009,           0.048,           0.254,           0.098,           0.182,           0.044,           0.010,           0.064,           0.001,          -0.020,           0.217,           0.019,           0.087,           0.147,           0.214,           0.130,           0.120,           0.202,           0.247,           0.011,          -0.053,          -0.034,          -0.029,          -0.042,          -0.065,          -0.083,          -0.001,           0.026,           0.082,           0.120,           0.043,           0.019,           0.064,           0.088,           0.019,           0.008,          -0.072,          -0.084
      23,          0.366667,           6.449,           1.457,           0.279,           0.013,           0.041,           0.246,           0.085,           0.160,           0.037,           0.007,           0.052,           0.001,          -0.016,           0.210,           0.020,           0.081,           0.155,           0.206,           0.108,           0.120,           0.200,           0.244,           0.014,          -0.048,          -0.029,          -0.022,          -0.034,          -0.055,          -0.097,          -0.003,           0.023,           0.080,           0.120,           0.027,           0.012,           0.075,           0.082,           0.020,           0.003,          -0.086,          -0.074
      24,          0.383333,           7.111,          -0.578,           0.313,           0.017,           0.042,           0.235,           0.070,           0.137,           0.029,           0.004,           0.047,           0.001,          -0.015,           0.202,           0.021,           0.080,           0.158,           0.187,           0.098,           0.119,           0.199,           0.240,           0.017,          -0.041,          -0.024,          -0.019,          -0.031,          -0.050,          -0.089,          -0.014,           0.020,           0.080,           0.119,           0.028,           0.007,           0.080,           0.080,           0.021,          -0.005,          -0.098,          -0.066
      25,          0.400000,           7.905,          -1.150,           0.344,           0.016,           0.038,           0.220,           0.060,           0.121,           0.024,           0.003,           0.043,           0.001,          -0.014,           0.198,           0.021,           0.078,           0.158,           0.167,           0.090,           0.118,           0.197,           0.235,           0.015,          -0.035,          -0.020,          -0.016,          -0.027,          -0.045,          -0.078,          -0.030,           0.017,           0.079,           0.118,           0.024,           0.005,           0.082,           0.078,           0.021,          -0.014,          -0.099,          -0.061
      26,          0.416667,           8.799,           1.573,           0.372,           0.014,           0.025,           0.202,           0.052,           0.110,           0.020,           0.001,           0.038,           0.001,          -0.012,           0.198,           0.021,           0.074,           0.151,           0.142,           0.080,           0.117,           0.195,           0.232,           0.010,          -0.032,          -0.018,          -0.013,          -0.024,          -0.042,          -0.071,          -0.039,           0.009,           0.078,           0.117,           0.017,           0.019,           0.079,           0.074,           0.021,          -0.017,          -0.096,          -0.057
      27,          0.433333,           9.833,          -0.861,           0.397,           0.009,           0.021,           0.187,           0.047,           0.100,           0.018,           0.002,           0.031,           0.001,          -0.010,           0.192,           0.021,           0.071,           0.148,           0.130,           0.068,           0.116,           0.192,           0.223,           0.009,          -0.028,          -0.015,          -0.011,          -0.020,          -0.037,          -0.058,          -0.068,           0.013,           0.076,           0.116,           0.012,           0.026,           0.077,           0.071,           0.021,          -0.041,          -0.085,          -0.053
      28,          0.450000,          10.991,           4.581,           0.421,           0.007,           0.017,           0.168,           0.042,           0.091,           0.016,           0.002,           0.024,           0.001,          -0.007,           0.186,           0.020,           0.070,           0.146,           0.107,           0.055,           0.115,           0.190,           0.219,           0.007,          -0.025,          -0.013,          -0.008,          -0.016,          -0.031,          -0.054,          -0.075,           0.008,           0.075,           0.115,           0.010,           0.021,           0.076,           0.070,           0.020,          -0.051,          -0.076,          -0.049
      29,          0.466667,          12.398,           0.206,           0.442,           0.005,           0.012,           0.151,           0.037,           0.082,           0.014,           0.002,           0.020,           0.000,          -0.006,           0.176,           0.019,           0.068,           0.141,           0.092,           0.047,           0.114,           0.188,           0.213,           0.005,          -0.022,          -0.011,          -0.007,          -0.013,          -0.027,          -0.049,          -0.077,           0.005,           0.074,           0.114,           0.007,           0.020,           0.074,           0.068,           0.019,          -0.061,          -0.069,          -0.045
      30,          0.483333,          14.094,           0.342,           0.460,           0.003,           0.006,           0.134,           0.031,           0.071,           0.011,           0.001,           0.018,           0.000,          -0.005,           0.162,           0.017,           0.065,           0.135,           0.087,           0.042,           0.113,           0.186,           0.205,           0.003,          -0.019,          -0.010,          -0.006,          -0.012,          -0.024,          -0.042,          -0.077,           0.002,           0.072,           0.113,           0.003,           0.022,           0.071,           0.065,           0.017,          -0.071,          -0.063,          -0.039
      31,          0.500000,          15.909,           8.381,           0.476,           0.001,           0.000,           0.113,           0.026,           0.061,           0.009,           0.001,           0.015,           0.000,          -0.004,           0.148,           0.015,           0.062,           0.130,           0.078,           0.036,           0.112,           0.183,           0.200,           0.001,          -0.017,          -0.008,          -0.004,          -0.010,          -0.021,          -0.042,          -0.069,          -0.006,           0.071,           0.112,          -0.001,           0.018,           0.068,           0.062,           0.015,          -0.073,          -0.060,          -0.035
      32,          0.516667,          17.822,           6.426,           0.491,           0.000,          -0.004,           0.109,           0.023,           0.054,           0.008,           0.001,           0.013,           0.000,          -0.003,           0.134,           0.013,           0.059,           0.124,           0.071,           0.032,           0.111,           0.180,           0.187,           0.000,          -0.015,          -0.007,          -0.004,          -0.009,          -0.019,          -0.038,          -0.063,          -0.006,           0.069,           0.111,          -0.004,           0.014,           0.065,           0.059,           0.013,          -0.078,          -0.054,          -0.031
      33,          0.533333,          20.419,           7.149,           0.503,          -0.001,          -0.009,           0.099,           0.020,           0.049,           0.006,           0.000,           0.010,           0.000,          -0.002,           0.119,           0.010,           0.057,           0.119,           0.060,           0.026,           0.109,           0.177,           0.176,          -0.001,          -0.013,          -0.006,          -0.002,          -0.007,          -0.016,          -0.033,          -0.059,          -0.011,           0.067,           0.109,          -0.008,           0.009,           0.062,           0.057,           0.010,          -0.076,          -0.051,          -0.028
      34,          0.550000,          24.287,           8.267,           0.514,          -0.003,          -0.014,           0.091,           0.018,           0.043,           0.006,           0.001,           0.008,           0.000,          -0.002,           0.104,           0.006,           0.054,           0.114,           0.050,           0.021,           0.108,           0.173,           0.165,          -0.003,          -0.012,          -0.005,          -0.002,          -0.005,          -0.013,          -0.029,          -0.053,          -0.016,           0.065,           0.108,          -0.011,           0.004,           0.060,           0.054,           0.007,          -0.072,          -0.048,          -0.025
      35,          0.566667,          28.547,           9.498,           0.524,          -0.004,          -0.018,           0.084,           0.016,           0.039,           0.005,           0.001,           0.006,           0.000,          -0.001,           0.087,           0.003,           0.051,           0.108,           0.040,           0.016,           0.107,           0.170,           0.153,          -0.004,          -0.010,          -0.004,          -0.001,          -0.004,          -0.010,          -0.023,          -0.047,          -0.021,           0.064,           0.107,          -0.014,          -0.002,           0.057,           0.051,           0.003,          -0.068,          -0.045,          -0.023
      36,          0.583333,          31.554,          10.870,           0.532,          -0.005,          -0.019,           0.076,           0.014,           0.036,           0.004,           0.001,           0.004,           0.000,          -0.000,           0.070,           0.000,           0.048,           0.102,           0.033,           0.012,           0.105,           0.166,           0.140,          -0.005,          -0.009,          -0.003,          -0.001,          -0.003,          -0.008,          -0.020,          -0.041,          -0.026,           0.061,           0.105,          -0.014,          -0.008,           0.053,           0.048,           0.000,          -0.064,          -0.040,          -0.021
      37,          0.600000,          34.342,          12.394,           0.539,          -0.005,          -0.016,           0.067,           0.011,           0.029,           0.003,           0.000,           0.002,           0.000,           0.000,           0.052,          -0.002,           0.043,           0.091,           0.022,           0.007,           0.103,           0.162,           0.127,          -0.005,          -0.008,          -0.003,           0.000,          -0.001,          -0.005,          -0.014,          -0.030,          -0.033,           0.059,           0.103,          -0.012,          -0.023,           0.048,           0.043,          -0.002,          -0.060,          -0.037,          -0.018
      38,          0.616667,          36.751,          13.972,           0.544,          -0.004,          -0.014,           0.058,           0.009,           0.025,           0.002,           0.000,           0.001,           0.000,           0.000,           0.035,          -0.005,           0.037,           0.077,           0.013,           0.004,           0.101,           0.157,           0.115,          -0.003,          -0.006,          -0.002,           0.000,          -0.000,          -0.003,          -0.009,          -0.021,          -0.037,           0.056,           0.101,          -0.011,          -0.028,           0.040,           0.037,          -0.005,          -0.056,          -0.033,          -0.016
      39,          0.633333,          38.844,          16.134,           0.548,          -0.002,          -0.010,           0.050,           0.007,           0.021,           0.002,           0.000,           0.000,           0.000,           0.000,           0.022,          -0.008,           0.029,           0.059,           0.007,           0.002,           0.098,           0.151,           0.103,          -0.002,          -0.005,          -0.001,           0.000,           0.001,          -0.001,          -0.005,          -0.014,          -0.040,           0.053,           0.098,          -0.007,          -0.027,           0.030,           0.029,          -0.008,          -0.053,          -0.029,          -0.014
      40,          0.650000,          40.720,          18.660,           0.550,          -0.001,          -0.006,           0.043,           0.006,           0.017,           0.001,           0.000,           0.000,           0.000,           0.000,           0.014,          -0.010,           0.022,           0.042,           0.004,           0.001,           0.095,           0.145,           0.092,          -0.001,          -0.004,          -0.001,           0.000,           0.001,          -0.000,          -0.003,          -0.010,          -0.042,           0.049,           0.095,          -0.004,          -0.022,           0.021,           0.022,          -0.010,          -0.049,          -0.025,          -0.011
      41,          0.666667,          42.458,          21.565,           0.551,          -0.000,          -0.003,           0.037,           0.004,           0.015,           0.001,           0.000,           0.000,           0.000,           0.000,           0.009,          -0.012,           0.015,           0.029,           0.002,           0.000,           0.092,           0.137,           0.082,          -0.000,          -0.003,          -0.001,           0.000,           0.001,           0.000,          -0.002,          -0.007,          -0.043,           0.045,           0.092,          -0.002,          -0.017,           0.013,           0.016,          -0.012,          -0.045,          -0.023,          -0.010
      42,          0.683333,          44.066,          24.361,           0.552,          -0.000,          -0.001,           0.032,           0.003,           0.012,           0.000,           0.000,           0.000,           0.000,           0.000,           0.005,          -0.013,           0.011,           0.019,           0.001,           0.000,           0.089,           0.128,           0.071,           0.000,          -0.003,          -0.000,           0.000,           0.001,           0.000,          -0.001,          -0.004,          -0.041,           0.039,           0.089,          -0.001,          -0.012,           0.009,           0.011,          -0.013,          -0.041,          -0.020,          -0.008
      43,          0.700000,          45.319,          26.935,           0.551,           0.000,          -0.001,           0.027,           0.002,           0.010,           0.000,           0.000,           0.000,           0.000,           0.000,           0.003,          -0.014,           0.008,           0.013,           0.000,           0.000,           0.084,           0.118,           0.063,           0.000,          -0.002,          -0.000,           0.000,           0.001,           0.000,          -0.000,          -0.003,          -0.041,           0.034,           0.084,          -0.001,          -0.009,           0.006,           0.008,          -0.014,          -0.036,          -0.017,          -0.007
      44,          0.716667,          46.157,          29.462,           0.549,           0.000,          -0.000,           0.022,           0.002,           0.008,           0.000,           0.000,           0.000,           0.000,           0.000,           0.002,          -0.014,           0.005,           0.009,           0.000,           0.000,           0.079,           0.107,           0.054,           0.000,          -0.002,           0.000,           0.000,           0.001,           0.000,           0.000,          -0.002,          -0.039,           0.028,           0.079,           0.000,          -0.007,           0.004,           0.005,          -0.014,          -0.032,          -0.014,          -0.006
      45,          0.733333,          46.688,          31.792,           0.546,           0.000,           0.000,           0.018,           0.001,           0.006,           0.000,           0.000,           0.000,           0.000,           0.000,           0.002,          -0.014,           0.004,           0.007,           0.000,           0.000,           0.073,           0.097,           0.046,           0.000,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,          -0.037,           0.024,           0.073,           0.000,          -0.005,           0.003,           0.004,          -0.013,          -0.028,          -0.012,          -0.005
      46,          0.750000,          47.019,          34.159,           0.543,           0.000,           0.000,           0.015,           0.001,           0.005,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.012,           0.003,           0.005,           0.000,           0.000,           0.067,           0.084,           0.039,           0.000,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,          -0.033,           0.018,           0.067,           0.000,          -0.004,           0.003,           0.003,          -0.012,          -0.024,          -0.010,          -0.004
      47,          0.766667,          47.229,          36.715,           0.538,           0.000,           0.000,           0.012,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.010,           0.002,           0.005,           0.000,           0.000,           0.059,           0.072,           0.032,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,          -0.030,           0.013,           0.059,           0.000,          -0.004,           0.002,           0.002,          -0.010,          -0.020,          -0.008,          -0.003
      48,          0.783333,          47.346,          39.727,           0.532,           0.000,           0.000,           0.009,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.009,           0.002,           0.004,           0.000,           0.000,           0.053,           0.062,           0.027,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,          -0.026,           0.008,           0.053,           0.000,          -0.003,           0.002,           0.002,          -0.009,          -0.018,          -0.007,          -0.002
      49,          0.800000,          47.425,          43.363,           0.526,           0.000,           0.000,           0.007,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.007,           0.001,           0.003,           0.000,           0.000,           0.046,           0.052,           0.022,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,          -0.023,           0.006,           0.046,           0.000,          -0.002,           0.002,           0.001,          -0.007,          -0.015,          -0.005,          -0.001
      50,          0.816667,          47.474,          47.418,           0.519,           0.000,           0.000,           0.005,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.006,           0.001,           0.002,           0.000,           0.000,           0.040,           0.043,           0.018,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,          -0.020,           0.004,           0.040,           0.000,          -0.002,           0.001,           0.001,          -0.006,          -0.013,          -0.004,          -0.001
      51,          0.833333,          47.514,          51.140,           0.512,           0.000,           0.000,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.005,           0.001,           0.001,           0.000,           0.000,           0.034,           0.036,           0.014,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.017,           0.002,           0.034,           0.000,          -0.001,           0.001,           0.001,          -0.005,          -0.010,          -0.003,          -0.000
      52,          0.850000,          47.541,          54.282,           0.504,           0.000,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.003,           0.000,           0.001,           0.000,           0.000,           0.028,           0.029,           0.011,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.014,           0.001,           0.028,           0.000,          -0.001,           0.001,           0.000,          -0.003,          -0.009,          -0.002,           0.000
      53,          0.866667,          47.562,          56.801,           0.495,           0.000,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.003,           0.000,           0.001,           0.000,           0.000,           0.023,           0.024,           0.009,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.012,           0.001,           0.023,           0.000,          -0.001,           0.001,           0.000,          -0.003,          -0.007,          -0.002,           0.000
      54,          0.883333,          47.574,          58.841,           0.486,           0.000,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.002,           0.000,           0.001,           0.000,           0.000,           0.019,           0.019,           0.007,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.010,           0.000,           0.019,           0.000,          -0.001,           0.001,          -0.000,          -0.002,          -0.006,          -0.001,           0.000
      55,          0.900000,          47.588,          60.555,           0.477,           0.000,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.015,           0.016,           0.005,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.009,           0.000,           0.015,           0.000,          -0.000,           0.001,           0.000,          -0.001,          -0.005,          -0.000,           0.000
      56,          0.916667,          47.598,          62.051,           0.467,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.012,           0.013,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.008,           0.001,           0.012,           0.000,           0.000,           0.000,           0.000,          -0.001,          -0.004,          -0.000,           0.000
