"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Time(h)","F FC01.1_R [EG15_005]","F FC01.2_R [EG15_005]","F FC04.1_C [EG15_005]","F Pipe0 [EG15_005]","F Pipe1 [EG15_005]","F Pipe10 [EG15_005]","F Pipe11 [EG15_005]","F Pipe12 [EG15_005]","F Pipe13 [EG15_005]","F Pipe14 [EG15_005]","F Pipe15 [EG15_005]","F Pipe16 [EG15_005]","F Pipe17 [EG15_005]","F Pipe19 [EG15_005]","F Pipe2 [EG15_005]","F Pipe3 [EG15_005]","F Pipe4 [EG15_005]","F Pipe5 [EG15_005]","F Pipe6 [EG15_005]","F Pipe7 [EG15_005]","F Pipe8 [EG15_005]","F Pipe9 [EG15_005]","F Pit1 [EG15_005]","F Pit11 [EG15_005]","F Pit12 [EG15_005]","F Pit14 [EG15_005]","F Pit15 [EG15_005]","F Pit16 [EG15_005]","F Pit18 [EG15_005]","F Pit19 [EG15_005]","F Pit2 [EG15_005]","F Pit4 [EG15_005]","F Pit5 [EG15_005]","F Pit6 [EG15_005]","F Pit7 [EG15_005]","F Pit8 [EG15_005]","F Pit9 [EG15_005]"
      88,          1.450000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
      89,          1.466667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,R,D,D,D
      90,          1.483333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,R,D,D
      91,          1.500000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,R,D,D,D,R,D,D,D,D,D
      92,          1.516667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      93,          1.533333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
      94,          1.550000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
      95,          1.566667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
      96,          1.583333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
      97,          1.600000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
