"EG15_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_003.tcf]","Time(h)","V FC01.1_R [EG15_003]","V FC01.2_R [EG15_003]","V FC04.1_C [EG15_003]","V Pipe0 [EG15_003]","V Pipe1 [EG15_003]","V Pipe10 [EG15_003]","V Pipe11 [EG15_003]","V Pipe12 [EG15_003]","V Pipe13 [EG15_003]","V Pipe14 [EG15_003]","V Pipe15 [EG15_003]","V Pipe16 [EG15_003]","V Pipe17 [EG15_003]","V Pipe19 [EG15_003]","V Pipe2 [EG15_003]","V Pipe3 [EG15_003]","V Pipe4 [EG15_003]","V Pipe5 [EG15_003]","V Pipe6 [EG15_003]","V Pipe7 [EG15_003]","V Pipe8 [EG15_003]","V Pipe9 [EG15_003]","V Pit1 [EG15_003]","V Pit10 [EG15_003]","V Pit11 [EG15_003]","V Pit12 [EG15_003]","V Pit13 [EG15_003]","V Pit14 [EG15_003]","V Pit15 [EG15_003]","V Pit16 [EG15_003]","V Pit17 [EG15_003]","V Pit18 [EG15_003]","V Pit19 [EG15_003]","V Pit2 [EG15_003]","V Pit3 [EG15_003]","V Pit4 [EG15_003]","V Pit5 [EG15_003]","V Pit6 [EG15_003]","V Pit7 [EG15_003]","V Pit8 [EG15_003]","V Pit9 [EG15_003]"
      28,          0.450000,    2.810,    1.350,    1.078,    0.026,    0.062,    0.593,    0.147,    0.322,    0.055,    0.007,    0.085,    0.001,   -0.024,    0.659,    0.072,    0.248,    0.516,    0.378,    0.196,    0.408,    0.673,    0.774,    0.067,   -0.047,   -0.024,   -0.015,   -0.030,   -0.057,   -0.099,   -0.305,    0.031,    0.202,    0.273,    0.030,    0.543,    0.418,    0.222,    0.052,   -0.143,   -0.141,   -0.091
      29,          0.466667,    2.925,    0.009,    1.091,    0.018,    0.043,    0.534,    0.129,    0.289,    0.049,    0.008,    0.070,    0.001,   -0.020,    0.623,    0.068,    0.239,    0.499,    0.325,    0.166,    0.405,    0.665,    0.752,    0.042,   -0.041,   -0.021,   -0.014,   -0.024,   -0.049,   -0.092,   -0.265,    0.020,    0.198,    0.269,    0.021,    0.377,    0.391,    0.211,    0.048,   -0.161,   -0.127,   -0.083
      30,          0.483333,    3.053,    0.024,    1.101,    0.009,    0.022,    0.475,    0.109,    0.250,    0.040,    0.004,    0.062,    0.001,   -0.018,    0.572,    0.062,    0.229,    0.479,    0.309,    0.149,    0.401,    0.658,    0.726,    0.020,   -0.036,   -0.018,   -0.011,   -0.021,   -0.045,   -0.078,   -0.222,    0.007,    0.193,    0.266,    0.009,    0.296,    0.363,    0.199,    0.043,   -0.173,   -0.117,   -0.073
      31,          0.500000,    3.179,    0.949,    1.111,    0.005,    0.000,    0.401,    0.093,    0.218,    0.032,    0.003,    0.052,    0.001,   -0.014,    0.525,    0.054,    0.220,    0.462,    0.278,    0.126,    0.397,    0.648,    0.707,    0.007,   -0.031,   -0.014,   -0.008,   -0.018,   -0.038,   -0.079,   -0.175,   -0.019,    0.188,    0.263,   -0.003,    0.209,    0.341,    0.188,    0.038,   -0.168,   -0.111,   -0.064
      32,          0.516667,    3.301,    0.651,    1.119,    0.000,   -0.014,    0.385,    0.081,    0.192,    0.027,    0.002,    0.046,    0.001,   -0.012,    0.475,    0.045,    0.209,    0.440,    0.250,    0.114,    0.392,    0.637,    0.660,    0.000,   -0.027,   -0.012,   -0.007,   -0.016,   -0.035,   -0.071,   -0.142,   -0.021,    0.183,    0.259,   -0.010,    0.143,    0.316,    0.176,    0.031,   -0.163,   -0.100,   -0.057
      33,          0.533333,    3.454,    0.657,    1.126,   -0.003,   -0.032,    0.350,    0.071,    0.172,    0.023,    0.001,    0.035,    0.001,   -0.009,    0.421,    0.034,    0.200,    0.421,    0.212,    0.092,    0.387,    0.625,    0.623,   -0.006,   -0.024,   -0.011,   -0.004,   -0.012,   -0.029,   -0.062,   -0.120,   -0.037,    0.177,    0.255,   -0.020,    0.083,    0.296,    0.166,    0.023,   -0.147,   -0.094,   -0.052
      34,          0.550000,    3.660,    0.683,    1.132,   -0.010,   -0.051,    0.322,    0.062,    0.153,    0.020,    0.003,    0.027,    0.001,   -0.006,    0.366,    0.023,    0.191,    0.402,    0.178,    0.075,    0.382,    0.614,    0.583,   -0.017,   -0.021,   -0.008,   -0.004,   -0.010,   -0.024,   -0.053,   -0.099,   -0.052,    0.172,    0.252,   -0.028,    0.037,    0.276,    0.157,    0.015,   -0.134,   -0.089,   -0.047
      35,          0.566667,    4.895,    0.710,    1.137,   -0.016,   -0.065,    0.297,    0.055,    0.139,    0.017,    0.002,    0.020,    0.001,   -0.003,    0.310,    0.012,    0.181,    0.381,    0.142,    0.057,    0.377,    0.602,    0.541,   -0.025,   -0.019,   -0.008,   -0.002,   -0.007,   -0.019,   -0.043,   -0.087,   -0.068,    0.166,    0.248,   -0.033,   -0.013,    0.256,    0.147,    0.008,   -0.126,   -0.082,   -0.043
      36,          0.583333,    5.411,    0.755,    1.141,   -0.018,   -0.068,    0.270,    0.049,    0.126,    0.015,    0.002,    0.014,    0.000,   -0.001,    0.248,    0.001,    0.171,    0.359,    0.116,    0.044,    0.371,    0.588,    0.496,   -0.027,   -0.017,   -0.006,   -0.001,   -0.005,   -0.015,   -0.037,   -0.076,   -0.082,    0.160,    0.244,   -0.032,   -0.056,    0.237,    0.137,    0.001,   -0.119,   -0.074,   -0.040
      37,          0.600000,    5.889,    0.861,    1.145,   -0.018,   -0.058,    0.237,    0.039,    0.104,    0.011,    0.001,    0.007,    0.001,    0.000,    0.185,   -0.007,    0.153,    0.324,    0.077,    0.026,    0.364,    0.572,    0.450,   -0.023,   -0.014,   -0.005,    0.000,   -0.002,   -0.010,   -0.026,   -0.056,   -0.099,    0.153,    0.239,   -0.025,   -0.135,    0.211,    0.121,   -0.004,   -0.111,   -0.069,   -0.034
      38,          0.616667,    6.302,    0.970,    1.148,   -0.013,   -0.051,    0.206,    0.032,    0.089,    0.009,    0.000,    0.003,    0.000,    0.000,    0.123,   -0.018,    0.131,    0.274,    0.046,    0.013,    0.357,    0.555,    0.405,   -0.014,   -0.012,   -0.004,    0.000,   -0.000,   -0.005,   -0.017,   -0.039,   -0.109,    0.145,    0.234,   -0.022,   -0.148,    0.172,    0.102,   -0.011,   -0.104,   -0.061,   -0.029
      39,          0.633333,    6.660,    1.120,    1.149,   -0.009,   -0.035,    0.177,    0.025,    0.074,    0.006,    0.000,    0.000,    0.000,    0.000,    0.077,   -0.027,    0.103,    0.208,    0.026,    0.006,    0.347,    0.534,    0.364,   -0.009,   -0.009,   -0.003,    0.000,    0.001,   -0.002,   -0.010,   -0.026,   -0.113,    0.137,    0.229,   -0.014,   -0.126,    0.123,    0.079,   -0.017,   -0.097,   -0.054,   -0.025
      40,          0.650000,    6.982,    1.296,    1.151,   -0.005,   -0.021,    0.151,    0.020,    0.061,    0.004,    0.000,    0.000,    0.000,    0.000,    0.050,   -0.035,    0.077,    0.150,    0.015,    0.002,    0.337,    0.511,    0.326,   -0.004,   -0.008,   -0.002,    0.000,    0.001,   -0.001,   -0.006,   -0.018,   -0.115,    0.127,    0.222,   -0.008,   -0.091,    0.081,    0.057,   -0.021,   -0.091,   -0.047,   -0.021
      41,          0.666667,    7.280,    1.498,    1.151,   -0.001,   -0.010,    0.132,    0.015,    0.051,    0.003,    0.000,    0.000,    0.000,    0.000,    0.032,   -0.041,    0.054,    0.102,    0.008,    0.000,    0.326,    0.484,    0.292,   -0.001,   -0.006,   -0.001,    0.000,    0.001,    0.000,   -0.003,   -0.012,   -0.111,    0.115,    0.215,   -0.004,   -0.062,    0.050,    0.040,   -0.024,   -0.083,   -0.042,   -0.018
      42,          0.683333,    7.556,    1.692,    1.151,   -0.000,   -0.005,    0.114,    0.012,    0.043,    0.002,    0.000,    0.000,    0.000,    0.000,    0.018,   -0.045,    0.039,    0.069,    0.003,    0.000,    0.314,    0.452,    0.252,    0.000,   -0.005,   -0.001,    0.000,    0.001,    0.000,   -0.001,   -0.007,   -0.104,    0.100,    0.207,   -0.002,   -0.042,    0.030,    0.027,   -0.025,   -0.076,   -0.037,   -0.016
      43,          0.700000,    7.771,    1.870,    1.151,    0.000,   -0.004,    0.095,    0.009,    0.034,    0.001,    0.000,    0.000,    0.000,    0.000,    0.012,   -0.049,    0.027,    0.047,    0.001,    0.000,    0.298,    0.417,    0.223,    0.000,   -0.004,   -0.000,    0.000,    0.001,    0.000,   -0.000,   -0.005,   -0.098,    0.085,    0.197,   -0.002,   -0.027,    0.018,    0.018,   -0.026,   -0.067,   -0.031,   -0.013
      44,          0.716667,    7.915,    2.046,    1.150,    0.000,   -0.000,    0.079,    0.006,    0.027,    0.000,    0.000,    0.000,    0.000,    0.000,    0.008,   -0.049,    0.019,    0.032,    0.000,    0.000,    0.279,    0.380,    0.192,    0.001,   -0.003,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.004,   -0.089,    0.071,    0.184,    0.000,   -0.019,    0.012,    0.012,   -0.026,   -0.059,   -0.027,   -0.011
      45,          0.733333,    8.006,    2.208,    1.148,    0.000,    0.000,    0.065,    0.004,    0.021,    0.000,    0.000,    0.000,    0.000,    0.000,    0.006,   -0.048,    0.014,    0.024,    0.000,    0.000,    0.259,    0.343,    0.164,    0.000,   -0.002,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.003,   -0.080,    0.058,    0.171,    0.000,   -0.014,    0.009,    0.009,   -0.025,   -0.051,   -0.023,   -0.009
      46,          0.750000,    8.062,    2.372,    1.147,    0.000,    0.000,    0.053,    0.003,    0.016,    0.000,    0.000,    0.000,    0.000,    0.000,    0.004,   -0.043,    0.010,    0.019,    0.000,    0.000,    0.235,    0.299,    0.137,    0.001,   -0.001,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.002,   -0.069,    0.043,    0.154,    0.000,   -0.011,    0.007,    0.006,   -0.022,   -0.044,   -0.019,   -0.007
      47,          0.766667,    8.098,    2.550,    1.144,    0.000,    0.000,    0.041,    0.001,    0.011,    0.000,    0.000,    0.000,    0.000,    0.000,    0.003,   -0.036,    0.008,    0.016,    0.000,    0.000,    0.210,    0.256,    0.114,    0.000,   -0.000,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.001,   -0.060,    0.031,    0.137,    0.000,   -0.008,    0.006,    0.005,   -0.019,   -0.038,   -0.015,   -0.005
      48,          0.783333,    8.118,    2.759,    1.141,    0.000,    0.000,    0.033,    0.000,    0.008,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,   -0.031,    0.006,    0.014,    0.000,    0.000,    0.188,    0.218,    0.096,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.000,   -0.050,    0.020,    0.122,    0.001,   -0.008,    0.005,    0.003,   -0.017,   -0.032,   -0.013,   -0.004
      49,          0.800000,    8.132,    3.011,    1.138,    0.000,    0.000,    0.025,    0.000,    0.005,    0.000,    0.000,    0.000,    0.000,    0.000,    0.002,   -0.026,    0.004,    0.010,    0.000,    0.000,    0.164,    0.184,    0.077,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.001,   -0.043,    0.013,    0.106,    0.000,   -0.005,    0.004,    0.002,   -0.013,   -0.027,   -0.010,   -0.002
      50,          0.816667,    8.140,    3.293,    1.135,    0.000,    0.000,    0.018,    0.000,    0.003,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.020,    0.004,    0.008,    0.000,    0.000,    0.141,    0.154,    0.063,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.000,   -0.037,    0.008,    0.090,    0.000,   -0.004,    0.003,    0.002,   -0.011,   -0.023,   -0.008,   -0.001
      51,          0.833333,    8.147,    3.551,    1.131,    0.000,    0.000,    0.013,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.016,    0.002,    0.005,    0.000,    0.000,    0.119,    0.128,    0.050,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,   -0.032,    0.005,    0.075,    0.000,   -0.003,    0.002,    0.001,   -0.008,   -0.019,   -0.006,   -0.001
      52,          0.850000,    8.152,    3.770,    1.126,    0.000,    0.000,    0.009,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.012,    0.001,    0.005,    0.000,    0.000,    0.099,    0.103,    0.040,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,   -0.027,    0.002,    0.062,    0.000,   -0.002,    0.002,    0.001,   -0.006,   -0.016,   -0.004,    0.000
      53,          0.866667,    8.155,    3.945,    1.121,    0.000,    0.000,    0.006,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.010,    0.000,    0.003,    0.000,    0.000,    0.082,    0.084,    0.030,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,   -0.023,    0.001,    0.050,    0.000,   -0.001,    0.002,    0.000,   -0.005,   -0.013,   -0.003,    0.000
      54,          0.883333,    8.157,    4.086,    1.116,    0.000,    0.000,    0.004,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.007,    0.000,    0.002,    0.000,    0.000,    0.067,    0.068,    0.024,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,   -0.019,    0.001,    0.041,    0.000,   -0.001,    0.001,   -0.000,   -0.003,   -0.011,   -0.002,    0.000
      55,          0.900000,    8.160,    4.205,    1.111,    0.000,    0.000,    0.002,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.005,    0.000,    0.002,    0.000,    0.000,    0.054,    0.055,    0.019,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,   -0.016,    0.001,    0.032,    0.000,   -0.001,    0.001,    0.000,   -0.002,   -0.008,   -0.001,    0.000
      56,          0.916667,    8.162,    4.309,    1.106,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.004,    0.000,    0.000,    0.000,    0.000,    0.043,    0.044,    0.014,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.014,    0.001,    0.025,    0.000,    0.000,    0.000,    0.000,   -0.002,   -0.007,   -0.000,    0.000
      57,          0.933333,    8.163,    4.400,    1.100,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.002,    0.000,    0.001,    0.000,    0.000,    0.034,    0.035,    0.010,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.012,    0.001,    0.020,    0.000,   -0.000,    0.001,    0.000,   -0.001,   -0.005,    0.000,    0.000
