"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time (h)","Q FC01.1_R [EG15_008]","Q FC01.2_R [EG15_008]","Q FC04.1_C [EG15_008]","Q Node20 [EG15_008]","Q Node21 [EG15_008]","Q Pipe10 [EG15_008]","Q Pipe11 [EG15_008]","Q Pipe12 [EG15_008]","Q Pipe13 [EG15_008]","Q Pipe14 [EG15_008]","Q Pipe15 [EG15_008]","Q Pipe16 [EG15_008]","Q Pipe17 [EG15_008]","Q Pipe19 [EG15_008]","Q Pipe5 [EG15_008]","Q Pipe6 [EG15_008]","Q Pipe9 [EG15_008]","Q Pit10 [EG15_008]","Q Pit11 [EG15_008]","Q Pit12 [EG15_008]","Q Pit13 [EG15_008]","Q Pit14 [EG15_008]","Q Pit15 [EG15_008]","Q Pit16 [EG15_008]","Q Pit18 [EG15_008]","Q Pit19 [EG15_008]","Q Pit2 [EG15_008]","Q Pit3 [EG15_008]","Q Pit4 [EG15_008]","Q Pit5 [EG15_008]","Q Pit6 [EG15_008]","Q Pit7 [EG15_008]","Q Pit8 [EG15_008]","Q Pit9 [EG15_008]"
       1,          0.000000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000,           0.000,          -0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.001,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000,          -0.007,          -0.005,           0.001,           0.001,           0.001,           0.001,           0.001,           0.001,           0.000,           0.000,           0.004,           0.001,           0.001,           0.004,           0.006,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,           0.003,           0.002,           0.002,           0.002,           0.003,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000,          -0.008,          -0.008,           0.004,           0.001,           0.002,           0.003,           0.003,           0.002,           0.001,           0.001,           0.007,           0.004,           0.002,           0.007,           0.005,           0.004,           0.001,           0.001,           0.002,           0.002,           0.009,           0.002,           0.000,           0.005,           0.003,           0.000,           0.002,           0.003,           0.005,           0.000,           0.002
       5,          0.066667,           0.000,           0.010,           0.000,          -0.010,          -0.015,           0.008,           0.003,           0.004,           0.007,           0.007,           0.004,           0.003,           0.005,           0.010,           0.007,           0.004,           0.012,           0.009,           0.005,           0.006,           0.004,           0.000,           0.000,           0.002,           0.003,           0.002,           0.005,           0.006,           0.000,           0.004,           0.005,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.016,           0.000,          -0.012,          -0.018,           0.013,           0.007,           0.009,           0.013,           0.014,           0.007,           0.006,           0.011,           0.013,           0.010,           0.007,           0.016,           0.012,           0.007,           0.001,           0.010,           0.009,           0.000,           0.000,           0.004,           0.004,           0.005,           0.007,           0.000,           0.004,           0.006,           0.006,           0.000,           0.015
       7,          0.100000,           0.000,           0.025,           0.000,          -0.020,          -0.027,           0.019,           0.011,           0.015,           0.022,           0.024,           0.012,           0.017,           0.021,           0.017,           0.014,           0.011,           0.023,           0.019,           0.010,           0.003,           0.006,           0.012,           0.000,           0.002,           0.005,           0.006,           0.006,           0.011,           0.003,           0.006,           0.009,           0.006,           0.009,           0.000
       8,          0.116667,           0.000,           0.037,           0.000,          -0.027,          -0.037,           0.028,           0.020,           0.023,           0.037,           0.039,           0.020,           0.038,           0.038,           0.024,           0.020,           0.016,           0.033,           0.027,           0.011,           0.011,           0.010,           0.010,           0.000,           0.000,           0.008,           0.009,           0.008,           0.016,           0.004,           0.009,           0.012,           0.007,           0.000,           0.018
       9,          0.133333,           0.000,           0.053,           0.000,          -0.037,          -0.048,           0.039,           0.032,           0.034,           0.058,           0.060,           0.031,           0.068,           0.060,           0.034,           0.028,           0.023,           0.044,           0.038,           0.015,           0.013,           0.015,           0.015,           0.000,           0.000,           0.010,           0.012,           0.009,           0.021,           0.007,           0.011,           0.015,           0.004,           0.000,           0.000
      10,          0.150000,           0.000,           0.069,           0.000,          -0.047,          -0.060,           0.052,           0.051,           0.047,           0.088,           0.092,           0.046,           0.113,           0.092,           0.044,           0.038,           0.033,           0.056,           0.050,           0.020,           0.015,           0.022,           0.021,           0.000,           0.016,           0.012,           0.015,           0.011,           0.027,           0.009,           0.014,           0.019,           0.005,           0.000,           0.020
      11,          0.166667,           0.000,           0.082,           0.000,          -0.055,          -0.072,           0.066,           0.072,           0.062,           0.122,           0.132,           0.062,           0.093,           0.137,           0.052,           0.048,           0.044,           0.069,           0.061,           0.024,           0.022,           0.026,           0.025,           0.003,           0.014,           0.014,           0.019,           0.012,           0.031,           0.012,           0.017,           0.022,           0.005,           0.003,           0.025
      12,          0.183333,           0.000,           0.104,           0.000,          -0.065,          -0.088,           0.081,           0.095,           0.078,           0.157,           0.174,           0.078,           0.097,           0.187,           0.062,           0.057,           0.057,           0.084,           0.073,           0.030,           0.026,           0.030,           0.028,           0.000,           0.000,           0.018,           0.023,           0.014,           0.036,           0.014,           0.020,           0.027,           0.006,           0.006,           0.031
      13,          0.200000,           0.400,           0.010,           0.000,          -0.076,          -0.106,           0.100,          -0.020,           0.013,           0.018,           0.042,          -0.076,           0.008,           0.067,           0.072,           0.068,          -0.036,           0.102,           0.083,           0.036,           0.030,           0.033,           0.032,           0.012,           0.015,           0.021,           0.028,           0.017,           0.041,           0.018,           0.024,           0.033,           0.008,           0.010,           0.037
      14,          0.216667,           1.445,           1.135,           0.006,          -0.087,          -0.125,           0.072,           0.025,           0.034,           0.087,           0.103,          -0.095,           0.022,           0.115,           0.084,          -0.104,          -0.112,           0.121,           0.091,           0.040,           0.033,           0.035,           0.036,           0.015,           0.000,           0.026,           0.032,           0.020,           0.046,           0.021,           0.029,           0.039,           0.010,           0.012,           0.042
      15,          0.233333,           2.275,           0.143,           0.017,          -0.099,          -0.151,           0.155,           0.151,           0.165,           0.044,          -0.041,           0.095,           0.001,          -0.088,           0.097,           0.097,           0.114,           0.146,          -0.106,          -0.082,          -0.048,          -0.002,          -0.016,           0.018,           0.000,           0.033,           0.041,           0.024,           0.051,           0.024,           0.033,           0.045,           0.015,           0.015,          -0.011
      16,          0.250000,           2.940,           0.718,           0.035,          -0.109,          -0.192,           0.211,           0.164,           0.222,           0.068,          -0.016,           0.101,           0.000,          -0.079,           0.108,           0.113,           0.134,           0.190,          -0.096,          -0.083,          -0.062,          -0.022,          -0.032,           0.022,           0.004,           0.047,           0.056,           0.028,           0.055,           0.026,           0.037,           0.052,           0.023,           0.010,          -0.057
      17,          0.266667,           3.459,           0.479,           0.060,          -0.117,          -0.232,           0.254,           0.150,           0.242,           0.069,           0.012,           0.087,           0.001,          -0.038,           0.120,           0.119,           0.148,           0.232,          -0.080,          -0.056,          -0.050,          -0.047,          -0.062,           0.027,           0.000,           0.060,           0.068,           0.031,           0.059,           0.027,           0.042,           0.062,           0.023,          -0.012,          -0.092
      18,          0.283333,           3.916,          -0.060,           0.091,          -0.123,          -0.268,           0.272,           0.132,           0.238,           0.067,           0.020,           0.079,           0.001,          -0.021,           0.117,           0.135,           0.157,           0.268,          -0.064,          -0.046,          -0.040,          -0.057,          -0.077,           0.025,           0.020,           0.071,           0.077,           0.033,           0.061,           0.029,           0.049,           0.072,           0.005,          -0.033,          -0.106
      19,          0.300000,           4.389,           0.855,           0.127,          -0.129,          -0.305,           0.278,           0.124,           0.228,           0.061,           0.017,           0.073,           0.001,          -0.020,           0.122,           0.142,           0.144,           0.305,          -0.062,          -0.044,          -0.036,          -0.051,          -0.070,           0.005,           0.023,           0.081,           0.087,           0.035,           0.063,           0.030,           0.057,           0.080,          -0.026,          -0.049,          -0.104
      20,          0.316667,           4.881,           0.824,           0.167,          -0.133,          -0.342,           0.282,           0.117,           0.216,           0.057,           0.017,           0.059,           0.001,          -0.013,           0.125,           0.148,           0.123,           0.340,          -0.058,          -0.039,          -0.030,          -0.043,          -0.063,          -0.022,           0.025,           0.089,           0.102,           0.036,           0.064,           0.033,           0.064,           0.087,          -0.057,          -0.065,          -0.100
      21,          0.333333,           5.373,           0.508,           0.206,          -0.138,          -0.361,           0.282,           0.108,           0.201,           0.053,           0.017,           0.043,           0.001,          -0.009,           0.139,           0.150,           0.097,           0.361,          -0.054,          -0.036,          -0.025,          -0.032,          -0.053,          -0.054,           0.011,           0.093,           0.106,           0.037,           0.065,           0.037,           0.070,           0.092,          -0.079,          -0.080,          -0.093
      22,          0.350000,           5.873,           1.200,           0.244,          -0.144,          -0.376,           0.279,           0.096,           0.182,           0.046,           0.015,           0.035,           0.001,          -0.006,           0.144,           0.156,           0.082,           0.375,          -0.051,          -0.031,          -0.020,          -0.027,          -0.046,          -0.073,           0.014,           0.096,           0.109,           0.037,           0.066,           0.041,           0.074,           0.096,          -0.096,          -0.097,          -0.083
      23,          0.366667,           6.404,          -0.085,           0.280,          -0.150,          -0.386,           0.274,           0.087,           0.161,           0.040,           0.012,           0.034,           0.001,          -0.007,           0.149,           0.154,           0.079,           0.386,          -0.046,          -0.027,          -0.019,          -0.025,          -0.045,          -0.073,           0.005,           0.098,           0.112,           0.038,           0.067,           0.045,           0.078,           0.099,          -0.111,          -0.113,          -0.074
      24,          0.383333,           7.060,          -1.072,           0.313,          -0.155,          -0.394,           0.266,           0.077,           0.146,           0.033,           0.009,           0.032,           0.001,          -0.007,           0.154,           0.141,           0.074,           0.394,          -0.043,          -0.024,          -0.015,          -0.023,          -0.041,          -0.067,          -0.012,           0.100,           0.113,           0.039,           0.068,           0.048,           0.080,           0.101,          -0.127,          -0.120,          -0.068
      25,          0.400000,           7.843,           1.997,           0.345,          -0.159,          -0.400,           0.256,           0.069,           0.135,           0.029,           0.007,           0.028,           0.001,          -0.007,           0.159,           0.122,           0.063,           0.400,          -0.039,          -0.021,          -0.013,          -0.019,          -0.035,          -0.058,          -0.036,           0.101,           0.114,           0.040,           0.069,           0.050,           0.082,           0.103,          -0.144,          -0.121,          -0.065
      26,          0.416667,           8.754,           1.460,           0.372,          -0.162,          -0.404,           0.244,           0.065,           0.127,           0.028,           0.007,           0.024,           0.001,          -0.005,           0.164,           0.101,           0.055,           0.404,          -0.037,          -0.020,          -0.012,          -0.017,          -0.031,          -0.049,          -0.056,           0.102,           0.115,           0.041,           0.071,           0.051,           0.084,           0.104,          -0.160,          -0.116,          -0.062
      27,          0.433333,           9.808,           0.360,           0.397,          -0.165,          -0.407,           0.230,           0.061,           0.122,           0.026,           0.008,           0.017,           0.001,          -0.002,           0.165,           0.092,           0.043,           0.407,          -0.034,          -0.018,          -0.009,          -0.014,          -0.025,          -0.048,          -0.072,           0.102,           0.115,           0.042,           0.071,           0.052,           0.085,           0.105,          -0.175,          -0.111,          -0.058
      28,          0.450000,          10.963,           4.618,           0.421,          -0.167,          -0.410,           0.220,           0.057,           0.113,           0.024,           0.007,           0.016,           0.001,          -0.002,           0.167,           0.088,           0.041,           0.409,          -0.033,          -0.017,          -0.009,          -0.012,          -0.024,          -0.047,          -0.078,           0.103,           0.116,           0.042,           0.072,           0.053,           0.086,           0.105,          -0.191,          -0.102,          -0.057
      29,          0.466667,          12.421,           5.896,           0.443,          -0.169,          -0.411,           0.208,           0.054,           0.111,           0.023,           0.006,           0.016,           0.001,          -0.003,           0.168,           0.088,           0.041,           0.411,          -0.031,          -0.016,          -0.008,          -0.012,          -0.024,          -0.047,          -0.080,           0.103,           0.116,           0.043,           0.073,           0.053,           0.086,           0.106,          -0.202,          -0.098,          -0.055
      30,          0.483333,          14.109,           7.616,           0.460,          -0.170,          -0.412,           0.201,           0.052,           0.106,           0.021,           0.006,           0.016,           0.000,          -0.003,           0.170,           0.089,           0.041,           0.412,          -0.030,          -0.015,          -0.008,          -0.012,          -0.024,          -0.047,          -0.080,           0.103,           0.117,           0.043,           0.073,           0.053,           0.087,           0.106,          -0.211,          -0.094,          -0.053
      31,          0.500000,          15.927,           0.630,           0.476,          -0.171,          -0.413,           0.196,           0.050,           0.105,           0.020,           0.005,           0.017,           0.000,          -0.003,           0.171,           0.089,           0.042,           0.413,          -0.029,          -0.015,          -0.008,          -0.012,          -0.024,          -0.047,          -0.081,           0.103,           0.117,           0.044,           0.074,           0.054,           0.087,           0.107,          -0.217,          -0.092,          -0.053
      32,          0.516667,          17.816,           6.298,           0.491,          -0.172,          -0.413,           0.192,           0.050,           0.102,           0.020,           0.005,           0.017,           0.000,          -0.003,           0.172,           0.089,           0.041,           0.413,          -0.029,          -0.015,          -0.008,          -0.012,          -0.024,          -0.048,          -0.083,           0.103,           0.117,           0.044,           0.075,           0.054,           0.087,           0.107,          -0.219,          -0.092,          -0.051
      33,          0.533333,          20.457,           7.111,           0.503,          -0.178,          -0.414,           0.193,           0.049,           0.099,           0.020,           0.005,           0.017,           0.000,          -0.003,           0.178,           0.092,           0.042,           0.413,          -0.029,          -0.014,          -0.008,          -0.013,          -0.025,          -0.049,          -0.086,           0.103,           0.117,           0.046,           0.078,           0.054,           0.087,           0.107,          -0.222,          -0.088,          -0.052
      34,          0.550000,          24.206,           8.245,           0.515,          -0.191,          -0.414,           0.189,           0.048,           0.102,           0.020,           0.005,           0.019,           0.000,          -0.004,           0.191,           0.097,           0.045,           0.414,          -0.029,          -0.015,          -0.008,          -0.014,          -0.026,          -0.051,          -0.093,           0.103,           0.116,           0.053,           0.085,           0.054,           0.087,           0.107,          -0.222,          -0.091,          -0.051
      35,          0.566667,          28.460,           9.318,           0.524,          -0.213,          -0.415,           0.190,           0.048,           0.100,           0.019,           0.004,           0.022,           0.000,          -0.005,           0.213,           0.107,           0.052,           0.414,          -0.029,          -0.015,          -0.009,          -0.015,          -0.030,          -0.055,          -0.106,           0.103,           0.116,           0.064,           0.096,           0.054,           0.087,           0.108,          -0.225,          -0.088,          -0.052
      36,          0.583333,          31.477,          10.741,           0.533,          -0.241,          -0.417,           0.189,           0.047,           0.100,           0.018,           0.003,           0.026,           0.000,          -0.008,           0.241,           0.119,           0.060,           0.417,          -0.029,          -0.015,          -0.010,          -0.018,          -0.034,          -0.059,          -0.121,           0.103,           0.116,           0.078,           0.109,           0.054,           0.088,           0.110,          -0.227,          -0.089,          -0.053
      37,          0.600000,          34.276,          12.215,           0.539,          -0.268,          -0.419,           0.190,           0.047,           0.099,           0.018,           0.002,           0.031,           0.000,          -0.010,           0.267,           0.131,           0.068,           0.419,          -0.029,          -0.016,          -0.012,          -0.020,          -0.037,          -0.063,          -0.135,           0.103,           0.116,           0.092,           0.121,           0.054,           0.089,           0.112,          -0.229,          -0.089,          -0.053
      38,          0.616667,          36.703,          13.831,           0.545,          -0.289,          -0.423,           0.189,           0.047,           0.100,           0.017,           0.001,           0.033,           0.000,          -0.011,           0.288,           0.139,           0.073,           0.422,          -0.029,          -0.016,          -0.012,          -0.021,          -0.040,          -0.066,          -0.148,           0.102,           0.115,           0.104,           0.130,           0.055,           0.090,           0.115,          -0.232,          -0.090,          -0.052
      39,          0.633333,          38.800,          16.063,           0.548,          -0.308,          -0.429,           0.191,           0.047,           0.101,           0.017,           0.001,           0.036,           0.000,          -0.012,           0.307,           0.146,           0.078,           0.428,          -0.029,          -0.016,          -0.013,          -0.023,          -0.042,          -0.068,          -0.161,           0.102,           0.115,           0.113,           0.137,           0.058,           0.093,           0.119,          -0.237,          -0.090,          -0.053
      40,          0.650000,          40.686,          18.576,           0.551,          -0.328,          -0.436,           0.193,           0.048,           0.101,           0.017,           0.001,           0.038,           0.000,          -0.013,           0.327,           0.153,           0.082,           0.436,          -0.030,          -0.017,          -0.014,          -0.024,          -0.044,          -0.071,          -0.173,           0.101,           0.114,           0.122,           0.143,           0.063,           0.097,           0.124,          -0.242,          -0.091,          -0.054
      41,          0.666667,          42.426,          21.477,           0.552,          -0.349,          -0.446,           0.196,           0.049,           0.103,           0.018,           0.001,           0.040,           0.000,          -0.014,           0.348,           0.160,           0.085,           0.446,          -0.031,          -0.017,          -0.014,          -0.025,          -0.045,          -0.075,          -0.187,           0.101,           0.114,           0.129,           0.149,           0.071,           0.103,           0.129,          -0.249,          -0.093,          -0.054
      42,          0.683333,          44.043,          24.275,           0.552,          -0.369,          -0.458,           0.199,           0.050,           0.105,           0.018,           0.001,           0.041,           0.000,          -0.015,           0.368,           0.167,           0.089,           0.458,          -0.031,          -0.018,          -0.015,          -0.026,          -0.047,          -0.078,          -0.201,           0.101,           0.113,           0.135,           0.155,           0.079,           0.110,           0.134,          -0.258,          -0.094,          -0.055
      43,          0.700000,          45.293,          26.812,           0.551,          -0.389,          -0.471,           0.203,           0.051,           0.106,           0.019,           0.000,           0.043,           0.000,          -0.016,           0.388,           0.173,           0.092,           0.470,          -0.032,          -0.018,          -0.016,          -0.027,          -0.049,          -0.081,          -0.214,           0.102,           0.112,           0.141,           0.160,           0.087,           0.118,           0.139,          -0.267,          -0.096,          -0.055
      44,          0.716667,          46.110,          29.358,           0.549,          -0.406,          -0.483,           0.206,           0.052,           0.108,           0.019,           0.000,           0.045,           0.000,          -0.016,           0.405,           0.179,           0.094,           0.482,          -0.033,          -0.019,          -0.016,          -0.028,          -0.050,          -0.084,          -0.226,           0.103,           0.112,           0.147,           0.165,           0.095,           0.124,           0.144,          -0.276,          -0.098,          -0.056
      45,          0.733333,          46.617,          31.676,           0.547,          -0.422,          -0.494,           0.209,           0.053,           0.109,           0.019,           0.000,           0.046,           0.000,          -0.017,           0.421,           0.183,           0.097,           0.493,          -0.033,          -0.019,          -0.017,          -0.029,          -0.050,          -0.086,          -0.237,           0.105,           0.111,           0.151,           0.169,           0.101,           0.130,           0.149,          -0.284,          -0.100,          -0.056
      46,          0.750000,          46.929,          34.017,           0.543,          -0.437,          -0.505,           0.212,           0.054,           0.111,           0.020,           0.000,           0.047,           0.000,          -0.017,           0.437,           0.188,           0.099,           0.505,          -0.034,          -0.019,          -0.017,          -0.030,          -0.051,          -0.089,          -0.248,           0.107,           0.111,           0.156,           0.173,           0.108,           0.135,           0.153,          -0.292,          -0.101,          -0.057
      47,          0.766667,          47.126,          36.577,           0.539,          -0.452,          -0.517,           0.215,           0.054,           0.112,           0.020,           0.000,           0.049,           0.000,          -0.018,           0.451,           0.192,           0.101,           0.516,          -0.034,          -0.020,          -0.018,          -0.030,          -0.052,          -0.091,          -0.259,           0.110,           0.111,           0.160,           0.177,           0.115,           0.139,           0.157,          -0.300,          -0.103,          -0.057
      48,          0.783333,          47.238,          39.596,           0.533,          -0.465,          -0.529,           0.219,           0.055,           0.114,           0.020,           0.000,           0.050,           0.000,          -0.018,           0.464,           0.196,           0.102,           0.528,          -0.035,          -0.020,          -0.018,          -0.031,          -0.053,          -0.093,          -0.268,           0.113,           0.111,           0.164,           0.180,           0.121,           0.144,           0.160,          -0.309,          -0.105,          -0.058
      49,          0.800000,          47.305,          43.230,           0.527,          -0.477,          -0.542,           0.223,           0.057,           0.115,           0.021,           0.000,           0.051,           0.000,          -0.019,           0.477,           0.199,           0.104,           0.541,          -0.036,          -0.021,          -0.019,          -0.032,          -0.053,          -0.095,          -0.277,           0.118,           0.112,           0.168,           0.184,           0.126,           0.148,           0.164,          -0.318,          -0.107,          -0.059
      50,          0.816667,          47.356,          47.343,           0.520,          -0.488,          -0.554,           0.226,           0.057,           0.117,           0.021,           0.000,           0.051,           0.000,          -0.019,           0.488,           0.202,           0.105,           0.554,          -0.036,          -0.021,          -0.019,          -0.032,          -0.054,          -0.097,          -0.285,           0.122,           0.114,           0.171,           0.187,           0.130,           0.151,           0.168,          -0.327,          -0.109,          -0.059
      51,          0.833333,          47.392,          51.092,           0.513,          -0.499,          -0.567,           0.230,           0.058,           0.119,           0.022,           0.000,           0.052,           0.000,          -0.019,           0.498,           0.205,           0.107,           0.566,          -0.037,          -0.021,          -0.019,          -0.033,          -0.054,          -0.099,          -0.293,           0.125,           0.116,           0.174,           0.190,           0.135,           0.155,           0.171,          -0.336,          -0.111,          -0.060
      52,          0.850000,          47.420,          54.231,           0.505,          -0.508,          -0.579,           0.234,           0.060,           0.121,           0.022,           0.000,           0.053,           0.000,          -0.020,           0.508,           0.208,           0.108,           0.578,          -0.037,          -0.022,          -0.020,          -0.033,          -0.055,          -0.100,          -0.299,           0.129,           0.118,           0.177,           0.192,           0.138,           0.159,           0.174,          -0.343,          -0.113,          -0.061
      53,          0.866667,          47.438,          56.728,           0.497,          -0.517,          -0.591,           0.238,           0.061,           0.122,           0.023,           0.000,           0.054,           0.000,          -0.020,           0.516,           0.210,           0.109,           0.590,          -0.038,          -0.022,          -0.020,          -0.033,          -0.055,          -0.101,          -0.306,           0.132,           0.121,           0.180,           0.195,           0.142,           0.162,           0.176,          -0.352,          -0.116,          -0.061
      54,          0.883333,          47.450,          58.765,           0.487,          -0.525,          -0.602,           0.242,           0.062,           0.124,           0.023,           0.000,           0.054,           0.000,          -0.020,           0.525,           0.213,           0.110,           0.602,          -0.039,          -0.023,          -0.020,          -0.034,          -0.056,          -0.103,          -0.312,           0.136,           0.123,           0.183,           0.197,           0.145,           0.165,           0.179,          -0.360,          -0.118,          -0.062
      55,          0.900000,          47.460,          60.475,           0.478,          -0.533,          -0.613,           0.245,           0.063,           0.126,           0.024,           0.000,           0.055,           0.000,          -0.020,           0.533,           0.215,           0.111,           0.613,          -0.039,          -0.023,          -0.021,          -0.034,          -0.056,          -0.104,          -0.318,           0.139,           0.126,           0.185,           0.200,           0.148,           0.167,           0.182,          -0.367,          -0.120,          -0.063
      56,          0.916667,          47.469,          61.966,           0.468,          -0.541,          -0.624,           0.249,           0.064,           0.127,           0.024,           0.000,           0.055,           0.000,          -0.021,           0.540,           0.217,           0.112,           0.623,          -0.040,          -0.023,          -0.021,          -0.035,          -0.056,          -0.105,          -0.323,           0.142,           0.128,           0.188,           0.202,           0.151,           0.170,           0.184,          -0.374,          -0.122,          -0.063
      57,          0.933333,          47.475,          63.260,           0.458,          -0.548,          -0.634,           0.252,           0.065,           0.129,           0.024,           0.001,           0.056,           0.000,          -0.021,           0.547,           0.219,           0.113,           0.633,          -0.040,          -0.024,          -0.021,          -0.035,          -0.057,          -0.106,          -0.328,           0.144,           0.131,           0.190,           0.204,           0.154,           0.173,           0.186,          -0.381,          -0.123,          -0.064
      58,          0.950000,          47.477,          64.425,           0.448,          -0.554,          -0.643,           0.255,           0.066,           0.130,           0.025,           0.001,           0.056,           0.000,          -0.021,           0.554,           0.221,           0.114,           0.642,          -0.041,          -0.024,          -0.021,          -0.035,          -0.057,          -0.107,          -0.332,           0.147,           0.133,           0.192,           0.206,           0.156,           0.175,           0.188,          -0.387,          -0.125,          -0.064
      59,          0.966667,          47.475,          65.469,           0.437,          -0.560,          -0.652,           0.258,           0.066,           0.131,           0.025,           0.001,           0.057,           0.000,          -0.021,           0.560,           0.223,           0.115,           0.651,          -0.041,          -0.024,          -0.022,          -0.036,          -0.057,          -0.109,          -0.337,           0.150,           0.135,           0.194,           0.208,           0.159,           0.177,           0.190,          -0.393,          -0.127,          -0.065
      60,          0.983333,          47.473,          66.412,           0.426,          -0.567,          -0.661,           0.261,           0.067,           0.133,           0.026,           0.001,           0.057,           0.000,          -0.021,           0.566,           0.225,           0.115,           0.660,          -0.042,          -0.025,          -0.022,          -0.036,          -0.058,          -0.110,          -0.341,           0.152,           0.138,           0.196,           0.210,           0.161,           0.179,           0.192,          -0.399,          -0.129,          -0.065
      61,          1.000000,          47.470,          67.274,           0.416,          -0.572,          -0.670,           0.264,           0.068,           0.134,           0.026,           0.001,           0.058,           0.000,          -0.021,           0.572,           0.227,           0.116,           0.669,          -0.042,          -0.025,          -0.022,          -0.036,          -0.058,          -0.111,          -0.345,           0.154,           0.141,           0.198,           0.211,           0.163,           0.181,           0.194,          -0.405,          -0.130,          -0.066
      62,          1.016667,          47.465,          68.062,           0.404,          -0.577,          -0.677,           0.267,           0.069,           0.135,           0.026,           0.001,           0.058,           0.000,          -0.022,           0.577,           0.229,           0.117,           0.677,          -0.043,          -0.025,          -0.022,          -0.037,          -0.058,          -0.112,          -0.348,           0.156,           0.143,           0.199,           0.213,           0.165,           0.183,           0.196,          -0.410,          -0.132,          -0.066
      63,          1.033333,          47.453,          68.782,           0.393,          -0.582,          -0.685,           0.269,           0.070,           0.136,           0.027,           0.001,           0.059,           0.000,          -0.022,           0.582,           0.230,           0.118,           0.684,          -0.043,          -0.026,          -0.023,          -0.037,          -0.059,          -0.113,          -0.351,           0.158,           0.145,           0.201,           0.214,           0.167,           0.184,           0.197,          -0.415,          -0.133,          -0.067
      64,          1.050000,          47.437,          69.430,           0.382,          -0.587,          -0.692,           0.272,           0.070,           0.137,           0.027,           0.001,           0.059,           0.000,          -0.022,           0.586,           0.232,           0.118,           0.691,          -0.043,          -0.026,          -0.023,          -0.037,          -0.059,          -0.113,          -0.355,           0.160,           0.147,           0.202,           0.215,           0.169,           0.186,           0.198,          -0.419,          -0.134,          -0.067
      65,          1.066667,          47.420,          70.002,           0.371,          -0.591,          -0.698,           0.274,           0.071,           0.138,           0.027,           0.001,           0.060,           0.000,          -0.022,           0.591,           0.233,           0.119,           0.698,          -0.044,          -0.026,          -0.023,          -0.037,          -0.059,          -0.114,          -0.358,           0.162,           0.149,           0.204,           0.217,           0.171,           0.187,           0.200,          -0.424,          -0.136,          -0.067
      66,          1.083333,          47.403,          70.446,           0.360,          -0.596,          -0.705,           0.276,           0.072,           0.139,           0.027,           0.001,           0.060,           0.000,          -0.022,           0.595,           0.235,           0.120,           0.705,          -0.044,          -0.026,          -0.023,          -0.038,          -0.059,          -0.115,          -0.361,           0.164,           0.151,           0.205,           0.218,           0.172,           0.189,           0.201,          -0.428,          -0.137,          -0.068
      67,          1.100000,          47.381,          70.747,           0.349,          -0.599,          -0.711,           0.278,           0.072,           0.140,           0.028,           0.001,           0.060,           0.000,          -0.022,           0.599,           0.236,           0.120,           0.711,          -0.044,          -0.026,          -0.023,          -0.038,          -0.060,          -0.116,          -0.363,           0.165,           0.153,           0.206,           0.219,           0.174,           0.190,           0.203,          -0.432,          -0.138,          -0.068
      68,          1.116667,          47.343,          70.923,           0.339,          -0.603,          -0.716,           0.280,           0.073,           0.141,           0.028,           0.001,           0.061,           0.000,          -0.022,           0.603,           0.237,           0.121,           0.716,          -0.045,          -0.027,          -0.024,          -0.038,          -0.060,          -0.116,          -0.366,           0.167,           0.154,           0.208,           0.220,           0.175,           0.192,           0.204,          -0.436,          -0.139,          -0.068
      69,          1.133333,          47.299,          71.017,           0.328,          -0.607,          -0.722,           0.282,           0.073,           0.142,           0.028,           0.001,           0.061,           0.000,          -0.023,           0.606,           0.238,           0.121,           0.722,          -0.045,          -0.027,          -0.024,          -0.038,          -0.060,          -0.117,          -0.368,           0.168,           0.156,           0.209,           0.222,           0.176,           0.193,           0.205,          -0.439,          -0.141,          -0.069
      70,          1.150000,          47.245,          71.059,           0.318,          -0.610,          -0.727,           0.284,           0.074,           0.143,           0.028,           0.001,           0.061,           0.000,          -0.023,           0.610,           0.239,           0.122,           0.727,          -0.045,          -0.027,          -0.024,          -0.038,          -0.060,          -0.118,          -0.371,           0.170,           0.158,           0.210,           0.223,           0.178,           0.194,           0.206,          -0.443,          -0.142,          -0.069
