"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time (h)","Q FC01.1_R [EG15_007]","Q FC01.2_R [EG15_007]","Q FC04.1_C [EG15_007]","Q Node20 [EG15_007]","Q Pit10 [EG15_007]","Q Pit11 [EG15_007]","Q Pit13 [EG15_007]","Q Pit15 [EG15_007]","Q Pit18 [EG15_007]","Q Pit19 [EG15_007]","Q Pit2 [EG15_007]","Q Pit4 [EG15_007]","Q Pit5 [EG15_007]","Q Pit6 [EG15_007]","Q Pit7 [EG15_007]","Q Pit9 [EG15_007]"
      55,          0.900000,          47.460,          60.372,           0.478,          -1.420,           0.234,           0.224,           0.195,           0.085,           0.085,           0.097,           0.065,           0.039,           0.071,           0.091,           0.054,           0.180
      56,          0.916667,          47.469,          61.871,           0.468,          -1.397,           0.233,           0.222,           0.193,           0.081,           0.084,           0.092,           0.064,           0.038,           0.069,           0.089,           0.052,           0.178
      57,          0.933333,          47.475,          63.176,           0.458,          -1.372,           0.231,           0.221,           0.191,           0.077,           0.082,           0.088,           0.062,           0.037,           0.068,           0.088,           0.051,           0.176
      58,          0.950000,          47.477,          64.349,           0.448,          -1.348,           0.229,           0.219,           0.188,           0.073,           0.081,           0.086,           0.060,           0.036,           0.066,           0.087,           0.050,           0.174
      59,          0.966667,          47.475,          65.401,           0.437,          -1.323,           0.227,           0.216,           0.186,           0.068,           0.079,           0.084,           0.058,           0.034,           0.065,           0.085,           0.048,           0.171
      60,          0.983333,          47.473,          66.349,           0.426,          -1.298,           0.225,           0.214,           0.183,           0.063,           0.078,           0.083,           0.057,           0.033,           0.064,           0.084,           0.047,           0.168
      61,          1.000000,          47.470,          67.214,           0.416,          -1.273,           0.222,           0.212,           0.180,           0.058,           0.077,           0.082,           0.055,           0.032,           0.062,           0.083,           0.046,           0.165
      62,          1.016667,          47.465,          68.007,           0.404,          -1.245,           0.220,           0.209,           0.177,           0.052,           0.075,           0.080,           0.054,           0.031,           0.061,           0.081,           0.044,           0.161
      63,          1.033333,          47.453,          68.732,           0.393,          -1.215,           0.217,           0.206,           0.174,           0.046,           0.074,           0.078,           0.052,           0.029,           0.059,           0.080,           0.043,           0.157
      64,          1.050000,          47.437,          69.374,           0.382,          -1.186,           0.214,           0.203,           0.170,           0.040,           0.072,           0.078,           0.050,           0.028,           0.057,           0.078,           0.042,           0.154
      65,          1.066667,          47.420,          69.945,           0.371,          -1.156,           0.211,           0.200,           0.166,           0.034,           0.071,           0.076,           0.049,           0.027,           0.056,           0.077,           0.041,           0.149
      66,          1.083333,          47.403,          70.377,           0.360,          -1.125,           0.208,           0.197,           0.162,           0.027,           0.069,           0.075,           0.047,           0.026,           0.054,           0.075,           0.039,           0.145
      67,          1.100000,          47.381,          70.663,           0.349,          -1.092,           0.205,           0.193,           0.158,           0.022,           0.068,           0.073,           0.046,           0.024,           0.053,           0.074,           0.038,           0.140
      68,          1.116667,          47.343,          70.833,           0.339,          -1.060,           0.201,           0.190,           0.154,           0.016,           0.066,           0.072,           0.044,           0.023,           0.051,           0.072,           0.036,           0.135
      69,          1.133333,          47.299,          70.924,           0.328,          -1.030,           0.198,           0.186,           0.149,           0.012,           0.064,           0.071,           0.043,           0.022,           0.049,           0.070,           0.035,           0.130
      70,          1.150000,          47.245,          70.968,           0.318,          -1.002,           0.194,           0.182,           0.144,           0.011,           0.063,           0.070,           0.042,           0.021,           0.048,           0.069,           0.034,           0.124
      71,          1.166667,          47.189,          70.983,           0.308,          -0.974,           0.191,           0.178,           0.139,           0.011,           0.062,           0.069,           0.040,           0.020,           0.046,           0.068,           0.032,           0.118
      72,          1.183333,          47.130,          70.981,           0.298,          -0.943,           0.187,           0.174,           0.134,           0.010,           0.061,           0.067,           0.039,           0.018,           0.045,           0.066,           0.031,           0.111
      73,          1.200000,          47.066,          70.967,           0.289,          -0.912,           0.183,           0.170,           0.128,           0.009,           0.059,           0.066,           0.038,           0.017,           0.043,           0.065,           0.029,           0.104
      74,          1.216667,          47.000,          70.949,           0.280,          -0.881,           0.179,           0.165,           0.122,           0.009,           0.058,           0.065,           0.037,           0.016,           0.042,           0.063,           0.028,           0.097
      75,          1.233333,          46.930,          70.931,           0.271,          -0.849,           0.175,           0.161,           0.116,           0.008,           0.057,           0.064,           0.036,           0.015,           0.040,           0.062,           0.027,           0.089
      76,          1.250000,          46.859,          70.913,           0.262,          -0.818,           0.171,           0.156,           0.108,           0.007,           0.056,           0.063,           0.035,           0.015,           0.039,           0.060,           0.026,           0.082
      77,          1.266667,          46.784,          70.895,           0.254,          -0.786,           0.166,           0.152,           0.101,           0.007,           0.054,           0.062,           0.034,           0.014,           0.037,           0.059,           0.024,           0.075
      78,          1.283333,          46.695,          70.878,           0.246,          -0.755,           0.162,           0.147,           0.094,           0.006,           0.053,           0.061,           0.033,           0.013,           0.036,           0.058,           0.023,           0.069
      79,          1.300000,          46.599,          70.860,           0.239,          -0.725,           0.158,           0.143,           0.087,           0.006,           0.052,           0.060,           0.032,           0.012,           0.035,           0.056,           0.022,           0.062
      80,          1.316667,          46.495,          70.842,           0.231,          -0.696,           0.154,           0.138,           0.081,           0.005,           0.051,           0.059,           0.031,           0.012,           0.033,           0.055,           0.021,           0.056
      81,          1.333333,          46.384,          70.817,           0.224,          -0.668,           0.150,           0.133,           0.074,           0.005,           0.050,           0.058,           0.030,           0.011,           0.032,           0.054,           0.020,           0.050
      82,          1.350000,          46.268,          70.786,           0.218,          -0.639,           0.146,           0.129,           0.068,           0.005,           0.049,           0.057,           0.029,           0.011,           0.031,           0.053,           0.018,           0.044
