"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Time (h)","Q FC01.1_R [EG15_005]","Q FC01.2_R [EG15_005]","Q FC04.1_C [EG15_005]","Q Pipe0 [EG15_005]","Q Pipe1 [EG15_005]","Q Pipe10 [EG15_005]","Q Pipe11 [EG15_005]","Q Pipe12 [EG15_005]","Q Pipe13 [EG15_005]","Q Pipe14 [EG15_005]","Q Pipe15 [EG15_005]","Q Pipe16 [EG15_005]","Q Pipe17 [EG15_005]","Q Pipe19 [EG15_005]","Q Pipe2 [EG15_005]","Q Pipe3 [EG15_005]","Q Pipe4 [EG15_005]","Q Pipe5 [EG15_005]","Q Pipe6 [EG15_005]","Q Pipe7 [EG15_005]","Q Pipe8 [EG15_005]","Q Pipe9 [EG15_005]","Q Pit1 [EG15_005]","Q Pit11 [EG15_005]","Q Pit12 [EG15_005]","Q Pit14 [EG15_005]","Q Pit15 [EG15_005]","Q Pit16 [EG15_005]","Q Pit18 [EG15_005]","Q Pit19 [EG15_005]","Q Pit2 [EG15_005]","Q Pit4 [EG15_005]","Q Pit5 [EG15_005]","Q Pit6 [EG15_005]","Q Pit7 [EG15_005]","Q Pit8 [EG15_005]","Q Pit9 [EG15_005]"
      11,          0.166667,           0.000,           0.082,           0.000,          -0.000,           0.043,           0.016,           0.000,          -0.003,           0.000,           0.055,           0.027,           0.066,           0.077,           0.010,           0.021,           0.017,          -0.010,           0.005,           0.006,           0.014,           0.024,           0.022,           0.000,           0.064,           0.034,           0.024,           0.003,           0.003,           0.017,           0.020,           0.040,           0.015,           0.019,           0.023,           0.005,           0.003,           0.025
      12,          0.183333,           0.000,           0.104,           0.000,           0.032,           0.066,           0.034,           0.000,           0.001,           0.000,           0.074,           0.034,           0.102,           0.106,           0.025,           0.026,           0.022,           0.017,           0.013,           0.011,           0.021,           0.040,           0.045,           0.033,           0.082,           0.043,           0.028,           0.000,           0.002,           0.022,           0.026,           0.048,           0.020,           0.025,           0.030,           0.006,           0.006,           0.031
      13,          0.200000,           0.400,           0.010,           0.000,           0.020,           0.073,           0.031,           0.019,          -0.004,           0.002,           0.092,           0.048,           0.145,           0.122,           0.070,           0.037,           0.014,           0.040,           0.041,           0.028,           0.027,           0.054,           0.071,           0.021,           0.098,           0.048,           0.031,           0.011,           0.003,           0.027,           0.033,           0.056,           0.027,           0.032,           0.040,           0.007,           0.010,           0.037
      14,          0.216667,           1.445,           1.135,           0.006,           0.021,           0.086,           0.059,           0.084,           0.048,           0.036,           0.118,           0.079,           0.007,           0.124,           0.114,           0.047,           0.028,           0.059,           0.080,           0.061,           0.038,           0.070,           0.098,           0.023,           0.113,           0.053,           0.034,           0.013,           0.000,           0.033,           0.042,           0.067,           0.033,           0.039,           0.050,           0.009,           0.012,           0.042
      15,          0.233333,           2.275,           0.143,           0.017,           0.026,           0.101,           0.117,           0.171,           0.127,           0.126,           0.237,          -0.067,           0.014,           0.281,           0.154,           0.060,           0.038,           0.075,           0.138,           0.002,           0.054,           0.099,           0.134,           0.026,           0.126,           0.058,           0.037,           0.015,           0.004,           0.046,           0.060,           0.077,           0.038,           0.047,           0.063,           0.011,           0.014,           0.047
      16,          0.250000,           2.940,           0.718,           0.035,           0.029,           0.110,          -0.046,          -0.017,          -0.053,          -0.061,           0.047,          -0.022,           0.010,           0.104,          -0.074,           0.066,          -0.032,          -0.010,          -0.082,          -0.073,           0.076,           0.134,          -0.042,           0.030,           0.137,           0.063,           0.040,           0.018,           0.000,           0.075,           0.091,           0.085,           0.042,           0.053,           0.077,           0.014,           0.015,           0.052
      17,          0.266667,           3.459,           0.479,           0.060,           0.029,           0.113,           0.269,           0.162,           0.261,           0.158,           0.005,           0.121,           0.001,          -0.115,           0.181,           0.088,           0.056,           0.096,           0.176,           0.195,           0.115,           0.210,           0.256,           0.033,          -0.152,          -0.119,          -0.073,           0.021,           0.000,           0.105,           0.121,           0.091,           0.046,           0.059,           0.094,           0.020,          -0.004,          -0.097
      18,          0.283333,           3.916,          -0.060,           0.091,           0.034,           0.128,           0.319,           0.149,           0.281,           0.146,           0.017,           0.109,           0.000,          -0.107,           0.235,           0.059,           0.063,           0.111,           0.236,           0.231,           0.137,           0.258,           0.315,           0.035,          -0.128,          -0.124,          -0.122,          -0.003,           0.004,           0.121,           0.137,           0.095,           0.048,           0.064,           0.059,           0.004,          -0.037,          -0.134
      19,          0.300000,           4.389,           0.089,           0.127,           0.035,           0.131,           0.318,           0.126,           0.268,           0.124,           0.021,           0.082,           0.001,          -0.079,           0.256,           0.053,           0.079,           0.127,           0.257,           0.223,           0.140,           0.265,           0.317,           0.036,          -0.103,          -0.099,          -0.140,          -0.035,           0.000,           0.126,           0.140,           0.098,           0.050,           0.080,           0.053,           0.001,          -0.049,          -0.141
      20,          0.316667,           4.881,          -0.048,           0.167,           0.037,           0.114,           0.311,           0.114,           0.250,           0.110,           0.014,           0.077,           0.001,          -0.073,           0.260,           0.051,           0.098,           0.149,           0.262,           0.196,           0.140,           0.267,           0.316,           0.037,          -0.095,          -0.087,          -0.119,          -0.065,           0.003,           0.127,           0.140,           0.077,           0.051,           0.099,           0.051,          -0.004,          -0.062,          -0.136
      21,          0.333333,           5.373,           0.378,           0.206,           0.037,           0.101,           0.304,           0.103,           0.227,           0.100,           0.017,           0.062,           0.001,          -0.059,           0.264,           0.048,           0.111,           0.164,           0.260,           0.169,           0.142,           0.266,           0.314,           0.037,          -0.082,          -0.075,          -0.106,          -0.091,          -0.004,           0.124,           0.142,           0.064,           0.053,           0.112,           0.048,          -0.010,          -0.076,          -0.124
      22,          0.350000,           5.873,           1.045,           0.244,           0.036,           0.094,           0.293,           0.094,           0.203,           0.091,           0.021,           0.047,           0.001,          -0.044,           0.262,           0.045,           0.111,           0.169,           0.251,           0.138,           0.144,           0.266,           0.310,           0.037,          -0.070,          -0.064,          -0.090,          -0.112,          -0.011,           0.122,           0.144,           0.058,           0.059,           0.111,           0.045,          -0.017,          -0.090,          -0.109
      23,          0.366667,           6.404,           1.356,           0.280,           0.035,           0.085,           0.282,           0.078,           0.177,           0.076,           0.014,           0.043,           0.001,          -0.040,           0.260,           0.043,           0.106,           0.176,           0.234,           0.119,           0.143,           0.263,           0.306,           0.035,          -0.061,          -0.053,          -0.076,          -0.114,          -0.026,           0.120,           0.143,           0.050,           0.070,           0.106,           0.043,          -0.023,          -0.105,          -0.099
      24,          0.383333,           7.060,           1.234,           0.313,           0.031,           0.074,           0.269,           0.066,           0.153,           0.064,           0.010,           0.040,           0.001,          -0.037,           0.255,           0.041,           0.102,           0.181,           0.210,           0.108,           0.142,           0.260,           0.301,           0.031,          -0.053,          -0.047,          -0.069,          -0.100,          -0.044,           0.119,           0.142,           0.044,           0.080,           0.102,           0.041,          -0.033,          -0.115,          -0.086
      25,          0.400000,           7.843,          -1.317,           0.345,           0.027,           0.065,           0.250,           0.058,           0.137,           0.056,           0.008,           0.035,           0.001,          -0.032,           0.248,           0.039,           0.097,           0.184,           0.187,           0.097,           0.140,           0.257,           0.295,           0.027,          -0.047,          -0.039,          -0.062,          -0.089,          -0.061,           0.117,           0.140,           0.038,           0.087,           0.097,           0.039,          -0.045,          -0.113,          -0.079
      26,          0.416667,           8.754,          -0.539,           0.372,           0.024,           0.056,           0.230,           0.051,           0.124,           0.049,           0.007,           0.030,           0.000,          -0.028,           0.240,           0.035,           0.092,           0.186,           0.166,           0.087,           0.139,           0.253,           0.288,           0.024,          -0.041,          -0.034,          -0.057,          -0.076,          -0.077,           0.114,           0.139,           0.032,           0.094,           0.092,           0.035,          -0.057,          -0.106,          -0.073
      27,          0.433333,           9.808,           1.513,           0.397,           0.021,           0.049,           0.210,           0.045,           0.113,           0.043,           0.007,           0.024,           0.001,          -0.021,           0.230,           0.031,           0.090,           0.183,           0.144,           0.074,           0.137,           0.249,           0.280,           0.021,          -0.036,          -0.028,          -0.050,          -0.067,          -0.089,           0.112,           0.137,           0.028,           0.093,           0.090,           0.031,          -0.069,          -0.097,          -0.067
      28,          0.450000,          10.964,          -0.293,           0.421,           0.017,           0.040,           0.191,           0.041,           0.104,           0.039,           0.008,           0.018,           0.001,          -0.016,           0.217,           0.027,           0.087,           0.178,           0.123,           0.060,           0.135,           0.245,           0.272,           0.017,          -0.031,          -0.023,          -0.042,          -0.062,          -0.094,           0.110,           0.135,           0.023,           0.091,           0.087,           0.027,          -0.080,          -0.087,          -0.063
      29,          0.466667,          12.421,           5.722,           0.443,           0.013,           0.030,           0.173,           0.036,           0.093,           0.034,           0.007,           0.015,           0.000,          -0.013,           0.201,           0.023,           0.084,           0.172,           0.111,           0.053,           0.134,           0.240,           0.263,           0.013,          -0.027,          -0.020,          -0.038,          -0.058,          -0.090,           0.107,           0.134,           0.018,           0.088,           0.084,           0.023,          -0.090,          -0.079,          -0.057
      30,          0.483333,          14.109,           7.375,           0.460,           0.008,           0.020,           0.156,           0.030,           0.083,           0.029,           0.005,           0.014,           0.000,          -0.012,           0.184,           0.017,           0.080,           0.165,           0.101,           0.047,           0.132,           0.235,           0.253,           0.008,          -0.023,          -0.017,          -0.033,          -0.053,          -0.083,           0.104,           0.132,           0.012,           0.085,           0.080,           0.017,          -0.096,          -0.073,          -0.053
      31,          0.500000,          15.927,           8.665,           0.476,           0.004,           0.010,           0.143,           0.026,           0.075,           0.025,           0.004,           0.012,           0.000,          -0.010,           0.166,           0.012,           0.076,           0.157,           0.092,           0.042,           0.129,           0.230,           0.241,           0.004,          -0.020,          -0.014,          -0.029,          -0.050,          -0.074,           0.100,           0.129,           0.006,           0.081,           0.076,           0.012,          -0.097,          -0.068,          -0.049
      32,          0.516667,          17.816,           6.268,           0.491,           0.001,           0.000,           0.133,           0.023,           0.068,           0.022,           0.004,           0.010,           0.000,          -0.008,           0.149,           0.005,           0.072,           0.149,           0.081,           0.037,           0.127,           0.223,           0.228,           0.001,          -0.017,          -0.012,          -0.026,          -0.044,          -0.067,           0.097,           0.127,          -0.000,           0.077,           0.072,           0.005,          -0.095,          -0.064,          -0.045
      33,          0.533333,          20.457,           7.111,           0.503,          -0.001,          -0.006,           0.124,           0.021,           0.062,           0.020,           0.004,           0.008,           0.000,          -0.006,           0.132,           0.000,           0.067,           0.139,           0.069,           0.030,           0.124,           0.215,           0.215,          -0.000,          -0.016,          -0.010,          -0.022,          -0.039,          -0.062,           0.092,           0.124,          -0.006,           0.072,           0.067,          -0.000,          -0.091,          -0.061,          -0.041
      34,          0.550000,          24.206,           8.246,           0.515,          -0.003,          -0.015,           0.115,           0.019,           0.057,           0.018,           0.005,           0.006,           0.000,          -0.004,           0.114,          -0.006,           0.062,           0.130,           0.058,           0.024,           0.120,           0.208,           0.202,          -0.003,          -0.013,          -0.008,          -0.018,          -0.033,          -0.056,           0.087,           0.120,          -0.012,           0.068,           0.062,          -0.006,          -0.086,          -0.058,          -0.037
      35,          0.566667,          28.460,           9.317,           0.524,          -0.006,          -0.022,           0.107,           0.017,           0.052,           0.016,           0.004,           0.004,           0.000,          -0.002,           0.098,          -0.012,           0.057,           0.119,           0.046,           0.019,           0.118,           0.201,           0.188,          -0.006,          -0.012,          -0.006,          -0.014,          -0.027,          -0.049,           0.083,           0.118,          -0.016,           0.062,           0.057,          -0.012,          -0.080,          -0.055,          -0.034
      36,          0.583333,          31.477,          10.741,           0.533,          -0.009,          -0.029,           0.100,           0.016,           0.047,           0.015,           0.004,           0.002,           0.000,          -0.001,           0.076,          -0.018,           0.051,           0.106,           0.035,           0.013,           0.114,           0.193,           0.175,          -0.009,          -0.010,          -0.005,          -0.011,          -0.021,          -0.041,           0.079,           0.114,          -0.019,           0.055,           0.051,          -0.018,          -0.075,          -0.052,          -0.031
      37,          0.600000,          34.276,          12.215,           0.539,          -0.010,          -0.029,           0.092,           0.014,           0.042,           0.013,           0.004,           0.001,           0.000,           0.000,           0.057,          -0.023,           0.041,           0.086,           0.024,           0.008,           0.111,           0.186,           0.162,          -0.010,          -0.009,          -0.004,          -0.007,          -0.016,          -0.032,           0.075,           0.111,          -0.019,           0.045,           0.042,          -0.023,          -0.069,          -0.049,          -0.028
      38,          0.616667,          36.703,          13.832,           0.545,          -0.009,          -0.025,           0.083,           0.012,           0.038,           0.011,           0.003,           0.001,           0.000,           0.000,           0.041,          -0.028,           0.033,           0.067,           0.017,           0.006,           0.107,           0.177,           0.148,          -0.009,          -0.008,          -0.003,          -0.004,          -0.011,          -0.024,           0.070,           0.107,          -0.016,           0.034,           0.033,          -0.028,          -0.066,          -0.045,          -0.025
      39,          0.633333,          38.800,          16.063,           0.548,          -0.006,          -0.019,           0.074,           0.010,           0.033,           0.009,           0.002,           0.001,           0.000,           0.000,           0.028,          -0.031,           0.025,           0.048,           0.011,           0.003,           0.103,           0.168,           0.136,          -0.006,          -0.006,          -0.002,          -0.002,          -0.007,          -0.017,           0.064,           0.103,          -0.013,           0.024,           0.025,          -0.031,          -0.062,          -0.041,          -0.023
      40,          0.650000,          40.686,          18.576,           0.551,          -0.004,          -0.013,           0.066,           0.008,           0.029,           0.008,           0.002,           0.000,           0.000,           0.001,           0.020,          -0.033,           0.018,           0.033,           0.007,           0.002,           0.099,           0.158,           0.125,          -0.004,          -0.005,          -0.001,          -0.001,          -0.005,          -0.013,           0.059,           0.099,          -0.009,           0.015,           0.018,          -0.033,          -0.058,          -0.037,          -0.020
      41,          0.666667,          42.426,          21.477,           0.552,          -0.002,          -0.008,           0.059,           0.007,           0.025,           0.006,           0.002,           0.000,           0.000,           0.001,           0.013,          -0.033,           0.013,           0.022,           0.004,           0.001,           0.094,           0.147,           0.114,          -0.002,          -0.005,          -0.001,          -0.000,          -0.003,          -0.009,           0.054,           0.094,          -0.006,           0.009,           0.013,          -0.033,          -0.055,          -0.033,          -0.018
      42,          0.683333,          44.043,          24.275,           0.552,          -0.001,          -0.006,           0.052,           0.006,           0.022,           0.005,           0.001,           0.000,           0.000,           0.001,           0.009,          -0.032,           0.009,           0.015,           0.002,           0.000,           0.088,           0.136,           0.104,          -0.001,          -0.004,          -0.000,           0.000,          -0.002,          -0.006,           0.048,           0.089,          -0.004,           0.006,           0.010,          -0.032,          -0.052,          -0.030,          -0.016
      43,          0.700000,          45.293,          26.813,           0.551,          -0.000,          -0.003,           0.045,           0.005,           0.018,           0.004,           0.001,           0.000,           0.000,           0.001,           0.006,          -0.030,           0.007,           0.010,           0.001,           0.000,           0.082,           0.122,           0.093,          -0.000,          -0.003,          -0.000,           0.000,          -0.001,          -0.005,           0.040,           0.082,          -0.003,           0.003,           0.007,          -0.030,          -0.047,          -0.026,          -0.013
      44,          0.716667,          46.110,          29.357,           0.549,          -0.000,          -0.002,           0.037,           0.003,           0.015,           0.003,           0.000,           0.000,           0.000,           0.000,           0.004,          -0.027,           0.005,           0.007,           0.001,           0.000,           0.075,           0.106,           0.079,          -0.000,          -0.002,           0.000,           0.001,          -0.000,          -0.003,           0.032,           0.075,          -0.002,           0.002,           0.005,          -0.027,          -0.042,          -0.022,          -0.011
      45,          0.733333,          46.617,          31.676,           0.547,           0.000,          -0.001,           0.031,           0.002,           0.012,           0.002,           0.000,           0.000,           0.000,           0.000,           0.003,          -0.024,           0.004,           0.005,           0.001,           0.000,           0.068,           0.092,           0.067,           0.000,          -0.002,           0.001,           0.001,          -0.000,          -0.002,           0.024,           0.068,          -0.001,           0.002,           0.004,          -0.024,          -0.036,          -0.019,          -0.009
      46,          0.750000,          46.929,          34.018,           0.543,           0.000,          -0.001,           0.025,           0.002,           0.009,           0.001,           0.000,           0.000,           0.000,           0.000,           0.003,          -0.021,           0.003,           0.004,           0.000,           0.000,           0.061,           0.078,           0.057,           0.000,          -0.001,           0.001,           0.001,           0.000,          -0.002,           0.017,           0.061,          -0.001,           0.001,           0.003,          -0.021,          -0.031,          -0.016,          -0.007
      47,          0.766667,          47.126,          36.577,           0.539,           0.000,          -0.001,           0.020,           0.001,           0.007,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.018,           0.002,           0.003,           0.000,           0.000,           0.054,           0.066,           0.047,           0.000,          -0.000,           0.001,           0.001,           0.000,          -0.001,           0.012,           0.054,          -0.001,           0.001,           0.002,          -0.018,          -0.027,          -0.013,          -0.006
      48,          0.783333,          47.238,          39.596,           0.533,           0.000,          -0.000,           0.016,           0.001,           0.005,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.015,           0.002,           0.002,           0.000,           0.000,           0.048,           0.055,           0.039,           0.000,           0.000,           0.000,           0.001,           0.000,          -0.001,           0.007,           0.048,          -0.000,           0.001,           0.002,          -0.015,          -0.023,          -0.011,          -0.004
      49,          0.800000,          47.305,          43.230,           0.527,           0.000,          -0.001,           0.013,           0.001,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.013,           0.001,           0.002,           0.000,           0.000,           0.041,           0.045,           0.032,           0.000,           0.000,           0.000,           0.001,           0.000,          -0.000,           0.004,           0.041,          -0.000,           0.001,           0.001,          -0.013,          -0.019,          -0.009,          -0.003
      50,          0.816667,          47.356,          47.343,           0.520,           0.000,          -0.000,           0.010,           0.000,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,          -0.010,           0.001,           0.002,           0.000,           0.000,           0.035,           0.037,           0.026,           0.000,           0.000,           0.000,           0.001,           0.000,          -0.001,           0.002,           0.035,           0.000,           0.002,           0.001,          -0.010,          -0.016,          -0.007,          -0.002
      51,          0.833333,          47.392,          51.092,           0.513,           0.000,           0.000,           0.007,           0.000,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.008,           0.001,           0.001,           0.000,           0.000,           0.029,           0.030,           0.021,           0.000,           0.000,           0.000,           0.001,           0.000,          -0.000,           0.001,           0.029,           0.000,           0.000,           0.001,          -0.008,          -0.013,          -0.005,          -0.001
      52,          0.850000,          47.420,          54.231,           0.505,           0.000,           0.000,           0.005,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.007,           0.001,           0.001,           0.000,           0.000,           0.024,           0.023,           0.016,           0.000,           0.000,           0.000,           0.001,           0.000,          -0.000,          -0.000,           0.024,           0.000,           0.001,           0.001,          -0.007,          -0.011,          -0.004,          -0.001
      53,          0.866667,          47.438,          56.728,           0.497,           0.000,           0.000,           0.004,           0.000,           0.001,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.005,           0.001,           0.000,           0.000,           0.000,           0.019,           0.018,           0.013,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.019,           0.000,          -0.000,           0.001,          -0.005,          -0.009,          -0.003,          -0.000
      54,          0.883333,          47.450,          58.765,           0.488,           0.000,           0.000,           0.002,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.004,           0.000,           0.001,           0.000,           0.000,           0.015,           0.014,           0.010,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.015,           0.000,           0.001,           0.000,          -0.004,          -0.007,          -0.002,           0.000
      55,          0.900000,          47.460,          60.475,           0.478,           0.000,           0.000,           0.002,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.003,           0.001,           0.000,           0.000,           0.000,           0.012,           0.011,           0.008,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.012,           0.000,          -0.000,           0.001,          -0.003,          -0.006,          -0.002,           0.000
      56,          0.916667,          47.469,          61.966,           0.468,           0.000,           0.000,           0.001,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.002,           0.000,           0.000,           0.000,           0.000,           0.009,           0.008,           0.006,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.009,           0.000,          -0.000,           0.000,          -0.002,          -0.005,          -0.001,           0.000
      57,          0.933333,          47.475,          63.260,           0.458,           0.000,           0.000,           0.001,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.001,           0.000,           0.000,           0.007,           0.006,           0.004,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.007,           0.000,           0.001,           0.000,          -0.001,          -0.004,          -0.001,           0.000
      58,          0.950000,          47.477,          64.425,           0.448,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.001,           0.000,           0.000,           0.005,           0.005,           0.003,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.005,           0.000,           0.001,           0.000,          -0.001,          -0.003,          -0.000,           0.000
      59,          0.966667,          47.475,          65.469,           0.437,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.004,           0.003,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.004,           0.000,           0.000,           0.000,          -0.001,          -0.002,           0.000,           0.000
      60,          0.983333,          47.473,          66.412,           0.426,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.003,           0.002,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.003,           0.000,          -0.000,           0.000,          -0.000,          -0.002,           0.000,           0.000
      61,          1.000000,          47.470,          67.274,           0.416,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.002,           0.002,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.002,           0.000,          -0.000,           0.000,          -0.000,          -0.001,           0.000,           0.000
      62,          1.016667,          47.465,          68.062,           0.404,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.002,           0.001,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.002,           0.000,           0.000,           0.000,          -0.000,          -0.001,           0.000,           0.000
      63,          1.033333,          47.453,          68.782,           0.393,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.001,           0.001,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.000,           0.001,           0.000,           0.001,           0.000,           0.000,          -0.000,           0.000,           0.000
