"EG15_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_002.tcf]","Time (h)","H FC01.1_R.1 [EG15_002]","H FC01.1_R.2 [EG15_002]","H FC01.2_R.1 [EG15_002]","H FC01.2_R.2 [EG15_002]","H FC04.1_C.1 [EG15_002]","H FC04.1_C.2 [EG15_002]","H Pipe16.2 [EG15_002]","H Pit1 [EG15_002]","H Pit1.1 [EG15_002]","H Pit10 [EG15_002]","H Pit10.1 [EG15_002]","H Pit11 [EG15_002]","H Pit11.1 [EG15_002]","H Pit12 [EG15_002]","H Pit12.1 [EG15_002]","H Pit13 [EG15_002]","H Pit13.1 [EG15_002]","H Pit14 [EG15_002]","H Pit14.1 [EG15_002]","H Pit15 [EG15_002]","H Pit15.1 [EG15_002]","H Pit16 [EG15_002]","H Pit16.1 [EG15_002]","H Pit17 [EG15_002]","H Pit17.1 [EG15_002]","H Pit18 [EG15_002]","H Pit18.1 [EG15_002]","H Pit19 [EG15_002]","H Pit19.1 [EG15_002]","H Pit2 [EG15_002]","H Pit2.1 [EG15_002]","H Pit3 [EG15_002]","H Pit3.1 [EG15_002]","H Pit4 [EG15_002]","H Pit4.1 [EG15_002]","H Pit5 [EG15_002]","H Pit5.1 [EG15_002]","H Pit6 [EG15_002]","H Pit6.1 [EG15_002]","H Pit7 [EG15_002]","H Pit7.1 [EG15_002]","H Pit8 [EG15_002]","H Pit8.1 [EG15_002]","H Pit9 [EG15_002]","H Pit9.1 [EG15_002]"
      27,          0.433333,     46.5194,     45.3665,     37.9450,     37.8593,     43.6177,     42.9562,     43.1786,     43.3042,     43.3062,     43.1815,     43.1740,     43.1778,     43.1736,     43.1769,     43.1741,     43.1792,     43.1741,     43.1839,     43.1742,     43.1867,     43.1744,     43.2242,     43.1921,     43.3512,     43.3570,     43.3964,     43.4248,     43.4134,     43.4539,     43.3022,     43.3052,     43.2940,     43.3067,     43.3294,     43.3549,     43.3392,     43.3628,     43.3565,     43.3613,     43.2555,     43.2376,     43.1994,     43.1739,     43.1881,     43.1735
      28,          0.450000,     46.6057,     45.4338,     37.9811,     37.9904,     43.6261,     42.9615,     43.1991,     43.3074,     43.3088,     43.2021,     43.1952,     43.1986,     43.1952,     43.1977,     43.1954,     43.1997,     43.1956,     43.2039,     43.1955,     43.2041,     43.1954,     43.2379,     43.2015,     43.3579,     43.3583,     43.3975,     43.4255,     43.4143,     43.4545,     43.3059,     43.3079,     43.2982,     43.3111,     43.3325,     43.3572,     43.3420,     43.3647,     43.3584,     43.3628,     43.2567,     43.2408,     43.2204,     43.1951,     43.2080,     43.1948
      29,          0.466667,     46.7104,     45.5131,     38.1070,     38.0621,     43.6334,     42.9662,     43.2178,     43.3106,     43.3113,     43.2209,     43.2151,     43.2176,     43.2147,     43.2167,     43.2148,     43.2184,     43.2146,     43.2223,     43.2148,     43.2227,     43.2146,     43.2511,     43.2171,     43.3598,     43.3595,     43.3987,     43.4261,     43.4152,     43.4550,     43.3096,     43.3105,     43.3033,     43.3154,     43.3354,     43.3592,     43.3447,     43.3663,     43.3603,     43.3641,     43.2651,     43.2448,     43.2371,     43.2145,     43.2263,     43.2146
      30,          0.483333,     46.8266,     45.6011,     38.2122,     38.1578,     43.6393,     42.9702,     43.2355,     43.3136,     43.3139,     43.2381,     43.2331,     43.2353,     43.2328,     43.2345,     43.2330,     43.2361,     43.2330,     43.2396,     43.2331,     43.2453,     43.2331,     43.2585,     43.2341,     43.3617,     43.3606,     43.3999,     43.4267,     43.4161,     43.4555,     43.3129,     43.3128,     43.3116,     43.3179,     43.3380,     43.3609,     43.3471,     43.3677,     43.3621,     43.3653,     43.2749,     43.2514,     43.2525,     43.2327,     43.2430,     43.2324
      31,          0.500000,     46.9465,     45.6933,     38.3378,     38.2114,     43.6445,     42.9740,     43.2521,     43.3157,     43.3158,     43.2543,     43.2498,     43.2518,     43.2497,     43.2512,     43.2501,     43.2527,     43.2502,     43.2558,     43.2502,     43.2614,     43.2501,     43.2716,     43.2506,     43.3638,     43.3618,     43.4012,     43.4273,     43.4170,     43.4560,     43.3151,     43.3149,     43.3155,     43.3182,     43.3404,     43.3626,     43.3493,     43.3690,     43.3640,     43.3664,     43.2852,     43.2608,     43.2677,     43.2492,     43.2588,     43.2493
      32,          0.516667,     47.0665,     45.7893,     38.3605,     38.3280,     43.6492,     42.9770,     43.2673,     43.3187,     43.3187,     43.2698,     43.2659,     43.2674,     43.2656,     43.2667,     43.2657,     43.2679,     43.2658,     43.2707,     43.2657,     43.2758,     43.2658,     43.2851,     43.2665,     43.3661,     43.3629,     43.4023,     43.4277,     43.4178,     43.4562,     43.3183,     43.3167,     43.3199,     43.3211,     43.3430,     43.3642,     43.3517,     43.3703,     43.3660,     43.3674,     43.2964,     43.2723,     43.2818,     43.2651,     43.2740,     43.2654
      33,          0.533333,     47.2276,     45.8979,     38.4467,     38.4126,     43.6532,     42.9796,     43.2820,     43.3208,     43.3205,     43.2843,     43.2807,     43.2821,     43.2807,     43.2815,     43.2808,     43.2825,     43.2809,     43.2849,     43.2809,     43.2893,     43.2808,     43.2979,     43.2810,     43.3685,     43.3641,     43.4036,     43.4281,     43.4187,     43.4565,     43.3218,     43.3193,     43.3236,     43.3235,     43.3455,     43.3655,     43.3539,     43.3715,     43.3680,     43.3684,     43.3075,     43.2852,     43.2961,     43.2804,     43.2881,     43.2803
      34,          0.550000,     47.4445,     46.0330,     38.5529,     38.5161,     43.6568,     42.9817,     43.2955,     43.3239,     43.3232,     43.2980,     43.2949,     43.2960,     43.2946,     43.2952,     43.2948,     43.2960,     43.2947,     43.2981,     43.2948,     43.3019,     43.2946,     43.3124,     43.2947,     43.3715,     43.3653,     43.4050,     43.4285,     43.4196,     43.4567,     43.3252,     43.3224,     43.3238,     43.3256,     43.3480,     43.3667,     43.3561,     43.3726,     43.3694,     43.3693,     43.3183,     43.2976,     43.3090,     43.2944,     43.3017,     43.2945
      35,          0.566667,     47.6946,     46.1870,     38.6559,     38.6171,     43.6598,     42.9835,     43.3086,     43.3279,     43.3269,     43.3109,     43.3082,     43.3091,     43.3080,     43.3085,     43.3082,     43.3092,     43.3083,     43.3109,     43.3083,     43.3142,     43.3082,     43.3231,     43.3078,     43.3729,     43.3665,     43.4065,     43.4289,     43.4206,     43.4569,     43.3295,     43.3264,     43.3286,     43.3271,     43.3502,     43.3678,     43.3581,     43.3736,     43.3714,     43.3704,     43.3309,     43.3101,     43.3202,     43.3076,     43.3141,     43.3078
      36,          0.583333,     47.9655,     46.3056,     38.7738,     38.7292,     43.6624,     42.9851,     43.3205,     43.3336,     43.3322,     43.3230,     43.3206,     43.3214,     43.3205,     43.3207,     43.3206,     43.3210,     43.3206,     43.3223,     43.3206,     43.3248,     43.3203,     43.3298,     43.3203,     43.3760,     43.3682,     43.4079,     43.4293,     43.4215,     43.4571,     43.3354,     43.3320,     43.3388,     43.3315,     43.3535,     43.3690,     43.3610,     43.3748,     43.3738,     43.3718,     43.3410,     43.3219,     43.3315,     43.3202,     43.3260,     43.3204
