"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time (h)","SQ FC04.1_C [EG15_007]","SQ FC01.2_R [EG15_007]","SQ FC01.1_R [EG15_007]"
      90,          1.483333,      0.1735,     70.0405,     45.0770
      91,          1.500000,      0.1691,     69.8102,     44.8815
      92,          1.516667,      0.1648,     69.5057,     44.6676
      93,          1.533333,      0.1607,     69.1425,     44.4335
      94,          1.550000,      0.1568,     68.7073,     44.1641
      95,          1.566667,      0.1530,     68.2303,     43.8417
      96,          1.583333,      0.1494,     67.7116,     43.4582
      97,          1.600000,      0.1459,     67.1602,     43.0071
      98,          1.616667,      0.1424,     66.5824,     42.5281
      99,          1.633333,      0.1392,     65.9828,     42.0142
     100,          1.650000,      0.1360,     65.3657,     41.4562
     101,          1.666667,      0.1330,     64.7273,     40.8537
     102,          1.683333,      0.1300,     64.0688,     40.2025
     103,          1.700000,      0.1272,     63.3879,     39.4908
     104,          1.716667,      0.1243,     62.6856,     38.7083
     105,          1.733333,      0.1216,     61.9602,     37.8556
     106,          1.750000,      0.1190,     61.2007,     36.9270
     107,          1.766667,      0.1165,     60.4113,     35.9118
     108,          1.783333,      0.1140,     59.5861,     34.8437
     109,          1.800000,      0.1117,     58.7250,     33.7271
     110,          1.816667,      0.1093,     57.8197,     32.5443
     111,          1.833333,      0.1070,     56.8537,     31.2908
     112,          1.850000,      0.1048,     55.8085,     29.9742
     113,          1.866667,      0.1026,     54.6768,     28.6033
     114,          1.883333,      0.1004,     53.4538,     26.9143
     115,          1.900000,      0.0983,     52.1282,     25.2512
     116,          1.916667,      0.0963,     50.6930,     23.8388
     117,          1.933333,      0.0943,     49.1177,     22.6529
     118,          1.950000,      0.0923,     47.3814,     21.6672
     119,          1.966667,      0.0904,     45.4549,     20.8617
     120,          1.983333,      0.0886,     43.3104,     20.1922
     121,          2.000000,      0.0868,     40.9515,     19.6278
     122,          2.016667,      0.0850,     38.5408,     19.1423
     123,          2.033334,      0.0832,     36.2080,     18.7005
     124,          2.050000,      0.0815,     33.9546,     18.2703
     125,          2.066667,      0.0797,     31.8953,     17.8447
     126,          2.083333,      0.0781,     29.9627,     17.4098
     127,          2.100000,      0.0764,     28.1531,     16.9813
     128,          2.116667,      0.0747,     26.4734,     16.5331
     129,          2.133333,      0.0731,     24.9969,     16.0428
     130,          2.150000,      0.0716,     23.6639,     15.5383
     131,          2.166667,      0.0700,     22.4829,     15.0235
     132,          2.183333,      0.0684,     21.4844,     14.5092
     133,          2.200000,      0.0669,     20.6284,     14.0071
     134,          2.216667,      0.0654,     19.8550,     13.5860
     135,          2.233333,      0.0641,     19.1552,     13.2416
     136,          2.250000,      0.0624,     18.5178,     12.9496
     137,          2.266667,      0.0610,     17.9362,     12.6916
     138,          2.283334,      0.0596,     17.4092,     12.4483
     139,          2.300000,      0.0582,     16.8980,     12.2071
     140,          2.316667,      0.0568,     16.4224,     11.9667
     141,          2.333333,      0.0555,     15.9628,     11.7300
     142,          2.350000,      0.0541,     15.5278,     11.4978
     143,          2.366667,      0.0528,     15.1208,     11.2919
     144,          2.383333,      0.0514,     14.8002,     11.0769
     145,          2.400000,      0.0501,     14.4469,     10.8512
     146,          2.416667,      0.0488,     14.1439,     10.6466
     147,          2.433333,      0.0475,     13.8235,     10.4678
     148,          2.450000,      0.0462,     13.5147,     10.2959
     149,          2.466667,      0.0449,     13.2473,     10.1159
     150,          2.483333,      0.0437,     12.9820,      9.9154
     151,          2.500000,      0.0424,     12.7292,      9.6863
     152,          2.516667,      0.0411,     12.4938,      9.4506
     153,          2.533334,      0.0399,     12.2404,      9.2118
     154,          2.550000,      0.0388,     12.0111,      8.9722
     155,          2.566667,      0.0376,     11.8109,      8.7734
     156,          2.583333,      0.0365,     11.5934,      8.5295
     157,          2.600000,      0.0355,     11.3806,      8.2820
     158,          2.616667,      0.0345,     11.1960,      8.0401
     159,          2.633333,      0.0335,     10.9794,      7.8019
     160,          2.650000,      0.0325,     10.6891,      7.6190
     161,          2.666667,      0.0316,     10.4519,      7.4503
     162,          2.683333,      0.0307,     10.2405,      7.2707
     163,          2.700000,      0.0297,     10.0280,      7.0937
     164,          2.716667,      0.0288,      9.7779,      6.8977
     165,          2.733334,      0.0280,      9.5623,      6.6974
     166,          2.750000,      0.0272,      9.3553,      6.4923
     167,          2.766667,      0.0263,      9.1280,      6.2765
     168,          2.783334,      0.0256,      8.9211,      6.0583
     169,          2.800000,      0.0248,      8.6747,      5.8262
     170,          2.816667,      0.0241,      8.4464,      5.5891
     171,          2.833333,      0.0234,      8.2568,      5.3457
     172,          2.850000,      0.0227,      8.0385,      5.1012
     173,          2.866667,      0.0220,      7.9053,      4.8443
     174,          2.883333,      0.0214,      7.6666,      4.6029
     175,          2.900000,      0.0208,      7.4602,      4.3574
     176,          2.916667,      0.0202,      7.2639,      4.1136
     177,          2.933333,      0.0196,      7.0608,      3.8861
     178,          2.950000,      0.0190,      6.8581,      3.6685
     179,          2.966667,      0.0185,      6.6828,      3.4649
     180,          2.983334,      0.0180,      6.4846,      3.2792
     181,          3.000000,      0.0175,      6.2768,      3.1061
