"EG15_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_010.tcf]","Time(h)","V FC01.1_R [EG15_010]","V FC01.2_R [EG15_010]","V FC04.1_C [EG15_010]","V Pipe0 [EG15_010]","V Pipe1 [EG15_010]","V Pipe10 [EG15_010]","V Pipe11 [EG15_010]","V Pipe12 [EG15_010]","V Pipe13 [EG15_010]","V Pipe14 [EG15_010]","V Pipe15 [EG15_010]","V Pipe16 [EG15_010]","V Pipe17 [EG15_010]","V Pipe19 [EG15_010]","V Pipe2 [EG15_010]","V Pipe3 [EG15_010]","V Pipe4 [EG15_010]","V Pipe5 [EG15_010]","V Pipe6 [EG15_010]","V Pipe7 [EG15_010]","V Pipe8 [EG15_010]","V Pipe9 [EG15_010]","V Pit1 [EG15_010]","V Pit10 [EG15_010]","V Pit11 [EG15_010]","V Pit12 [EG15_010]","V Pit13 [EG15_010]","V Pit15 [EG15_010]","V Pit16 [EG15_010]","V Pit17 [EG15_010]","V Pit18 [EG15_010]","V Pit19 [EG15_010]","V Pit2 [EG15_010]","V Pit3 [EG15_010]","V Pit4 [EG15_010]","V Pit5 [EG15_010]","V Pit6 [EG15_010]","V Pit7 [EG15_010]","V Pit8 [EG15_010]","V Pit9 [EG15_010]"
      23,          0.366667,    2.347,    0.397,    0.978,    0.086,    0.184,    0.856,    0.295,    0.560,    0.117,   -0.000,    0.313,    0.001,   -0.123,    0.746,    0.064,    0.284,    0.558,    0.706,    0.329,    0.413,    0.724,    0.872,    0.136,   -0.092,   -0.060,   -0.063,   -0.097,   -0.262,   -0.076,    0.096,    0.252,    0.297,    0.110,    0.075,    0.732,    0.307,    0.051,   -0.016,   -0.193,   -0.138
      24,          0.383333,    2.424,    1.153,    1.005,    0.050,    0.114,    0.815,    0.244,    0.478,    0.094,   -0.000,    0.277,    0.001,   -0.104,    0.746,    0.065,    0.273,    0.547,    0.641,    0.296,    0.411,    0.719,    0.858,    0.075,   -0.077,   -0.048,   -0.053,   -0.087,   -0.198,   -0.164,    0.083,    0.244,    0.290,    0.065,    0.456,    0.595,    0.277,    0.050,   -0.040,   -0.195,   -0.121
      25,          0.400000,    2.511,   -0.480,    1.027,    0.038,    0.090,    0.762,    0.204,    0.420,    0.075,   -0.005,    0.243,    0.001,   -0.094,    0.731,    0.065,    0.267,    0.542,    0.569,    0.259,    0.408,    0.712,    0.842,    0.054,   -0.066,   -0.041,   -0.046,   -0.075,   -0.161,   -0.213,    0.070,    0.238,    0.285,    0.050,    0.368,    0.530,    0.259,    0.049,   -0.070,   -0.178,   -0.112
      26,          0.416667,    2.605,   -0.184,    1.047,    0.031,    0.077,    0.706,    0.178,    0.378,    0.065,   -0.004,    0.206,    0.001,   -0.079,    0.689,    0.064,    0.264,    0.559,    0.488,    0.222,    0.404,    0.704,    0.820,    0.042,   -0.058,   -0.035,   -0.038,   -0.064,   -0.136,   -0.242,    0.062,    0.231,    0.280,    0.042,    0.341,    0.486,    0.248,    0.047,   -0.101,   -0.168,   -0.104
      27,          0.433333,    2.705,    0.709,    1.063,    0.024,    0.060,    0.639,    0.155,    0.341,    0.057,    0.000,    0.170,    0.001,   -0.063,    0.664,    0.061,    0.257,    0.542,    0.417,    0.183,    0.401,    0.697,    0.801,    0.031,   -0.050,   -0.029,   -0.032,   -0.053,   -0.119,   -0.259,    0.051,    0.226,    0.276,    0.032,    0.325,    0.436,    0.235,    0.044,   -0.128,   -0.153,   -0.096
      28,          0.450000,    2.808,   -0.075,    1.078,    0.016,    0.042,    0.572,    0.138,    0.308,    0.049,    0.000,    0.134,    0.001,   -0.046,    0.656,    0.056,    0.252,    0.504,    0.361,    0.147,    0.398,    0.689,    0.781,    0.020,   -0.046,   -0.025,   -0.023,   -0.043,   -0.112,   -0.250,    0.036,    0.221,    0.272,    0.023,    0.232,    0.404,    0.225,    0.040,   -0.147,   -0.137,   -0.088
      29,          0.466667,    2.927,    1.051,    1.091,    0.009,    0.023,    0.511,    0.119,    0.273,    0.041,    0.000,    0.113,    0.001,   -0.039,    0.614,    0.049,    0.244,    0.488,    0.321,    0.124,    0.395,    0.681,    0.756,    0.011,   -0.040,   -0.021,   -0.020,   -0.036,   -0.102,   -0.216,    0.026,    0.216,    0.269,    0.012,    0.197,    0.374,    0.215,    0.035,   -0.161,   -0.124,   -0.080
      30,          0.483333,    3.054,    0.965,    1.102,    0.004,    0.004,    0.455,    0.102,    0.238,    0.036,    0.000,    0.095,    0.001,   -0.032,    0.560,    0.042,    0.231,    0.480,    0.288,    0.106,    0.391,    0.673,    0.727,    0.005,   -0.034,   -0.018,   -0.016,   -0.031,   -0.094,   -0.177,    0.013,    0.211,    0.265,    0.001,    0.146,    0.368,    0.200,    0.029,   -0.167,   -0.113,   -0.071
      31,          0.500000,    3.180,    1.006,    1.111,    0.002,    0.000,    0.410,    0.087,    0.208,    0.029,    0.000,    0.081,    0.001,   -0.026,    0.504,    0.032,    0.223,    0.467,    0.258,    0.092,    0.387,    0.662,    0.693,    0.002,   -0.029,   -0.015,   -0.013,   -0.027,   -0.087,   -0.144,   -0.001,    0.205,    0.261,   -0.001,    0.072,    0.350,    0.190,    0.022,   -0.160,   -0.105,   -0.063
      32,          0.516667,    3.301,    0.631,    1.119,    0.000,   -0.016,    0.375,    0.077,    0.187,    0.025,    0.000,    0.068,    0.001,   -0.021,    0.447,    0.021,    0.214,    0.449,    0.222,    0.077,    0.382,    0.650,    0.655,    0.001,   -0.026,   -0.012,   -0.010,   -0.023,   -0.075,   -0.120,   -0.016,    0.200,    0.257,   -0.012,    0.026,    0.328,    0.180,    0.015,   -0.146,   -0.098,   -0.057
