"EG15_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_006.tcf]","Time (h)","H FC01.1_R.1 [EG15_006]","H FC01.1_R.2 [EG15_006]","H FC01.2_R.1 [EG15_006]","H FC01.2_R.2 [EG15_006]","H FC04.1_C.1 [EG15_006]","H FC04.1_C.2 [EG15_006]","H mh1 [EG15_006]","H mh2 [EG15_006]","H mh3 [EG15_006]","H mh4 [EG15_006]","H Pipe16.2 [EG15_006]","H Pit1 [EG15_006]","H Pit1.1 [EG15_006]","H Pit11 [EG15_006]","H Pit11.1 [EG15_006]","H Pit12 [EG15_006]","H Pit12.1 [EG15_006]","H Pit14 [EG15_006]","H Pit14.1 [EG15_006]","H Pit15 [EG15_006]","H Pit15.1 [EG15_006]","H Pit16 [EG15_006]","H Pit16.1 [EG15_006]","H Pit18 [EG15_006]","H Pit18.1 [EG15_006]","H Pit19 [EG15_006]","H Pit19.1 [EG15_006]","H Pit2 [EG15_006]","H Pit2.1 [EG15_006]","H Pit4 [EG15_006]","H Pit4.1 [EG15_006]","H Pit5 [EG15_006]","H Pit5.1 [EG15_006]","H Pit6 [EG15_006]","H Pit6.1 [EG15_006]","H Pit7 [EG15_006]","H Pit7.1 [EG15_006]","H Pit8 [EG15_006]","H Pit8.1 [EG15_006]","H Pit9 [EG15_006]","H Pit9.1 [EG15_006]"
      23,          0.366667,     46.2424,     45.1136,     37.7735,     37.7199,     43.5726,     42.9256,     43.2708,     43.0806,     43.0860,     43.3386,     43.0799,     43.2822,     43.2893,     43.0779,     43.0634,     43.0754,     43.0632,     43.0819,     43.0633,     43.1051,     43.0646,     43.1758,     43.1728,     43.3785,     43.4157,     43.3997,     43.4463,     43.2779,     43.2876,     43.3004,     43.3343,     43.3152,     43.3464,     43.3424,     43.3494,     43.2262,     43.2224,     43.1287,     43.0976,     43.0934,     43.0636
      24,          0.383333,     46.2990,     45.1722,     37.7705,     37.7555,     43.5862,     42.9353,     43.2771,     43.1076,     43.1119,     43.3424,     43.1069,     43.2874,     43.2934,     43.1049,     43.0929,     43.1027,     43.0926,     43.1086,     43.0920,     43.1287,     43.0924,     43.1854,     43.1782,     43.3814,     43.4180,     43.4023,     43.4485,     43.2835,     43.2917,     43.3082,     43.3385,     43.3216,     43.3512,     43.3461,     43.3528,     43.2322,     43.2266,     43.1448,     43.1083,     43.1179,     43.0932
      25,          0.400000,     46.3643,     45.2333,     37.7728,     37.8119,     43.5984,     42.9432,     43.2820,     43.1333,     43.1367,     43.3457,     43.1326,     43.2916,     43.2970,     43.1304,     43.1202,     43.1288,     43.1203,     43.1342,     43.1202,     43.1513,     43.1200,     43.1947,     43.1827,     43.3837,     43.4197,     43.4043,     43.4501,     43.2879,     43.2954,     43.3128,     43.3434,     43.3257,     43.3546,     43.3492,     43.3554,     43.2382,     43.2306,     43.1642,     43.1261,     43.1411,     43.1200
      26,          0.416667,     46.4377,     45.2977,     37.8370,     37.8426,     43.6087,     42.9502,     43.2873,     43.1571,     43.1603,     43.3494,     43.1565,     43.2957,     43.3003,     43.1545,     43.1457,     43.1531,     43.1459,     43.1606,     43.1462,     43.1725,     43.1466,     43.2005,     43.1866,     43.3845,     43.4211,     43.4060,     43.4512,     43.2922,     43.2989,     43.3157,     43.3474,     43.3293,     43.3574,     43.3521,     43.3575,     43.2404,     43.2341,     43.1830,     43.1475,     43.1656,     43.1455
      27,          0.433333,     46.5194,     45.3666,     37.9105,     37.9054,     43.6177,     42.9562,     43.2900,     43.1791,     43.1824,     43.3520,     43.1785,     43.2989,     43.3032,     43.1771,     43.1696,     43.1758,     43.1700,     43.1824,     43.1702,     43.1869,     43.1705,     43.2239,     43.1913,     43.3862,     43.4219,     43.4073,     43.4520,     43.2959,     43.3020,     43.3216,     43.3504,     43.3321,     43.3597,     43.3545,     43.3592,     43.2500,     43.2373,     43.2021,     43.1697,     43.1873,     43.1693
      28,          0.450000,     46.6057,     45.4338,     37.9825,     37.9899,     43.6261,     42.9615,     43.2945,     43.1993,     43.2028,     43.3535,     43.1986,     43.3024,     43.3059,     43.1979,     43.1915,     43.1964,     43.1917,     43.2020,     43.1914,     43.2051,     43.1917,     43.2361,     43.2003,     43.3908,     43.4228,     43.4084,     43.4527,     43.2999,     43.3048,     43.3250,     43.3530,     43.3348,     43.3616,     43.3568,     43.3607,     43.2663,     43.2405,     43.2155,     43.1912,     43.2074,     43.1910
      29,          0.466667,     46.7104,     45.5131,     38.1096,     38.0652,     43.6334,     42.9662,     43.2995,     43.2180,     43.2212,     43.3562,     43.2174,     43.3060,     43.3084,     43.2168,     43.2114,     43.2153,     43.2112,     43.2205,     43.2113,     43.2224,     43.2113,     43.2492,     43.2144,     43.3923,     43.4236,     43.4095,     43.4533,     43.3039,     43.3075,     43.3283,     43.3553,     43.3375,     43.3633,     43.3591,     43.3621,     43.2742,     43.2443,     43.2323,     43.2110,     43.2255,     43.2110
      30,          0.483333,     46.8266,     45.6010,     38.2115,     38.1576,     43.6393,     42.9702,     43.3048,     43.2357,     43.2383,     43.3591,     43.2351,     43.3096,     43.3110,     43.2343,     43.2296,     43.2332,     43.2298,     43.2380,     43.2299,     43.2400,     43.2298,     43.2625,     43.2309,     43.3940,     43.4243,     43.4108,     43.4540,     43.3082,     43.3102,     43.3317,     43.3574,     43.3401,     43.3649,     43.3615,     43.3633,     43.2828,     43.2501,     43.2482,     43.2294,     43.2421,     43.2292
      31,          0.500000,     46.9465,     45.6933,     38.3378,     38.2114,     43.6445,     42.9740,     43.3106,     43.2518,     43.2543,     43.3624,     43.2512,     43.3134,     43.3139,     43.2507,     43.2467,     43.2496,     43.2468,     43.2540,     43.2468,     43.2585,     43.2467,     43.2724,     43.2475,     43.3957,     43.4250,     43.4121,     43.4544,     43.3124,     43.3130,     43.3346,     43.3594,     43.3432,     43.3664,     43.3640,     43.3645,     43.2925,     43.2590,     43.2635,     43.2462,     43.2578,     43.2463
      32,          0.516667,     47.0665,     45.7893,     38.3605,     38.3280,     43.6492,     42.9770,     43.3171,     43.2672,     43.2696,     43.3665,     43.2666,     43.3164,     43.3164,     43.2663,     43.2627,     43.2651,     43.2628,     43.2691,     43.2628,     43.2744,     43.2628,     43.2842,     43.2634,     43.3979,     43.4257,     43.4136,     43.4548,     43.3160,     43.3154,     43.3376,     43.3612,     43.3465,     43.3679,     43.3661,     43.3655,     43.3034,     43.2703,     43.2781,     43.2622,     43.2728,     43.2622
