"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Time(h)","V FC01.1_R [EG15_005]","V FC01.2_R [EG15_005]","V FC04.1_C [EG15_005]","V Pipe0 [EG15_005]","V Pipe1 [EG15_005]","V Pipe10 [EG15_005]","V Pipe11 [EG15_005]","V Pipe12 [EG15_005]","V Pipe13 [EG15_005]","V Pipe14 [EG15_005]","V Pipe15 [EG15_005]","V Pipe16 [EG15_005]","V Pipe17 [EG15_005]","V Pipe19 [EG15_005]","V Pipe2 [EG15_005]","V Pipe3 [EG15_005]","V Pipe4 [EG15_005]","V Pipe5 [EG15_005]","V Pipe6 [EG15_005]","V Pipe7 [EG15_005]","V Pipe8 [EG15_005]","V Pipe9 [EG15_005]","V Pit1 [EG15_005]","V Pit11 [EG15_005]","V Pit12 [EG15_005]","V Pit14 [EG15_005]","V Pit15 [EG15_005]","V Pit16 [EG15_005]","V Pit18 [EG15_005]","V Pit19 [EG15_005]","V Pit2 [EG15_005]","V Pit4 [EG15_005]","V Pit5 [EG15_005]","V Pit6 [EG15_005]","V Pit7 [EG15_005]","V Pit8 [EG15_005]","V Pit9 [EG15_005]"
      31,          0.500000,    3.180,    1.006,    1.111,    0.014,    0.034,    0.507,    0.092,    0.266,    0.087,    0.015,    0.042,    0.001,   -0.036,    0.589,    0.041,    0.270,    0.557,    0.325,    0.148,    0.458,    0.813,    0.853,    0.017,   -0.037,   -0.026,   -0.054,   -0.092,   -0.149,    0.278,    0.320,    0.018,    0.478,    0.248,    0.030,   -0.184,   -0.126,   -0.090
      32,          0.516667,    3.301,    0.631,    1.119,    0.002,    0.001,    0.469,    0.082,    0.241,    0.077,    0.014,    0.036,    0.001,   -0.030,    0.526,    0.018,    0.254,    0.527,    0.287,    0.130,    0.448,    0.790,    0.806,    0.002,   -0.032,   -0.022,   -0.049,   -0.082,   -0.124,    0.266,    0.312,   -0.000,    0.433,    0.229,    0.013,   -0.176,   -0.119,   -0.083
      33,          0.533333,    3.457,    0.650,    1.126,   -0.002,   -0.023,    0.437,    0.074,    0.220,    0.070,    0.013,    0.029,    0.001,   -0.022,    0.467,    0.000,    0.236,    0.492,    0.245,    0.106,    0.437,    0.762,    0.760,   -0.002,   -0.029,   -0.018,   -0.040,   -0.072,   -0.115,    0.251,    0.303,   -0.016,    0.388,    0.208,   -0.000,   -0.168,   -0.113,   -0.076
      34,          0.550000,    3.656,    0.677,    1.132,   -0.012,   -0.054,    0.408,    0.068,    0.201,    0.064,    0.016,    0.020,    0.001,   -0.014,    0.404,   -0.021,    0.220,    0.460,    0.204,    0.085,    0.426,    0.736,    0.713,   -0.012,   -0.024,   -0.015,   -0.034,   -0.061,   -0.104,    0.237,    0.294,   -0.031,    0.349,    0.190,   -0.014,   -0.159,   -0.107,   -0.069
      35,          0.566667,    4.880,    0.695,    1.137,   -0.023,   -0.080,    0.380,    0.061,    0.184,    0.057,    0.014,    0.014,    0.001,   -0.009,    0.348,   -0.043,    0.202,    0.422,    0.163,    0.066,    0.416,    0.710,    0.665,   -0.022,   -0.022,   -0.011,   -0.027,   -0.050,   -0.090,    0.223,    0.285,   -0.040,    0.310,    0.172,   -0.029,   -0.149,   -0.102,   -0.064
      36,          0.583333,    5.397,    0.746,    1.142,   -0.033,   -0.102,    0.352,    0.056,    0.167,    0.052,    0.015,    0.007,    0.000,   -0.003,    0.270,   -0.065,    0.180,    0.375,    0.123,    0.047,    0.405,    0.684,    0.618,   -0.029,   -0.019,   -0.009,   -0.020,   -0.040,   -0.076,    0.211,    0.277,   -0.046,    0.265,    0.150,   -0.042,   -0.139,   -0.096,   -0.058
      37,          0.600000,    5.877,    0.848,    1.145,   -0.034,   -0.102,    0.326,    0.049,    0.150,    0.046,    0.014,    0.004,    0.000,    0.000,    0.201,   -0.083,    0.147,    0.305,    0.087,    0.030,    0.393,    0.657,    0.572,   -0.028,   -0.016,   -0.007,   -0.013,   -0.029,   -0.059,    0.198,    0.268,   -0.042,    0.207,    0.119,   -0.052,   -0.129,   -0.091,   -0.053
      38,          0.616667,    6.293,    0.961,    1.148,   -0.032,   -0.089,    0.292,    0.042,    0.133,    0.039,    0.011,    0.004,    0.000,    0.000,    0.144,   -0.099,    0.116,    0.236,    0.059,    0.020,    0.379,    0.625,    0.525,   -0.024,   -0.014,   -0.005,   -0.008,   -0.020,   -0.044,    0.184,    0.259,   -0.033,    0.151,    0.092,   -0.060,   -0.121,   -0.083,   -0.047
      39,          0.633333,    6.653,    1.115,    1.150,   -0.022,   -0.069,    0.261,    0.035,    0.116,    0.032,    0.009,    0.003,    0.000,    0.001,    0.100,   -0.109,    0.088,    0.171,    0.039,    0.012,    0.365,    0.593,    0.482,   -0.015,   -0.012,   -0.004,   -0.004,   -0.014,   -0.031,    0.169,    0.249,   -0.026,    0.100,    0.068,   -0.064,   -0.115,   -0.076,   -0.042
      40,          0.650000,    6.976,    1.290,    1.151,   -0.013,   -0.045,    0.234,    0.030,    0.102,    0.027,    0.007,    0.002,    0.000,    0.002,    0.070,   -0.116,    0.065,    0.118,    0.025,    0.006,    0.350,    0.558,    0.441,   -0.008,   -0.010,   -0.002,   -0.002,   -0.009,   -0.023,    0.154,    0.238,   -0.017,    0.061,    0.049,   -0.066,   -0.108,   -0.068,   -0.037
      41,          0.666667,    7.275,    1.491,    1.152,   -0.007,   -0.028,    0.208,    0.025,    0.089,    0.022,    0.006,    0.001,    0.000,    0.002,    0.048,   -0.116,    0.047,    0.079,    0.016,    0.003,    0.332,    0.521,    0.404,   -0.004,   -0.008,   -0.001,   -0.001,   -0.006,   -0.016,    0.139,    0.225,   -0.011,    0.035,    0.034,   -0.064,   -0.102,   -0.062,   -0.033
      42,          0.683333,    7.552,    1.686,    1.152,   -0.004,   -0.020,    0.183,    0.020,    0.076,    0.018,    0.004,    0.001,    0.000,    0.002,    0.031,   -0.113,    0.034,    0.053,    0.008,    0.001,    0.313,    0.482,    0.368,   -0.002,   -0.007,   -0.000,    0.000,   -0.004,   -0.012,    0.124,    0.212,   -0.008,    0.020,    0.023,   -0.060,   -0.096,   -0.056,   -0.029
      43,          0.700000,    7.766,    1.862,    1.151,   -0.002,   -0.012,    0.159,    0.016,    0.064,    0.014,    0.003,    0.001,    0.000,    0.002,    0.021,   -0.105,    0.025,    0.036,    0.004,    0.000,    0.291,    0.433,    0.328,   -0.001,   -0.005,   -0.000,    0.001,   -0.002,   -0.008,    0.103,    0.197,   -0.005,    0.011,    0.017,   -0.055,   -0.088,   -0.049,   -0.025
      44,          0.716667,    7.906,    2.039,    1.150,   -0.001,   -0.009,    0.132,    0.011,    0.052,    0.009,    0.001,    0.002,    0.000,    0.001,    0.014,   -0.095,    0.018,    0.026,    0.002,    0.000,    0.265,    0.377,    0.280,   -0.000,   -0.004,    0.001,    0.001,   -0.001,   -0.006,    0.080,    0.179,   -0.004,    0.007,    0.012,   -0.050,   -0.077,   -0.042,   -0.021
      45,          0.733333,    7.993,    2.200,    1.149,    0.000,   -0.005,    0.109,    0.009,    0.042,    0.006,    0.000,    0.002,    0.000,    0.001,    0.011,   -0.085,    0.014,    0.019,    0.002,    0.000,    0.240,    0.324,    0.237,    0.000,   -0.003,    0.001,    0.001,   -0.001,   -0.005,    0.059,    0.161,   -0.002,    0.005,    0.008,   -0.045,   -0.067,   -0.035,   -0.017
      46,          0.750000,    8.047,    2.362,    1.147,    0.000,   -0.003,    0.090,    0.006,    0.033,    0.004,    0.000,    0.002,    0.000,    0.001,    0.009,   -0.074,    0.011,    0.015,    0.001,    0.000,    0.216,    0.277,    0.201,    0.000,   -0.002,    0.001,    0.001,    0.000,   -0.004,    0.042,    0.144,   -0.001,    0.003,    0.006,   -0.039,   -0.058,   -0.030,   -0.014
      47,          0.766667,    8.081,    2.540,    1.145,    0.000,   -0.004,    0.072,    0.004,    0.025,    0.002,    0.000,    0.002,    0.000,    0.001,    0.005,   -0.064,    0.008,    0.011,    0.000,    0.000,    0.192,    0.234,    0.168,    0.000,   -0.001,    0.001,    0.001,    0.000,   -0.002,    0.028,    0.128,   -0.001,    0.003,    0.005,   -0.033,   -0.050,   -0.025,   -0.011
      48,          0.783333,    8.100,    2.750,    1.142,    0.000,   -0.001,    0.057,    0.002,    0.018,    0.000,    0.000,    0.001,    0.000,    0.001,    0.004,   -0.055,    0.006,    0.008,    0.000,    0.000,    0.170,    0.194,    0.138,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.002,    0.017,    0.112,   -0.001,    0.002,    0.003,   -0.029,   -0.042,   -0.020,   -0.008
      49,          0.800000,    8.111,    3.002,    1.139,    0.000,   -0.002,    0.045,    0.002,    0.013,    0.000,    0.000,    0.001,    0.000,    0.001,    0.002,   -0.045,    0.004,    0.006,    0.000,    0.000,    0.146,    0.160,    0.113,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.001,    0.009,    0.095,   -0.001,    0.002,    0.002,   -0.024,   -0.035,   -0.016,   -0.006
      50,          0.816667,    8.120,    3.288,    1.135,    0.000,   -0.000,    0.034,    0.002,    0.010,    0.000,    0.000,    0.002,    0.000,    0.001,    0.002,   -0.037,    0.002,    0.006,    0.000,    0.000,    0.123,    0.130,    0.091,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.001,    0.004,    0.079,    0.000,    0.003,    0.001,   -0.019,   -0.030,   -0.012,   -0.004
      51,          0.833333,    8.126,    3.548,    1.131,    0.000,    0.000,    0.026,    0.002,    0.007,    0.000,    0.000,    0.001,    0.000,    0.001,    0.001,   -0.030,    0.002,    0.003,    0.000,    0.000,    0.103,    0.105,    0.073,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.000,    0.001,    0.066,    0.000,    0.001,    0.001,   -0.016,   -0.024,   -0.010,   -0.002
      52,          0.850000,    8.131,    3.766,    1.127,    0.000,    0.000,    0.019,    0.001,    0.004,   -0.000,    0.000,    0.001,    0.000,    0.001,    0.001,   -0.023,    0.002,    0.004,    0.000,    0.000,    0.084,    0.083,    0.058,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.000,   -0.001,    0.053,    0.000,    0.001,    0.001,   -0.012,   -0.020,   -0.007,   -0.001
      53,          0.866667,    8.134,    3.939,    1.122,    0.000,    0.000,    0.013,    0.001,    0.002,   -0.000,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.018,    0.003,    0.001,    0.000,    0.000,    0.068,    0.065,    0.045,    0.000,    0.000,    0.001,    0.001,    0.000,    0.000,   -0.002,    0.042,    0.000,   -0.001,    0.002,   -0.010,   -0.016,   -0.005,   -0.000
      54,          0.883333,    8.136,    4.081,    1.117,    0.000,    0.000,    0.009,    0.001,    0.001,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.014,    0.000,    0.002,    0.000,    0.000,    0.054,    0.050,    0.035,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.002,    0.033,    0.000,    0.002,    0.000,   -0.007,   -0.014,   -0.004,    0.000
      55,          0.900000,    8.138,    4.200,    1.112,    0.000,    0.000,    0.006,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.010,    0.002,    0.001,    0.000,    0.000,    0.043,    0.038,    0.027,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.002,    0.026,    0.000,   -0.000,    0.001,   -0.005,   -0.011,   -0.003,    0.001
      56,          0.916667,    8.139,    4.303,    1.106,    0.000,    0.000,    0.004,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.007,    0.000,    0.000,    0.000,    0.000,    0.033,    0.030,    0.021,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.002,    0.019,    0.000,   -0.001,    0.000,   -0.004,   -0.009,   -0.002,    0.001
      57,          0.933333,    8.141,    4.393,    1.100,    0.000,    0.000,    0.002,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.005,    0.000,    0.004,    0.000,    0.000,    0.025,    0.022,    0.016,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.001,    0.015,    0.000,    0.003,    0.000,   -0.003,   -0.007,   -0.001,    0.000
      58,          0.950000,    8.141,    4.474,    1.094,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.003,    0.000,    0.002,    0.000,    0.000,    0.019,    0.017,    0.012,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.001,    0.011,    0.000,    0.002,    0.000,   -0.002,   -0.005,   -0.000,    0.000
      59,          0.966667,    8.141,    4.546,    1.088,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.002,    0.001,    0.000,    0.000,    0.000,    0.013,    0.012,    0.008,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.001,    0.008,    0.000,    0.000,    0.001,   -0.001,   -0.004,    0.000,    0.000
      60,          0.983333,    8.140,    4.612,    1.081,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.001,    0.001,    0.000,    0.000,    0.000,    0.009,    0.008,    0.006,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.000,    0.005,    0.000,   -0.001,    0.001,   -0.000,   -0.003,    0.000,    0.000
      61,          1.000000,    8.140,    4.672,    1.075,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.008,    0.007,    0.005,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.000,    0.004,    0.000,   -0.000,    0.000,   -0.000,   -0.002,    0.000,    0.000
      62,          1.016667,    8.139,    4.726,    1.067,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.000,    0.000,    0.001,    0.000,    0.000,    0.005,    0.005,    0.003,    0.000,    0.000,    0.001,    0.001,    0.000,    0.000,   -0.000,    0.003,    0.000,    0.000,    0.000,   -0.000,   -0.002,    0.000,    0.000
      63,          1.033333,    8.137,    4.777,    1.060,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.002,    0.000,    0.000,    0.003,    0.003,    0.002,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.000,    0.002,    0.000,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000
