"EG15_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_010.tcf]","Time (h)","H FC01.1_R.1 [EG15_010]","H FC01.1_R.2 [EG15_010]","H FC01.2_R.1 [EG15_010]","H FC01.2_R.2 [EG15_010]","H FC04.1_C.1 [EG15_010]","H FC04.1_C.2 [EG15_010]","H Pipe16.2 [EG15_010]","H Pit1 [EG15_010]","H Pit1.1 [EG15_010]","H Pit10 [EG15_010]","H Pit10.1 [EG15_010]","H Pit11 [EG15_010]","H Pit11.1 [EG15_010]","H Pit12 [EG15_010]","H Pit12.1 [EG15_010]","H Pit13 [EG15_010]","H Pit13.1 [EG15_010]","H Pit15 [EG15_010]","H Pit15.1 [EG15_010]","H Pit16 [EG15_010]","H Pit16.1 [EG15_010]","H Pit17 [EG15_010]","H Pit17.1 [EG15_010]","H Pit18 [EG15_010]","H Pit18.1 [EG15_010]","H Pit19 [EG15_010]","H Pit19.1 [EG15_010]","H Pit2 [EG15_010]","H Pit2.1 [EG15_010]","H Pit3 [EG15_010]","H Pit3.1 [EG15_010]","H Pit4 [EG15_010]","H Pit4.1 [EG15_010]","H Pit5 [EG15_010]","H Pit5.1 [EG15_010]","H Pit6 [EG15_010]","H Pit6.1 [EG15_010]","H Pit7 [EG15_010]","H Pit7.1 [EG15_010]","H Pit8 [EG15_010]","H Pit8.1 [EG15_010]","H Pit9 [EG15_010]","H Pit9.1 [EG15_010]","H Storage_Tank [EG15_010]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.7990,     41.6009,     43.2445,     40.7645,     42.7528,     40.6586,     42.7759,     40.5253,     42.8113,     39.9990,     42.8368,     40.9729,     42.9892,     41.1447,     43.1357,     41.3168,     43.2811,     41.4118,     43.3220,     41.6968,     43.3397,     41.4668,     43.2164,     41.3484,     43.2770,     41.4497,     43.3075,     41.8990,     43.2767,     41.6710,     43.2528,     41.1545,     43.1470,     40.9873,     43.0050,     40.8067,     42.8642,     40.8677
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8024,     41.6224,     43.2445,     40.7786,     42.7531,     40.6681,     42.7759,     40.5343,     42.8113,     40.0059,     42.8368,     40.9813,     42.9892,     41.1547,     43.1357,     41.3268,     43.2811,     41.4262,     43.3230,     41.7085,     43.3397,     41.4830,     43.2164,     41.3574,     43.2770,     41.4553,     43.3075,     41.9075,     43.2776,     41.6849,     43.2528,     41.1626,     43.1470,     40.9947,     43.0050,     40.8182,     42.8642,     40.8684
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8065,     41.6360,     43.2479,     40.7935,     42.7545,     40.6817,     42.7759,     40.5431,     42.8113,     40.0124,     42.8368,     40.9893,     42.9892,     41.1623,     43.1357,     41.3414,     43.2826,     41.4363,     43.3224,     41.7188,     43.3397,     41.5014,     43.2186,     41.3670,     43.2770,     41.4641,     43.3075,     41.9194,     43.2777,     41.6994,     43.2528,     41.1723,     43.1470,     41.0017,     43.0050,     40.8273,     42.8642,     40.8697
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8115,     41.6460,     43.2445,     40.8141,     42.7543,     40.7021,     42.7769,     40.5556,     42.8124,     40.0195,     42.8372,     40.9960,     42.9913,     41.1720,     43.1385,     41.3569,     43.2816,     41.4475,     43.3238,     41.7235,     43.3397,     41.5182,     43.2183,     41.3815,     43.2770,     41.4736,     43.3075,     41.9304,     43.2767,     41.7178,     43.2538,     41.1848,     43.1484,     41.0094,     43.0050,     40.8335,     42.8664,     40.8721
       5,          0.066667,     45.3990,     44.4990,     37.6067,     37.4990,     43.3490,     42.7508,     39.8197,     41.6590,     43.2504,     40.8360,     42.7554,     40.7309,     42.7774,     40.5828,     42.8135,     40.0324,     42.8382,     41.0049,     42.9892,     41.1840,     43.1357,     41.3769,     43.2818,     41.4562,     43.3225,     41.7316,     43.3419,     41.5335,     43.2185,     41.3997,     43.2770,     41.4851,     43.3075,     41.9437,     43.2778,     41.7316,     43.2545,     41.2006,     43.1470,     41.0225,     43.0050,     40.8439,     42.8642,     40.8767
       6,          0.083333,     45.3990,     44.4990,     37.6090,     37.4990,     43.3490,     42.7685,     39.8342,     41.6632,     43.2514,     40.8560,     42.7562,     40.7587,     42.7779,     40.6140,     42.8126,     40.0532,     42.8374,     41.0166,     42.9892,     41.2009,     43.1391,     41.3979,     43.2818,     41.4670,     43.3257,     41.7401,     43.3424,     41.5578,     43.2192,     41.4203,     43.2770,     41.4980,     43.3075,     41.9553,     43.2784,     41.7424,     43.2549,     41.2199,     43.1487,     41.0391,     43.0050,     40.8645,     42.8686,     40.8843
       7,          0.100000,     45.3990,     44.4990,     37.6124,     37.4990,     43.3490,     42.7827,     39.8615,     41.6583,     43.2445,     40.8816,     42.7581,     40.7860,     42.7787,     40.6478,     42.8132,     40.0874,     42.8389,     41.0341,     42.9892,     41.2236,     43.1357,     41.4198,     43.2839,     41.4875,     43.3239,     41.7527,     43.3437,     41.5741,     43.2202,     41.4460,     43.2770,     41.5145,     43.3085,     41.9676,     43.2789,     41.7535,     43.2556,     41.2436,     43.1488,     41.0599,     43.0077,     40.8892,     42.8642,     40.8960
       8,          0.116667,     45.3990,     44.4990,     37.6160,     37.5007,     43.3490,     42.7968,     39.9159,     41.6606,     43.2489,     40.9180,     42.7607,     40.8203,     42.7793,     40.6932,     42.8147,     40.1288,     42.8401,     41.0584,     42.9892,     41.2510,     43.1404,     41.4417,     43.2811,     41.5049,     43.3241,     41.7720,     43.3423,     41.5896,     43.2214,     41.4748,     43.2770,     41.5321,     43.3090,     41.9754,     43.2793,     41.7642,     43.2562,     41.2671,     43.1490,     41.0854,     43.0050,     40.9272,     42.8698,     40.9143
       9,          0.133333,     45.3990,     44.4990,     37.6204,     37.5094,     43.3490,     42.8035,     40.0062,     41.6750,     43.2445,     40.9593,     42.7637,     40.8613,     42.7803,     40.7348,     42.8155,     40.1737,     42.8419,     41.0881,     42.9892,     41.2780,     43.1391,     41.4639,     43.2842,     41.5281,     43.3250,     41.7889,     43.3433,     41.6107,     43.2234,     41.5016,     43.2770,     41.5502,     43.3097,     41.9869,     43.2802,     41.7685,     43.2566,     41.2908,     43.1483,     41.1120,     43.0050,     40.9688,     42.8642,     40.9409
      10,          0.150000,     45.3990,     44.4990,     37.6241,     37.5289,     43.3490,     42.8057,     40.1361,     41.6822,     43.2540,     41.0086,     42.7674,     40.9142,     42.7820,     40.7921,     42.8180,     40.2299,     42.8442,     41.1212,     42.9892,     41.3106,     43.1357,     41.4882,     43.2845,     41.5510,     43.3259,     41.8042,     43.3444,     41.6389,     43.2257,     41.5366,     43.2770,     41.5698,     43.3107,     41.9967,     43.2808,     41.7808,     43.2576,     41.3171,     43.1503,     41.1394,     43.0050,     41.0207,     42.8700,     40.9747
      11,          0.166667,     45.3990,     44.4990,     37.6272,     37.4990,     43.3490,     42.8066,     40.3104,     41.6924,     43.2445,     41.0559,     42.7721,     40.9684,     42.7835,     40.8564,     42.8204,     40.3197,     42.8461,     41.1587,     42.9892,     41.3465,     43.1357,     41.5159,     43.2811,     41.5708,     43.3268,     41.8180,     43.3456,     41.6599,     43.2277,     41.5716,     43.2770,     41.5904,     43.3118,     42.0118,     43.2822,     41.7963,     43.2589,     41.3449,     43.1485,     41.1680,     43.0074,     41.0702,     42.8713,     41.0137
      12,          0.183333,     45.3990,     44.4990,     37.6318,     37.5008,     43.3490,     42.8075,     40.4918,     41.7086,     43.2546,     41.1006,     42.7769,     41.0202,     42.7853,     40.9156,     42.8223,     40.5003,     42.8475,     41.2037,     42.9938,     41.3836,     43.1357,     41.5484,     43.2836,     41.5940,     43.3283,     41.8350,     43.3472,     41.6795,     43.2300,     41.6053,     43.2770,     41.6160,     43.3134,     42.0299,     43.2839,     41.8151,     43.2608,     41.3767,     43.1487,     41.2014,     43.0066,     41.1185,     42.8729,     41.0551
      13,          0.200000,     45.5333,     44.4990,     37.6104,     37.5275,     43.3579,     42.8085,     41.0601,     41.7237,     43.2504,     41.1477,     42.7811,     41.0783,     42.7871,     41.0576,     42.8237,     41.0550,     42.8486,     41.2453,     42.9920,     41.4202,     43.1395,     41.5854,     43.2844,     41.6191,     43.3299,     41.8530,     43.3491,     41.7016,     43.2328,     41.6409,     43.2881,     41.6499,     43.3151,     42.0490,     43.2859,     41.8396,     43.2636,     41.4131,     43.1490,     41.2401,     43.0077,     41.1698,     42.8744,     41.1028
      14,          0.216667,     45.7127,     44.4990,     37.7679,     37.5778,     43.3793,     42.8145,     41.4683,     41.7355,     43.2511,     41.5020,     42.7846,     41.4999,     42.7886,     41.4876,     42.8244,     41.4713,     42.8496,     41.4431,     42.9926,     41.4613,     43.1357,     41.6258,     43.2854,     41.6453,     43.3314,     41.8750,     43.3519,     41.7262,     43.2370,     41.6782,     43.2770,     41.6888,     43.3169,     42.0685,     43.2881,     41.8578,     43.2658,     41.4913,     43.1493,     41.4884,     43.0081,     41.5010,     42.8757,     41.4470
      15,          0.233333,     45.8228,     44.5526,     37.6302,     37.6128,     43.4010,     42.8280,     41.8985,     41.8232,     43.2521,     41.9570,     42.7877,     41.9463,     42.7904,     41.9303,     42.8254,     41.9006,     42.8504,     41.8535,     42.9932,     41.8339,     43.1387,     41.9333,     43.2864,     41.9301,     43.3351,     41.9317,     43.3585,     41.8215,     43.2410,     41.8183,     43.2770,     41.8152,     43.3184,     42.0866,     43.2902,     41.9410,     43.2708,     41.9429,     43.1496,     41.9467,     43.0086,     41.9526,     42.8771,     41.8673
      16,          0.250000,     45.9015,     44.6673,     37.7325,     37.6043,     43.4244,     42.8446,     42.6163,     42.5503,     43.2530,     42.8076,     42.8061,     42.7647,     42.7923,     42.7004,     42.8267,     42.6188,     42.8511,     42.5317,     42.9939,     42.5391,     43.1357,     43.0186,     43.2894,     43.0347,     43.3467,     43.0462,     43.3713,     42.5509,     43.2442,     42.5335,     43.2770,     42.5890,     43.3196,     42.5705,     43.2925,     43.0259,     43.2762,     42.9518,     43.1503,     42.9027,     43.0091,     42.8679,     42.8785,     42.5473
      17,          0.266667,     45.9588,     44.7498,     37.6874,     37.6242,     43.4490,     42.8562,     42.9145,     43.2276,     43.2538,     42.8963,     42.8575,     42.8889,     42.8492,     42.8932,     42.8676,     42.9163,     42.8956,     43.0245,     43.0196,     43.1110,     43.1406,     43.2918,     43.3028,     43.3344,     43.3643,     43.3500,     43.3893,     43.2285,     43.2491,     43.2078,     43.2770,     43.2251,     43.3205,     43.2464,     43.2945,     43.2967,     43.3042,     43.1626,     43.1628,     43.0401,     43.0394,     42.9468,     42.9205,     42.9590
      18,          0.283333,     46.0069,     44.8155,     37.7470,     37.6165,     43.4734,     42.8686,     42.9370,     43.2478,     43.2598,     42.9288,     42.8973,     42.9223,     42.8986,     42.9245,     42.8999,     42.9387,     42.9074,     43.0372,     43.0288,     43.1240,     43.1357,     43.3043,     43.3151,     43.3489,     43.3802,     43.3653,     43.4053,     43.2474,     43.2645,     43.2307,     43.2866,     43.2522,     43.3212,     43.2577,     43.2989,     43.3084,     43.3146,     43.1747,     43.1759,     43.0504,     43.0459,     42.9638,     42.9284,     42.9792
      19,          0.300000,     46.0548,     44.8760,     37.7001,     37.6435,     43.4970,     42.8814,     42.9629,     43.2607,     43.2733,     42.9590,     42.9358,     42.9526,     42.9351,     42.9549,     42.9334,     42.9636,     42.9314,     43.0476,     43.0338,     43.1400,     43.1404,     43.3161,     43.3268,     43.3624,     43.3951,     43.3786,     43.4186,     43.2604,     43.2724,     43.2439,     43.2812,     43.2726,     43.3218,     43.2811,     43.3112,     43.3195,     43.3244,     43.1872,     43.1892,     43.0633,     43.0551,     42.9839,     42.9434,     42.9987
      20,          0.316667,     46.1029,     44.9307,     37.6528,     37.6777,     43.5195,     42.8933,     42.9920,     43.2690,     43.2801,     42.9883,     42.9676,     42.9824,     42.9667,     42.9844,     42.9663,     42.9927,     42.9649,     43.0588,     43.0382,     43.1495,     43.1498,     43.3257,     43.3360,     43.3722,     43.4050,     43.3885,     43.4285,     43.2677,     43.2789,     43.2535,     43.2812,     43.2837,     43.3223,     43.2940,     43.3261,     43.3291,     43.3338,     43.1990,     43.2001,     43.0782,     43.0671,     43.0097,     42.9712,     43.0203
      21,          0.333333,     46.1494,     44.9903,     37.6848,     37.6793,     43.5393,     42.9049,     43.0203,     43.2753,     43.2861,     43.0182,     43.0000,     43.0123,     42.9992,     43.0136,     42.9982,     43.0209,     42.9970,     43.0701,     43.0427,     43.1590,     43.1564,     43.3339,     43.3429,     43.3812,     43.4120,     43.3991,     43.4419,     43.2790,     43.2829,     43.2625,     43.2872,     43.2958,     43.3243,     43.3044,     43.3355,     43.3373,     43.3420,     43.2090,     43.2096,     43.0945,     43.0783,     43.0365,     43.0018,     43.0415
      22,          0.350000,     46.1951,     45.0521,     37.7604,     37.7028,     43.5570,     42.9149,     43.0486,     43.2800,     43.2896,     43.0478,     43.0320,     43.0423,     43.0310,     43.0431,     43.0310,     43.0492,     43.0299,     43.0825,     43.0477,     43.1655,     43.1639,     43.3388,     43.3467,     43.3856,     43.4161,     43.4033,     43.4458,     43.2819,     43.2874,     43.2670,     43.2862,     43.3040,     43.3304,     43.3131,     43.3431,     43.3422,     43.3471,     43.2170,     43.2166,     43.1098,     43.0886,     43.0630,     43.0325,     43.0631
      23,          0.366667,     46.2424,     45.1136,     37.7355,     37.7288,     43.5726,     42.9256,     43.0767,     43.2850,     43.2939,     43.0771,     43.0629,     43.0714,     43.0620,     43.0720,     43.0622,     43.0770,     43.0620,     43.0983,     43.0636,     43.1765,     43.1710,     43.3427,     43.3496,     43.3888,     43.4191,     43.4064,     43.4486,     43.2854,     43.2914,     43.2744,     43.2869,     43.3128,     43.3376,     43.3222,     43.3496,     43.3460,     43.3512,     43.2231,     43.2218,     43.1248,     43.0966,     43.0872,     43.0626,     43.0875
      24,          0.383333,     46.2990,     45.1722,     37.8007,     37.7493,     43.5862,     42.9353,     43.1039,     43.2928,     43.2969,     43.1040,     43.0921,     43.0991,     43.0916,     43.0996,     43.0914,     43.1045,     43.0911,     43.1199,     43.0911,     43.1903,     43.1771,     43.3457,     43.3520,     43.3914,     43.4212,     43.4087,     43.4507,     43.2898,     43.2950,     43.2790,     43.2917,     43.3211,     43.3438,     43.3282,     43.3540,     43.3492,     43.3545,     43.2299,     43.2261,     43.1397,     43.1071,     43.1134,     43.0921,     43.1140
      25,          0.400000,     46.3643,     45.2333,     37.7729,     37.8121,     43.5984,     42.9432,     43.1301,     43.2970,     43.3001,     43.1296,     43.1193,     43.1253,     43.1190,     43.1262,     43.1191,     43.1308,     43.1191,     43.1486,     43.1188,     43.1954,     43.1822,     43.3483,     43.3539,     43.3934,     43.4228,     43.4105,     43.4521,     43.2944,     43.2987,     43.2898,     43.2981,     43.3225,     43.3485,     43.3325,     43.3576,     43.3519,     43.3572,     43.2375,     43.2301,     43.1571,     43.1249,     43.1384,     43.1187,     43.1392
      26,          0.416667,     46.4377,     45.2977,     37.8372,     37.8446,     43.6087,     42.9502,     43.1543,     43.3006,     43.3032,     43.1539,     43.1450,     43.1499,     43.1445,     43.1507,     43.1448,     43.1550,     43.1451,     43.1666,     43.1454,     43.2119,     43.1858,     43.3479,     43.3555,     43.3949,     43.4239,     43.4121,     43.4531,     43.2983,     43.3020,     43.2856,     43.2985,     43.3290,     43.3524,     43.3356,     43.3603,     43.3542,     43.3593,     43.2482,     43.2341,     43.1762,     43.1461,     43.1612,     43.1441,     43.1624
      27,          0.433333,     46.5194,     45.3665,     37.9077,     37.8893,     43.6177,     42.9562,     43.1765,     43.3040,     43.3060,     43.1767,     43.1689,     43.1731,     43.1687,     43.1735,     43.1686,     43.1772,     43.1688,     43.1872,     43.1693,     43.2219,     43.1905,     43.3501,     43.3569,     43.3963,     43.4248,     43.4133,     43.4539,     43.3021,     43.3051,     43.2893,     43.3041,     43.3336,     43.3552,     43.3388,     43.3627,     43.3563,     43.3612,     43.2545,     43.2373,     43.1953,     43.1687,     43.1834,     43.1681,     43.1838
      28,          0.450000,     46.6057,     45.4338,     37.9823,     37.9898,     43.6261,     42.9615,     43.1964,     43.3072,     43.3086,     43.1976,     43.1905,     43.1943,     43.1904,     43.1941,     43.1904,     43.1970,     43.1903,     43.2093,     43.1907,     43.2316,     43.1996,     43.3522,     43.3581,     43.3976,     43.4255,     43.4143,     43.4545,     43.3057,     43.3077,     43.2945,     43.3137,     43.3388,     43.3568,     43.3413,     43.3646,     43.3582,     43.3627,     43.2621,     43.2402,     43.2129,     43.1903,     43.2038,     43.1900,     43.2028
      29,          0.466667,     46.7104,     45.5131,     38.1099,     38.0658,     43.6334,     42.9662,     43.2156,     43.3104,     43.3112,     43.2167,     43.2106,     43.2137,     43.2105,     43.2134,     43.2104,     43.2162,     43.2105,     43.2273,     43.2107,     43.2459,     43.2137,     43.3542,     43.3593,     43.3988,     43.4261,     43.4152,     43.4550,     43.3094,     43.3104,     43.2987,     43.3178,     43.3416,     43.3588,     43.3436,     43.3660,     43.3599,     43.3639,     43.2699,     43.2439,     43.2297,     43.2100,     43.2225,     43.2100,     43.2213
      30,          0.483333,     46.8266,     45.6011,     38.2121,     38.1576,     43.6393,     42.9702,     43.2334,     43.3135,     43.3139,     43.2342,     43.2290,     43.2315,     43.2288,     43.2316,     43.2291,     43.2341,     43.2293,     43.2440,     43.2291,     43.2563,     43.2303,     43.3564,     43.3604,     43.3999,     43.4267,     43.4161,     43.4555,     43.3128,     43.3127,     43.3110,     43.3179,     43.3379,     43.3607,     43.3467,     43.3675,     43.3617,     43.3650,     43.2785,     43.2495,     43.2460,     43.2286,     43.2394,     43.2284,     43.2387
      31,          0.500000,     46.9465,     45.6933,     38.3378,     38.2114,     43.6445,     42.9740,     43.2497,     43.3156,     43.3158,     43.2508,     43.2462,     43.2484,     43.2461,     43.2482,     43.2462,     43.2504,     43.2462,     43.2593,     43.2460,     43.2693,     43.2468,     43.3595,     43.3615,     43.4012,     43.4273,     43.4170,     43.4560,     43.3149,     43.3147,     43.3150,     43.3183,     43.3400,     43.3623,     43.3489,     43.3688,     43.3637,     43.3662,     43.2881,     43.2585,     43.2616,     43.2457,     43.2555,     43.2457,     43.2545
      32,          0.516667,     47.0665,     45.7893,     38.3605,     38.3280,     43.6492,     42.9770,     43.2652,     43.3183,     43.3185,     43.2663,     43.2622,     43.2641,     43.2622,     43.2639,     43.2623,     43.2659,     43.2623,     43.2739,     43.2623,     43.2831,     43.2629,     43.3614,     43.3627,     43.4025,     43.4277,     43.4178,     43.4562,     43.3179,     43.3165,     43.3192,     43.3207,     43.3427,     43.3640,     43.3513,     43.3701,     43.3656,     43.3672,     43.2991,     43.2698,     43.2762,     43.2617,     43.2707,     43.2618,     43.2696
      33,          0.533333,     47.2276,     45.8979,     38.4467,     38.4126,     43.6532,     42.9796,     43.2797,     43.3202,     43.3200,     43.2808,     43.2773,     43.2788,     43.2772,     43.2787,     43.2776,     43.2804,     43.2776,     43.2873,     43.2774,     43.2958,     43.2777,     43.3664,     43.3639,     43.4036,     43.4281,     43.4186,     43.4565,     43.3212,     43.3190,     43.3231,     43.3231,     43.3451,     43.3653,     43.3535,     43.3713,     43.3677,     43.3682,     43.3075,     43.2822,     43.2916,     43.2768,     43.2848,     43.2769,     43.2835
      34,          0.550000,     47.4445,     46.0330,     38.5529,     38.5161,     43.6568,     42.9817,     43.2932,     43.3232,     43.3227,     43.2949,     43.2917,     43.2930,     43.2916,     43.2925,     43.2918,     43.2938,     43.2916,     43.3000,     43.2914,     43.3119,     43.2917,     43.3692,     43.3650,     43.4049,     43.4284,     43.4195,     43.4567,     43.3245,     43.3218,     43.3212,     43.3254,     43.3476,     43.3665,     43.3558,     43.3724,     43.3692,     43.3692,     43.3183,     43.2947,     43.3049,     43.2912,     43.2985,     43.2914,     43.2966
      35,          0.566667,     47.6946,     46.1870,     38.6559,     38.6171,     43.6598,     42.9835,     43.3063,     43.3271,     43.3261,     43.3080,     43.3051,     43.3062,     43.3051,     43.3057,     43.3052,     43.3068,     43.3052,     43.3121,     43.3050,     43.3213,     43.3056,     43.3721,     43.3663,     43.4062,     43.4288,     43.4204,     43.4569,     43.3286,     43.3255,     43.3283,     43.3272,     43.3498,     43.3676,     43.3577,     43.3734,     43.3710,     43.3702,     43.3287,     43.3072,     43.3174,     43.3047,     43.3114,     43.3048,     43.3092
      36,          0.583333,     47.9655,     46.3056,     38.7738,     38.7292,     43.6624,     42.9851,     43.3182,     43.3322,     43.3309,     43.3203,     43.3178,     43.3186,     43.3177,     43.3180,     43.3177,     43.3188,     43.3177,     43.3230,     43.3178,     43.3281,     43.3179,     43.3751,     43.3678,     43.4076,     43.4292,     43.4213,     43.4571,     43.3340,     43.3306,     43.3374,     43.3305,     43.3528,     43.3688,     43.3603,     43.3746,     43.3732,     43.3714,     43.3387,     43.3192,     43.3289,     43.3173,     43.3234,     43.3175,     43.3206
      37,          0.600000,     48.2413,     46.4057,     38.8978,     38.8383,     43.6644,     42.9861,     43.3296,     43.3389,     43.3375,     43.3317,     43.3297,     43.3303,     43.3296,     43.3297,     43.3297,     43.3301,     43.3297,     43.3330,     43.3295,     43.3369,     43.3293,     43.3781,     43.3695,     43.4089,     43.4293,     43.4220,     43.4570,     43.3408,     43.3374,     43.3444,     43.3358,     43.3564,     43.3700,     43.3633,     43.3759,     43.3758,     43.3729,     43.3485,     43.3305,     43.3395,     43.3290,     43.3345,     43.3294,     43.3313
      38,          0.616667,     48.4994,     46.4905,     39.0307,     38.9544,     43.6661,     42.9871,     43.3400,     43.3468,     43.3456,     43.3424,     43.3406,     43.3411,     43.3406,     43.3405,     43.3406,     43.3406,     43.3406,     43.3428,     43.3405,     43.3456,     43.3401,     43.3815,     43.3716,     43.4103,     43.4294,     43.4228,     43.4568,     43.3483,     43.3453,     43.3517,     43.3431,     43.3608,     43.3719,     43.3673,     43.3777,     43.3788,     43.3752,     43.3576,     43.3412,     43.3494,     43.3402,     43.3448,     43.3404,     43.3413
      39,          0.633333,     48.7366,     46.5595,     39.1825,     39.0796,     43.6672,     42.9877,     43.3503,     43.3548,     43.3538,     43.3523,     43.3509,     43.3513,     43.3509,     43.3509,     43.3510,     43.3509,     43.3511,     43.3522,     43.3509,     43.3544,     43.3509,     43.3853,     43.3745,     43.4119,     43.4296,     43.4238,     43.4568,     43.3561,     43.3539,     43.3590,     43.3518,     43.3666,     43.3745,     43.3720,     43.3801,     43.3823,     43.3782,     43.3661,     43.3511,     43.3585,     43.3503,     43.3545,     43.3507,     43.3510
      40,          0.650000,     48.9611,     46.6237,     39.3524,     39.2149,     43.6678,     42.9881,     43.3599,     43.3633,     43.3628,     43.3618,     43.3607,     43.3609,     43.3606,     43.3606,     43.3607,     43.3605,     43.3607,     43.3612,     43.3605,     43.3629,     43.3604,     43.3889,     43.3781,     43.4138,     43.4299,     43.4250,     43.4567,     43.3643,     43.3627,     43.3666,     43.3612,     43.3726,     43.3780,     43.3772,     43.3833,     43.3864,     43.3820,     43.3748,     43.3607,     43.3674,     43.3602,     43.3637,     43.3604,     43.3600
      41,          0.666667,     49.1778,     46.6779,     39.5393,     39.3554,     43.6683,     42.9883,     43.3690,     43.3719,     43.3717,     43.3707,     43.3697,     43.3698,     43.3696,     43.3697,     43.3698,     43.3696,     43.3698,     43.3701,     43.3698,     43.3714,     43.3697,     43.3928,     43.3827,     43.4161,     43.4303,     43.4265,     43.4567,     43.3725,     43.3716,     43.3742,     43.3702,     43.3790,     43.3824,     43.3828,     43.3872,     43.3910,     43.3865,     43.3833,     43.3696,     43.3757,     43.3693,     43.3724,     43.3695,     43.3690
      42,          0.683333,     49.3877,     46.7278,     39.7198,     39.4849,     43.6683,     42.9882,     43.3775,     43.3796,     43.3795,     43.3791,     43.3783,     43.3784,     43.3783,     43.3783,     43.3784,     43.3781,     43.3783,     43.3784,     43.3783,     43.3794,     43.3784,     43.3986,     43.3877,     43.4181,     43.4307,     43.4278,     43.4566,     43.3802,     43.3796,     43.3815,     43.3787,     43.3854,     43.3876,     43.3885,     43.3917,     43.3960,     43.3913,     43.3896,     43.3778,     43.3836,     43.3778,     43.3806,     43.3781,     43.3774
      43,          0.700000,     49.5546,     46.8444,     39.8850,     39.5985,     43.6680,     42.9880,     43.3856,     43.3875,     43.3875,     43.3869,     43.3864,     43.3863,     43.3863,     43.3863,     43.3864,     43.3861,     43.3864,     43.3863,     43.3864,     43.3871,     43.3863,     43.4048,     43.3933,     43.4205,     43.4315,     43.4300,     43.4566,     43.3879,     43.3875,     43.3889,     43.3869,     43.3919,     43.3933,     43.3945,     43.3968,     43.4015,     43.3968,     43.3959,     43.3860,     43.3908,     43.3859,     43.3882,     43.3862,     43.3854
      44,          0.716667,     49.6662,     46.9975,     40.0407,     39.6972,     43.6674,     42.9876,     43.3933,     43.3949,     43.3949,     43.3944,     43.3940,     43.3939,     43.3940,     43.3941,     43.3941,     43.3939,     43.3942,     43.3940,     43.3942,     43.3946,     43.3941,     43.4103,     43.3993,     43.4233,     43.4326,     43.4323,     43.4568,     43.3952,     43.3950,     43.3961,     43.3946,     43.3986,     43.3995,     43.4008,     43.4025,     43.4071,     43.4026,     43.4023,     43.3936,     43.3978,     43.3936,     43.3955,     43.3938,     43.3931
      45,          0.733333,     49.7367,     47.1344,     40.1859,     39.7861,     43.6666,     42.9871,     43.4006,     43.4023,     43.4024,     43.4017,     43.4014,     43.4013,     43.4013,     43.4014,     43.4014,     43.4011,     43.4014,     43.4013,     43.4015,     43.4019,     43.4015,     43.4158,     43.4054,     43.4263,     43.4341,     43.4349,     43.4571,     43.4024,     43.4023,     43.4031,     43.4019,     43.4052,     43.4059,     43.4071,     43.4083,     43.4127,     43.4085,     43.4086,     43.4011,     43.4046,     43.4011,     43.4026,     43.4013,     43.4004
      46,          0.750000,     49.7804,     47.2341,     40.3269,     39.8657,     43.6656,     42.9865,     43.4077,     43.4094,     43.4094,     43.4086,     43.4085,     43.4084,     43.4085,     43.4085,     43.4085,     43.4082,     43.4086,     43.4083,     43.4085,     43.4088,     43.4085,     43.4211,     43.4117,     43.4301,     43.4361,     43.4383,     43.4576,     43.4092,     43.4092,     43.4099,     43.4088,     43.4117,     43.4122,     43.4133,     43.4143,     43.4181,     43.4144,     43.4145,     43.4082,     43.4111,     43.4082,     43.4094,     43.4083,     43.4075
      47,          0.766667,     49.8081,     47.2966,     40.4750,     39.9419,     43.6642,     42.9855,     43.4144,     43.4158,     43.4158,     43.4152,     43.4151,     43.4151,     43.4151,     43.4152,     43.4152,     43.4149,     43.4152,     43.4150,     43.4153,     43.4155,     43.4154,     43.4259,     43.4175,     43.4340,     43.4384,     43.4417,     43.4583,     43.4157,     43.4158,     43.4162,     43.4153,     43.4178,     43.4182,     43.4192,     43.4200,     43.4232,     43.4201,     43.4201,     43.4147,     43.4172,     43.4148,     43.4157,     43.4150,     43.4142
      48,          0.783333,     49.8239,     47.3324,     40.6457,     40.0209,     43.6625,     42.9843,     43.4207,     43.4220,     43.4220,     43.4216,     43.4216,     43.4215,     43.4216,     43.4215,     43.4216,     43.4213,     43.4216,     43.4213,     43.4215,     43.4216,     43.4215,     43.4307,     43.4233,     43.4380,     43.4409,     43.4450,     43.4590,     43.4220,     43.4220,     43.4223,     43.4216,     43.4237,     43.4240,     43.4249,     43.4254,     43.4283,     43.4257,     43.4256,     43.4212,     43.4231,     43.4213,     43.4220,     43.4215,     43.4206
