No,Channel,US Node,DS Node,US Channel,DS Channel,Flags,Length,Form Loss,n or Cd,pSlope,US Invert,DS Invert,LBUS Obvert,RBUS Obvert,LBDS Obvert,RBDS Obvert,pBlockage
    11,"Pipe15","Pit14","mh2","Pipe6","Pipe16","C",            13.8,   0.000,   0.015,   2.7,    40.869,    40.500,    41.469,    41.469,    41.100,    41.100,     0.000
    10,"Pipe16","mh2","Pipe16.2","Pipe15","------","C",            72.8,   0.000,   0.015,   1.0,    40.500,    39.800,    41.400,    41.400,    40.700,    40.700,     0.000
     9,"Pipe17","Pit12","mh2","Pipe14","Pipe16","C",            21.2,   0.000,   0.015,   0.1,    40.526,    40.500,    41.126,    41.126,    41.100,    41.100,     0.000
     4,"Pipe19","mh1","Pit16","Pipe1","Pipe5","C",            31.7,   0.000,   0.015,   2.2,    41.849,    41.146,    42.449,    42.449,    41.746,    41.746,     0.000
     6,"Pipe2","Pit6","mh4","------","Pipe9","C",            14.7,   0.000,   0.015,  -1.0,    41.672,    41.818,    42.272,    42.272,    42.418,    42.418,     0.000
     5,"Pipe3","Pit5","Pit4","------","Pipe4","C",            35.8,   0.000,   0.015,   1.3,    41.900,    41.451,    42.500,    42.500,    42.051,    42.051,     0.000
    19,"Pipe4","Pit4","mh1","Pipe3","Pipe19","C",            25.4,   0.000,   0.015,  -1.6,    41.451,    41.849,    42.051,    42.051,    42.449,    42.449,     0.000
     3,"Pipe5","Pit16","Pit15","Pipe19","Pipe6","C",            36.5,   0.000,   0.015,   0.5,    41.146,    40.974,    41.746,    41.746,    41.574,    41.574,     0.000
     2,"Pipe6","Pit15","Pit14","Pipe5","Pipe15","C",            31.4,   0.000,   0.015,   0.3,    40.974,    40.869,    41.574,    41.574,    41.469,    41.469,     0.000
     1,"Pipe7","Pit19","Pit18","------","Pipe8","C",            21.0,   0.000,   0.015,   1.4,    41.698,    41.413,    42.298,    42.298,    42.013,    42.013,     0.000
    18,"Pipe8","Pit18","mh4","Pipe7","Pipe9","C",            17.0,   0.000,   0.015,  -2.4,    41.413,    41.818,    42.013,    42.013,    42.418,    42.418,     0.000
    17,"Pipe9","mh4","Pit7","Pipe2","Pipe10","C",            30.0,   0.000,   0.015,   2.2,    41.818,    41.155,    42.418,    42.418,    41.755,    41.755,     0.000
    20,"Pit1","Pit1.1","Pit1","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.244,    43.244,    43.393,    43.393,    43.393,    43.393,     0.000
    28,"Pit11","Pit11.1","Pit11","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.776,    42.776,    42.924,    42.924,    42.924,    42.924,     0.000
    29,"Pit12","Pit12.1","Pit12","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.811,    42.811,    42.960,    42.960,    42.960,    42.960,     0.000
    30,"Pit14","Pit14.1","Pit14","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.860,    42.860,    43.008,    43.008,    43.008,    43.008,     0.000
    31,"Pit15","Pit15.1","Pit15","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.989,    42.989,    43.138,    43.138,    43.138,    43.138,     0.000
    32,"Pit16","Pit16.1","Pit16","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.136,    43.136,    43.284,    43.284,    43.284,    43.284,     0.000
    33,"Pit18","Pit18.1","Pit18","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.322,    43.322,    43.470,    43.470,    43.470,    43.470,     0.000
    34,"Pit19","Pit19.1","Pit19","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.340,    43.340,    43.488,    43.488,    43.488,    43.488,     0.000
    21,"Pit2","Pit2.1","Pit2","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.216,    43.216,    43.365,    43.365,    43.365,    43.365,     0.000
    22,"Pit4","Pit4.1","Pit4","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.308,    43.308,    43.456,    43.456,    43.456,    43.456,     0.000
    23,"Pit5","Pit5.1","Pit5","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.277,    43.277,    43.425,    43.425,    43.425,    43.425,     0.000
    24,"Pit6","Pit6.1","Pit6","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.253,    43.253,    43.401,    43.401,    43.401,    43.401,     0.000
    25,"Pit7","Pit7.1","Pit7","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.147,    43.147,    43.295,    43.295,    43.295,    43.295,     0.000
    26,"Pit8","Pit8.1","Pit8","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.005,    43.005,    43.153,    43.153,    43.153,    43.153,     0.000
    27,"Pit9","Pit9.1","Pit9","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.864,    42.864,    43.013,    43.013,    43.013,    43.013,     0.000
