"EG15_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_009.tcf]","Time(h)","V FC01.1_R [EG15_009]","V FC01.2_R [EG15_009]","V FC04.1_C [EG15_009]","V Pipe0 [EG15_009]","V Pipe1 [EG15_009]","V Pipe10 [EG15_009]","V Pipe11 [EG15_009]","V Pipe12 [EG15_009]","V Pipe13 [EG15_009]","V Pipe14 [EG15_009]","V Pipe15 [EG15_009]","V Pipe16 [EG15_009]","V Pipe17 [EG15_009]","V Pipe19 [EG15_009]","V Pipe2 [EG15_009]","V Pipe3 [EG15_009]","V Pipe4 [EG15_009]","V Pipe5 [EG15_009]","V Pipe6 [EG15_009]","V Pipe7 [EG15_009]","V Pipe8 [EG15_009]","V Pipe9 [EG15_009]","V Pit1 [EG15_009]","V Pit10 [EG15_009]","V Pit11 [EG15_009]","V Pit12 [EG15_009]","V Pit13 [EG15_009]","V Pit14 [EG15_009]","V Pit15 [EG15_009]","V Pit16 [EG15_009]","V Pit17 [EG15_009]","V Pit18 [EG15_009]","V Pit19 [EG15_009]","V Pit2 [EG15_009]","V Pit3 [EG15_009]","V Pit4 [EG15_009]","V Pit5 [EG15_009]","V Pit6 [EG15_009]","V Pit7 [EG15_009]","V Pit8 [EG15_009]","V Pit9 [EG15_009]"
      11,          0.166667,    0.000,    0.422,    0.000,    0.543,    0.768,    0.762,    0.396,    0.743,    0.954,    0.984,    0.767,    0.303,    1.001,    0.826,    0.624,    0.595,    0.659,    0.785,    0.758,    0.615,    0.698,    0.780,    0.000,    0.889,    0.966,    0.966,    0.966,    0.966,    0.000,    0.000,    0.000,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.966,    0.186,    0.966
      12,          0.183333,    0.000,    0.456,    0.000,    0.582,    0.806,    0.825,    0.464,    0.809,    1.037,    1.078,    0.881,    0.217,    1.108,    0.891,    0.666,    0.637,    0.506,    0.856,    0.833,    0.653,    0.746,    0.843,    0.725,    0.846,    0.966,    0.966,    0.966,    0.966,    0.725,    0.000,    0.966,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      13,          0.200000,    0.931,    0.084,    0.246,    0.618,    0.849,    0.894,    0.546,    0.883,    1.122,    1.174,    0.964,    0.127,    0.227,    0.957,    0.718,    0.679,    0.291,    0.924,    0.911,    0.692,    0.796,    0.912,    0.966,    0.819,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.925,    0.720,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      14,          0.216667,    1.429,    1.003,    0.418,    0.602,    0.895,    0.036,   -0.119,   -0.239,    0.162,    0.267,   -0.385,    0.016,    0.355,    1.027,    0.755,    0.720,    0.371,    0.263,   -0.066,    0.738,    0.846,    0.988,    0.966,    0.803,    0.966,    0.966,    0.966,    0.966,    0.966,    0.725,    0.966,    0.966,    0.966,    0.874,    0.000,    0.966,    0.966,    0.966,    0.966,    0.966,    0.966
      15,          0.233333,    1.662,    0.490,    0.524,    0.039,    0.098,   -0.109,   -0.003,   -0.109,    0.303,    0.422,   -0.553,    0.016,    0.509,   -0.260,    0.069,    0.757,    0.004,   -0.265,   -0.250,    0.526,    0.014,   -0.080,    0.966,    0.793,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.894,    0.840,    0.000,    0.966,    0.966,    0.903,    0.966,    0.966,    0.966
      16,          0.250000,    1.811,    0.847,    0.612,    0.047,    0.283,    0.548,    0.581,    0.497,    0.858,    0.954,   -0.960,    0.032,    1.008,    0.133,    0.187,   -0.317,   -0.222,    0.080,    0.022,    0.249,    0.421,    0.610,    0.966,    0.786,    0.963,    0.966,    0.966,    0.966,    0.966,    0.706,    0.966,    0.839,    0.802,    0.819,    0.000,    0.966,    0.935,    0.849,    0.966,    0.966,    0.960
      17,          0.266667,    1.911,    0.757,    0.690,    0.101,    0.386,    0.943,    0.691,    0.915,    0.271,   -0.079,    0.396,    0.003,   -0.325,    0.671,    0.092,    0.229,    0.343,    0.645,    0.694,    0.389,    0.697,    0.917,    0.966,   -0.252,   -0.284,   -0.289,   -0.091,   -0.199,    0.966,    0.000,    0.470,    0.578,    0.621,    0.807,    0.000,    0.966,    0.903,    0.142,    0.136,   -0.061,   -0.236
      18,          0.283333,    1.992,    0.943,    0.757,    0.135,    0.358,    0.952,    0.587,    0.884,    0.237,   -0.033,    0.464,    0.001,   -0.287,    0.777,    0.078,    0.239,    0.395,    0.810,    0.784,    0.396,    0.716,    0.920,    0.883,   -0.181,   -0.160,   -0.203,   -0.167,   -0.292,   -0.050,    0.725,    0.299,    0.433,    0.476,    0.404,    0.186,    0.966,    0.862,    0.100,    0.095,   -0.118,   -0.257
      19,          0.300000,    2.069,    0.759,    0.816,    0.150,    0.341,    0.958,    0.474,    0.855,    0.216,    0.024,    0.386,    0.001,   -0.163,    0.799,    0.061,    0.314,    0.465,    0.801,    0.740,    0.396,    0.729,    0.918,    0.401,   -0.134,   -0.099,   -0.116,   -0.161,   -0.261,   -0.117,    0.000,    0.224,    0.359,    0.395,    0.295,    0.186,    0.961,    0.758,    0.068,    0.078,   -0.142,   -0.273
      20,          0.316667,    2.144,    0.015,    0.868,    0.116,    0.302,    0.942,    0.433,    0.799,    0.209,    0.049,    0.326,    0.001,   -0.100,    0.785,    0.058,    0.319,    0.493,    0.814,    0.674,    0.396,    0.729,    0.911,    0.274,   -0.116,   -0.082,   -0.076,   -0.127,   -0.195,   -0.203,    0.363,    0.178,    0.316,    0.351,    0.224,    0.186,    0.951,    0.516,    0.057,    0.050,   -0.155,   -0.210
      21,          0.333333,    2.214,    0.393,    0.911,    0.101,    0.190,    0.924,    0.395,    0.738,    0.181,    0.033,    0.279,    0.001,   -0.091,    0.808,    0.058,    0.305,    0.479,    0.802,    0.580,    0.417,    0.734,    0.901,    0.220,   -0.111,   -0.076,   -0.064,   -0.095,   -0.133,   -0.251,    0.023,    0.139,    0.277,    0.321,    0.140,    0.725,    0.922,    0.420,    0.052,    0.030,   -0.166,   -0.178
      22,          0.350000,    2.280,    1.002,    0.947,    0.089,    0.228,    0.896,    0.355,    0.668,    0.162,    0.036,    0.213,    0.001,   -0.065,    0.769,    0.061,    0.304,    0.548,    0.775,    0.481,    0.415,    0.730,    0.887,    0.164,   -0.100,   -0.065,   -0.052,   -0.076,   -0.114,   -0.279,    0.021,    0.116,    0.263,    0.307,    0.138,    0.129,    0.855,    0.355,    0.051,    0.011,   -0.174,   -0.162
      23,          0.366667,    2.347,    0.397,    0.978,    0.068,    0.143,    0.865,    0.314,    0.586,    0.142,    0.036,    0.165,    0.002,   -0.045,    0.776,    0.064,    0.280,    0.550,    0.743,    0.398,    0.413,    0.725,    0.875,    0.117,   -0.088,   -0.054,   -0.041,   -0.058,   -0.098,   -0.267,   -0.068,    0.098,    0.253,    0.298,    0.083,    0.782,    0.721,    0.305,    0.051,   -0.010,   -0.187,   -0.141
      24,          0.383333,    2.424,    0.548,    1.005,    0.053,    0.121,    0.829,    0.263,    0.503,    0.113,    0.024,    0.144,    0.001,   -0.040,    0.758,    0.066,    0.275,    0.553,    0.678,    0.356,    0.411,    0.720,    0.862,    0.081,   -0.077,   -0.046,   -0.032,   -0.051,   -0.089,   -0.201,   -0.136,    0.085,    0.245,    0.291,    0.069,    0.498,    0.611,    0.281,    0.051,   -0.032,   -0.194,   -0.125
      25,          0.400000,    2.511,    1.237,    1.027,    0.041,    0.096,    0.779,    0.219,    0.436,    0.088,    0.013,    0.130,    0.001,   -0.040,    0.741,    0.066,    0.269,    0.547,    0.604,    0.324,    0.408,    0.714,    0.847,    0.059,   -0.067,   -0.038,   -0.027,   -0.043,   -0.081,   -0.146,   -0.191,    0.072,    0.238,    0.285,    0.053,    0.390,    0.539,    0.262,    0.050,   -0.060,   -0.180,   -0.112
      26,          0.416667,    2.605,    1.165,    1.047,    0.031,    0.074,    0.723,    0.188,    0.389,    0.074,    0.010,    0.117,    0.001,   -0.034,    0.722,    0.065,    0.265,    0.537,    0.532,    0.289,    0.405,    0.707,    0.826,    0.042,   -0.058,   -0.032,   -0.022,   -0.040,   -0.071,   -0.126,   -0.233,    0.063,    0.232,    0.281,    0.040,    0.363,    0.465,    0.250,    0.048,   -0.092,   -0.172,   -0.104
      27,          0.433333,    2.705,    0.444,    1.063,    0.026,    0.065,    0.656,    0.164,    0.351,    0.063,    0.009,    0.094,    0.001,   -0.028,    0.687,    0.062,    0.260,    0.544,    0.453,    0.240,    0.402,    0.699,    0.807,    0.034,   -0.052,   -0.027,   -0.018,   -0.032,   -0.061,   -0.109,   -0.251,    0.052,    0.227,    0.277,    0.035,    0.293,    0.448,    0.238,    0.045,   -0.120,   -0.157,   -0.097
      28,          0.450000,    2.808,   -0.087,    1.078,    0.020,    0.051,    0.588,    0.145,    0.317,    0.058,    0.011,    0.072,    0.001,   -0.018,    0.659,    0.057,    0.254,    0.523,    0.385,    0.197,    0.399,    0.691,    0.787,    0.025,   -0.045,   -0.024,   -0.014,   -0.026,   -0.050,   -0.097,   -0.248,    0.039,    0.222,    0.273,    0.027,    0.214,    0.429,    0.228,    0.041,   -0.141,   -0.141,   -0.089
      29,          0.466667,    2.927,    1.069,    1.091,    0.018,    0.047,    0.528,    0.126,    0.284,    0.049,    0.009,    0.059,    0.001,   -0.014,    0.629,    0.051,    0.247,    0.492,    0.341,    0.170,    0.396,    0.684,    0.763,    0.022,   -0.040,   -0.020,   -0.011,   -0.021,   -0.043,   -0.089,   -0.220,    0.029,    0.217,    0.270,    0.025,    0.139,    0.394,    0.217,    0.036,   -0.156,   -0.127,   -0.082
      30,          0.483333,    3.054,    0.983,    1.102,    0.011,    0.029,    0.470,    0.108,    0.248,    0.040,    0.006,    0.051,    0.001,   -0.013,    0.574,    0.044,    0.236,    0.487,    0.311,    0.151,    0.392,    0.675,    0.735,    0.013,   -0.035,   -0.017,   -0.009,   -0.018,   -0.038,   -0.083,   -0.182,    0.017,    0.212,    0.266,    0.016,    0.153,    0.350,    0.204,    0.031,   -0.166,   -0.115,   -0.072
      31,          0.500000,    3.180,    1.006,    1.111,    0.001,   -0.002,    0.423,    0.091,    0.216,    0.034,    0.005,    0.043,    0.001,   -0.010,    0.528,    0.034,    0.229,    0.463,    0.280,    0.134,    0.388,    0.664,    0.703,    0.001,   -0.029,   -0.014,   -0.007,   -0.016,   -0.034,   -0.076,   -0.144,    0.004,    0.206,    0.262,   -0.002,    0.066,    0.353,    0.195,    0.024,   -0.162,   -0.107,   -0.065
      32,          0.516667,    3.301,    0.631,    1.119,    0.000,   -0.007,    0.387,    0.079,    0.190,    0.027,    0.002,    0.038,    0.001,   -0.010,    0.476,    0.024,    0.219,    0.446,    0.252,    0.120,    0.383,    0.653,    0.664,    0.000,   -0.027,   -0.012,   -0.006,   -0.013,   -0.031,   -0.068,   -0.121,   -0.011,    0.201,    0.258,   -0.005,    0.048,    0.324,    0.184,    0.016,   -0.151,   -0.100,   -0.058
      33,          0.533333,    3.457,    0.650,    1.126,   -0.001,   -0.026,    0.356,    0.071,    0.172,    0.024,    0.003,    0.030,    0.001,   -0.006,    0.410,    0.012,    0.211,    0.441,    0.215,    0.101,    0.378,    0.641,    0.625,   -0.001,   -0.024,   -0.010,   -0.004,   -0.011,   -0.026,   -0.059,   -0.103,   -0.025,    0.195,    0.254,   -0.019,    0.010,    0.308,    0.176,    0.008,   -0.142,   -0.094,   -0.052
      34,          0.550000,    3.656,    0.677,    1.132,   -0.005,   -0.033,    0.325,    0.062,    0.154,    0.020,    0.003,    0.020,    0.001,   -0.003,    0.363,    0.001,    0.201,    0.410,    0.177,    0.079,    0.373,    0.629,    0.585,   -0.005,   -0.021,   -0.008,   -0.003,   -0.007,   -0.020,   -0.050,   -0.097,   -0.042,    0.189,    0.250,   -0.020,   -0.019,    0.280,    0.166,    0.001,   -0.134,   -0.089,   -0.048
      35,          0.566667,    4.880,    0.695,    1.137,   -0.009,   -0.042,    0.298,    0.056,    0.140,    0.018,    0.003,    0.014,    0.001,   -0.001,    0.315,   -0.006,    0.192,    0.386,    0.147,    0.064,    0.367,    0.614,    0.542,   -0.008,   -0.019,   -0.008,   -0.001,   -0.005,   -0.016,   -0.043,   -0.084,   -0.059,    0.182,    0.246,   -0.023,   -0.058,    0.265,    0.157,   -0.004,   -0.125,   -0.083,   -0.044
      36,          0.583333,    5.397,    0.746,    1.142,   -0.013,   -0.053,    0.272,    0.048,    0.123,    0.015,    0.003,    0.008,    0.000,    0.000,    0.242,   -0.018,    0.178,    0.374,    0.108,    0.045,    0.361,    0.601,    0.496,   -0.012,   -0.016,   -0.006,   -0.001,   -0.003,   -0.010,   -0.033,   -0.069,   -0.073,    0.176,    0.242,   -0.026,   -0.107,    0.252,    0.144,   -0.012,   -0.117,   -0.077,   -0.039
      37,          0.600000,    5.877,    0.848,    1.145,   -0.017,   -0.057,    0.239,    0.039,    0.105,    0.011,    0.001,    0.003,    0.000,    0.000,    0.180,   -0.031,    0.163,    0.335,    0.075,    0.030,    0.354,    0.585,    0.450,   -0.014,   -0.014,   -0.005,    0.000,   -0.000,   -0.005,   -0.023,   -0.054,   -0.084,    0.169,    0.237,   -0.025,   -0.118,    0.218,    0.130,   -0.020,   -0.110,   -0.070,   -0.034
      38,          0.616667,    6.293,    0.961,    1.148,   -0.016,   -0.057,    0.208,    0.032,    0.089,    0.009,    0.001,    0.000,    0.000,    0.000,    0.122,   -0.042,    0.140,    0.285,    0.049,    0.018,    0.346,    0.566,    0.405,   -0.013,   -0.012,   -0.004,    0.000,    0.001,   -0.001,   -0.015,   -0.038,   -0.094,    0.162,    0.232,   -0.024,   -0.119,    0.183,    0.110,   -0.026,   -0.103,   -0.062,   -0.029
      39,          0.633333,    6.653,    1.115,    1.150,   -0.013,   -0.044,    0.181,    0.025,    0.075,    0.006,    0.000,    0.000,    0.000,    0.000,    0.078,   -0.050,    0.108,    0.215,    0.028,    0.011,    0.337,    0.546,    0.364,   -0.009,   -0.010,   -0.003,    0.000,    0.001,    0.002,   -0.008,   -0.025,   -0.100,    0.152,    0.226,   -0.017,   -0.092,    0.128,    0.083,   -0.030,   -0.095,   -0.055,   -0.026
      40,          0.650000,    6.976,    1.290,    1.151,   -0.007,   -0.030,    0.155,    0.020,    0.063,    0.004,    0.000,    0.000,    0.000,    0.000,    0.052,   -0.054,    0.081,    0.154,    0.018,    0.007,    0.327,    0.521,    0.327,   -0.005,   -0.008,   -0.002,    0.000,    0.001,    0.004,   -0.005,   -0.018,   -0.102,    0.142,    0.220,   -0.012,   -0.064,    0.083,    0.060,   -0.032,   -0.089,   -0.048,   -0.022
      41,          0.666667,    7.275,    1.491,    1.152,   -0.002,   -0.017,    0.137,    0.017,    0.054,    0.003,    0.000,   -0.000,    0.000,    0.000,    0.033,   -0.056,    0.059,    0.106,    0.010,    0.005,    0.315,    0.493,    0.293,   -0.001,   -0.007,   -0.001,    0.000,    0.001,    0.005,   -0.002,   -0.012,   -0.101,    0.130,    0.211,   -0.007,   -0.046,    0.051,    0.043,   -0.032,   -0.081,   -0.043,   -0.019
      42,          0.683333,    7.552,    1.686,    1.152,   -0.002,   -0.013,    0.119,    0.013,    0.045,    0.002,    0.000,   -0.001,    0.000,    0.000,    0.020,   -0.057,    0.043,    0.073,    0.005,    0.003,    0.303,    0.465,    0.264,   -0.001,   -0.005,   -0.001,    0.000,    0.001,    0.005,   -0.001,   -0.008,   -0.098,    0.118,    0.204,   -0.006,   -0.030,    0.030,    0.030,   -0.031,   -0.074,   -0.039,   -0.016
      43,          0.700000,    7.766,    1.862,    1.151,    0.000,   -0.006,    0.099,    0.009,    0.036,    0.001,    0.000,   -0.001,    0.000,    0.000,    0.014,   -0.058,    0.031,    0.049,    0.003,    0.002,    0.285,    0.426,    0.225,    0.000,   -0.004,   -0.000,    0.000,    0.001,    0.005,   -0.000,   -0.006,   -0.092,    0.102,    0.192,   -0.003,   -0.021,    0.018,    0.021,   -0.031,   -0.066,   -0.033,   -0.014
      44,          0.716667,    7.906,    2.039,    1.150,    0.000,   -0.003,    0.083,    0.006,    0.028,    0.000,    0.000,   -0.001,    0.000,    0.000,    0.009,   -0.056,    0.022,    0.034,    0.001,    0.002,    0.267,    0.388,    0.193,    0.000,   -0.003,    0.000,    0.000,    0.001,    0.005,    0.001,   -0.004,   -0.085,    0.086,    0.180,   -0.001,   -0.014,    0.011,    0.014,   -0.029,   -0.057,   -0.028,   -0.011
      45,          0.733333,    7.993,    2.200,    1.149,    0.000,   -0.002,    0.068,    0.004,    0.022,    0.000,    0.000,   -0.001,    0.000,    0.000,    0.007,   -0.053,    0.016,    0.026,    0.001,    0.001,    0.248,    0.350,    0.164,    0.000,   -0.002,    0.000,    0.000,    0.001,    0.005,    0.001,   -0.003,   -0.078,    0.072,    0.167,   -0.001,   -0.010,    0.008,    0.010,   -0.028,   -0.050,   -0.024,   -0.009
      46,          0.750000,    8.047,    2.362,    1.147,    0.000,   -0.000,    0.055,    0.003,    0.017,    0.000,    0.000,   -0.001,    0.000,    0.000,    0.005,   -0.048,    0.012,    0.019,    0.000,    0.001,    0.225,    0.305,    0.137,    0.000,   -0.001,    0.000,    0.000,    0.001,    0.005,    0.001,   -0.002,   -0.068,    0.055,    0.151,    0.000,   -0.008,    0.006,    0.007,   -0.025,   -0.043,   -0.020,   -0.007
      47,          0.766667,    8.081,    2.540,    1.145,    0.000,   -0.001,    0.043,    0.001,    0.012,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.003,   -0.040,    0.010,    0.015,    0.000,    0.001,    0.202,    0.260,    0.113,    0.000,   -0.000,    0.000,    0.000,    0.001,    0.005,    0.001,   -0.001,   -0.058,    0.040,    0.134,   -0.000,   -0.007,    0.005,    0.006,   -0.021,   -0.036,   -0.016,   -0.005
      48,          0.783333,    8.100,    2.750,    1.142,    0.000,   -0.000,    0.032,    0.000,    0.008,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.002,   -0.034,    0.007,    0.010,    0.000,    0.000,    0.178,    0.220,    0.091,    0.000,    0.000,    0.000,    0.000,    0.001,    0.004,    0.001,   -0.001,   -0.050,    0.029,    0.118,    0.000,   -0.004,    0.002,    0.004,   -0.018,   -0.030,   -0.013,   -0.004
      49,          0.800000,    8.111,    3.002,    1.139,    0.000,    0.000,    0.025,    0.000,    0.005,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.027,    0.006,    0.007,    0.000,    0.000,    0.154,    0.181,    0.073,    0.000,    0.000,    0.000,    0.000,    0.001,    0.005,    0.001,    0.000,   -0.042,    0.017,    0.101,    0.000,   -0.003,    0.001,    0.003,   -0.014,   -0.025,   -0.010,   -0.002
      50,          0.816667,    8.120,    3.288,    1.135,    0.000,    0.000,    0.018,    0.000,    0.003,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.001,   -0.022,    0.004,    0.005,    0.000,    0.001,    0.131,    0.149,    0.058,    0.000,    0.000,    0.000,    0.000,    0.001,    0.004,    0.001,   -0.000,   -0.036,    0.011,    0.085,    0.000,   -0.002,    0.001,    0.002,   -0.011,   -0.021,   -0.008,   -0.001
      51,          0.833333,    8.126,    3.548,    1.131,    0.000,    0.000,    0.013,    0.000,    0.001,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.016,    0.002,    0.004,    0.000,    0.000,    0.110,    0.120,    0.045,    0.000,    0.000,    0.000,    0.000,    0.001,    0.004,    0.000,    0.000,   -0.031,    0.007,    0.071,    0.000,   -0.002,    0.001,    0.001,   -0.008,   -0.017,   -0.006,   -0.001
      52,          0.850000,    8.131,    3.766,    1.127,    0.000,    0.000,    0.008,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.012,    0.002,    0.004,    0.000,    0.000,    0.091,    0.097,    0.035,    0.000,    0.000,    0.000,    0.000,    0.001,    0.004,    0.000,    0.000,   -0.026,    0.004,    0.058,    0.000,   -0.002,    0.001,    0.002,   -0.006,   -0.014,   -0.004,    0.000
      53,          0.866667,    8.134,    3.939,    1.122,    0.000,    0.000,    0.005,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.008,    0.001,    0.001,    0.000,    0.000,    0.074,    0.077,    0.026,    0.000,    0.000,    0.000,    0.000,    0.001,    0.004,    0.000,    0.000,   -0.022,    0.002,    0.046,    0.000,   -0.001,    0.000,    0.001,   -0.004,   -0.011,   -0.003,    0.000
      54,          0.883333,    8.136,    4.081,    1.117,    0.000,    0.000,    0.003,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,   -0.006,    0.001,    0.002,    0.000,    0.000,    0.059,    0.061,    0.021,    0.000,    0.000,    0.000,    0.000,    0.001,    0.003,    0.000,    0.000,   -0.018,    0.001,    0.036,    0.000,   -0.001,    0.000,    0.001,   -0.003,   -0.009,   -0.002,    0.000
      55,          0.900000,    8.138,    4.200,    1.112,    0.000,    0.000,    0.002,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.003,    0.001,    0.001,    0.000,    0.000,    0.047,    0.047,    0.015,    0.000,    0.000,    0.000,    0.000,    0.000,    0.004,    0.000,    0.000,   -0.015,    0.001,    0.028,    0.000,   -0.000,   -0.000,    0.000,   -0.001,   -0.007,   -0.001,    0.000
      56,          0.916667,    8.139,    4.303,    1.106,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.002,    0.000,    0.003,    0.000,    0.000,    0.037,    0.037,    0.011,    0.000,    0.000,    0.000,    0.000,    0.001,    0.004,    0.000,    0.000,   -0.012,    0.000,    0.022,    0.000,   -0.001,    0.002,    0.000,   -0.001,   -0.005,   -0.000,    0.000
