"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time (h)","H FC01.1_R.1 [EG15_007]","H FC01.1_R.2 [EG15_007]","H FC01.2_R.1 [EG15_007]","H FC01.2_R.2 [EG15_007]","H FC04.1_C.1 [EG15_007]","H FC04.1_C.2 [EG15_007]","H Node20.1 [EG15_007]","H Node20.2 [EG15_007]","H Pit10.1 [EG15_007]","H Pit10.2 [EG15_007]","H Pit11.1 [EG15_007]","H Pit11.2 [EG15_007]","H Pit13.1 [EG15_007]","H Pit13.2 [EG15_007]","H Pit15.1 [EG15_007]","H Pit15.2 [EG15_007]","H Pit18.1 [EG15_007]","H Pit18.2 [EG15_007]","H Pit19.1 [EG15_007]","H Pit19.2 [EG15_007]","H Pit2.1 [EG15_007]","H Pit2.2 [EG15_007]","H Pit4.1 [EG15_007]","H Pit4.2 [EG15_007]","H Pit5.1 [EG15_007]","H Pit5.2 [EG15_007]","H Pit6.1 [EG15_007]","H Pit6.2 [EG15_007]","H Pit7.1 [EG15_007]","H Pit7.2 [EG15_007]","H Pit9.1 [EG15_007]","H Pit9.2 [EG15_007]"
     149,          2.466667,     46.5423,     45.4546,     39.2053,     39.1353,     43.4350,     42.8310,     39.9074,     39.9074,     42.7683,     42.7683,     42.7821,     42.7821,     42.8369,     42.8369,     42.9891,     42.9891,     43.3353,     43.3353,     43.3560,     43.3560,     43.2196,     43.2196,     43.3077,     43.3077,     43.2791,     43.2791,     43.2608,     43.2608,     43.1470,     43.1470,     42.8673,     42.8673
     150,          2.483333,     46.5272,     45.4416,     39.1842,     39.1171,     43.4337,     42.8299,     39.9064,     39.9064,     42.7676,     42.7676,     42.7819,     42.7819,     42.8369,     42.8369,     42.9891,     42.9891,     43.3349,     43.3349,     43.3554,     43.3554,     43.2193,     43.2193,     43.3074,     43.3074,     43.2790,     43.2790,     43.2603,     43.2603,     43.1472,     43.1472,     42.8670,     42.8670
     151,          2.500000,     46.5097,     45.4276,     39.1637,     39.0993,     43.4325,     42.8287,     39.9053,     39.9053,     42.7669,     42.7669,     42.7815,     42.7815,     42.8370,     42.8370,     42.9891,     42.9891,     43.3344,     43.3344,     43.3548,     43.3548,     43.2190,     43.2190,     43.3074,     43.3074,     43.2790,     43.2790,     43.2598,     43.2598,     43.1472,     43.1472,     42.8668,     42.8668
     152,          2.516667,     46.4917,     45.4118,     39.1436,     39.0815,     43.4311,     42.8275,     39.9044,     39.9044,     42.7663,     42.7663,     42.7812,     42.7812,     42.8367,     42.8367,     42.9891,     42.9891,     43.3340,     43.3340,     43.3542,     43.3542,     43.2187,     43.2187,     43.3074,     43.3074,     43.2789,     43.2789,     43.2595,     43.2595,     43.1471,     43.1471,     42.8666,     42.8666
     153,          2.533334,     46.4732,     45.3957,     39.1242,     39.0645,     43.4299,     42.8263,     39.9034,     39.9034,     42.7658,     42.7658,     42.7810,     42.7810,     42.8367,     42.8367,     42.9891,     42.9891,     43.3335,     43.3335,     43.3536,     43.3536,     43.2185,     43.2185,     43.3076,     43.3076,     43.2789,     43.2789,     43.2592,     43.2592,     43.1471,     43.1471,     42.8664,     42.8664
     154,          2.550000,     46.4545,     45.3794,     39.1056,     39.0481,     43.4287,     42.8251,     39.9026,     39.9026,     42.7653,     42.7653,     42.7807,     42.7807,     42.8367,     42.8367,     42.9891,     42.9891,     43.3331,     43.3331,     43.3531,     43.3531,     43.2184,     43.2184,     43.3074,     43.3074,     43.2789,     43.2789,     43.2589,     43.2589,     43.1471,     43.1471,     42.8662,     42.8662
     155,          2.566667,     46.4389,     45.3640,     39.0876,     39.0321,     43.4274,     42.8239,     39.9018,     39.9018,     42.7648,     42.7648,     42.7805,     42.7805,     42.8367,     42.8367,     42.9891,     42.9891,     43.3326,     43.3326,     43.3525,     43.3525,     43.2182,     43.2182,     43.3076,     43.3076,     43.2787,     43.2787,     43.2586,     43.2586,     43.1471,     43.1471,     42.8659,     42.8659
     156,          2.583333,     46.4195,     45.3472,     39.0703,     39.0169,     43.4262,     42.8228,     39.9014,     39.9014,     42.7643,     42.7643,     42.7802,     42.7802,     42.8367,     42.8367,     42.9891,     42.9891,     43.3322,     43.3322,     43.3520,     43.3520,     43.2181,     43.2181,     43.3074,     43.3074,     43.2784,     43.2784,     43.2584,     43.2584,     43.1471,     43.1471,     42.8657,     42.8657
     157,          2.600000,     46.3997,     45.3298,     39.0528,     39.0011,     43.4251,     42.8217,     39.9015,     39.9015,     42.7637,     42.7637,     42.7799,     42.7799,     42.8367,     42.8367,     42.9891,     42.9891,     43.3317,     43.3317,     43.3514,     43.3514,     43.2179,     43.2179,     43.3074,     43.3074,     43.2782,     43.2782,     43.2581,     43.2581,     43.1471,     43.1471,     42.8655,     42.8655
     158,          2.616667,     46.3801,     45.3119,     39.0358,     38.9859,     43.4239,     42.8206,     39.9005,     39.9005,     42.7635,     42.7635,     42.7797,     42.7797,     42.8368,     42.8368,     42.9891,     42.9891,     43.3313,     43.3313,     43.3511,     43.3511,     43.2178,     43.2178,     43.3074,     43.3074,     43.2780,     43.2780,     43.2578,     43.2578,     43.1469,     43.1469,     42.8653,     42.8653
     159,          2.633333,     46.3607,     45.2938,     39.0132,     38.9652,     43.4228,     42.8196,     39.8994,     39.8994,     42.7628,     42.7628,     42.7795,     42.7795,     42.8369,     42.8369,     42.9891,     42.9891,     43.3308,     43.3308,     43.3510,     43.3510,     43.2176,     43.2176,     43.3074,     43.3074,     43.2779,     43.2779,     43.2575,     43.2575,     43.1469,     43.1469,     42.8652,     42.8652
     160,          2.650000,     46.3456,     45.2781,     38.9915,     38.9460,     43.4217,     42.8185,     39.8986,     39.8986,     42.7623,     42.7623,     42.7793,     42.7793,     42.8367,     42.8367,     42.9891,     42.9891,     43.3307,     43.3307,     43.3508,     43.3508,     43.2175,     43.2175,     43.3074,     43.3074,     43.2778,     43.2778,     43.2572,     43.2572,     43.1469,     43.1469,     42.8650,     42.8650
     161,          2.666667,     46.3316,     45.2634,     38.9706,     38.9272,     43.4206,     42.8175,     39.8972,     39.8972,     42.7618,     42.7618,     42.7791,     42.7791,     42.8367,     42.8367,     42.9891,     42.9891,     43.3299,     43.3299,     43.3504,     43.3504,     43.2174,     43.2174,     43.3074,     43.3074,     43.2777,     43.2777,     43.2570,     43.2570,     43.1469,     43.1469,     42.8649,     42.8649
     162,          2.683333,     46.3166,     45.2488,     38.9499,     38.9081,     43.4195,     42.8165,     39.8958,     39.8958,     42.7614,     42.7614,     42.7792,     42.7792,     42.8367,     42.8367,     42.9891,     42.9891,     43.3294,     43.3294,     43.3498,     43.3498,     43.2172,     43.2172,     43.3076,     43.3076,     43.2776,     43.2776,     43.2567,     43.2567,     43.1472,     43.1472,     42.8647,     42.8647
     163,          2.700000,     46.3016,     45.2344,     38.9291,     38.8891,     43.4184,     42.8155,     39.8945,     39.8945,     42.7610,     42.7610,     42.7791,     42.7791,     42.8370,     42.8370,     42.9891,     42.9891,     43.3290,     43.3290,     43.3491,     43.3491,     43.2171,     43.2171,     43.3074,     43.3074,     43.2775,     43.2775,     43.2565,     43.2565,     43.1471,     43.1471,     42.8646,     42.8646
     164,          2.716667,     46.2849,     45.2190,     38.9077,     38.8696,     43.4173,     42.8144,     39.8936,     39.8936,     42.7607,     42.7607,     42.7791,     42.7791,     42.8367,     42.8367,     42.9891,     42.9891,     43.3285,     43.3285,     43.3485,     43.3485,     43.2169,     43.2169,     43.3074,     43.3074,     43.2774,     43.2774,     43.2563,     43.2563,     43.1469,     43.1469,     42.8641,     42.8641
     165,          2.733334,     46.2677,     45.2029,     38.8867,     38.8503,     43.4162,     42.8134,     39.8923,     39.8923,     42.7604,     42.7604,     42.7791,     42.7791,     42.8369,     42.8369,     42.9891,     42.9891,     43.3280,     43.3280,     43.3480,     43.3480,     43.2169,     43.2169,     43.3074,     43.3074,     43.2773,     43.2773,     43.2562,     43.2562,     43.1469,     43.1469,     42.8665,     42.8665
     166,          2.750000,     46.2499,     45.1870,     38.8659,     38.8310,     43.4152,     42.8124,     39.8915,     39.8915,     42.7602,     42.7602,     42.7786,     42.7786,     42.8367,     42.8367,     42.9891,     42.9891,     43.3277,     43.3277,     43.3476,     43.3476,     43.2167,     43.2167,     43.3074,     43.3074,     43.2772,     43.2772,     43.2561,     43.2561,     43.1469,     43.1469,     42.8641,     42.8641
     167,          2.766667,     46.2309,     45.1701,     38.8444,     38.8112,     43.4142,     42.8115,     39.8900,     39.8900,     42.7598,     42.7598,     42.7783,     42.7783,     42.8369,     42.8369,     42.9891,     42.9891,     43.3273,     43.3273,     43.3472,     43.3472,     43.2166,     43.2166,     43.3074,     43.3074,     43.2771,     43.2771,     43.2556,     43.2556,     43.1471,     43.1471,     42.8641,     42.8641
     168,          2.783334,     46.2116,     45.1522,     38.8229,     38.7921,     43.4132,     42.8106,     39.8889,     39.8889,     42.7594,     42.7594,     42.7781,     42.7781,     42.8367,     42.8367,     42.9891,     42.9891,     43.3270,     43.3270,     43.3468,     43.3468,     43.2165,     43.2165,     43.3074,     43.3074,     43.2771,     43.2771,     43.2552,     43.2552,     43.1469,     43.1469,     42.8641,     42.8641
     169,          2.800000,     46.1907,     45.1327,     38.8030,     38.7739,     43.4122,     42.8097,     39.8874,     39.8874,     42.7590,     42.7590,     42.7779,     42.7779,     42.8367,     42.8367,     42.9891,     42.9891,     43.3267,     43.3267,     43.3464,     43.3464,     43.2163,     43.2163,     43.3074,     43.3074,     43.2770,     43.2770,     43.2550,     43.2550,     43.1469,     43.1469,     42.8641,     42.8641
     170,          2.816667,     46.1691,     45.1104,     38.7823,     38.7548,     43.4112,     42.8088,     39.8861,     39.8861,     42.7587,     42.7587,     42.7778,     42.7778,     42.8369,     42.8369,     42.9891,     42.9891,     43.3263,     43.3263,     43.3460,     43.3460,     43.2174,     43.2174,     43.3075,     43.3075,     43.2769,     43.2769,     43.2548,     43.2548,     43.1470,     43.1470,     42.8641,     42.8641
     171,          2.833333,     46.1466,     45.0873,     38.7594,     38.7331,     43.4103,     42.8080,     39.8852,     39.8852,     42.7581,     42.7581,     42.7776,     42.7776,     42.8367,     42.8367,     42.9891,     42.9891,     43.3261,     43.3261,     43.3457,     43.3457,     43.2173,     43.2173,     43.3074,     43.3074,     43.2769,     43.2769,     43.2546,     43.2546,     43.1469,     43.1469,     42.8641,     42.8641
     172,          2.850000,     46.1237,     45.0616,     38.7350,     38.7101,     43.4093,     42.8072,     39.8840,     39.8840,     42.7579,     42.7579,     42.7775,     42.7775,     42.8367,     42.8367,     42.9891,     42.9891,     43.3258,     43.3258,     43.3454,     43.3454,     43.2173,     43.2173,     43.3074,     43.3074,     43.2768,     43.2768,     43.2545,     43.2545,     43.1470,     43.1470,     42.8641,     42.8641
     173,          2.866667,     46.0992,     45.0332,     38.7155,     38.6911,     43.4084,     42.8064,     39.8833,     39.8833,     42.7578,     42.7578,     42.7774,     42.7774,     42.8367,     42.8367,     42.9891,     42.9891,     43.3256,     43.3256,     43.3451,     43.3451,     43.2166,     43.2166,     43.3074,     43.3074,     43.2768,     43.2768,     43.2543,     43.2543,     43.1469,     43.1469,     42.8641,     42.8641
     174,          2.883333,     46.0757,     45.0024,     38.6938,     38.6699,     43.4075,     42.8057,     39.8823,     39.8823,     42.7576,     42.7576,     42.7773,     42.7773,     42.8367,     42.8367,     42.9891,     42.9891,     43.3254,     43.3254,     43.3448,     43.3448,     43.2163,     43.2163,     43.3074,     43.3074,     43.2768,     43.2768,     43.2540,     43.2540,     43.1469,     43.1469,     42.8641,     42.8641
     175,          2.900000,     46.0515,     44.9687,     38.6724,     38.6490,     43.4066,     42.8050,     39.8814,     39.8814,     42.7574,     42.7574,     42.7772,     42.7772,     42.8367,     42.8367,     42.9891,     42.9891,     43.3252,     43.3252,     43.3446,     43.3446,     43.2171,     43.2171,     43.3074,     43.3074,     43.2768,     43.2768,     43.2538,     43.2538,     43.1469,     43.1469,     42.8641,     42.8641
     176,          2.916667,     46.0269,     44.9330,     38.6507,     38.6276,     43.4057,     42.8044,     39.8804,     39.8804,     42.7572,     42.7572,     42.7771,     42.7771,     42.8367,     42.8367,     42.9891,     42.9891,     43.3251,     43.3251,     43.3443,     43.3443,     43.2165,     43.2165,     43.3074,     43.3074,     43.2768,     43.2768,     43.2536,     43.2536,     43.1470,     43.1470,     42.8641,     42.8641
     177,          2.933333,     46.0036,     44.8985,     38.6287,     38.6060,     43.4049,     42.8037,     39.8796,     39.8796,     42.7570,     42.7570,     42.7771,     42.7771,     42.8367,     42.8367,     42.9891,     42.9891,     43.3249,     43.3249,     43.3441,     43.3441,     43.2172,     43.2172,     43.3074,     43.3074,     43.2769,     43.2769,     43.2536,     43.2536,     43.1469,     43.1469,     42.8641,     42.8641
     178,          2.950000,     45.9809,     44.8645,     38.6064,     38.5841,     43.4041,     42.8032,     39.8791,     39.8791,     42.7569,     42.7569,     42.7770,     42.7770,     42.8367,     42.8367,     42.9891,     42.9891,     43.3248,     43.3248,     43.3439,     43.3439,     43.2163,     43.2163,     43.3074,     43.3074,     43.2769,     43.2769,     43.2535,     43.2535,     43.1469,     43.1469,     42.8641,     42.8641
     179,          2.966667,     45.9592,     44.8325,     38.5847,     38.5626,     43.4032,     42.8026,     39.8782,     39.8782,     42.7567,     42.7567,     42.7769,     42.7769,     42.8367,     42.8367,     42.9891,     42.9891,     43.3246,     43.3246,     43.3436,     43.3436,     43.2172,     43.2172,     43.3075,     43.3075,     43.2769,     43.2769,     43.2534,     43.2534,     43.1469,     43.1469,     42.8641,     42.8641
     180,          2.983334,     45.9390,     44.8024,     38.5622,     38.5405,     43.4025,     42.8021,     39.8776,     39.8776,     42.7566,     42.7566,     42.7768,     42.7768,     42.8367,     42.8367,     42.9891,     42.9891,     43.3244,     43.3244,     43.3434,     43.3434,     43.2171,     43.2171,     43.3074,     43.3074,     43.2766,     43.2766,     43.2533,     43.2533,     43.1471,     43.1471,     42.8641,     42.8641
     181,          3.000000,     45.9199,     44.7730,     38.5391,     38.5179,     43.4017,     42.8016,     39.8768,     39.8768,     42.7564,     42.7564,     42.7768,     42.7768,     42.8367,     42.8367,     42.9891,     42.9891,     43.3242,     43.3242,     43.3432,     43.3432,     43.2170,     43.2170,     43.3074,     43.3074,     43.2766,     43.2766,     43.2532,     43.2532,     43.1469,     43.1469,     42.8641,     42.8641
