"EG15_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_004.tcf]","Time (h)","Q FC01.1_R [EG15_004]","Q FC01.2_R [EG15_004]","Q FC04.1_C [EG15_004]","Q Pipe0 [EG15_004]","Q Pipe1 [EG15_004]","Q Pipe10 [EG15_004]","Q Pipe11 [EG15_004]","Q Pipe12 [EG15_004]","Q Pipe13 [EG15_004]","Q Pipe14 [EG15_004]","Q Pipe15 [EG15_004]","Q Pipe16 [EG15_004]","Q Pipe17 [EG15_004]","Q Pipe19 [EG15_004]","Q Pipe2 [EG15_004]","Q Pipe3 [EG15_004]","Q Pipe4 [EG15_004]","Q Pipe5 [EG15_004]","Q Pipe6 [EG15_004]","Q Pipe7 [EG15_004]","Q Pipe8 [EG15_004]","Q Pipe9 [EG15_004]","Q Pit1 [EG15_004]","Q Pit11 [EG15_004]","Q Pit12 [EG15_004]","Q Pit14 [EG15_004]","Q Pit15 [EG15_004]","Q Pit16 [EG15_004]","Q Pit18 [EG15_004]","Q Pit19 [EG15_004]","Q Pit2 [EG15_004]","Q Pit4 [EG15_004]","Q Pit5 [EG15_004]","Q Pit6 [EG15_004]","Q Pit7 [EG15_004]","Q Pit8 [EG15_004]","Q Pit9 [EG15_004]"
      37,          0.600000,          34.276,          12.215,           0.539,          -0.009,          -0.028,           0.067,           0.007,           0.028,           0.006,           0.001,           0.001,           0.000,          -0.000,           0.057,          -0.022,           0.040,           0.085,           0.024,           0.008,           0.094,           0.151,           0.128,          -0.009,          -0.005,          -0.001,          -0.006,          -0.016,          -0.032,           0.057,           0.094,          -0.018,           0.044,           0.040,          -0.022,          -0.061,          -0.039,          -0.021
      38,          0.616667,          36.703,          13.831,           0.545,          -0.009,          -0.026,           0.060,           0.006,           0.025,           0.005,           0.001,           0.001,           0.000,           0.000,           0.043,          -0.027,           0.033,           0.067,           0.017,           0.005,           0.091,           0.145,           0.118,          -0.009,          -0.004,          -0.001,          -0.004,          -0.011,          -0.022,           0.053,           0.091,          -0.016,           0.034,           0.033,          -0.027,          -0.057,          -0.035,          -0.018
      39,          0.633333,          38.800,          16.063,           0.548,          -0.006,          -0.020,           0.054,           0.005,           0.021,           0.004,           0.000,           0.001,           0.000,           0.000,           0.028,          -0.030,           0.025,           0.049,           0.011,           0.003,           0.089,           0.138,           0.108,          -0.006,          -0.003,          -0.000,          -0.002,          -0.007,          -0.017,           0.050,           0.089,          -0.013,           0.024,           0.025,          -0.030,          -0.054,          -0.032,          -0.016
      40,          0.650000,          40.686,          18.576,           0.551,          -0.004,          -0.014,           0.048,           0.004,           0.019,           0.003,           0.000,           0.001,           0.000,           0.000,           0.019,          -0.031,           0.018,           0.033,           0.006,           0.002,           0.086,           0.131,           0.099,          -0.004,          -0.003,           0.000,          -0.000,          -0.005,          -0.012,           0.045,           0.086,          -0.009,           0.015,           0.018,          -0.031,          -0.051,          -0.029,          -0.014
      41,          0.666667,          42.426,          21.477,           0.552,          -0.002,          -0.008,           0.042,           0.003,           0.016,           0.002,           0.000,           0.001,           0.000,           0.000,           0.013,          -0.031,           0.013,           0.022,           0.004,           0.001,           0.082,           0.123,           0.091,          -0.002,          -0.002,           0.000,           0.000,          -0.003,          -0.009,           0.040,           0.082,          -0.006,           0.009,           0.013,          -0.031,          -0.048,          -0.026,          -0.013
      42,          0.683333,          44.043,          24.275,           0.552,          -0.001,          -0.006,           0.038,           0.003,           0.014,           0.002,           0.000,           0.001,           0.000,           0.000,           0.008,          -0.031,           0.009,           0.014,           0.002,           0.000,           0.079,           0.114,           0.083,          -0.001,          -0.002,           0.001,           0.001,          -0.002,          -0.006,           0.035,           0.079,          -0.004,           0.005,           0.009,          -0.030,          -0.045,          -0.024,          -0.011
      43,          0.700000,          45.293,          26.813,           0.551,          -0.000,          -0.003,           0.034,           0.002,           0.012,           0.002,           0.000,           0.001,           0.000,           0.000,           0.005,          -0.029,           0.007,           0.010,           0.001,           0.000,           0.074,           0.105,           0.075,          -0.000,          -0.001,           0.001,           0.001,          -0.001,          -0.004,           0.030,           0.074,          -0.003,           0.003,           0.007,          -0.029,          -0.041,          -0.021,          -0.010
      44,          0.716667,          46.110,          29.357,           0.549,          -0.000,          -0.002,           0.030,           0.002,           0.011,           0.001,           0.000,           0.001,           0.000,           0.000,           0.003,          -0.026,           0.005,           0.007,           0.000,           0.000,           0.070,           0.095,           0.069,          -0.000,          -0.001,           0.001,           0.001,          -0.000,          -0.003,           0.025,           0.070,          -0.002,           0.002,           0.005,          -0.026,          -0.038,          -0.019,          -0.009
      45,          0.733333,          46.617,          31.676,           0.547,           0.000,          -0.001,           0.025,           0.001,           0.009,           0.001,           0.000,           0.000,           0.000,           0.000,           0.003,          -0.024,           0.004,           0.005,           0.000,           0.000,           0.064,           0.084,           0.059,           0.000,          -0.001,           0.001,           0.001,          -0.000,          -0.002,           0.020,           0.064,          -0.001,           0.001,           0.004,          -0.024,          -0.034,          -0.017,          -0.007
      46,          0.750000,          46.929,          34.018,           0.543,           0.000,          -0.001,           0.022,           0.001,           0.007,           0.000,           0.000,           0.000,           0.000,           0.000,           0.002,          -0.021,           0.003,           0.003,           0.000,           0.000,           0.058,           0.071,           0.051,           0.000,          -0.000,           0.001,           0.001,           0.000,          -0.002,           0.013,           0.058,          -0.001,           0.001,           0.003,          -0.021,          -0.028,          -0.014,          -0.006
