"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time (h)","H FC01.1_R.1 [EG15_008]","H FC01.1_R.2 [EG15_008]","H FC01.2_R.1 [EG15_008]","H FC01.2_R.2 [EG15_008]","H FC04.1_C.1 [EG15_008]","H FC04.1_C.2 [EG15_008]","H Node20.1 [EG15_008]","H Node20.2 [EG15_008]","H Node21.1 [EG15_008]","H Node21.2 [EG15_008]","H Pipe16.2 [EG15_008]","H Pit10 [EG15_008]","H Pit10.1 [EG15_008]","H Pit11 [EG15_008]","H Pit11.1 [EG15_008]","H Pit12 [EG15_008]","H Pit12.1 [EG15_008]","H Pit13 [EG15_008]","H Pit13.1 [EG15_008]","H Pit14 [EG15_008]","H Pit14.1 [EG15_008]","H Pit15 [EG15_008]","H Pit15.1 [EG15_008]","H Pit16 [EG15_008]","H Pit16.1 [EG15_008]","H Pit18.1 [EG15_008]","H Pit18.2 [EG15_008]","H Pit19.1 [EG15_008]","H Pit19.2 [EG15_008]","H Pit2.1 [EG15_008]","H Pit2.2 [EG15_008]","H Pit3.1 [EG15_008]","H Pit3.2 [EG15_008]","H Pit4.1 [EG15_008]","H Pit4.2 [EG15_008]","H Pit5.1 [EG15_008]","H Pit5.2 [EG15_008]","H Pit6.1 [EG15_008]","H Pit6.2 [EG15_008]","H Pit7 [EG15_008]","H Pit7.1 [EG15_008]","H Pit8 [EG15_008]","H Pit8.1 [EG15_008]","H Pit9 [EG15_008]","H Pit9.1 [EG15_008]"
      83,          1.366667,     49.6711,     47.1164,     42.7431,     40.7463,     43.5421,     43.0221,     43.5350,     44.4528,     43.5352,     44.8164,     43.5473,     43.5500,     43.5363,     43.5446,     43.5363,     43.5435,     43.5363,     43.5479,     43.5363,     43.5558,     43.5363,     43.5814,     43.5363,     43.6916,     43.5363,     43.5346,     43.5346,     43.5343,     43.5343,     43.5340,     43.5340,     43.5331,     43.5331,     43.5342,     43.5342,     43.5342,     43.5342,     43.5342,     43.5342,     43.7412,     43.5362,     43.5931,     43.5362,     43.5596,     43.5363
      84,          1.383333,     49.6534,     47.0879,     42.7310,     40.7373,     43.5391,     43.0107,     43.5363,     44.4596,     43.5366,     44.8272,     43.5487,     43.5514,     43.5376,     43.5459,     43.5376,     43.5449,     43.5376,     43.5493,     43.5376,     43.5572,     43.5376,     43.5829,     43.5376,     43.6937,     43.5376,     43.5360,     43.5360,     43.5357,     43.5357,     43.5354,     43.5354,     43.5345,     43.5345,     43.5356,     43.5356,     43.5357,     43.5357,     43.5356,     43.5356,     43.7438,     43.5376,     43.5947,     43.5376,     43.5610,     43.5376
      85,          1.400000,     49.6347,     47.0583,     42.7177,     40.7275,     43.5362,     42.9977,     43.5377,     44.4662,     43.5379,     44.8372,     43.5501,     43.5528,     43.5390,     43.5473,     43.5390,     43.5463,     43.5390,     43.5506,     43.5390,     43.5586,     43.5390,     43.5844,     43.5390,     43.6958,     43.5390,     43.5374,     43.5374,     43.5368,     43.5368,     43.5368,     43.5368,     43.5359,     43.5359,     43.5369,     43.5369,     43.5370,     43.5370,     43.5369,     43.5369,     43.7463,     43.5389,     43.5963,     43.5390,     43.5624,     43.5390
      86,          1.416667,     49.6151,     47.0272,     42.7030,     40.7170,     43.5334,     42.9843,     43.5390,     44.4726,     43.5391,     44.8465,     43.5515,     43.5541,     43.5403,     43.5487,     43.5403,     43.5476,     43.5403,     43.5520,     43.5403,     43.5600,     43.5403,     43.5859,     43.5403,     43.6978,     43.5403,     43.5386,     43.5386,     43.5380,     43.5380,     43.5381,     43.5381,     43.5372,     43.5372,     43.5383,     43.5383,     43.5382,     43.5382,     43.5382,     43.5382,     43.7487,     43.5403,     43.5978,     43.5403,     43.5638,     43.5403
      87,          1.433333,     49.5939,     46.9951,     42.6870,     40.7061,     43.5307,     42.9707,     43.5403,     44.4787,     43.5405,     44.8564,     43.5528,     43.5554,     43.5416,     43.5500,     43.5416,     43.5490,     43.5416,     43.5533,     43.5416,     43.5613,     43.5416,     43.5873,     43.5416,     43.6998,     43.5416,     43.5398,     43.5398,     43.5393,     43.5393,     43.5395,     43.5395,     43.5385,     43.5385,     43.5394,     43.5394,     43.5396,     43.5396,     43.5395,     43.5395,     43.7511,     43.5415,     43.5993,     43.5416,     43.5652,     43.5415
      88,          1.450000,     49.5725,     46.9632,     42.6697,     40.6949,     43.5281,     42.9571,     43.5416,     44.4847,     43.5417,     44.8659,     43.5540,     43.5567,     43.5428,     43.5512,     43.5428,     43.5502,     43.5428,     43.5546,     43.5428,     43.5625,     43.5428,     43.5886,     43.5428,     43.7016,     43.5428,     43.5410,     43.5410,     43.5406,     43.5406,     43.5406,     43.5406,     43.5398,     43.5398,     43.5408,     43.5408,     43.5409,     43.5409,     43.5408,     43.5408,     43.7535,     43.5428,     43.6008,     43.5428,     43.5665,     43.5428
      89,          1.466667,     49.5495,     46.9321,     42.6507,     40.6839,     43.5255,     42.9434,     43.5428,     44.4908,     43.5430,     44.8753,     43.5553,     43.5580,     43.5440,     43.5525,     43.5440,     43.5514,     43.5440,     43.5558,     43.5440,     43.5638,     43.5440,     43.5900,     43.5440,     43.7035,     43.5440,     43.5422,     43.5422,     43.5418,     43.5418,     43.5419,     43.5419,     43.5410,     43.5410,     43.5420,     43.5420,     43.5421,     43.5421,     43.5420,     43.5420,     43.7558,     43.5440,     43.6022,     43.5440,     43.5677,     43.5440
      90,          1.483333,     49.5248,     46.9008,     42.6300,     40.6734,     43.5231,     42.9302,     43.5440,     44.4967,     43.5441,     44.8842,     43.5565,     43.5592,     43.5452,     43.5537,     43.5452,     43.5527,     43.5452,     43.5570,     43.5452,     43.5650,     43.5453,     43.5913,     43.5452,     43.7053,     43.5452,     43.5433,     43.5433,     43.5429,     43.5429,     43.5432,     43.5432,     43.5422,     43.5422,     43.5432,     43.5432,     43.5433,     43.5433,     43.5432,     43.5432,     43.7580,     43.5452,     43.6036,     43.5452,     43.5690,     43.5452
      91,          1.500000,     49.4985,     46.8681,     42.6074,     40.6639,     43.5207,     42.9183,     43.5451,     44.5023,     43.5453,     44.8932,     43.5577,     43.5604,     43.5464,     43.5549,     43.5464,     43.5539,     43.5464,     43.5582,     43.5464,     43.5662,     43.5464,     43.5927,     43.5464,     43.7071,     43.5464,     43.5445,     43.5445,     43.5442,     43.5442,     43.5443,     43.5443,     43.5434,     43.5434,     43.5444,     43.5444,     43.5444,     43.5444,     43.5444,     43.5444,     43.7603,     43.5464,     43.6050,     43.5464,     43.5702,     43.5464
      92,          1.516667,     49.4698,     46.8362,     42.5825,     40.6561,     43.5184,     42.9075,     43.5463,     44.5078,     43.5464,     44.9019,     43.5589,     43.5616,     43.5475,     43.5560,     43.5475,     43.5550,     43.5475,     43.5594,     43.5475,     43.5674,     43.5475,     43.5939,     43.5475,     43.7088,     43.5475,     43.5456,     43.5456,     43.5453,     43.5453,     43.5454,     43.5454,     43.5445,     43.5445,     43.5454,     43.5454,     43.5456,     43.5456,     43.5455,     43.5455,     43.7624,     43.5475,     43.6063,     43.5475,     43.5714,     43.5475
      93,          1.533333,     49.4385,     46.8063,     42.5550,     40.6487,     43.5162,     42.8979,     43.5474,     44.5132,     43.5475,     44.9103,     43.5600,     43.5627,     43.5486,     43.5572,     43.5486,     43.5561,     43.5486,     43.5605,     43.5486,     43.5685,     43.5486,     43.5951,     43.5486,     43.7105,     43.5486,     43.5467,     43.5467,     43.5464,     43.5464,     43.5466,     43.5466,     43.5457,     43.5457,     43.5466,     43.5466,     43.5467,     43.5467,     43.5466,     43.5466,     43.7645,     43.5486,     43.6076,     43.5486,     43.5725,     43.5486
      94,          1.550000,     49.4027,     46.7811,     42.5251,     40.6431,     43.5141,     42.8921,     43.5485,     44.5185,     43.5486,     44.9185,     43.5611,     43.5639,     43.5497,     43.5583,     43.5497,     43.5572,     43.5497,     43.5616,     43.5497,     43.5697,     43.5497,     43.5963,     43.5497,     43.7121,     43.5497,     43.5477,     43.5477,     43.5475,     43.5475,     43.5477,     43.5477,     43.5467,     43.5467,     43.5477,     43.5477,     43.5478,     43.5478,     43.5477,     43.5477,     43.7665,     43.5497,     43.6089,     43.5497,     43.5736,     43.5497
      95,          1.566667,     49.3602,     46.7573,     42.4930,     40.6372,     43.5120,     42.8888,     43.5495,     44.5237,     43.5497,     44.9267,     43.5622,     43.5649,     43.5508,     43.5594,     43.5508,     43.5583,     43.5508,     43.5627,     43.5508,     43.5708,     43.5508,     43.5975,     43.5508,     43.7137,     43.5508,     43.5488,     43.5488,     43.5486,     43.5486,     43.5487,     43.5487,     43.5478,     43.5478,     43.5487,     43.5487,     43.5489,     43.5489,     43.5488,     43.5488,     43.7685,     43.5508,     43.6101,     43.5508,     43.5748,     43.5508
      96,          1.583333,     49.3100,     46.7436,     42.4586,     40.6310,     43.5100,     42.8867,     43.5506,     44.5288,     43.5507,     44.9347,     43.5633,     43.5660,     43.5518,     43.5604,     43.5518,     43.5594,     43.5518,     43.5638,     43.5518,     43.5718,     43.5518,     43.5987,     43.5518,     43.7153,     43.5518,     43.5498,     43.5498,     43.5497,     43.5497,     43.5498,     43.5498,     43.5489,     43.5489,     43.5498,     43.5498,     43.5499,     43.5499,     43.5498,     43.5498,     43.7705,     43.5518,     43.6113,     43.5518,     43.5759,     43.5518
      97,          1.600000,     49.2515,     46.7311,     42.4223,     40.6244,     43.5080,     42.8853,     43.5515,     44.5337,     43.5517,     44.9421,     43.5643,     43.5670,     43.5528,     43.5614,     43.5528,     43.5604,     43.5528,     43.5648,     43.5528,     43.5729,     43.5528,     43.5998,     43.5528,     43.7168,     43.5528,     43.5508,     43.5508,     43.5506,     43.5506,     43.5508,     43.5508,     43.5499,     43.5499,     43.5508,     43.5508,     43.5509,     43.5509,     43.5508,     43.5508,     43.7724,     43.5528,     43.6125,     43.5528,     43.5769,     43.5528
      98,          1.616667,     49.1901,     46.7189,     42.3845,     40.6174,     43.5060,     42.8842,     43.5525,     44.5382,     43.5526,     44.9493,     43.5653,     43.5680,     43.5538,     43.5624,     43.5538,     43.5614,     43.5538,     43.5658,     43.5538,     43.5738,     43.5538,     43.6008,     43.5538,     43.7183,     43.5538,     43.5517,     43.5517,     43.5516,     43.5516,     43.5517,     43.5517,     43.5508,     43.5508,     43.5517,     43.5517,     43.5519,     43.5519,     43.5517,     43.5517,     43.7742,     43.5537,     43.6136,     43.5537,     43.5779,     43.5538
      99,          1.633333,     49.1250,     46.7054,     42.3454,     40.6101,     43.5041,     42.8833,     43.5535,     44.5428,     43.5536,     44.9565,     43.5662,     43.5690,     43.5547,     43.5634,     43.5547,     43.5623,     43.5547,     43.5667,     43.5547,     43.5748,     43.5547,     43.6019,     43.5547,     43.7197,     43.5547,     43.5526,     43.5526,     43.5525,     43.5525,     43.5527,     43.5527,     43.5518,     43.5518,     43.5526,     43.5526,     43.5528,     43.5528,     43.5527,     43.5527,     43.7760,     43.5547,     43.6147,     43.5547,     43.5789,     43.5547
     100,          1.650000,     49.0552,     46.6913,     42.3055,     40.6026,     43.5023,     42.8822,     43.5544,     44.5472,     43.5545,     44.9636,     43.5671,     43.5699,     43.5556,     43.5643,     43.5556,     43.5632,     43.5556,     43.5676,     43.5556,     43.5757,     43.5556,     43.6029,     43.5556,     43.7211,     43.5556,     43.5535,     43.5535,     43.5535,     43.5535,     43.5536,     43.5536,     43.5527,     43.5527,     43.5536,     43.5536,     43.5538,     43.5538,     43.5536,     43.5536,     43.7777,     43.5556,     43.6158,     43.5556,     43.5798,     43.5556
     101,          1.666667,     48.9808,     46.6761,     42.2645,     40.5948,     43.5005,     42.8810,     43.5553,     44.5517,     43.5553,     44.9704,     43.5680,     43.5709,     43.5565,     43.5652,     43.5565,     43.5641,     43.5565,     43.5686,     43.5565,     43.5767,     43.5565,     43.6039,     43.5565,     43.7225,     43.5565,     43.5544,     43.5544,     43.5544,     43.5544,     43.5545,     43.5545,     43.5536,     43.5536,     43.5545,     43.5545,     43.5547,     43.5547,     43.5545,     43.5545,     43.7794,     43.5565,     43.6168,     43.5565,     43.5808,     43.5565
     102,          1.683333,     48.9018,     46.6596,     42.2225,     40.5867,     43.4987,     42.8798,     43.5561,     44.5558,     43.5562,     44.9768,     43.5689,     43.5718,     43.5574,     43.5661,     43.5574,     43.5650,     43.5574,     43.5695,     43.5574,     43.5776,     43.5574,     43.6049,     43.5574,     43.7238,     43.5574,     43.5552,     43.5552,     43.5552,     43.5552,     43.5554,     43.5554,     43.5545,     43.5545,     43.5553,     43.5553,     43.5555,     43.5555,     43.5553,     43.5553,     43.7810,     43.5574,     43.6178,     43.5574,     43.5817,     43.5574
     103,          1.700000,     48.8167,     46.6403,     42.1794,     40.5783,     43.4970,     42.8787,     43.5570,     44.5599,     43.5570,     44.9833,     43.5698,     43.5726,     43.5582,     43.5670,     43.5582,     43.5659,     43.5582,     43.5703,     43.5582,     43.5784,     43.5582,     43.6058,     43.5582,     43.7251,     43.5582,     43.5561,     43.5561,     43.5560,     43.5560,     43.5562,     43.5562,     43.5553,     43.5553,     43.5561,     43.5561,     43.5564,     43.5564,     43.5562,     43.5562,     43.7826,     43.5582,     43.6188,     43.5582,     43.5826,     43.5582
     104,          1.716667,     48.7251,     46.6195,     42.1352,     40.5695,     43.4952,     42.8776,     43.5578,     44.5640,     43.5579,     44.9897,     43.5706,     43.5735,     43.5590,     43.5678,     43.5591,     43.5667,     43.5591,     43.5712,     43.5591,     43.5793,     43.5591,     43.6067,     43.5591,     43.7263,     43.5591,     43.5569,     43.5569,     43.5569,     43.5569,     43.5571,     43.5571,     43.5562,     43.5562,     43.5570,     43.5570,     43.5572,     43.5572,     43.5570,     43.5570,     43.7842,     43.5590,     43.6198,     43.5590,     43.5834,     43.5590
     105,          1.733333,     48.6272,     46.5965,     42.0899,     40.5604,     43.4936,     42.8765,     43.5586,     44.5680,     43.5587,     44.9958,     43.5715,     43.5743,     43.5599,     43.5686,     43.5599,     43.5676,     43.5599,     43.5720,     43.5599,     43.5801,     43.5599,     43.6076,     43.5599,     43.7276,     43.5599,     43.5577,     43.5577,     43.5577,     43.5577,     43.5579,     43.5579,     43.5570,     43.5570,     43.5578,     43.5578,     43.5580,     43.5580,     43.5578,     43.5578,     43.7857,     43.5599,     43.6207,     43.5599,     43.5843,     43.5599
     106,          1.750000,     48.5230,     46.5709,     42.0429,     40.5507,     43.4919,     42.8755,     43.5594,     44.5718,     43.5595,     45.0017,     43.5723,     43.5751,     43.5607,     43.5695,     43.5607,     43.5684,     43.5607,     43.5728,     43.5607,     43.5809,     43.5607,     43.6085,     43.5607,     43.7287,     43.5606,     43.5584,     43.5584,     43.5585,     43.5585,     43.5587,     43.5587,     43.5578,     43.5578,     43.5586,     43.5586,     43.5588,     43.5588,     43.5586,     43.5586,     43.7872,     43.5606,     43.6216,     43.5606,     43.5851,     43.5606
     107,          1.766667,     48.4123,     46.5436,     41.9945,     40.5406,     43.4903,     42.8745,     43.5602,     44.5754,     43.5602,     45.0075,     43.5731,     43.5759,     43.5614,     43.5702,     43.5614,     43.5691,     43.5614,     43.5736,     43.5614,     43.5817,     43.5614,     43.6093,     43.5614,     43.7299,     43.5614,     43.5592,     43.5592,     43.5593,     43.5593,     43.5594,     43.5594,     43.5585,     43.5585,     43.5593,     43.5593,     43.5595,     43.5595,     43.5594,     43.5594,     43.7886,     43.5614,     43.6225,     43.5614,     43.5859,     43.5614
     108,          1.783333,     48.2990,     46.5126,     41.9443,     40.5299,     43.4888,     42.8734,     43.5609,     44.5790,     43.5610,     45.0132,     43.5738,     43.5767,     43.5621,     43.5710,     43.5621,     43.5699,     43.5621,     43.5743,     43.5621,     43.5825,     43.5621,     43.6101,     43.5621,     43.7310,     43.5621,     43.5599,     43.5599,     43.5600,     43.5600,     43.5602,     43.5602,     43.5592,     43.5592,     43.5601,     43.5601,     43.5603,     43.5603,     43.5601,     43.5601,     43.7900,     43.5621,     43.6234,     43.5621,     43.5867,     43.5621
     109,          1.800000,     48.1842,     46.4800,     41.8923,     40.5187,     43.4872,     42.8724,     43.5616,     44.5826,     43.5617,     45.0187,     43.5746,     43.5774,     43.5629,     43.5717,     43.5629,     43.5706,     43.5629,     43.5751,     43.5629,     43.5832,     43.5629,     43.6110,     43.5629,     43.7321,     43.5629,     43.5606,     43.5606,     43.5607,     43.5607,     43.5609,     43.5609,     43.5600,     43.5600,     43.5608,     43.5608,     43.5610,     43.5610,     43.5608,     43.5608,     43.7913,     43.5629,     43.6242,     43.5629,     43.5874,     43.5629
     110,          1.816667,     48.0667,     46.4449,     41.8381,     40.5067,     43.4857,     42.8714,     43.5623,     44.5860,     43.5624,     45.0240,     43.5753,     43.5781,     43.5636,     43.5724,     43.5636,     43.5713,     43.5636,     43.5758,     43.5636,     43.5840,     43.5636,     43.6117,     43.5636,     43.7332,     43.5636,     43.5613,     43.5613,     43.5614,     43.5614,     43.5616,     43.5616,     43.5607,     43.5607,     43.5615,     43.5615,     43.5617,     43.5617,     43.5615,     43.5615,     43.7927,     43.5636,     43.6251,     43.5636,     43.5882,     43.5636
     111,          1.833333,     47.9469,     46.4074,     41.7810,     40.4938,     43.4842,     42.8703,     43.5630,     44.5894,     43.5630,     45.0292,     43.5760,     43.5788,     43.5643,     43.5731,     43.5643,     43.5720,     43.5643,     43.5765,     43.5643,     43.5847,     43.5643,     43.6125,     43.5643,     43.7342,     43.5643,     43.5620,     43.5620,     43.5621,     43.5621,     43.5623,     43.5623,     43.5614,     43.5614,     43.5622,     43.5622,     43.5624,     43.5624,     43.5622,     43.5622,     43.7940,     43.5643,     43.6259,     43.5643,     43.5889,     43.5643
     112,          1.850000,     47.8260,     46.3672,     41.7199,     40.4797,     43.4827,     42.8693,     43.5637,     44.5926,     43.5637,     45.0344,     43.5767,     43.5795,     43.5649,     43.5738,     43.5649,     43.5727,     43.5649,     43.5772,     43.5649,     43.5854,     43.5649,     43.6133,     43.5649,     43.7352,     43.5649,     43.5627,     43.5627,     43.5628,     43.5628,     43.5630,     43.5630,     43.5621,     43.5621,     43.5629,     43.5629,     43.5631,     43.5631,     43.5629,     43.5629,     43.7952,     43.5649,     43.6266,     43.5649,     43.5896,     43.5649
     113,          1.866667,     47.7056,     46.3237,     41.6545,     40.4642,     43.4812,     42.8683,     43.5644,     44.5958,     43.5644,     45.0395,     43.5773,     43.5802,     43.5656,     43.5745,     43.5656,     43.5734,     43.5656,     43.5778,     43.5656,     43.5860,     43.5656,     43.6140,     43.5656,     43.7362,     43.5656,     43.5633,     43.5633,     43.5635,     43.5635,     43.5637,     43.5637,     43.5627,     43.5627,     43.5635,     43.5635,     43.5638,     43.5638,     43.5636,     43.5636,     43.7965,     43.5656,     43.6274,     43.5656,     43.5903,     43.5656
     114,          1.883333,     47.5931,     46.2741,     41.5846,     40.4472,     43.4798,     42.8673,     43.5650,     44.5990,     43.5650,     45.0443,     43.5780,     43.5809,     43.5662,     43.5751,     43.5662,     43.5740,     43.5662,     43.5785,     43.5662,     43.5867,     43.5662,     43.6147,     43.5662,     43.7372,     43.5662,     43.5639,     43.5639,     43.5641,     43.5641,     43.5643,     43.5643,     43.5634,     43.5634,     43.5642,     43.5642,     43.5644,     43.5644,     43.5642,     43.5642,     43.7977,     43.5662,     43.6281,     43.5662,     43.5910,     43.5662
     115,          1.900000,     47.5019,     46.2187,     41.5099,     40.4284,     43.4784,     42.8663,     43.5656,     44.6020,     43.5656,     45.0491,     43.5786,     43.5815,     43.5669,     43.5758,     43.5669,     43.5747,     43.5669,     43.5791,     43.5669,     43.5873,     43.5669,     43.6154,     43.5669,     43.7382,     43.5669,     43.5646,     43.5646,     43.5647,     43.5647,     43.5649,     43.5649,     43.5640,     43.5640,     43.5648,     43.5648,     43.5650,     43.5650,     43.5648,     43.5648,     43.7989,     43.5668,     43.6289,     43.5669,     43.5916,     43.5669
     116,          1.916667,     47.4228,     46.1654,     41.4299,     40.4073,     43.4770,     42.8653,     43.5663,     44.6050,     43.5663,     45.0538,     43.5793,     43.5822,     43.5675,     43.5764,     43.5675,     43.5753,     43.5675,     43.5798,     43.5675,     43.5880,     43.5675,     43.6161,     43.5675,     43.7391,     43.5675,     43.5652,     43.5652,     43.5653,     43.5653,     43.5656,     43.5656,     43.5646,     43.5646,     43.5654,     43.5654,     43.5657,     43.5657,     43.5655,     43.5655,     43.8001,     43.5675,     43.6296,     43.5675,     43.5923,     43.5675
     117,          1.933333,     47.3552,     46.1165,     41.3434,     40.3837,     43.4756,     42.8643,     43.5669,     44.6079,     43.5669,     45.0583,     43.5799,     43.5828,     43.5681,     43.5770,     43.5681,     43.5759,     43.5681,     43.5804,     43.5681,     43.5886,     43.5681,     43.6167,     43.5681,     43.7400,     43.5681,     43.5658,     43.5658,     43.5659,     43.5659,     43.5662,     43.5662,     43.5652,     43.5652,     43.5660,     43.5660,     43.5663,     43.5663,     43.5660,     43.5660,     43.8012,     43.5681,     43.6302,     43.5681,     43.5930,     43.5681
     118,          1.950000,     47.2980,     46.0720,     41.2495,     40.3566,     43.4742,     42.8633,     43.5674,     44.6107,     43.5674,     45.0629,     43.5804,     43.5833,     43.5686,     43.5776,     43.5686,     43.5765,     43.5686,     43.5810,     43.5686,     43.5892,     43.5686,     43.6174,     43.5686,     43.7409,     43.5686,     43.5663,     43.5663,     43.5667,     43.5667,     43.5667,     43.5667,     43.5658,     43.5658,     43.5666,     43.5666,     43.5668,     43.5668,     43.5666,     43.5666,     43.8024,     43.5686,     43.6307,     43.5686,     43.5937,     43.5686
     119,          1.966667,     47.2507,     46.0321,     41.1470,     40.3256,     43.4728,     42.8623,     43.5680,     44.6134,     43.5681,     45.0658,     43.5810,     43.5839,     43.5692,     43.5782,     43.5692,     43.5770,     43.5692,     43.5815,     43.5692,     43.5897,     43.5692,     43.6180,     43.5692,     43.7417,     43.5692,     43.5668,     43.5668,     43.5668,     43.5668,     43.5673,     43.5673,     43.5663,     43.5663,     43.5671,     43.5671,     43.5673,     43.5673,     43.5672,     43.5672,     43.8049,     43.5692,     43.6278,     43.5692,     43.5967,     43.5692
     120,          1.983333,     47.2109,     46.0003,     41.0348,     40.2895,     43.4715,     42.8613,     43.5685,     44.6161,     43.5686,     45.0699,     43.5816,     43.5844,     43.5698,     43.5787,     43.5698,     43.5776,     43.5698,     43.5821,     43.5698,     43.5903,     43.5698,     43.6186,     43.5698,     43.7426,     43.5698,     43.5674,     43.5674,     43.5675,     43.5675,     43.5679,     43.5679,     43.5669,     43.5669,     43.5676,     43.5676,     43.5678,     43.5678,     43.5677,     43.5677,     43.8059,     43.5698,     43.6284,     43.5697,     43.5974,     43.5698
     121,          2.000000,     47.1770,     45.9733,     40.9134,     40.2472,     43.4702,     42.8604,     43.5691,     44.6187,     43.5690,     45.0743,     43.5821,     43.5850,     43.5703,     43.5793,     43.5703,     43.5782,     43.5703,     43.5827,     43.5703,     43.5909,     43.5703,     43.6192,     43.5703,     43.7434,     43.5703,     43.5680,     43.5680,     43.5681,     43.5681,     43.5684,     43.5684,     43.5674,     43.5674,     43.5681,     43.5681,     43.5683,     43.5683,     43.5683,     43.5683,     43.8070,     43.5703,     43.6289,     43.5703,     43.5980,     43.5703
     122,          2.016667,     47.1476,     45.9498,     40.7899,     40.1999,     43.4689,     42.8593,     43.5696,     44.6213,     43.5697,     45.0783,     43.5827,     43.5855,     43.5708,     43.5798,     43.5708,     43.5787,     43.5708,     43.5832,     43.5708,     43.5914,     43.5708,     43.6198,     43.5708,     43.7442,     43.5708,     43.5685,     43.5685,     43.5687,     43.5687,     43.5690,     43.5690,     43.5680,     43.5680,     43.5687,     43.5687,     43.5690,     43.5690,     43.5688,     43.5688,     43.8081,     43.5708,     43.6295,     43.5708,     43.5986,     43.5708
     123,          2.033334,     47.1207,     45.9293,     40.6689,     40.1482,     43.4675,     42.8583,     43.5701,     44.6237,     43.5701,     45.0821,     43.5832,     43.5860,     43.5713,     43.5803,     43.5713,     43.5792,     43.5713,     43.5837,     43.5713,     43.5919,     43.5713,     43.6203,     43.5713,     43.7449,     43.5713,     43.5690,     43.5690,     43.5691,     43.5691,     43.5694,     43.5694,     43.5685,     43.5685,     43.5692,     43.5692,     43.5695,     43.5695,     43.5693,     43.5693,     43.8090,     43.5713,     43.6300,     43.5713,     43.5992,     43.5713
     124,          2.050000,     47.0941,     45.9091,     40.5492,     40.0912,     43.4662,     42.8573,     43.5706,     44.6261,     43.5706,     45.0856,     43.5837,     43.5865,     43.5718,     43.5808,     43.5718,     43.5797,     43.5718,     43.5842,     43.5718,     43.5924,     43.5718,     43.6209,     43.5718,     43.7457,     43.5718,     43.5694,     43.5694,     43.5696,     43.5696,     43.5699,     43.5699,     43.5689,     43.5689,     43.5697,     43.5697,     43.5700,     43.5700,     43.5698,     43.5698,     43.8100,     43.5718,     43.6305,     43.5718,     43.5997,     43.5718
     125,          2.066667,     47.0677,     45.8899,     40.4345,     40.0302,     43.4650,     42.8564,     43.5711,     44.6284,     43.5710,     45.0893,     43.5842,     43.5870,     43.5723,     43.5813,     43.5723,     43.5801,     43.5723,     43.5847,     43.5723,     43.5929,     43.5723,     43.6214,     43.5723,     43.7464,     43.5723,     43.5698,     43.5698,     43.5701,     43.5701,     43.5704,     43.5704,     43.5694,     43.5694,     43.5702,     43.5702,     43.5705,     43.5705,     43.5703,     43.5703,     43.8109,     43.5723,     43.6311,     43.5723,     43.6003,     43.5723
     126,          2.083333,     47.0405,     45.8709,     40.3237,     39.9671,     43.4637,     42.8554,     43.5715,     44.6307,     43.5715,     45.0929,     43.5846,     43.5875,     43.5728,     43.5817,     43.5728,     43.5806,     43.5727,     43.5852,     43.5728,     43.5934,     43.5728,     43.6219,     43.5728,     43.7471,     43.5727,     43.5703,     43.5703,     43.5706,     43.5706,     43.5709,     43.5709,     43.5699,     43.5699,     43.5707,     43.5707,     43.5710,     43.5710,     43.5707,     43.5707,     43.8118,     43.5727,     43.6316,     43.5727,     43.6008,     43.5728
     127,          2.100000,     47.0135,     45.8512,     40.2182,     39.9036,     43.4624,     42.8544,     43.5720,     44.6329,     43.5719,     45.0963,     43.5851,     43.5879,     43.5732,     43.5822,     43.5732,     43.5811,     43.5732,     43.5856,     43.5732,     43.5939,     43.5732,     43.6224,     43.5732,     43.7478,     43.5732,     43.5708,     43.5708,     43.5711,     43.5711,     43.5713,     43.5713,     43.5704,     43.5704,     43.5711,     43.5711,     43.5714,     43.5714,     43.5712,     43.5712,     43.8127,     43.5732,     43.6321,     43.5732,     43.6013,     43.5732
     128,          2.116667,     46.9849,     45.8302,     40.1188,     39.8407,     43.4611,     42.8533,     43.5724,     44.6350,     43.5724,     45.0995,     43.5855,     43.5884,     43.5736,     43.5826,     43.5736,     43.5815,     43.5736,     43.5861,     43.5737,     43.5943,     43.5736,     43.6229,     43.5736,     43.7485,     43.5736,     43.5712,     43.5712,     43.5715,     43.5715,     43.5718,     43.5718,     43.5708,     43.5708,     43.5716,     43.5716,     43.5719,     43.5719,     43.5716,     43.5716,     43.8136,     43.5736,     43.6325,     43.5736,     43.6018,     43.5736
     129,          2.133333,     46.9534,     45.8076,     40.0271,     39.7793,     43.4598,     42.8523,     43.5729,     44.6371,     43.5728,     45.1028,     43.5860,     43.5888,     43.5741,     43.5831,     43.5741,     43.5819,     43.5741,     43.5865,     43.5741,     43.5947,     43.5741,     43.6234,     43.5741,     43.7491,     43.5741,     43.5716,     43.5716,     43.5719,     43.5719,     43.5722,     43.5722,     43.5712,     43.5712,     43.5720,     43.5720,     43.5723,     43.5723,     43.5720,     43.5720,     43.8145,     43.5741,     43.6329,     43.5741,     43.6023,     43.5741
