"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time (h)","H FC01.1_R.1 [EG15_008]","H FC01.1_R.2 [EG15_008]","H FC01.2_R.1 [EG15_008]","H FC01.2_R.2 [EG15_008]","H FC04.1_C.1 [EG15_008]","H FC04.1_C.2 [EG15_008]","H Node20.1 [EG15_008]","H Node20.2 [EG15_008]","H Node21.1 [EG15_008]","H Node21.2 [EG15_008]","H Pipe16.2 [EG15_008]","H Pit10 [EG15_008]","H Pit10.1 [EG15_008]","H Pit11 [EG15_008]","H Pit11.1 [EG15_008]","H Pit12 [EG15_008]","H Pit12.1 [EG15_008]","H Pit13 [EG15_008]","H Pit13.1 [EG15_008]","H Pit14 [EG15_008]","H Pit14.1 [EG15_008]","H Pit15 [EG15_008]","H Pit15.1 [EG15_008]","H Pit16 [EG15_008]","H Pit16.1 [EG15_008]","H Pit18.1 [EG15_008]","H Pit18.2 [EG15_008]","H Pit19.1 [EG15_008]","H Pit19.2 [EG15_008]","H Pit2.1 [EG15_008]","H Pit2.2 [EG15_008]","H Pit3.1 [EG15_008]","H Pit3.2 [EG15_008]","H Pit4.1 [EG15_008]","H Pit4.2 [EG15_008]","H Pit5.1 [EG15_008]","H Pit5.2 [EG15_008]","H Pit6.1 [EG15_008]","H Pit6.2 [EG15_008]","H Pit7 [EG15_008]","H Pit7.1 [EG15_008]","H Pit8 [EG15_008]","H Pit8.1 [EG15_008]","H Pit9 [EG15_008]","H Pit9.1 [EG15_008]"
      26,          0.416667,     46.4377,     45.2977,     37.8513,     37.8418,     43.6087,     42.9502,     43.3277,     43.2523,     43.3554,     43.6005,     43.1722,     43.1784,     43.1678,     43.1731,     43.1675,     43.1711,     43.1677,     43.1730,     43.1681,     43.1771,     43.1682,     43.1852,     43.1683,     43.1945,     43.1832,     43.4217,     43.4217,     43.4527,     43.4527,     43.2833,     43.2833,     43.2849,     43.2849,     43.3564,     43.3564,     43.3587,     43.3587,     43.3547,     43.3547,     43.3053,     43.2479,     43.2146,     43.1690,     43.1838,     43.1668
      27,          0.433333,     46.5194,     45.3666,     37.8947,     37.8995,     43.6177,     42.9562,     43.3283,     43.2692,     43.3560,     43.6139,     43.1932,     43.2001,     43.1903,     43.1952,     43.1900,     43.1928,     43.1902,     43.1940,     43.1899,     43.1973,     43.1902,     43.2043,     43.1904,     43.2190,     43.1954,     43.4222,     43.4222,     43.4532,     43.4532,     43.2842,     43.2842,     43.2859,     43.2859,     43.3574,     43.3574,     43.3597,     43.3597,     43.3556,     43.3556,     43.3139,     43.2504,     43.2344,     43.1908,     43.2050,     43.1897
      28,          0.450000,     46.6057,     45.4338,     38.0136,     37.9675,     43.6261,     42.9615,     43.3286,     43.2893,     43.3564,     43.6255,     43.2137,     43.2203,     43.2110,     43.2155,     43.2107,     43.2133,     43.2107,     43.2145,     43.2109,     43.2177,     43.2108,     43.2242,     43.2107,     43.2380,     43.2119,     43.4226,     43.4226,     43.4536,     43.4536,     43.2849,     43.2849,     43.2866,     43.2866,     43.3581,     43.3581,     43.3605,     43.3605,     43.3563,     43.3563,     43.3226,     43.2536,     43.2523,     43.2108,     43.2243,     43.2102
      29,          0.466667,     46.7104,     45.5131,     38.1473,     38.0302,     43.6334,     42.9662,     43.3288,     43.3092,     43.3567,     43.6368,     43.2327,     43.2388,     43.2298,     43.2341,     43.2295,     43.2322,     43.2297,     43.2334,     43.2299,     43.2367,     43.2298,     43.2433,     43.2299,     43.2570,     43.2300,     43.4228,     43.4228,     43.4539,     43.4539,     43.2854,     43.2854,     43.2872,     43.2872,     43.3586,     43.3586,     43.3610,     43.3610,     43.3567,     43.3567,     43.3321,     43.2582,     43.2675,     43.2298,     43.2435,     43.2290
      30,          0.483333,     46.8266,     45.6011,     38.2495,     38.1204,     43.6393,     42.9702,     43.3290,     43.3277,     43.3569,     43.6492,     43.2502,     43.2559,     43.2472,     43.2514,     43.2471,     43.2496,     43.2472,     43.2508,     43.2473,     43.2543,     43.2473,     43.2608,     43.2472,     43.2748,     43.2477,     43.4230,     43.4230,     43.4542,     43.4542,     43.2858,     43.2858,     43.2877,     43.2877,     43.3589,     43.3589,     43.3614,     43.3614,     43.3571,     43.3571,     43.3431,     43.2658,     43.2834,     43.2469,     43.2600,     43.2466
      31,          0.500000,     46.9465,     45.6933,     38.2671,     38.2688,     43.6445,     42.9740,     43.3292,     43.3451,     43.3571,     43.6625,     43.2667,     43.2721,     43.2637,     43.2679,     43.2636,     43.2660,     43.2637,     43.2674,     43.2638,     43.2708,     43.2638,     43.2775,     43.2640,     43.2916,     43.2641,     43.4232,     43.4232,     43.4543,     43.4543,     43.2861,     43.2861,     43.2880,     43.2880,     43.3592,     43.3592,     43.3616,     43.3616,     43.3573,     43.3573,     43.3555,     43.2759,     43.2984,     43.2635,     43.2769,     43.2631
      32,          0.516667,     47.0665,     45.7893,     38.3606,     38.3286,     43.6492,     42.9770,     43.3290,     43.3615,     43.3571,     43.6759,     43.2822,     43.2875,     43.2791,     43.2832,     43.2790,     43.2815,     43.2792,     43.2828,     43.2793,     43.2862,     43.2793,     43.2928,     43.2791,     43.3070,     43.2788,     43.4232,     43.4232,     43.4543,     43.4543,     43.2865,     43.2865,     43.2890,     43.2890,     43.3593,     43.3593,     43.3618,     43.3618,     43.3574,     43.3574,     43.3688,     43.2878,     43.3140,     43.2789,     43.2910,     43.2787
      33,          0.533333,     47.2276,     45.8979,     38.4467,     38.4126,     43.6532,     42.9796,     43.3254,     43.3804,     43.3572,     43.6891,     43.2966,     43.3019,     43.2937,     43.2977,     43.2936,     43.2959,     43.2934,     43.2972,     43.2935,     43.3007,     43.2935,     43.3074,     43.2934,     43.3224,     43.2929,     43.4232,     43.4232,     43.4543,     43.4543,     43.2887,     43.2887,     43.2923,     43.2923,     43.3594,     43.3594,     43.3618,     43.3618,     43.3575,     43.3575,     43.3815,     43.3000,     43.3284,     43.2934,     43.3057,     43.2933
      34,          0.550000,     47.4445,     46.0330,     38.5529,     38.5161,     43.6568,     42.9817,     43.3189,     43.4056,     43.3573,     43.7022,     43.3105,     43.3154,     43.3072,     43.3112,     43.3070,     43.3096,     43.3072,     43.3111,     43.3072,     43.3148,     43.3072,     43.3217,     43.3067,     43.3386,     43.3061,     43.4232,     43.4232,     43.4542,     43.4542,     43.2951,     43.2951,     43.2992,     43.2992,     43.3594,     43.3594,     43.3619,     43.3619,     43.3579,     43.3579,     43.3944,     43.3122,     43.3407,     43.3067,     43.3198,     43.3068
      35,          0.566667,     47.6946,     46.1870,     38.6559,     38.6171,     43.6598,     42.9835,     43.3182,     43.4393,     43.3580,     43.7153,     43.3233,     43.3278,     43.3196,     43.3237,     43.3194,     43.3221,     43.3194,     43.3238,     43.3194,     43.3279,     43.3194,     43.3355,     43.3190,     43.3559,     43.3184,     43.4231,     43.4231,     43.4541,     43.4541,     43.3065,     43.3065,     43.3099,     43.3099,     43.3595,     43.3595,     43.3621,     43.3621,     43.3588,     43.3588,     43.4061,     43.3236,     43.3538,     43.3194,     43.3321,     43.3194
