"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time(h)","F FC01.1_R [EG15_008]","F FC01.2_R [EG15_008]","F FC04.1_C [EG15_008]","F Node20 [EG15_008]","F Node21 [EG15_008]","F Pipe10 [EG15_008]","F Pipe11 [EG15_008]","F Pipe12 [EG15_008]","F Pipe13 [EG15_008]","F Pipe14 [EG15_008]","F Pipe15 [EG15_008]","F Pipe16 [EG15_008]","F Pipe17 [EG15_008]","F Pipe19 [EG15_008]","F Pipe5 [EG15_008]","F Pipe6 [EG15_008]","F Pipe9 [EG15_008]","F Pit10 [EG15_008]","F Pit11 [EG15_008]","F Pit12 [EG15_008]","F Pit13 [EG15_008]","F Pit14 [EG15_008]","F Pit15 [EG15_008]","F Pit16 [EG15_008]","F Pit18 [EG15_008]","F Pit19 [EG15_008]","F Pit2 [EG15_008]","F Pit3 [EG15_008]","F Pit4 [EG15_008]","F Pit5 [EG15_008]","F Pit6 [EG15_008]","F Pit7 [EG15_008]","F Pit8 [EG15_008]","F Pit9 [EG15_008]"
      51,          0.833333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      52,          0.850000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      53,          0.866667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      54,          0.883333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      55,          0.900000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      56,          0.916667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      57,          0.933333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      58,          0.950000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      59,          0.966667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      60,          0.983333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      61,          1.000000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      62,          1.016667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      63,          1.033333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      64,          1.050000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      65,          1.066667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      66,          1.083333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      67,          1.100000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      68,          1.116667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      69,          1.133333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      70,          1.150000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      71,          1.166667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      72,          1.183333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      73,          1.200000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      74,          1.216667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      75,          1.233333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
