"EG15_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_006.tcf]","Time(h)","V FC01.1_R [EG15_006]","V FC01.2_R [EG15_006]","V FC04.1_C [EG15_006]","V Pipe0 [EG15_006]","V Pipe1 [EG15_006]","V Pipe10 [EG15_006]","V Pipe11 [EG15_006]","V Pipe12 [EG15_006]","V Pipe13 [EG15_006]","V Pipe14 [EG15_006]","V Pipe15 [EG15_006]","V Pipe16 [EG15_006]","V Pipe17 [EG15_006]","V Pipe19 [EG15_006]","V Pipe2 [EG15_006]","V Pipe3 [EG15_006]","V Pipe4 [EG15_006]","V Pipe5 [EG15_006]","V Pipe6 [EG15_006]","V Pipe7 [EG15_006]","V Pipe8 [EG15_006]","V Pipe9 [EG15_006]","V Pit1 [EG15_006]","V Pit11 [EG15_006]","V Pit12 [EG15_006]","V Pit14 [EG15_006]","V Pit15 [EG15_006]","V Pit16 [EG15_006]","V Pit18 [EG15_006]","V Pit19 [EG15_006]","V Pit2 [EG15_006]","V Pit4 [EG15_006]","V Pit5 [EG15_006]","V Pit6 [EG15_006]","V Pit7 [EG15_006]","V Pit8 [EG15_006]","V Pit9 [EG15_006]"
      21,          0.333333,    2.214,    0.548,    0.911,    0.113,    0.283,    0.915,    0.305,    0.692,    0.296,    0.051,    0.187,    0.001,   -0.175,    0.816,    0.091,    0.346,    0.536,    0.805,    0.529,    0.457,    0.838,    0.926,    0.255,   -0.127,   -0.117,   -0.178,   -0.274,   -0.030,    0.346,    0.360,    0.214,    0.927,    0.489,    0.082,   -0.012,   -0.184,   -0.201
      22,          0.350000,    2.280,    0.981,    0.947,    0.102,    0.246,    0.886,    0.274,    0.620,    0.265,    0.052,    0.148,    0.001,   -0.136,    0.813,    0.088,    0.334,    0.569,    0.780,    0.431,    0.454,    0.829,    0.915,    0.199,   -0.110,   -0.097,   -0.147,   -0.294,   -0.073,    0.325,    0.344,    0.170,    0.866,    0.416,    0.075,   -0.030,   -0.190,   -0.180
      23,          0.366667,    2.347,    1.072,    0.978,    0.088,    0.207,    0.855,    0.227,    0.538,    0.219,    0.039,    0.124,    0.001,   -0.114,    0.803,    0.085,    0.319,    0.599,    0.733,    0.361,    0.450,    0.822,    0.905,    0.154,   -0.093,   -0.079,   -0.123,   -0.258,   -0.127,    0.311,    0.332,    0.132,    0.825,    0.360,    0.069,   -0.048,   -0.201,   -0.162
      24,          0.383333,    2.424,    0.866,    1.005,    0.075,    0.175,    0.817,    0.186,    0.458,    0.178,    0.028,    0.109,    0.001,   -0.099,    0.787,    0.082,    0.305,    0.614,    0.664,    0.329,    0.447,    0.813,    0.893,    0.120,   -0.077,   -0.065,   -0.114,   -0.192,   -0.183,    0.300,    0.323,    0.105,    0.787,    0.322,    0.064,   -0.070,   -0.202,   -0.141
      25,          0.400000,    2.511,   -0.464,    1.027,    0.067,    0.159,    0.765,    0.155,    0.403,    0.147,    0.018,    0.099,    0.001,   -0.089,    0.768,    0.075,    0.299,    0.611,    0.589,    0.295,    0.443,    0.803,    0.877,    0.100,   -0.066,   -0.055,   -0.101,   -0.153,   -0.226,    0.290,    0.315,    0.091,    0.685,    0.302,    0.058,   -0.094,   -0.189,   -0.129
      26,          0.416667,    2.605,   -0.160,    1.047,    0.058,    0.139,    0.698,    0.133,    0.361,    0.126,    0.015,    0.084,    0.001,   -0.075,    0.745,    0.066,    0.293,    0.603,    0.507,    0.263,    0.439,    0.790,    0.859,    0.081,   -0.057,   -0.046,   -0.092,   -0.131,   -0.247,    0.281,    0.309,    0.078,    0.616,    0.285,    0.050,   -0.116,   -0.179,   -0.118
      27,          0.433333,    2.705,    0.231,    1.063,    0.052,    0.126,    0.636,    0.117,    0.326,    0.110,    0.015,    0.068,    0.001,   -0.058,    0.719,    0.058,    0.288,    0.599,    0.447,    0.219,    0.435,    0.779,    0.840,    0.069,   -0.049,   -0.037,   -0.078,   -0.114,   -0.270,    0.273,    0.304,    0.069,    0.565,    0.273,    0.043,   -0.143,   -0.164,   -0.109
      28,          0.450000,    2.808,   -0.073,    1.078,    0.041,    0.103,    0.579,    0.104,    0.298,    0.097,    0.016,    0.052,    0.001,   -0.043,    0.686,    0.050,    0.282,    0.585,    0.382,    0.183,    0.431,    0.772,    0.821,    0.053,   -0.041,   -0.030,   -0.068,   -0.103,   -0.253,    0.266,    0.300,    0.055,    0.524,    0.261,    0.036,   -0.164,   -0.146,   -0.101
      29,          0.466667,    2.927,    1.052,    1.091,    0.029,    0.074,    0.520,    0.088,    0.265,    0.083,    0.015,    0.045,    0.001,   -0.037,    0.642,    0.038,    0.273,    0.568,    0.334,    0.158,    0.427,    0.760,    0.797,    0.036,   -0.035,   -0.026,   -0.059,   -0.096,   -0.216,    0.258,    0.295,    0.039,    0.484,    0.248,    0.027,   -0.176,   -0.133,   -0.092
      30,          0.483333,    3.054,    0.961,    1.102,    0.016,    0.042,    0.468,    0.075,    0.234,    0.070,    0.009,    0.041,    0.001,   -0.034,    0.589,    0.024,    0.264,    0.548,    0.309,    0.143,    0.422,    0.747,    0.769,    0.019,   -0.031,   -0.022,   -0.052,   -0.086,   -0.179,    0.249,    0.290,    0.022,    0.447,    0.235,    0.017,   -0.179,   -0.121,   -0.083
      31,          0.500000,    3.180,    1.006,    1.111,    0.006,    0.014,    0.425,    0.065,    0.207,    0.059,    0.008,    0.034,    0.001,   -0.029,    0.533,    0.008,    0.251,    0.523,    0.282,    0.123,    0.415,    0.730,    0.736,    0.007,   -0.026,   -0.018,   -0.046,   -0.081,   -0.147,    0.240,    0.284,    0.007,    0.413,    0.220,    0.006,   -0.171,   -0.113,   -0.074
      32,          0.516667,    3.301,    0.631,    1.119,    0.000,   -0.007,    0.392,    0.057,    0.188,    0.052,    0.007,    0.029,    0.001,   -0.023,    0.483,   -0.005,    0.235,    0.492,    0.251,    0.107,    0.406,    0.707,    0.701,    0.000,   -0.023,   -0.015,   -0.040,   -0.075,   -0.122,    0.229,    0.277,   -0.005,    0.376,    0.203,   -0.003,   -0.161,   -0.107,   -0.068
      33,          0.533333,    3.457,    0.650,    1.126,   -0.007,   -0.032,    0.364,    0.052,    0.172,    0.047,    0.007,    0.023,    0.001,   -0.017,    0.429,   -0.024,    0.222,    0.464,    0.216,    0.088,    0.398,    0.687,    0.662,   -0.006,   -0.021,   -0.012,   -0.033,   -0.066,   -0.111,    0.218,    0.270,   -0.019,    0.344,    0.188,   -0.016,   -0.155,   -0.101,   -0.062
      34,          0.550000,    3.656,    0.676,    1.132,   -0.013,   -0.060,    0.339,    0.047,    0.156,    0.043,    0.008,    0.017,    0.001,   -0.011,    0.375,   -0.044,    0.208,    0.436,    0.181,    0.071,    0.389,    0.667,    0.622,   -0.013,   -0.018,   -0.009,   -0.028,   -0.057,   -0.101,    0.208,    0.263,   -0.033,    0.315,    0.174,   -0.029,   -0.147,   -0.096,   -0.056
      35,          0.566667,    4.880,    0.695,    1.137,   -0.023,   -0.083,    0.313,    0.042,    0.143,    0.038,    0.008,    0.012,    0.000,   -0.007,    0.320,   -0.064,    0.193,    0.405,    0.146,    0.056,    0.380,    0.646,    0.581,   -0.022,   -0.016,   -0.007,   -0.022,   -0.047,   -0.090,    0.198,    0.257,   -0.041,    0.285,    0.159,   -0.041,   -0.137,   -0.091,   -0.052
