"","Time","DF01 Status","DF01 Trigger","DF01 Breach Depth","DF01 Top Width","DF01 Bottom Width","DF01 Flow Intact","DF01 Flow Failed","DF01 Flow","PF01 Status","PF01 Trigger","PF01 Orifice Height","PF01 Orifice Width","PF01 Flow"
      54,          0.883333,"Opening     ",           0.000000,    6.241,   13.356,    0.874,    0.000,   94.006,             94.006,"Closed      ",          51.002171,    0.000,    0.000,              0.000
      55,          0.900000,"Opening     ",           0.000000,    6.341,   13.573,    0.891,    0.000,   97.433,             97.433,"Closed      ",          50.976265,    0.000,    0.000,              0.000
      56,          0.916667,"Opening     ",           0.000000,    6.441,   13.789,    0.908,    0.000,  100.587,            100.587,"Closed      ",          50.942509,    0.000,    0.000,              0.000
      57,          0.933333,"Opening     ",           0.000000,    6.541,   14.006,    0.924,    0.000,  103.482,            103.482,"Closed      ",          50.901611,    0.000,    0.000,              0.000
      58,          0.950000,"Opening     ",           0.000000,    6.641,   14.223,    0.941,    0.000,  106.074,            106.074,"Closed      ",          50.852985,    0.000,    0.000,              0.000
      59,          0.966667,"Opening     ",           0.000000,    6.741,   14.439,    0.958,    0.000,  108.404,            108.404,"Closed      ",          50.797829,    0.000,    0.000,              0.000
      60,          0.983333,"Opening     ",           0.000000,    6.841,   14.656,    0.975,    0.000,  110.478,            110.478,"Closed      ",          50.736477,    0.000,    0.000,              0.000
      61,          1.000000,"Opening     ",           0.000000,    6.941,   14.873,    0.991,    0.000,  112.305,            112.305,"Closed      ",          50.669361,    0.000,    0.000,              0.000
      62,          1.016667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  112.273,            112.273,"Closed      ",          50.605637,    0.000,    0.000,              0.000
      63,          1.033333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  109.763,            109.763,"Closed      ",          50.551933,    0.000,    0.000,              0.000
      64,          1.050000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  107.493,            107.493,"Closed      ",          50.502754,    0.000,    0.000,              0.000
      65,          1.066667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  105.428,            105.428,"Closed      ",          50.457458,    0.000,    0.000,              0.000
      66,          1.083333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  103.536,            103.536,"Closed      ",          50.415482,    0.000,    0.000,              0.000
      67,          1.100000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  101.778,            101.778,"Closed      ",          50.376060,    0.000,    0.000,              0.000
      68,          1.116667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  100.025,            100.025,"Closed      ",          50.336327,    0.000,    0.000,              0.000
      69,          1.133333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   98.295,             98.295,"Closed      ",          50.296715,    0.000,    0.000,              0.000
      70,          1.150000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   96.585,             96.585,"Closed      ",          50.257156,    0.000,    0.000,              0.000
      71,          1.166667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   94.896,             94.896,"Closed      ",          50.217670,    0.000,    0.000,              0.000
      72,          1.183333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   93.221,             93.221,"Closed      ",          50.178074,    0.000,    0.000,              0.000
      73,          1.200000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   91.546,             91.546,"Closed      ",          50.138046,    0.000,    0.000,              0.000
      74,          1.216667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   89.860,             89.860,"Closed      ",          50.097321,    0.000,    0.000,              0.000
      75,          1.233333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   88.160,             88.160,"Closed      ",          50.055801,    0.000,    0.000,              0.000
      76,          1.250000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   86.456,             86.456,"Closed      ",          50.013687,    0.000,    0.000,              0.000
      77,          1.266667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   84.733,             84.733,"Closed      ",          49.970604,    0.000,    0.000,              0.000
      78,          1.283333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   82.930,             82.930,"Closed      ",          49.924942,    0.000,    0.000,              0.000
      79,          1.300000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   81.071,             81.071,"Closed      ",          49.877228,    0.000,    0.000,              0.000
      80,          1.316667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   79.135,             79.135,"Closed      ",          49.826885,    0.000,    0.000,              0.000
      81,          1.333333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   77.152,             77.152,"Closed      ",          49.774521,    0.000,    0.000,              0.000
      82,          1.350000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   75.117,             75.117,"Closed      ",          49.719925,    0.000,    0.000,              0.000
      83,          1.366667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   73.031,             73.031,"Closed      ",          49.663040,    0.000,    0.000,              0.000
      84,          1.383333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   70.901,             70.901,"Closed      ",          49.603970,    0.000,    0.000,              0.000
      85,          1.400000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   68.729,             68.729,"Closed      ",          49.542648,    0.000,    0.000,              0.000
      86,          1.416667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   66.529,             66.529,"Closed      ",          49.479332,    0.000,    0.000,              0.000
      87,          1.433333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   64.285,             64.285,"Closed      ",          49.413414,    0.000,    0.000,              0.000
      88,          1.450000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   62.059,             62.059,"Closed      ",          49.346699,    0.000,    0.000,              0.000
      89,          1.466667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   59.842,             59.842,"Closed      ",          49.278816,    0.000,    0.000,              0.000
      90,          1.483333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   57.652,             57.652,"Closed      ",          49.210312,    0.000,    0.000,              0.000
      91,          1.500000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   55.475,             55.475,"Closed      ",          49.140617,    0.000,    0.000,              0.000
      92,          1.516667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   53.320,             53.320,"Closed      ",          49.069981,    0.000,    0.000,              0.000
      93,          1.533333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   51.208,             51.208,"Closed      ",          48.999149,    0.000,    0.000,              0.000
      94,          1.550000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   49.133,             49.133,"Closed      ",          48.927780,    0.000,    0.000,              0.000
      95,          1.566667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   47.077,             47.077,"Closed      ",          48.855293,    0.000,    0.000,              0.000
      96,          1.583333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   45.045,             45.045,"Closed      ",          48.781776,    0.000,    0.000,              0.000
      97,          1.600000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   43.026,             43.026,"Closed      ",          48.706772,    0.000,    0.000,              0.000
