"","Time","DF01 Status","DF01 Trigger","DF01 Breach Depth","DF01 Top Width","DF01 Bottom Width","DF01 Flow Intact","DF01 Flow Failed","DF01 Flow"
     109,          1.800000,"Fully Open  ",          47.985680,    7.000,   15.000,    1.000,    0.000,   26.336,             26.336
     110,          1.816667,"Fully Open  ",          47.939850,    7.000,   15.000,    1.000,    0.000,   25.435,             25.435
     111,          1.833333,"Fully Open  ",          47.897758,    7.000,   15.000,    1.000,    0.000,   24.625,             24.625
     112,          1.850000,"Fully Open  ",          47.858349,    7.000,   15.000,    1.000,    0.000,   23.880,             23.880
     113,          1.866667,"Fully Open  ",          47.822021,    7.000,   15.000,    1.000,    0.000,   23.205,             23.205
     114,          1.883333,"Fully Open  ",          47.788284,    7.000,   15.000,    1.000,    0.000,   22.589,             22.589
     115,          1.900000,"Fully Open  ",          47.756958,    7.000,   15.000,    1.000,    0.000,   22.025,             22.025
     116,          1.916667,"Fully Open  ",          47.728355,    7.000,   15.000,    1.000,    0.000,   21.518,             21.518
     117,          1.933333,"Fully Open  ",          47.700363,    7.000,   15.000,    1.000,    0.000,   21.029,             21.029
     118,          1.950000,"Fully Open  ",          47.674038,    7.000,   15.000,    1.000,    0.000,   20.574,             20.574
     119,          1.966667,"Fully Open  ",          47.649757,    7.000,   15.000,    1.000,    0.000,   20.160,             20.160
     120,          1.983333,"Fully Open  ",          47.627457,    7.000,   15.000,    1.000,    0.000,   19.784,             19.784
     121,          2.000000,"Fully Open  ",          47.606384,    7.000,   15.000,    1.000,    0.000,   19.433,             19.433
     122,          2.016667,"Fully Open  ",          47.586212,    7.000,   15.000,    1.000,    0.000,   19.100,             19.100
     123,          2.033334,"Fully Open  ",          47.565468,    7.000,   15.000,    1.000,    0.000,   18.762,             18.762
     124,          2.050000,"Fully Open  ",          47.543499,    7.000,   15.000,    1.000,    0.000,   18.408,             18.408
     125,          2.066667,"Fully Open  ",          47.520733,    7.000,   15.000,    1.000,    0.000,   18.045,             18.045
     126,          2.083333,"Fully Open  ",          47.496674,    7.000,   15.000,    1.000,    0.000,   17.665,             17.665
     127,          2.100000,"Fully Open  ",          47.471634,    7.000,   15.000,    1.000,    0.000,   17.276,             17.276
     128,          2.116667,"Fully Open  ",          47.444450,    7.000,   15.000,    1.000,    0.000,   16.859,             16.859
     129,          2.133333,"Fully Open  ",          47.414680,    7.000,   15.000,    1.000,    0.000,   16.409,             16.409
     130,          2.150000,"Fully Open  ",          47.382999,    7.000,   15.000,    1.000,    0.000,   15.938,             15.938
     131,          2.166667,"Fully Open  ",          47.348885,    7.000,   15.000,    1.000,    0.000,   15.440,             15.440
     132,          2.183333,"Fully Open  ",          47.312931,    7.000,   15.000,    1.000,    0.000,   14.926,             14.926
     133,          2.200000,"Fully Open  ",          47.278725,    7.000,   15.000,    1.000,    0.000,   14.444,             14.444
     134,          2.216667,"Fully Open  ",          47.249161,    7.000,   15.000,    1.000,    0.000,   14.036,             14.036
     135,          2.233333,"Fully Open  ",          47.223022,    7.000,   15.000,    1.000,    0.000,   13.681,             13.681
     136,          2.250000,"Fully Open  ",          47.199409,    7.000,   15.000,    1.000,    0.000,   13.365,             13.365
     137,          2.266667,"Fully Open  ",          47.178036,    7.000,   15.000,    1.000,    0.000,   13.082,             13.082
     138,          2.283334,"Fully Open  ",          47.157761,    7.000,   15.000,    1.000,    0.000,   12.818,             12.818
     139,          2.300000,"Fully Open  ",          47.136997,    7.000,   15.000,    1.000,    0.000,   12.550,             12.550
     140,          2.316667,"Fully Open  ",          47.116146,    7.000,   15.000,    1.000,    0.000,   12.285,             12.285
     141,          2.333333,"Fully Open  ",          47.095463,    7.000,   15.000,    1.000,    0.000,   12.025,             12.025
     142,          2.350000,"Fully Open  ",          47.074486,    7.000,   15.000,    1.000,    0.000,   11.764,             11.764
     143,          2.366667,"Fully Open  ",          47.054260,    7.000,   15.000,    1.000,    0.000,   11.516,             11.516
     144,          2.383333,"Fully Open  ",          47.035423,    7.000,   15.000,    1.000,    0.000,   11.288,             11.288
     145,          2.400000,"Fully Open  ",          47.017982,    7.000,   15.000,    1.000,    0.000,   11.079,             11.079
     146,          2.416667,"Fully Open  ",          47.001141,    7.000,   15.000,    1.000,    0.000,   10.880,             10.880
     147,          2.433333,"Fully Open  ",          46.985767,    7.000,   15.000,    1.000,    0.000,   10.699,             10.699
     148,          2.450000,"Fully Open  ",          46.969742,    7.000,   15.000,    1.000,    0.000,   10.514,             10.514
     149,          2.466667,"Fully Open  ",          46.952293,    7.000,   15.000,    1.000,    0.000,   10.313,             10.313
     150,          2.483333,"Fully Open  ",          46.934914,    7.000,   15.000,    1.000,    0.000,   10.116,             10.116
     151,          2.500000,"Fully Open  ",          46.915031,    7.000,   15.000,    1.000,    0.000,    9.893,              9.893
     152,          2.516667,"Fully Open  ",          46.895554,    7.000,   15.000,    1.000,    0.000,    9.677,              9.677
     153,          2.533334,"Fully Open  ",          46.874542,    7.000,   15.000,    1.000,    0.000,    9.448,              9.448
