"EG02_010","Location","Flow","Flow","Water Level","Velocity","Water Level","Velocity","Flow into Region","Flow out of Region","Volume"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_010.tcf","Time","PO_01","PO_02","PO_01","PO_01","PO_02","PO_02","PO_Vol1","PO_Vol1","PO_Vol1"
,        1.033333,         83.2271,         51.4466,         43.1624,          0.4144,         39.6484,          0.9264,         91.3422,         64.8268,     116081.7422
,        1.050000,         84.3300,         58.0061,         43.1808,          0.4122,         39.7913,          0.9523,         90.9055,         70.1833,     117513.3750
,        1.066667,         85.9427,         63.9102,         43.1962,          0.4155,         39.8998,          0.9738,         90.4671,         74.2706,     118631.2188
,        1.083333,         86.6044,         68.9456,         43.2084,          0.4152,         39.9752,          0.9895,         89.9254,         77.5034,     119503.9062
,        1.100000,         87.4168,         73.3737,         43.2174,          0.4165,         40.0257,          1.0019,         89.3544,         80.1632,     120169.6641
,        1.116667,         87.4424,         77.0988,         43.2249,          0.4141,         40.0610,          1.0120,         88.1860,         82.1938,     120641.4062
,        1.133333,         87.8062,         79.9078,         43.2301,          0.4143,         40.0865,          1.0180,         86.8517,         83.7648,     120932.9375
,        1.150000,         87.4206,         82.0561,         43.2337,          0.4116,         40.1047,          1.0223,         85.4580,         84.9174,     121059.2891
,        1.166667,         86.9663,         83.6119,         43.2358,          0.4092,         40.1180,          1.0249,         84.0251,         85.6211,     121044.9062
,        1.183333,         86.1394,         84.6789,         43.2364,          0.4055,         40.1270,          1.0263,         82.9946,         85.9610,     120915.1875
,        1.200000,         85.2273,         85.2930,         43.2360,          0.4017,         40.1327,          1.0266,         81.1399,         85.9458,     120691.6641
,        1.216667,         84.2073,         85.5206,         43.2345,          0.3977,         40.1353,          1.0261,         79.4345,         85.6654,     120379.7109
,        1.233333,         83.0853,         85.4380,         43.2323,          0.3935,         40.1355,          1.0249,         77.8383,         85.1668,     119992.9609
,        1.250000,         81.7971,         85.0982,         43.2294,          0.3889,         40.1337,          1.0231,         76.0790,         84.4746,     119543.4922
,        1.266667,         80.4459,         84.5399,         43.2258,          0.3841,         40.1304,          1.0208,         74.3875,         83.6057,     119044.4219
,        1.283333,         79.0490,         83.7929,         43.2218,          0.3792,         40.1255,          1.0181,         72.3888,         82.6044,     118490.3750
,        1.300000,         77.5949,         82.9098,         43.2172,          0.3742,         40.1193,          1.0152,         71.0919,         81.5012,     117875.4453
,        1.316667,         75.9768,         81.8851,         43.2122,          0.3688,         40.1122,          1.0114,         68.8302,         80.2830,     117205.3203
,        1.333333,         74.2074,         80.7557,         43.2067,          0.3626,         40.1042,          1.0075,         66.5266,         78.9502,     116484.0156
,        1.350000,         72.3209,         79.5124,         43.2006,          0.3560,         40.0951,          1.0030,         64.2657,         77.4949,     115715.3672
,        1.366667,         70.3791,         78.1409,         43.1941,          0.3491,         40.0849,          0.9979,         61.1720,         75.9252,     114918.0703
,        1.383333,         68.4340,         76.6653,         43.1872,          0.3422,         40.0734,          0.9924,         58.7915,         74.2661,     114115.3516
,        1.400000,         66.7024,         75.1075,         43.1803,          0.3363,         40.0609,          0.9864,         55.9516,         72.5494,     113281.5938
,        1.416667,         64.9269,         73.4911,         43.1731,          0.3300,         40.0475,          0.9800,         53.3623,         70.8708,     112405.6562
,        1.433333,         62.9413,         71.8605,         43.1656,          0.3229,         40.0333,          0.9734,         50.9412,         69.1570,     111482.9219
,        1.450000,         60.7619,         70.1995,         43.1577,          0.3150,         40.0184,          0.9664,         48.7522,         67.3662,     110529.7266
,        1.466667,         58.5516,         68.4813,         43.1494,          0.3068,         40.0023,          0.9588,         46.7756,         65.4879,     109563.6875
,        1.483333,         56.4074,         66.7005,         43.1409,          0.2988,         39.9849,          0.9506,         50.1835,         63.5469,     108595.7734
,        1.500000,         54.4262,         64.8610,         43.1323,          0.2914,         39.9660,          0.9419,         48.2044,         61.5956,     107630.4062
,        1.516667,         52.5170,         62.9867,         43.1236,          0.2843,         39.9457,          0.9324,         44.2755,         59.6825,     106707.2734
,        1.533333,         50.6900,         61.1178,         43.1150,          0.2775,         39.9244,          0.9224,         41.8255,         57.7997,     105819.4609
,        1.550000,         49.2469,         59.2684,         43.1068,          0.2723,         39.9021,          0.9120,         40.2714,         55.9814,     104915.1875
,        1.566667,         47.7899,         57.4767,         43.0986,          0.2669,         39.8789,          0.9020,         38.2731,         54.3065,     103995.0703
,        1.583333,         46.0655,         55.7648,         43.0904,          0.2603,         39.8555,          0.8920,         36.4868,         52.6766,     103063.6328
,        1.600000,         44.1823,         54.0937,         43.0821,          0.2528,         39.8316,          0.8818,         34.8418,         51.0256,     102128.7109
,        1.616667,         42.4447,         52.4653,         43.0737,          0.2457,         39.8070,          0.8717,         33.5037,         49.0433,     101204.5391
,        1.633333,         40.6053,         50.6134,         43.0653,          0.2382,         39.7783,          0.8583,         34.0533,         47.3698,     100323.5781
,        1.650000,         39.0392,         48.9411,         43.0571,          0.2317,         39.7498,          0.8476,         32.9460,         45.7672,      99476.4844
,        1.666667,         37.5820,         47.3116,         43.0491,          0.2256,         39.7211,          0.8365,         31.9540,         44.1932,      98669.8672
,        1.683333,         36.3441,         45.7052,         43.0412,          0.2207,         39.6923,          0.8249,         30.9524,         42.6644,      97905.3359
,        1.700000,         35.1840,         44.1474,         43.0336,          0.2160,         39.6630,          0.8134,         30.0500,         41.2320,      97176.2578
,        1.716667,         34.1262,         42.6626,         43.0264,          0.2117,         39.6338,          0.8023,         29.0026,         39.8867,      96480.2188
,        1.733333,         33.1572,         41.2530,         43.0195,          0.2077,         39.6054,          0.7914,         27.8771,         38.6310,      95806.7031
,        1.750000,         32.2648,         39.9139,         43.0130,          0.2040,         39.5774,          0.7808,         26.8292,         37.4492,      95148.1719
,        1.766667,         31.3817,         38.6680,         43.0066,          0.2003,         39.5495,          0.7709,         26.5453,         36.3501,      94499.6328
,        1.783333,         30.3996,         37.5126,         43.0004,          0.1959,         39.5230,          0.7616,         25.1137,         35.3027,      93864.2578
,        1.800000,         29.4306,         36.3895,         42.9944,          0.1914,         39.4969,          0.7519,         24.3747,         34.2773,      93249.7266
,        1.816667,         28.5785,         35.3264,         42.9886,          0.1876,         39.4712,          0.7427,         23.6279,         33.2829,      92655.9844
,        1.833333,         27.7921,         34.3042,         42.9828,          0.1841,         39.4463,          0.7335,         22.9678,         32.3252,      92087.7031
,        1.850000,         26.9927,         33.3330,         42.9772,          0.1805,         39.4216,          0.7248,         22.6809,         31.4141,      91544.7812
,        1.866667,         26.2133,         32.3850,         42.9718,          0.1769,         39.3972,          0.7159,         22.1210,         30.5387,      91025.1797
,        1.883333,         25.5121,         31.4688,         42.9665,          0.1737,         39.3730,          0.7073,         21.6119,         29.6944,      90528.9453
,        1.900000,         24.8924,         30.5883,         42.9614,          0.1709,         39.3492,          0.6989,         21.1748,         28.8973,      90054.7578
,        1.916667,         24.4704,         29.7636,         42.9569,          0.1693,         39.3261,          0.6911,         20.7706,         28.1415,      89602.1641
,        1.933333,         23.8879,         28.9717,         42.9520,          0.1664,         39.3035,          0.6832,         20.3872,         27.4612,      89168.6250
,        1.950000,         23.2836,         28.2305,         42.9477,          0.1636,         39.2819,          0.6758,         20.0389,         26.7875,      88754.2891
,        1.966667,         22.6938,         27.5123,         42.9433,          0.1607,         39.2606,          0.6682,         19.7173,         26.1293,      88359.5625
,        1.983333,         22.2626,         26.8459,         42.9393,          0.1585,         39.2401,          0.6615,         19.4127,         25.5028,      87984.5703
,        2.000000,         21.8016,         26.2038,         42.9352,          0.1562,         39.2199,          0.6549,         19.1206,         24.9201,      87627.9141
,        2.016667,         21.4122,         25.5829,         42.9315,          0.1543,         39.2004,          0.6482,         18.8442,         24.3591,      87289.0156
,        2.033333,         21.0168,         24.9985,         42.9278,          0.1523,         39.1816,          0.6417,         18.5270,         23.8432,      86964.3438
,        2.050000,         20.6419,         24.4509,         42.9244,          0.1505,         39.1637,          0.6357,         18.1934,         23.3427,      86650.8359
,        2.066667,         20.2963,         23.9183,         42.9210,          0.1487,         39.1463,          0.6297,         17.9172,         22.8742,      86348.0156
,        2.083333,         19.9450,         23.4190,         42.9179,          0.1469,         39.1295,          0.6240,         17.5467,         22.4267,      86052.2656
,        2.100000,         19.6395,         22.9427,         42.9148,          0.1453,         39.1134,          0.6185,         17.1660,         22.0041,      85760.2578
,        2.116667,         19.2822,         22.4932,         42.9118,          0.1434,         39.0978,          0.6132,         16.7573,         21.5969,      85471.4062
,        2.133333,         18.9609,         22.0672,         42.9090,          0.1417,         39.0825,          0.6083,         16.3255,         21.2033,      85179.8281
,        2.150000,         18.5924,         21.6572,         42.9061,          0.1397,         39.0679,          0.6035,         15.7880,         20.8211,      84880.3516
,        2.166667,         18.2436,         21.2567,         42.9033,          0.1377,         39.0537,          0.5984,         15.3352,         20.4425,      84576.0781
,        2.183333,         17.8507,         20.8748,         42.9004,          0.1354,         39.0395,          0.5939,         14.8951,         20.0710,      84266.9688
,        2.200000,         17.4515,         20.4912,         42.8976,          0.1331,         39.0255,          0.5889,         14.5195,         19.6967,      83955.2266
,        2.216667,         17.0533,         20.1150,         42.8947,          0.1307,         39.0116,          0.5839,         14.1772,         19.3227,      83644.9297
,        2.233333,         16.6241,         19.7411,         42.8917,          0.1282,         38.9976,          0.5788,         13.8793,         18.9449,      83337.6484
,        2.250000,         16.2553,         19.3671,         42.8888,          0.1260,         38.9834,          0.5738,         13.5873,         18.5640,      83036.3672
,        2.266667,         15.8575,         18.9918,         42.8858,          0.1236,         38.9691,          0.5687,         13.3371,         18.1900,      82741.0000
,        2.283333,         15.5334,         18.6225,         42.8829,          0.1217,         38.9548,          0.5635,         13.0578,         17.8143,      82452.6172
,        2.300000,         15.2248,         18.2517,         42.8800,          0.1198,         38.9401,          0.5584,         12.7814,         17.4535,      82169.6172
,        2.316667,         14.9642,         17.8838,         42.8772,          0.1183,         38.9255,          0.5532,         12.5190,         17.1056,      81891.9375
,        2.333333,         14.6474,         17.5346,         42.8744,          0.1164,         38.9111,          0.5483,         12.2519,         16.7708,      81618.6406
,        2.350000,         14.3432,         17.1839,         42.8717,          0.1146,         38.8967,          0.5432,         11.9899,         16.4390,      81349.4141
,        2.366667,         14.0301,         16.8564,         42.8690,          0.1125,         38.8827,          0.5386,         11.7515,         16.1138,      81084.8984
,        2.383333,         13.7501,         16.5185,         42.8663,          0.1108,         38.8684,          0.5335,         11.5255,         15.7937,      80825.9375
,        2.400000,         13.5037,         16.1970,         42.8637,          0.1092,         38.8538,          0.5288,         11.4956,         15.4848,      80574.3672
