"","Time","OC_001 Status","OC_001 t","OC_001 Gate Opening","OC_001 Flow"
     149,          2.466667,"Steady      ",           2.466764,    0.500,             26.213
     150,          2.483333,"Steady      ",           2.483430,    0.500,             26.099
     151,          2.500000,"Steady      ",           2.500194,    0.500,             25.981
     152,          2.516667,"Steady      ",           2.516860,    0.500,             25.862
     153,          2.533334,"Steady      ",           2.533527,    0.500,             25.740
     154,          2.550000,"Steady      ",           2.550194,    0.500,             25.616
     155,          2.566667,"Steady      ",           2.566860,    0.500,             25.490
     156,          2.583333,"Steady      ",           2.583431,    0.500,             25.363
     157,          2.600000,"Steady      ",           2.600098,    0.500,             25.231
     158,          2.616667,"Steady      ",           2.616765,    0.500,             25.096
     159,          2.633333,"Steady      ",           2.633431,    0.500,             24.957
     160,          2.650000,"Steady      ",           2.650098,    0.500,             24.816
     161,          2.666667,"Steady      ",           2.666765,    0.500,             24.672
     162,          2.683333,"Steady      ",           2.683431,    0.500,             24.525
     163,          2.700000,"Steady      ",           2.700099,    0.500,             24.373
     164,          2.716667,"Steady      ",           2.716766,    0.500,             24.217
     165,          2.733334,"Steady      ",           2.733532,    0.500,             24.057
     166,          2.750000,"Steady      ",           2.750198,    0.500,             23.894
     167,          2.766667,"Steady      ",           2.766865,    0.500,             23.727
     168,          2.783334,"Steady      ",           2.783532,    0.500,             23.556
     169,          2.800000,"Steady      ",           2.800201,    0.500,             23.382
     170,          2.816667,"Steady      ",           2.816868,    0.500,             23.203
     171,          2.833333,"Steady      ",           2.833434,    0.500,             23.021
     172,          2.850000,"Steady      ",           2.850101,    0.500,             22.832
     173,          2.866667,"Steady      ",           2.866767,    0.500,             22.639
     174,          2.883333,"Steady      ",           2.883435,    0.500,             22.441
     175,          2.900000,"Steady      ",           2.900102,    0.500,             22.237
     176,          2.916667,"Steady      ",           2.916768,    0.500,             22.027
     177,          2.933333,"Steady      ",           2.933435,    0.500,             21.812
     178,          2.950000,"Steady      ",           2.950102,    0.500,             21.591
     179,          2.966667,"Steady      ",           2.966872,    0.500,             21.360
     180,          2.983334,"Steady      ",           2.983539,    0.500,             21.124
     181,          3.000000,"Closing     ",           3.000139,    0.499,             20.868
