"","Time","OC_001 Status","OC_001 Trigger1","OC_001 Trigger2","OC_001 Flow"
     138,          2.283334,"Off         ",          39.674408,          43.631557,              0.000
     139,          2.300000,"Off         ",          39.637989,          43.631485,              0.000
     140,          2.316667,"Off         ",          39.604240,          43.631180,              0.000
     141,          2.333333,"Off         ",          39.572128,          43.631744,              0.000
     142,          2.350000,"Off         ",          39.542763,          43.631004,              0.000
     143,          2.366667,"Off         ",          39.515854,          43.631790,              0.000
     144,          2.383333,"Off         ",          39.494102,          43.631172,              0.000
     145,          2.400000,"Off         ",          39.470596,          43.631470,              0.000
     146,          2.416667,"Off         ",          39.446503,          43.631607,              0.000
     147,          2.433333,"Off         ",          39.424728,          43.631062,              0.000
     148,          2.450000,"Off         ",          39.404892,          43.631821,              0.000
     149,          2.466667,"Off         ",          39.386047,          43.631016,              0.000
     150,          2.483333,"Off         ",          39.364853,          43.631702,              0.000
     151,          2.500000,"Off         ",          39.348251,          43.631317,              0.000
     152,          2.516667,"Off         ",          39.333229,          43.631306,              0.000
     153,          2.533334,"Off         ",          39.317619,          43.631725,              0.000
     154,          2.550000,"Off         ",          39.302761,          43.630981,              0.000
     155,          2.566667,"Off         ",          39.289402,          43.631847,              0.000
     156,          2.583333,"Off         ",          39.275826,          43.631084,              0.000
     157,          2.600000,"Off         ",          39.262589,          43.631557,              0.000
     158,          2.616667,"Off         ",          39.246838,          43.631508,              0.000
     159,          2.633333,"Off         ",          39.232460,          43.631111,              0.000
     160,          2.650000,"Off         ",          39.219322,          43.631798,              0.000
     161,          2.666667,"Off         ",          39.206722,          43.631020,              0.000
     162,          2.683333,"Off         ",          39.194256,          43.631729,              0.000
     163,          2.700000,"Off         ",          39.180820,          43.631245,              0.000
     164,          2.716667,"Off         ",          39.167667,          43.631401,              0.000
     165,          2.733334,"Off         ",          39.156021,          43.631626,              0.000
     166,          2.750000,"Off         ",          39.144073,          43.631042,              0.000
     167,          2.766667,"Off         ",          39.132095,          43.631786,              0.000
     168,          2.783334,"Off         ",          39.120136,          43.631100,              0.000
     169,          2.800000,"Off         ",          39.113461,          43.631626,              0.000
     170,          2.816667,"Off         ",          39.096928,          43.631355,              0.000
     171,          2.833333,"Off         ",          39.085106,          43.631306,              0.000
     172,          2.850000,"Off         ",          39.076485,          43.631691,              0.000
     173,          2.866667,"Off         ",          39.067108,          43.630997,              0.000
     174,          2.883333,"Off         ",          39.057716,          43.631809,              0.000
     175,          2.900000,"Off         ",          39.047146,          43.631115,              0.000
     176,          2.916667,"Off         ",          39.036564,          43.631538,              0.000
     177,          2.933333,"Off         ",          39.026329,          43.631519,              0.000
     178,          2.950000,"Off         ",          39.017147,          43.631115,              0.000
     179,          2.966667,"Off         ",          39.009132,          43.631805,              0.000
     180,          2.983334,"Off         ",          38.997143,          43.631008,              0.000
     181,          3.000000,"Off         ",          38.988583,          43.631695,              0.000
