"","Time","OC_999 Status","OC_999 Trigger","OC_999 Period_no_change","OC_999 Delay","OC_999 Gate Opening","OC_999 Flow"
     106,          1.750000,"Fully Open  ",          43.298439,           0.099820,           0.150000,  100.000,             82.978
     107,          1.766667,"Fully Open  ",          43.267242,           0.116486,           0.150000,  100.000,             82.509
     108,          1.783333,"Fully Open  ",          43.235443,           0.133153,           0.150000,  100.000,             82.037
     109,          1.800000,"Fully Open  ",          43.202850,           0.149821,           0.150000,  100.000,             81.550
     110,          1.816667,"Fully Open  ",          43.169479,           0.016481,           0.150000,  100.000,             81.043
     111,          1.833333,"Fully Open  ",          43.135162,           0.033148,           0.150000,  100.000,             80.525
     112,          1.850000,"Fully Open  ",          43.099892,           0.049816,           0.150000,  100.000,             79.999
     113,          1.866667,"Fully Open  ",          43.063446,           0.066483,           0.150000,  100.000,             79.499
     114,          1.883333,"Fully Open  ",          43.025887,           0.083149,           0.150000,  100.000,             78.983
     115,          1.900000,"Fully Open  ",          42.986908,           0.099816,           0.150000,  100.000,             78.446
     116,          1.916667,"Fully Open  ",          42.946587,           0.116484,           0.150000,  100.000,             77.892
     117,          1.933333,"Fully Open  ",          42.904598,           0.133150,           0.150000,  100.000,             77.315
     118,          1.950000,"Fully Open  ",          42.861023,           0.149817,           0.150000,  100.000,             76.714
     119,          1.966667,"Fully Open  ",          42.815781,           0.016478,           0.150000,  100.000,             76.092
     120,          1.983333,"Fully Open  ",          42.768509,           0.033145,           0.150000,  100.000,             75.442
     121,          2.000000,"Fully Open  ",          42.719242,           0.049813,           0.150000,  100.000,             74.764
     122,          2.016667,"Fully Open  ",          42.667877,           0.066576,           0.150000,  100.000,             74.057
     123,          2.033334,"Fully Open  ",          42.614349,           0.083243,           0.150000,  100.000,             73.322
     124,          2.050000,"Fully Open  ",          42.558975,           0.099912,           0.150000,  100.000,             72.560
     125,          2.066667,"Fully Open  ",          42.501572,           0.116579,           0.150000,  100.000,             71.769
     126,          2.083333,"Fully Open  ",          42.442276,           0.133149,           0.150000,  100.000,             70.955
     127,          2.100000,"Fully Open  ",          42.380318,           0.149815,           0.150000,  100.000,             70.102
     128,          2.116667,"Fully Open  ",          42.315811,           0.016469,           0.150000,  100.000,             69.215
     129,          2.133333,"Fully Open  ",          42.248322,           0.033137,           0.150000,  100.000,             68.287
     130,          2.150000,"Fully Open  ",          42.177719,           0.049804,           0.150000,  100.000,             67.313
