"","Time","OC_001 Status","OC_001 Hup","OC_001 SGate1_Status","OC_001 Flow","SGate1 Status","SGate1 t","SGate1 Gate Opening","SGate1 Flow"
     105,          1.733333,"Off         ",          43.441319,           7.000000,              0.000,"Fully Open  ",           1.733424,    1.000,             61.646
     106,          1.750000,"Off         ",          43.426208,           7.000000,              0.000,"Fully Open  ",           1.750091,    1.000,             61.451
     107,          1.766667,"Off         ",          43.410583,           7.000000,              0.000,"Fully Open  ",           1.766758,    1.000,             61.249
     108,          1.783333,"Off         ",          43.394394,           7.000000,              0.000,"Fully Open  ",           1.783425,    1.000,             61.038
     109,          1.800000,"Off         ",          43.377663,           7.000000,              0.000,"Fully Open  ",           1.800092,    1.000,             60.820
     110,          1.816667,"Off         ",          43.360252,           7.000000,              0.000,"Fully Open  ",           1.816758,    1.000,             60.593
     111,          1.833333,"Off         ",          43.342167,           7.000000,              0.000,"Fully Open  ",           1.833425,    1.000,             60.355
     112,          1.850000,"Off         ",          43.323303,           7.000000,              0.000,"Fully Open  ",           1.850092,    1.000,             60.107
     113,          1.866667,"Off         ",          43.303680,           7.000000,              0.000,"Fully Open  ",           1.866758,    1.000,             59.847
     114,          1.883333,"Off         ",          43.283211,           7.000000,              0.000,"Fully Open  ",           1.883426,    1.000,             59.575
     115,          1.900000,"Off         ",          43.261856,           7.000000,              0.000,"Fully Open  ",           1.900093,    1.000,             59.290
     116,          1.916667,"Off         ",          43.239624,           7.000000,              0.000,"Fully Open  ",           1.916759,    1.000,             58.992
     117,          1.933333,"Off         ",          43.216324,           7.000000,              0.000,"Fully Open  ",           1.933426,    1.000,             58.678
     118,          1.950000,"Off         ",          43.191940,           7.000000,              0.000,"Fully Open  ",           1.950093,    1.000,             58.347
     119,          1.966667,"Off         ",          43.166550,           7.000000,              0.000,"Fully Open  ",           1.966759,    1.000,             58.001
     120,          1.983333,"Off         ",          43.140152,           7.000000,              0.000,"Fully Open  ",           1.983427,    1.000,             57.639
     121,          2.000000,"Off         ",          43.112904,           4.000000,              0.000,"Closing     ",           2.000094,    0.999,             57.257
     122,          2.016667,"Off         ",          43.088966,           4.000000,              0.000,"Closing     ",           2.016854,    0.932,             53.203
     123,          2.033334,"Off         ",          43.066002,           4.000000,              0.000,"Closing     ",           2.033521,    0.866,             49.195
     124,          2.050000,"Off         ",          43.045063,           4.000000,              0.000,"Closing     ",           2.050187,    0.799,             45.236
     125,          2.066667,"Off         ",          43.026592,           4.000000,              0.000,"Closing     ",           2.066854,    0.732,             41.326
     126,          2.083333,"Off         ",          43.011002,           4.000000,              0.000,"Closing     ",           2.083428,    0.666,             37.485
     127,          2.100000,"Off         ",          42.997833,           4.000000,              0.000,"Closing     ",           2.100095,    0.599,             33.660
     128,          2.116667,"Off         ",          42.987473,           4.000000,              0.000,"Closing     ",           2.116761,    0.533,             29.869
     129,          2.133333,"Off         ",          42.977581,           5.000000,              0.000,"Steady      ",           2.133428,    0.500,             27.942
     130,          2.150000,"Off         ",          42.968266,           5.000000,              0.000,"Steady      ",           2.150095,    0.500,             27.876
     131,          2.166667,"Off         ",          42.959465,           5.000000,              0.000,"Steady      ",           2.166761,    0.500,             27.813
     132,          2.183333,"Off         ",          42.949692,           5.000000,              0.000,"Steady      ",           2.183428,    0.500,             27.743
     133,          2.200000,"Off         ",          42.940147,           5.000000,              0.000,"Steady      ",           2.200095,    0.500,             27.675
     134,          2.216667,"Off         ",          42.929958,           5.000000,              0.000,"Steady      ",           2.216761,    0.500,             27.602
     135,          2.233333,"Off         ",          42.919411,           5.000000,              0.000,"Steady      ",           2.233428,    0.500,             27.526
     136,          2.250000,"Off         ",          42.908215,           5.000000,              0.000,"Steady      ",           2.250095,    0.500,             27.445
     137,          2.266667,"Off         ",          42.896908,           5.000000,              0.000,"Steady      ",           2.266856,    0.500,             27.363
     138,          2.283334,"Off         ",          42.885288,           5.000000,              0.000,"Steady      ",           2.283523,    0.500,             27.279
     139,          2.300000,"Off         ",          42.873150,           5.000000,              0.000,"Steady      ",           2.300192,    0.500,             27.190
     140,          2.316667,"Off         ",          42.860897,           5.000000,              0.000,"Steady      ",           2.316858,    0.500,             27.101
     141,          2.333333,"Off         ",          42.848320,           5.000000,              0.000,"Steady      ",           2.333429,    0.500,             27.008
     142,          2.350000,"Off         ",          42.835442,           5.000000,              0.000,"Steady      ",           2.350096,    0.500,             26.914
     143,          2.366667,"Off         ",          42.822266,           5.000000,              0.000,"Steady      ",           2.366763,    0.500,             26.816
     144,          2.383333,"Off         ",          42.808910,           5.000000,              0.000,"Steady      ",           2.383429,    0.500,             26.717
     145,          2.400000,"Off         ",          42.795135,           5.000000,              0.000,"Steady      ",           2.400096,    0.500,             26.615
     146,          2.416667,"Off         ",          42.781181,           5.000000,              0.000,"Steady      ",           2.416763,    0.500,             26.510
