"","Time","OC_002 Status","OC_002 t","OC_002 wday","OC_002 Gate Opening","OC_002 Flow"
     108,          1.783333,"Steady      ",           1.783420,           1.000000,    0.600,             43.780
     109,          1.800000,"Steady      ",           1.800087,           1.000000,    0.600,             43.739
     110,          1.816667,"Steady      ",           1.816754,           1.000000,    0.600,             43.692
     111,          1.833333,"Steady      ",           1.833420,           1.000000,    0.600,             43.640
     112,          1.850000,"Steady      ",           1.850087,           1.000000,    0.600,             43.582
     113,          1.866667,"Steady      ",           1.866753,           1.000000,    0.600,             43.516
     114,          1.883333,"Steady      ",           1.883420,           1.000000,    0.600,             43.445
     115,          1.900000,"Steady      ",           1.900087,           1.000000,    0.600,             43.367
     116,          1.916667,"Steady      ",           1.916754,           1.000000,    0.600,             43.281
     117,          1.933333,"Steady      ",           1.933421,           1.000000,    0.600,             43.186
     118,          1.950000,"Steady      ",           1.950088,           1.000000,    0.600,             43.083
     119,          1.966667,"Steady      ",           1.966754,           1.000000,    0.600,             42.972
     120,          1.983333,"Steady      ",           1.983421,           1.000000,    0.600,             42.855
     121,          2.000000,"Steady      ",           2.000088,           1.000000,    0.600,             42.731
     122,          2.016667,"Steady      ",           2.016842,           1.000000,    0.600,             42.603
     123,          2.033334,"Steady      ",           2.033509,           1.000000,    0.600,             42.469
     124,          2.050000,"Steady      ",           2.050175,           1.000000,    0.600,             42.336
     125,          2.066667,"Steady      ",           2.066842,           1.000000,    0.600,             42.196
     126,          2.083333,"Steady      ",           2.083421,           1.000000,    0.600,             42.054
     127,          2.100000,"Steady      ",           2.100088,           1.000000,    0.600,             41.907
     128,          2.116667,"Steady      ",           2.116755,           1.000000,    0.600,             41.759
     129,          2.133333,"Steady      ",           2.133422,           1.000000,    0.600,             41.608
     130,          2.150000,"Steady      ",           2.150089,           1.000000,    0.600,             41.453
     131,          2.166667,"Steady      ",           2.166755,           1.000000,    0.600,             41.294
     132,          2.183333,"Steady      ",           2.183422,           1.000000,    0.600,             41.134
     133,          2.200000,"Steady      ",           2.200089,           1.000000,    0.600,             40.969
     134,          2.216667,"Steady      ",           2.216755,           1.000000,    0.600,             40.801
     135,          2.233333,"Steady      ",           2.233422,           1.000000,    0.600,             40.629
     136,          2.250000,"Steady      ",           2.250089,           1.000000,    0.600,             40.453
     137,          2.266667,"Steady      ",           2.266846,           1.000000,    0.600,             40.272
     138,          2.283334,"Steady      ",           2.283513,           1.000000,    0.600,             40.090
     139,          2.300000,"Steady      ",           2.300179,           1.000000,    0.600,             39.905
     140,          2.316667,"Steady      ",           2.316846,           1.000000,    0.600,             39.717
     141,          2.333333,"Steady      ",           2.333423,           1.000000,    0.600,             39.528
     142,          2.350000,"Steady      ",           2.350090,           1.000000,    0.600,             39.335
     143,          2.366667,"Steady      ",           2.366756,           1.000000,    0.600,             39.138
     144,          2.383333,"Steady      ",           2.383424,           1.000000,    0.600,             38.938
     145,          2.400000,"Steady      ",           2.400091,           1.000000,    0.600,             38.737
     146,          2.416667,"Steady      ",           2.416757,           1.000000,    0.600,             38.532
     147,          2.433333,"Steady      ",           2.433424,           1.000000,    0.600,             38.325
     148,          2.450000,"Steady      ",           2.450091,           1.000000,    0.600,             38.114
     149,          2.466667,"Steady      ",           2.466757,           1.000000,    0.600,             37.901
     150,          2.483333,"Steady      ",           2.483424,           1.000000,    0.600,             37.685
     151,          2.500000,"Steady      ",           2.500181,           1.000000,    0.600,             37.465
     152,          2.516667,"Steady      ",           2.516850,           1.000000,    0.600,             37.244
     153,          2.533334,"Steady      ",           2.533516,           1.000000,    0.600,             37.020
     154,          2.550000,"Steady      ",           2.550183,           1.000000,    0.600,             36.793
     155,          2.566667,"Steady      ",           2.566850,           1.000000,    0.600,             36.562
     156,          2.583333,"Steady      ",           2.583425,           1.000000,    0.600,             36.330
     157,          2.600000,"Steady      ",           2.600092,           1.000000,    0.600,             36.094
     158,          2.616667,"Steady      ",           2.616760,           1.000000,    0.600,             35.854
     159,          2.633333,"Steady      ",           2.633426,           1.000000,    0.600,             35.611
     160,          2.650000,"Steady      ",           2.650093,           1.000000,    0.600,             35.364
     161,          2.666667,"Steady      ",           2.666759,           1.000000,    0.600,             35.115
     162,          2.683333,"Steady      ",           2.683426,           1.000000,    0.600,             34.861
     163,          2.700000,"Steady      ",           2.700093,           1.000000,    0.600,             34.607
     164,          2.716667,"Steady      ",           2.716759,           1.000000,    0.600,             34.347
     165,          2.733334,"Steady      ",           2.733521,           1.000000,    0.600,             34.081
     166,          2.750000,"Steady      ",           2.750187,           1.000000,    0.600,             33.812
     167,          2.766667,"Steady      ",           2.766854,           1.000000,    0.600,             33.539
     168,          2.783334,"Steady      ",           2.783521,           1.000000,    0.600,             33.263
     169,          2.800000,"Steady      ",           2.800187,           1.000000,    0.600,             32.982
     170,          2.816667,"Steady      ",           2.816854,           1.000000,    0.600,             32.697
     171,          2.833333,"Steady      ",           2.833428,           1.000000,    0.600,             32.315
     172,          2.850000,"Steady      ",           2.850095,           1.000000,    0.600,             31.346
     173,          2.866667,"Steady      ",           2.866761,           1.000000,    0.600,             30.395
     174,          2.883333,"Steady      ",           2.883428,           1.000000,    0.600,             29.464
     175,          2.900000,"Steady      ",           2.900095,           1.000000,    0.600,             28.555
     176,          2.916667,"Steady      ",           2.916761,           1.000000,    0.600,             27.673
     177,          2.933333,"Steady      ",           2.933429,           1.000000,    0.600,             26.814
     178,          2.950000,"Steady      ",           2.950096,           1.000000,    0.600,             25.973
     179,          2.966667,"Steady      ",           2.966858,           1.000000,    0.600,             25.151
     180,          2.983334,"Steady      ",           2.983525,           1.000000,    0.600,             24.347
     181,          3.000000,"Closing     ",           3.000139,           1.000000,    0.599,             23.571
