"M11_5m_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_002.tcf]","Time (h)","H Loc1_P [M11_5m_002]"
     114,          1.883333,     41.8013
     115,          1.900000,     41.7823
     116,          1.916667,     41.7642
     117,          1.933333,     41.7471
     118,          1.950000,     41.7314
     119,          1.966667,     41.7158
     120,          1.983333,     41.7012
     121,          2.000000,     41.6868
     122,          2.016667,     41.6717
     123,          2.033334,     41.6565
     124,          2.050000,     41.6413
     125,          2.066667,     41.6257
     126,          2.083333,     41.6101
     127,          2.100000,     41.5941
     128,          2.116667,     41.5777
     129,          2.133333,     41.5608
     130,          2.150000,     41.5434
     131,          2.166667,     41.5254
     132,          2.183333,     41.5067
     133,          2.200000,     41.4874
     134,          2.216667,     41.4674
     135,          2.233333,     41.4466
     136,          2.250000,     41.4253
     137,          2.266667,     41.4034
     138,          2.283334,     41.3813
     139,          2.300000,     41.3591
     140,          2.316667,     41.3372
     141,          2.333333,     41.3157
     142,          2.350000,     41.2945
     143,          2.366667,     41.2735
     144,          2.383333,     41.2531
     145,          2.400000,     41.2330
     146,          2.416667,     41.2132
     147,          2.433333,     41.1936
     148,          2.450000,     41.1744
     149,          2.466667,     41.1552
     150,          2.483333,     41.1362
     151,          2.500000,     41.1173
     152,          2.516667,     41.0985
     153,          2.533334,     41.0796
     154,          2.550000,     41.0604
     155,          2.566667,     41.0410
     156,          2.583333,     41.0213
     157,          2.600000,     41.0010
     158,          2.616667,     40.9801
     159,          2.633333,     40.9585
     160,          2.650000,     40.9370
     161,          2.666667,     40.9152
     162,          2.683333,     40.8936
     163,          2.700000,     40.8721
     164,          2.716667,     40.8507
     165,          2.733334,     40.8293
     166,          2.750000,     40.8084
     167,          2.766667,     40.7879
     168,          2.783334,     40.7676
     169,          2.800000,     40.7473
     170,          2.816667,     40.7271
     171,          2.833333,     40.7070
     172,          2.850000,     40.6867
     173,          2.866667,     40.6659
     174,          2.883333,     40.6447
     175,          2.900000,     40.6226
     176,          2.916667,     40.5995
     177,          2.933333,     40.5758
     178,          2.950000,     40.5516
     179,          2.966667,     40.5269
     180,          2.983334,     40.5020
     181,          3.000000,     40.4769
