"M11_5m_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_002.tcf]","Time (h)","Q ds1 [M11_5m_002]","Q ds2 [M11_5m_002]","Q ds3 [M11_5m_002]","Q ds4 [M11_5m_002]","Q ds5 [M11_5m_002]","Q ds_weir [M11_5m_002]","Q FC01.01 [M11_5m_002]","Q FC01.02 [M11_5m_002]","Q FC01.03 [M11_5m_002]","Q FC01.04 [M11_5m_002]","Q FC01.05 [M11_5m_002]","Q FC01.06 [M11_5m_002]","Q FC01.07 [M11_5m_002]","Q FC01.08 [M11_5m_002]","Q FC01.09 [M11_5m_002]","Q FC01.10_W [M11_5m_002]","Q FC01.11_B [M11_5m_002]","Q FC01.12 [M11_5m_002]","Q FC01.13 [M11_5m_002]","Q FC01.14 [M11_5m_002]","Q FC01.15 [M11_5m_002]","Q FC01.16 [M11_5m_002]","Q FC01.17 [M11_5m_002]","Q FC01.18 [M11_5m_002]","Q FC01.19 [M11_5m_002]","Q FC01.20 [M11_5m_002]","Q FC01.21 [M11_5m_002]","Q FC01.22 [M11_5m_002]","Q FC01.23 [M11_5m_002]","Q FC01.24 [M11_5m_002]","Q FC01.25 [M11_5m_002]","Q FC01.26 [M11_5m_002]","Q FC01.27 [M11_5m_002]","Q FC01.28A [M11_5m_002]","Q FC01.28B [M11_5m_002]","Q FC01.29 [M11_5m_002]","Q FC01.30 [M11_5m_002]","Q FC01.31 [M11_5m_002]","Q FC01.32 [M11_5m_002]","Q FC01.33 [M11_5m_002]","Q FC01.34 [M11_5m_002]","Q FC01.35_B [M11_5m_002]","Q FC01.36 [M11_5m_002]","Q FC01.37 [M11_5m_002]","Q FC01.38 [M11_5m_002]","Q FC01.39 [M11_5m_002]","Q FC01.40 [M11_5m_002]","Q FC02.01 [M11_5m_002]","Q FC02.02 [M11_5m_002]","Q FC02.03 [M11_5m_002]","Q FC02.04 [M11_5m_002]","Q FC02.05 [M11_5m_002]","Q FC02.06 [M11_5m_002]","Q FC04.1_C [M11_5m_002]","Q FC_weir1 [M11_5m_002]"
     124,          2.050000,          33.835,          35.195,          36.086,          37.302,          39.774,          41.910,          33.315,          33.486,          33.365,          33.184,          32.904,          32.536,          32.267,          32.077,          31.686,           0.000,          31.244,          26.826,          30.077,          30.094,          29.927,          27.464,          21.727,          26.701,          27.614,          26.695,          26.584,          26.721,          25.761,          19.260,          19.211,          19.150,          19.108,          19.070,          18.977,          18.824,          18.671,          18.551,          18.465,           5.332,          17.907,          17.833,          17.747,          17.558,          17.321,          16.938,          16.714,           7.473,           1.978,           1.657,           1.650,           1.626,           1.598,           5.660,          12.837
     125,          2.066667,          33.132,          34.276,          35.030,          36.089,          38.383,          40.369,          32.691,          32.809,          32.698,          32.540,          32.287,          31.946,          31.688,          31.507,          31.134,           0.000,          30.734,          26.512,          29.522,          29.506,          29.345,          27.104,          21.532,          26.364,          27.181,          26.354,          26.188,          26.322,          25.409,          18.969,          18.919,          18.854,          18.809,          18.768,          18.668,          18.509,          18.333,          18.206,          18.118,           5.332,          17.537,          17.462,          17.372,          17.169,          16.917,          16.514,          16.284,           7.350,           1.928,           1.616,           1.610,           1.586,           1.557,           5.561,          12.474
     126,          2.083333,          32.500,          33.457,          34.133,          35.036,          37.126,          38.955,          32.094,          32.189,          32.088,          31.946,          31.721,          31.415,          31.186,          31.020,          30.684,           0.000,          30.306,          26.069,          28.976,          28.936,          28.775,          26.742,          21.331,          26.017,          26.742,          25.999,          25.779,          25.908,          25.042,          18.658,          18.607,          18.539,          18.491,          18.449,          18.345,          18.176,          17.988,          17.855,          17.761,           5.341,          17.158,          17.080,          16.989,          16.772,          16.506,          16.088,          15.855,           7.230,           1.881,           1.575,           1.569,           1.546,           1.516,           5.463,          12.097
     127,          2.100000,          31.912,          32.726,          33.317,          34.107,          35.988,          37.655,          31.548,          31.627,          31.537,          31.412,          31.212,          30.939,          30.736,          30.590,          30.287,           0.000,          29.951,          25.662,          28.425,          28.364,          28.208,          26.368,          21.117,          25.647,          26.281,          25.617,          25.348,          25.473,          24.656,          18.330,          18.277,          18.206,          18.157,          18.111,          18.004,          17.825,          17.628,          17.489,          17.391,           5.358,          16.758,          16.673,          16.573,          16.359,          16.079,          15.627,          15.365,           7.108,           1.834,           1.535,           1.528,           1.497,           1.464,           5.365,          11.687
     128,          2.116667,          31.393,          32.094,          32.611,          33.297,          34.976,          36.479,          31.057,          31.120,          31.038,          30.919,          30.724,          30.454,          30.245,          30.097,          29.782,           0.000,          29.426,          25.322,          27.882,          27.794,          27.639,          25.973,          20.901,          25.265,          25.806,          25.214,          24.901,          25.117,          24.248,          17.987,          17.932,          17.857,          17.805,          17.757,          17.644,          17.452,          17.246,          17.100,          16.996,           5.385,          16.331,          16.244,          16.138,          15.910,          15.608,          15.125,          14.847,           6.981,           1.786,           1.491,           1.485,           1.454,           1.413,           5.265,          11.244
     129,          2.133333,          30.886,          31.507,          31.978,          32.585,          34.079,          35.424,          30.632,          30.597,          30.518,          30.405,          30.205,          29.925,          29.708,          29.550,          29.217,           0.000,          28.857,          24.964,          27.342,          27.228,          27.078,          25.569,          20.680,          24.868,          25.321,          24.792,          24.440,          24.651,          23.831,          17.623,          17.565,          17.487,          17.431,          17.380,          17.265,          17.064,          16.849,          16.694,          16.583,           5.429,          15.886,          15.795,          15.683,          15.440,          15.117,          14.610,          14.323,           6.896,           1.733,           1.448,           1.441,           1.406,           1.365,           5.165,          10.769
     130,          2.150000,          30.387,          30.947,          31.393,          31.957,          33.216,          34.466,          30.124,          30.062,          29.981,          29.865,          29.660,          29.363,          29.133,          28.967,          28.624,           0.000,          28.268,          24.603,          26.800,          26.662,          26.508,          25.148,          20.446,          24.452,          24.818,          24.349,          23.957,          24.160,          23.388,          17.237,          17.177,          17.095,          17.037,          16.983,          16.862,          16.660,          16.433,          16.268,          16.151,           5.488,          15.424,          15.328,          15.208,          14.960,          14.620,          14.088,          13.795,           6.773,           1.684,           1.403,           1.396,           1.359,           1.313,           5.064,          10.251
     131,          2.166667,          29.877,          30.382,          30.827,          31.385,          32.460,          33.587,          29.598,          29.512,          29.428,          29.308,          29.098,          28.802,          28.583,          28.429,          28.109,           0.000,          27.755,          24.272,          26.255,          26.093,          25.938,          24.715,          20.203,          24.020,          24.303,          23.885,          23.464,          23.657,          22.934,          16.836,          16.774,          16.690,          16.629,          16.573,          16.448,          16.236,          15.995,          15.821,          15.697,           5.570,          14.933,          14.834,          14.712,          14.464,          14.116,          13.566,          13.268,           6.657,           1.636,           1.358,           1.351,           1.312,           1.263,           4.963,           9.690
     132,          2.183333,          29.359,          29.824,          30.265,          30.849,          31.801,          32.802,          29.069,          28.960,          28.872,          28.747,          28.504,          28.157,          27.886,          27.692,          27.284,           0.000,          26.920,          24.515,          25.723,          25.516,          25.359,          24.261,          19.949,          23.570,          23.770,          23.400,          22.954,          23.134,          22.462,          16.421,          16.356,          16.266,          16.202,          16.142,          16.008,          15.782,          15.533,          15.353,          15.222,           5.677,          14.432,          14.330,          14.204,          13.952,          13.609,          13.084,          12.855,           6.533,           1.586,           1.316,           1.310,           1.278,           1.237,           4.861,           9.084
     133,          2.200000,          28.792,          29.241,          29.697,          30.316,          31.207,          32.105,          28.462,          28.322,          28.229,          28.097,          27.852,          27.506,          27.240,          27.052,          26.654,           0.000,          26.318,          24.161,          25.152,          24.944,          24.786,          23.793,          19.680,          23.097,          23.226,          22.900,          22.430,          22.596,          21.974,          15.978,          15.910,          15.815,          15.746,          15.682,          15.545,          15.316,          15.057,          14.871,          14.739,           5.819,          13.967,          13.878,          13.753,          13.482,          13.212,          12.779,          12.617,           6.421,           1.552,           1.284,           1.280,           1.250,           1.217,           4.759,           8.458
     134,          2.216667,          28.218,          28.638,          29.109,          29.776,          30.651,          31.472,          27.860,          27.701,          27.605,          27.468,          27.212,          26.840,          26.542,          26.329,          25.873,           0.000,          25.478,          23.641,          24.575,          24.364,          24.206,          23.315,          19.401,          22.588,          22.662,          22.376,          21.889,          22.041,          21.469,          15.512,          15.443,          15.345,          15.276,          15.212,          15.078,          14.854,          14.598,          14.413,          14.284,           5.985,          13.524,          13.440,          13.339,          13.161,          12.915,          12.559,          12.428,           6.316,           1.522,           1.259,           1.255,           1.229,           1.196,           4.657,           7.838
     135,          2.233333,          27.602,          28.017,          28.511,          29.160,          30.095,          30.886,          27.216,          27.027,          26.924,          26.774,          26.498,          26.108,          25.810,          25.594,          25.138,           0.000,          24.778,          23.180,          23.988,          23.778,          23.620,          22.821,          19.099,          22.095,          22.100,          21.842,          21.347,          21.486,          20.965,          15.053,          14.983,          14.887,          14.818,          14.754,          14.624,          14.404,          14.165,          13.992,          13.873,           6.178,          13.212,          13.150,          13.070,          12.848,          12.665,          12.371,          12.254,           6.207,           1.492,           1.237,           1.233,           1.210,           1.181,           4.556,           7.280
     136,          2.250000,          26.956,          27.357,          27.874,          28.496,          29.500,          30.296,          26.537,          26.340,          26.234,          26.083,          25.811,          25.431,          25.137,          24.927,          24.483,           0.000,          24.147,          22.740,          23.400,          23.188,          23.029,          22.320,          18.798,          21.587,          21.537,          21.310,          20.812,          20.937,          20.461,          14.607,          14.537,          14.443,          14.377,          14.316,          14.197,          14.000,          13.782,          13.627,          13.517,           6.353,          12.910,          12.851,          12.773,          12.623,          12.454,          12.193,          12.085,           6.098,           1.468,           1.217,           1.213,           1.191,           1.163,           4.434,           6.780
     137,          2.266667,          26.286,          26.678,          27.204,          27.822,          28.877,          29.699,          25.870,          25.665,          25.559,          25.410,          25.145,          24.776,          24.494,          24.291,          23.854,           0.000,          23.532,          22.294,          22.809,          22.596,          22.438,          21.817,          18.486,          21.067,          20.979,          20.772,          20.275,          20.390,          19.958,          14.185,          14.116,          14.028,          13.966,          13.911,          13.807,          13.633,          13.436,          13.295,          13.198,           6.512,          12.658,          12.602,          12.527,          12.413,          12.248,          12.000,          11.872,           5.966,           1.439,           1.197,           1.194,           1.170,           1.139,           4.311,           6.345
     138,          2.283334,          25.639,          26.014,          26.535,          27.149,          28.238,          29.083,          25.227,          25.023,          24.917,          24.770,          24.509,          24.152,          23.873,          23.673,          23.244,           0.000,          22.928,          21.843,          22.223,          22.011,          21.853,          21.309,          18.178,          20.560,          20.442,          20.254,          19.765,          19.872,          19.484,          13.809,          13.743,          13.661,          13.605,          13.555,          13.464,          13.310,          13.132,          13.006,          12.917,           6.642,          12.426,          12.379,          12.322,          12.189,          12.023,          11.765,          11.623,           5.825,           1.406,           1.178,           1.175,           1.147,           1.114,           4.190,           5.966
     139,          2.300000,          24.999,          25.362,          25.878,          26.481,          27.585,          28.452,          24.596,          24.393,          24.291,          24.146,          23.889,          23.539,          23.263,          23.065,          22.636,           0.000,          22.332,          21.390,          21.646,          21.438,          21.284,          20.808,          17.875,          20.069,          19.936,          19.763,          19.291,          19.386,          19.039,          13.471,          13.408,          13.331,          13.280,          13.234,          13.150,          13.008,          12.851,          12.740,          12.659,           6.745,          12.196,          12.145,          12.081,          11.962,          11.784,          11.513,          11.365,           5.683,           1.374,           1.158,           1.155,           1.126,           1.092,           4.071,           5.623
     140,          2.316667,          24.374,          24.730,          25.231,          25.829,          26.933,          27.815,          23.974,          23.779,          23.678,          23.540,          23.286,          22.936,          22.663,          22.466,          22.039,           0.000,          21.746,          20.935,          21.088,          20.887,          20.739,          20.322,          17.567,          19.594,          19.460,          19.299,          18.842,          18.929,          18.619,          13.161,          13.101,          13.028,          12.980,          12.937,          12.859,          12.733,          12.585,          12.478,          12.400,           6.823,          11.962,          11.914,          11.846,          11.698,          11.535,          11.255,          11.104,           5.542,           1.344,           1.139,           1.136,           1.104,           1.067,           3.952,           5.299
     141,          2.333333,          23.768,          24.115,          24.589,          25.185,          26.286,          27.165,          23.372,          23.179,          23.080,          22.944,          22.694,          22.346,          22.077,          21.884,          21.471,           0.000,          21.181,          20.491,          20.548,          20.356,          20.214,          19.853,          17.266,          19.145,          19.007,          18.854,          18.453,          18.495,          18.219,          12.874,          12.816,          12.747,          12.702,          12.661,          12.588,          12.469,          12.326,          12.220,          12.144,           6.885,          11.712,          11.660,          11.585,          11.455,          11.283,          10.995,          10.845,           5.406,           1.314,           1.119,           1.116,           1.083,           1.044,           3.835,           4.984
     142,          2.350000,          23.164,          23.501,          23.961,          24.547,          25.644,          26.519,          22.780,          22.590,          22.493,          22.359,          22.116,          21.781,          21.523,          21.332,          20.923,           0.000,          20.645,          20.065,          20.042,          19.852,          19.715,          19.400,          16.973,          18.710,          18.577,          18.433,          18.026,          18.080,          17.837,          12.600,          12.546,          12.479,          12.434,          12.394,          12.323,          12.209,          12.070,          11.967,          11.893,           6.941,          11.461,          11.405,          11.331,          11.213,          11.032,          10.767,          10.646,           5.267,           1.284,           1.101,           1.099,           1.066,           1.029,           3.718,           4.684
     143,          2.366667,          22.578,          22.902,          23.352,          23.932,          25.015,          25.882,          22.203,          22.019,          21.925,          21.797,          21.563,          21.233,          20.981,          20.797,          20.399,           0.000,          20.132,          19.643,          19.552,          19.365,          19.231,          18.954,          16.691,          18.292,          18.162,          18.018,          17.651,          17.675,          17.462,          12.338,          12.281,          12.216,          12.173,          12.133,          12.064,          11.948,          11.813,          11.714,          11.639,           6.984,          11.217,          11.169,          11.103,          10.978,          10.827,          10.586,          10.482,           5.133,           1.262,           1.086,           1.083,           1.052,           1.014,           3.602,           4.386
     144,          2.383333,          22.034,          22.335,          22.759,          23.332,          24.395,          25.252,          21.658,          21.476,          21.384,          21.258,          21.030,          20.713,          20.468,          20.287,          19.894,           0.000,          19.637,          19.225,          19.077,          18.899,          18.772,          18.528,          16.409,          17.880,          17.754,          17.613,          17.267,          17.279,          17.088,          12.074,          12.019,          11.955,          11.912,          11.872,          11.802,          11.692,          11.566,          11.474,          11.407,           7.036,          11.009,          10.955,          10.888,          10.792,          10.632,          10.426,          10.328,           5.004,           1.238,           1.071,           1.068,           1.036,           0.999,           3.486,           4.124
     145,          2.400000,          21.507,          21.801,          22.208,          22.748,          23.793,          24.631,          21.136,          20.956,          20.865,          20.741,          20.518,          20.207,          19.969,          19.793,          19.412,           0.000,          19.166,          18.808,          18.623,          18.451,          18.331,          18.107,          16.127,          17.476,          17.355,          17.217,          16.884,          16.887,          16.716,          11.816,          11.763,          11.701,          11.658,          11.620,          11.554,          11.453,          11.329,          11.239,          11.171,           7.072,          10.802,          10.756,          10.697,          10.609,          10.471,          10.270,          10.177,           4.875,           1.216,           1.057,           1.055,           1.023,           0.985,           3.372,           3.867
     146,          2.416667,          20.996,          21.280,          21.674,          22.195,          23.210,          24.026,          20.625,          20.450,          20.361,          20.242,          20.024,          19.729,          19.500,          19.329,          18.957,           0.000,          18.722,          18.398,          18.183,          18.021,          17.904,          17.698,          15.848,          17.085,          16.966,          16.829,          16.511,          16.506,          16.356,          11.570,          11.517,          11.457,          11.417,          11.381,          11.318,          11.223,          11.105,          11.017,          10.953,           7.109,          10.614,          10.579,          10.536,          10.431,          10.310,          10.120,          10.029,           4.745,           1.192,           1.043,           1.041,           1.008,           0.970,           3.259,           3.634
     147,          2.433333,          20.497,          20.774,          21.159,          21.664,          22.649,          23.447,          20.132,          19.957,          19.872,          19.755,          19.547,          19.257,          19.033,          18.868,          18.509,           0.000,          18.279,          17.996,          17.762,          17.603,          17.491,          17.299,          15.577,          16.701,          16.585,          16.453,          16.148,          16.134,          16.003,          11.335,          11.285,          11.227,          11.188,          11.154,          11.095,          11.006,          10.896,          10.815,          10.754,           7.141,          10.441,          10.409,          10.372,          10.268,          10.152,           9.958,           9.849,           4.613,           1.171,           1.029,           1.027,           0.990,           0.948,           3.146,           3.422
     148,          2.450000,          20.011,          20.280,          20.656,          21.148,          22.108,          22.881,          19.652,          19.483,          19.399,          19.286,          19.083,          18.804,          18.587,          18.424,          18.071,           0.000,          17.853,          17.601,          17.359,          17.205,          17.097,          16.914,          15.309,          16.336,          16.222,          16.091,          15.797,          15.780,          15.668,          11.114,          11.065,          11.010,          10.973,          10.939,          10.882,          10.796,          10.695,          10.619,          10.563,           7.165,          10.278,          10.241,          10.190,          10.092,           9.970,           9.751,           9.622,           4.486,           1.151,           1.015,           1.013,           0.973,           0.926,           3.035,           3.223
     149,          2.466667,          19.542,          19.800,          20.169,          20.654,          21.584,          22.329,          19.191,          19.025,          18.944,          18.835,          18.640,          18.366,          18.153,          17.996,          17.653,           0.000,          17.440,          17.221,          16.976,          16.819,          16.711,          16.538,          15.050,          15.981,          15.868,          15.740,          15.457,          15.431,          15.338,          10.900,          10.852,          10.798,          10.762,          10.729,          10.674,          10.593,          10.498,          10.427,          10.373,           7.182,          10.108,          10.074,          10.029,           9.885,           9.761,           9.520,           9.380,           4.354,           1.131,           1.002,           1.000,           0.955,           0.904,           2.925,           3.032
     150,          2.483333,          19.104,          19.349,          19.697,          20.177,          21.075,          21.804,          18.759,          18.594,          18.513,          18.403,          18.212,          17.946,          17.739,          17.584,          17.250,           0.000,          17.046,          16.836,          16.595,          16.442,          16.335,          16.166,          14.789,          15.631,          15.521,          15.395,          15.125,          15.095,          15.016,          10.694,          10.648,          10.596,          10.562,          10.531,          10.478,          10.402,          10.309,          10.236,          10.178,           7.181,           9.895,           9.848,           9.792,           9.693,           9.538,           9.277,           9.132,           4.227,           1.112,           0.988,           0.986,           0.939,           0.882,           2.816,           2.836
     151,          2.500000,          18.673,          18.894,          19.244,          19.717,          20.582,          21.281,          18.331,          18.168,          18.088,          17.981,          17.794,          17.536,          17.333,          17.183,          16.856,           0.000,          16.658,          16.450,          16.217,          16.067,          15.966,          15.800,          14.536,          15.290,          15.181,          15.055,          14.793,          14.757,          14.683,          10.494,          10.448,          10.396,          10.362,          10.330,          10.275,          10.197,          10.097,          10.020,           9.961,           7.172,           9.672,           9.622,           9.565,           9.461,           9.300,           9.030,           8.881,           4.090,           1.083,           0.962,           0.958,           0.910,           0.854,           2.707,           2.629
     152,          2.516667,          18.251,          18.454,          18.792,          19.267,          20.113,          20.789,          17.917,          17.755,          17.678,          17.575,          17.399,          17.144,          16.945,          16.797,          16.475,           0.000,          16.281,          16.077,          15.852,          15.705,          15.605,          15.443,          14.281,          14.953,          14.844,          14.719,          14.466,          14.420,          14.346,          10.292,          10.244,          10.192,          10.156,          10.123,          10.066,           9.986,           9.883,           9.803,           9.741,           7.156,           9.440,           9.389,           9.330,           9.225,           9.060,           8.780,           8.627,           3.955,           1.051,           0.934,           0.929,           0.882,           0.828,           2.602,           2.418
     153,          2.533334,          17.843,          18.037,          18.364,          18.833,          19.659,          20.308,          17.514,          17.357,          17.281,          17.179,          17.007,          16.757,          16.564,          16.418,          16.101,           0.000,          15.911,          15.708,          15.492,          15.349,          15.250,          15.092,          14.018,          14.619,          14.511,          14.383,          14.134,          14.080,          14.006,          10.083,          10.035,           9.982,           9.944,           9.909,           9.849,           9.764,           9.659,           9.577,           9.512,           7.136,           9.202,           9.150,           9.091,           8.982,           8.812,           8.524,           8.368,           3.823,           1.022,           0.907,           0.902,           0.857,           0.803,           2.499,           2.205
     154,          2.550000,          17.452,          17.639,          17.954,          18.418,          19.221,          19.853,          17.121,          16.968,          16.893,          16.794,          16.626,          16.379,          16.189,          16.044,          15.729,           0.000,          15.543,          15.344,          15.137,          14.996,          14.899,          14.744,          13.751,          14.287,          14.171,          14.043,          13.801,          13.737,          13.661,           9.862,           9.813,           9.756,           9.716,           9.678,           9.614,           9.528,           9.425,           9.342,           9.277,           7.109,           8.960,           8.905,           8.844,           8.734,           8.560,           8.265,           8.107,           3.698,           0.996,           0.881,           0.877,           0.832,           0.778,           2.399,           1.991
     155,          2.566667,          17.010,          17.216,          17.550,          18.019,          18.803,          19.408,          16.733,          16.583,          16.512,          16.418,          16.253,          16.011,          15.822,          15.679,          15.365,           0.000,          15.181,          14.986,          14.784,          14.645,          14.549,          14.393,          13.476,          13.945,          13.829,          13.699,          13.462,          13.388,          13.310,           9.630,           9.581,           9.523,           9.481,           9.443,           9.378,           9.293,           9.189,           9.105,           9.037,           7.077,           8.711,           8.656,           8.595,           8.483,           8.307,           8.006,           7.846,           3.577,           0.972,           0.856,           0.852,           0.806,           0.753,           2.301,           1.778
     156,          2.583333,          16.617,          16.805,          17.127,          17.629,          18.401,          18.986,          16.355,          16.210,          16.142,          16.052,          15.890,          15.652,          15.465,          15.324,          15.015,           0.000,          14.837,          14.651,          14.454,          14.299,          14.197,          14.040,          13.190,          13.603,          13.488,          13.355,          13.122,          13.037,          12.958,           9.398,           9.348,           9.289,           9.247,           9.209,           9.144,           9.059,           8.954,           8.867,           8.798,           7.038,           8.467,           8.411,           8.355,           8.236,           8.050,           7.749,           7.589,           3.456,           0.946,           0.831,           0.827,           0.782,           0.729,           2.207,           1.575
     157,          2.600000,          16.250,          16.429,          16.734,          17.246,          18.014,          18.576,          15.987,          15.843,          15.777,          15.687,          15.528,          15.295,          15.113,          14.974,          14.671,           0.000,          14.492,          14.302,          14.105,          13.947,          13.843,          13.682,          12.900,          13.261,          13.143,          13.008,          12.778,          12.685,          12.605,           9.164,           9.113,           9.054,           9.012,           8.973,           8.907,           8.822,           8.715,           8.626,           8.556,           6.994,           8.223,           8.166,           8.105,           7.978,           7.803,           7.517,           7.386,           3.337,           0.921,           0.807,           0.803,           0.763,           0.715,           2.117,           1.377
     158,          2.616667,          15.891,          16.065,          16.364,          16.880,          17.641,          18.182,          15.627,          15.485,          15.416,          15.328,          15.170,          14.939,          14.757,          14.618,          14.316,           0.000,          14.137,          13.949,          13.753,          13.591,          13.489,          13.330,          12.609,          12.921,          12.801,          12.664,          12.438,          12.336,          12.256,           8.926,           8.875,           8.814,           8.771,           8.730,           8.661,           8.572,           8.467,           8.377,           8.306,           6.938,           7.974,           7.919,           7.859,           7.749,           7.589,           7.329,           7.218,           3.226,           0.898,           0.785,           0.782,           0.741,           0.697,           2.030,           1.181
     159,          2.633333,          15.539,          15.711,          16.006,          16.533,          17.281,          17.805,          15.270,          15.124,          15.057,          14.967,          14.809,          14.582,          14.401,          14.261,          13.961,           0.000,          13.782,          13.590,          13.390,          13.225,          13.126,          12.972,          12.381,          12.574,          12.454,          12.312,          12.093,          11.982,          11.900,           8.681,           8.630,           8.568,           8.524,           8.482,           8.412,           8.324,           8.221,           8.133,           8.063,           6.884,           7.750,           7.700,           7.649,           7.540,           7.399,           7.165,           7.061,           3.115,           0.875,           0.764,           0.761,           0.724,           0.682,           1.948,           1.001
     160,          2.650000,          15.195,          15.363,          15.656,          16.205,          16.939,          17.438,          14.917,          14.771,          14.702,          14.611,          14.454,          14.224,          14.041,          13.901,          13.603,           0.000,          13.420,          13.230,          13.039,          12.879,          12.779,          12.624,          12.087,          12.235,          12.113,          11.973,          11.758,          11.640,          11.557,           8.437,           8.385,           8.324,           8.281,           8.240,           8.172,           8.089,           7.991,           7.907,           7.841,           6.831,           7.547,           7.508,           7.475,           7.352,           7.225,           7.010,           6.911,           3.015,           0.856,           0.745,           0.742,           0.706,           0.665,           1.871,           0.842
     161,          2.666667,          14.856,          15.022,          15.312,          15.892,          16.615,          17.092,          14.568,          14.418,          14.347,          14.257,          14.096,          13.861,          13.677,          13.537,          13.233,           0.000,          13.060,          12.872,          12.690,          12.531,          12.430,          12.273,          11.781,          11.901,          11.779,          11.637,          11.427,          11.301,          11.219,           8.200,           8.150,           8.091,           8.050,           8.011,           7.946,           7.868,           7.777,           7.698,           7.636,           6.777,           7.361,           7.315,           7.270,           7.187,           7.060,           6.858,           6.760,           2.915,           0.835,           0.727,           0.724,           0.691,           0.651,           1.797,           0.703
     162,          2.683333,          14.520,          14.685,          14.977,          15.599,          16.309,          16.763,          14.222,          14.064,          13.992,          13.900,          13.741,          13.507,          13.321,          13.178,          12.872,           0.000,          12.702,          12.512,          12.349,          12.186,          12.086,          11.931,          11.476,          11.567,          11.446,          11.308,          11.106,          10.977,          10.896,           7.976,           7.927,           7.871,           7.832,           7.795,           7.734,           7.659,           7.575,           7.500,           7.443,           6.720,           7.195,           7.150,           7.103,           7.023,           6.900,           6.699,           6.585,           2.817,           0.812,           0.710,           0.707,           0.671,           0.630,           1.728,           0.581
     163,          2.700000,          14.197,          14.356,          14.652,          15.331,          15.961,          16.441,          13.889,          13.724,          13.649,          13.552,          13.391,          13.155,          12.971,          12.828,          12.522,           0.000,          12.354,          12.173,          12.026,          11.856,          11.755,          11.602,          11.182,          11.245,          11.124,          10.987,          10.793,          10.662,          10.582,           7.765,           7.718,           7.665,           7.628,           7.594,           7.537,           7.467,           7.388,           7.318,           7.264,           6.659,           7.027,           6.986,           6.942,           6.851,           6.726,           6.501,           6.364,           2.718,           0.790,           0.691,           0.688,           0.651,           0.609,           1.662,           0.471
     164,          2.716667,          13.878,          14.035,          14.340,          15.102,          15.571,          16.085,          13.558,          13.386,          13.308,          13.210,          13.048,          12.810,          12.625,          12.481,          12.178,           0.000,          12.014,          11.834,          11.705,          11.536,          11.437,          11.286,          10.898,          10.938,          10.818,          10.682,          10.497,          10.364,          10.287,           7.568,           7.523,           7.474,           7.439,           7.407,           7.352,           7.287,           7.211,           7.143,           7.090,           6.590,           6.847,           6.803,           6.757,           6.668,           6.526,           6.277,           6.126,           2.622,           0.766,           0.672,           0.669,           0.630,           0.586,           1.600,           0.366
     165,          2.733334,          13.558,          13.716,          14.034,          14.892,          15.261,          15.732,          13.227,          13.046,          12.965,          12.867,          12.706,          12.472,          12.286,          12.142,          11.838,           0.000,          11.676,          11.501,          11.390,          11.222,          11.126,          10.980,          10.625,          10.640,          10.524,          10.392,          10.215,          10.079,          10.004,           7.381,           7.338,           7.292,           7.256,           7.225,           7.171,           7.105,           7.029,           6.960,           6.907,           6.512,           6.658,           6.611,           6.560,           6.461,           6.307,           6.038,           5.881,           2.529,           0.742,           0.653,           0.650,           0.610,           0.563,           1.540,           0.260
     166,          2.750000,          13.221,          13.400,          13.735,          14.697,          15.008,          15.419,          12.910,          12.720,          12.637,          12.536,          12.374,          12.140,          11.954,          11.811,          11.514,           0.000,          11.359,          11.194,          11.087,          10.922,          10.828,          10.685,          10.361,          10.357,          10.243,          10.112,           9.943,           9.807,           9.732,           7.199,           7.157,           7.110,           7.076,           7.044,           6.990,           6.924,           6.846,           6.776,           6.720,           6.418,           6.452,           6.401,           6.350,           6.245,           6.080,           5.796,           5.635,           2.441,           0.716,           0.633,           0.630,           0.590,           0.542,           1.484,           0.164
     167,          2.766667,          12.827,          13.013,          13.405,          14.516,          14.790,          15.148,          12.562,          12.388,          12.310,          12.213,          12.049,          11.821,          11.641,          11.500,          11.208,           0.000,          11.057,          10.893,          10.792,          10.628,          10.537,          10.400,          10.101,          10.077,           9.965,           9.838,           9.677,           9.537,           9.463,           7.018,           6.976,           6.929,           6.895,           6.862,           6.805,           6.736,           6.656,           6.583,           6.523,           6.300,           6.236,           6.182,           6.127,           6.019,           5.846,           5.549,           5.381,           2.355,           0.694,           0.613,           0.609,           0.565,           0.515,           1.431,           0.080
     168,          2.783334,          12.444,          12.633,          13.053,          14.083,          14.539,          14.901,          12.200,          12.041,          11.970,          11.883,          11.728,          11.507,          11.331,          11.195,          10.911,           0.000,          10.764,          10.603,          10.508,          10.344,          10.257,          10.121,           9.848,           9.804,           9.693,           9.566,           9.410,           9.269,           9.196,           6.833,           6.791,           6.743,           6.707,           6.673,           6.614,           6.542,           6.457,           6.380,           6.320,           6.154,           6.012,           5.955,           5.897,           5.785,           5.604,           5.293,           5.117,           2.273,           0.671,           0.592,           0.588,           0.542,           0.490,           1.380,           0.019
