"M11_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_001.tcf]","Time (h)","H ds1.1 [M11_5m_001]","H ds1.2 [M11_5m_001]","H ds2.2 [M11_5m_001]","H ds3.2 [M11_5m_001]","H ds4.2 [M11_5m_001]","H ds5.2 [M11_5m_001]","H ds_weir.2 [M11_5m_001]","H FC01.01.1 [M11_5m_001]","H FC01.02.1 [M11_5m_001]","H FC01.03.1 [M11_5m_001]","H FC01.04.1 [M11_5m_001]","H FC01.05.1 [M11_5m_001]","H FC01.06.1 [M11_5m_001]","H FC01.07.1 [M11_5m_001]","H FC01.08.1 [M11_5m_001]","H FC01.09.1 [M11_5m_001]","H FC01.12.1 [M11_5m_001]","H FC01.12.2 [M11_5m_001]","H FC01.13.1 [M11_5m_001]","H FC01.14.1 [M11_5m_001]","H FC01.15.1 [M11_5m_001]","H FC01.16.1 [M11_5m_001]","H FC01.17.1 [M11_5m_001]","H FC01.18.1 [M11_5m_001]","H FC01.19.1 [M11_5m_001]","H FC01.1_R.1 [M11_5m_001]","H FC01.1_R.2 [M11_5m_001]","H FC01.20.1 [M11_5m_001]","H FC01.21.1 [M11_5m_001]","H FC01.22.1 [M11_5m_001]","H FC01.23.1 [M11_5m_001]","H FC01.24.1 [M11_5m_001]","H FC01.25.1 [M11_5m_001]","H FC01.26.1 [M11_5m_001]","H FC01.27.1 [M11_5m_001]","H FC01.28A.1 [M11_5m_001]","H FC01.28B.1 [M11_5m_001]","H FC01.29.1 [M11_5m_001]","H FC01.30.1 [M11_5m_001]","H FC01.31.1 [M11_5m_001]","H FC01.32.1 [M11_5m_001]","H FC01.33.1 [M11_5m_001]","H FC01.36.1 [M11_5m_001]","H FC01.37.1 [M11_5m_001]","H FC01.38.1 [M11_5m_001]","H FC01.39.1 [M11_5m_001]","H FC01.40.1 [M11_5m_001]","H FC02.01.1 [M11_5m_001]","H FC02.02.1 [M11_5m_001]","H FC02.03.1 [M11_5m_001]","H FC02.04.1 [M11_5m_001]","H FC02.05.1 [M11_5m_001]","H FC02.06.1 [M11_5m_001]","H FC04.1_C.1 [M11_5m_001]","H FC04.1_C.2 [M11_5m_001]"
      83,          1.366667,     39.2281,     39.1520,     38.8095,     37.4910,     36.0297,     34.4324,     33.4961,     39.3160,     39.3411,     39.3880,     39.7572,     40.0939,     40.2946,     40.3314,     40.4369,     40.7477,     42.8860,     42.8814,     42.8925,     42.9019,     42.9178,     42.9425,     42.9706,     42.9808,     42.9899,     49.7478,     46.8959,     43.0454,     43.0642,     43.0781,     43.1150,     43.1588,     43.3335,     43.6382,     44.0034,     44.7285,     45.0468,     45.4138,     45.9456,     46.3474,     46.5510,     46.5795,     49.7582,     49.7839,     49.8523,     50.1414,     52.4537,     43.1209,     43.1251,     43.1327,     43.2024,     43.2048,     43.2419,     44.9203,     43.5124
      84,          1.383333,     39.2279,     39.1524,     38.8129,     37.4934,     36.0366,     34.4431,     33.5100,     39.3151,     39.3400,     39.3868,     39.7541,     40.0897,     40.2894,     40.3260,     40.4310,     40.7402,     42.8784,     42.8739,     42.8847,     42.8939,     42.9094,     42.9336,     42.9612,     42.9710,     42.9801,     49.7288,     46.8693,     43.0348,     43.0552,     43.0670,     43.1051,     43.1499,     43.3282,     43.6375,     43.9954,     44.7145,     45.0352,     45.4030,     45.9239,     46.3231,     46.5243,     46.5524,     49.7389,     49.7638,     49.8300,     50.1069,     52.3958,     43.1107,     43.1150,     43.1222,     43.1913,     43.1936,     43.2291,     44.9175,     43.5113
      85,          1.400000,     39.2253,     39.1502,     38.8127,     37.4937,     36.0409,     34.4514,     33.5208,     39.3122,     39.3370,     39.3836,     39.7498,     40.0842,     40.2829,     40.3193,     40.4239,     40.7314,     42.8696,     42.8650,     42.8759,     42.8850,     42.9003,     42.9241,     42.9512,     42.9607,     42.9695,     49.7101,     46.8408,     43.0237,     43.0428,     43.0561,     43.0940,     43.1390,     43.3181,     43.6283,     43.9827,     44.6983,     45.0235,     45.3922,     45.9016,     46.2983,     46.4970,     46.5247,     49.7193,     49.7437,     49.8075,     50.0722,     52.3371,     43.1000,     43.1037,     43.1107,     43.1797,     43.1818,     43.2157,     44.9139,     43.5099
      86,          1.416667,     39.2205,     39.1455,     38.8091,     37.4923,     36.0426,     34.4572,     33.5283,     39.3073,     39.3321,     39.3788,     39.7441,     40.0779,     40.2755,     40.3117,     40.4158,     40.7218,     42.8598,     42.8552,     42.8660,     42.8750,     42.8901,     42.9133,     42.9397,     42.9491,     42.9576,     49.6899,     46.8125,     43.0111,     43.0293,     43.0435,     43.0811,     43.1263,     43.3054,     43.6161,     43.9662,     44.6795,     45.0096,     45.3812,     45.8786,     46.2727,     46.4688,     46.4961,     49.6990,     49.7226,     49.7841,     50.0370,     52.2769,     43.0873,     43.0907,     43.0976,     43.1670,     43.1691,     43.2015,     44.9095,     43.5082
      87,          1.433333,     39.2145,     39.1397,     38.8030,     37.4893,     36.0421,     34.4604,     33.5326,     39.3014,     39.3262,     39.3730,     39.7377,     40.0706,     40.2673,     40.3033,     40.4068,     40.7114,     42.8490,     42.8445,     42.8551,     42.8639,     42.8788,     42.9017,     42.9275,     42.9368,     42.9451,     49.6688,     46.7835,     42.9981,     43.0159,     43.0304,     43.0680,     43.1135,     43.2938,     43.6061,     43.9532,     44.6646,     44.9975,     45.3702,     45.8559,     46.2464,     46.4402,     46.4671,     49.6777,     49.7007,     49.7598,     50.0009,     52.2166,     43.0736,     43.0774,     43.0839,     43.1535,     43.1554,     43.1864,     44.9043,     43.5064
      88,          1.450000,     39.2070,     39.1321,     38.7949,     37.4853,     36.0397,     34.4613,     33.5337,     39.2942,     39.3190,     39.3660,     39.7305,     40.0627,     40.2582,     40.2939,     40.3969,     40.6997,     42.8373,     42.8328,     42.8433,     42.8520,     42.8667,     42.8893,     42.9146,     42.9236,     42.9318,     49.6463,     46.7517,     42.9845,     43.0024,     43.0166,     43.0545,     43.1003,     43.2820,     43.5961,     43.9406,     44.6504,     44.9857,     45.3596,     45.8336,     46.2194,     46.4107,     46.4372,     49.6558,     49.6780,     49.7349,     49.9646,     52.1559,     43.0600,     43.0636,     43.0700,     43.1398,     43.1416,     43.1712,     44.8984,     43.5043
      89,          1.466667,     39.1982,     39.1229,     38.7848,     37.4805,     36.0358,     34.4600,     33.5321,     39.2858,     39.3107,     39.3580,     39.7223,     40.0540,     40.2483,     40.2838,     40.3862,     40.6874,     42.8247,     42.8202,     42.8307,     42.8394,     42.8539,     42.8761,     42.9011,     42.9099,     42.9179,     49.6238,     46.7080,     42.9701,     42.9890,     43.0019,     43.0405,     43.0866,     43.2698,     43.5858,     43.9279,     44.6358,     44.9735,     45.3485,     45.8103,     46.1903,     46.3779,     46.4035,     49.6323,     49.6541,     49.7087,     49.9276,     52.0937,     43.0460,     43.0493,     43.0554,     43.1257,     43.1273,     43.1556,     44.8918,     43.5021
      90,          1.483333,     39.1871,     39.1112,     38.7718,     37.4747,     36.0308,     34.4570,     33.5281,     39.2755,     39.3007,     39.3483,     39.7133,     40.0448,     40.2380,     40.2732,     40.3751,     40.6748,     42.8114,     42.8069,     42.8173,     42.8259,     42.8403,     42.8623,     42.8868,     42.8955,     42.9033,     49.5993,     46.6868,     42.9551,     42.9727,     42.9874,     43.0255,     43.0721,     43.2567,     43.5745,     43.9138,     44.6194,     44.9597,     45.3358,     45.7840,     46.1581,     46.3438,     46.3700,     49.6074,     49.6286,     49.6811,     49.8889,     52.0300,     43.0311,     43.0343,     43.0402,     43.1111,     43.1126,     43.1394,     44.8845,     43.4997
      91,          1.500000,     39.1744,     39.0976,     38.7557,     37.4678,     36.0244,     34.4524,     33.5222,     39.2641,     39.2895,     39.3377,     39.7037,     40.0352,     40.2274,     40.2624,     40.3638,     40.6623,     42.7971,     42.7926,     42.8030,     42.8115,     42.8258,     42.8474,     42.8715,     42.8801,     42.8878,     49.5727,     46.6542,     42.9393,     42.9568,     42.9715,     43.0098,     43.0568,     43.2432,     43.5631,     43.9003,     44.6044,     44.9473,     45.3257,     45.7637,     46.1317,     46.3152,     46.3410,     49.5807,     49.6016,     49.6518,     49.8488,     51.9647,     43.0155,     43.0182,     43.0241,     43.0959,     43.0974,     43.1227,     44.8764,     43.4971
      92,          1.516667,     39.1604,     39.0823,     38.7367,     37.4599,     36.0169,     34.4464,     33.5144,     39.2516,     39.2774,     39.3263,     39.6937,     40.0255,     40.2167,     40.2515,     40.3524,     40.6498,     42.7818,     42.7773,     42.7877,     42.7962,     42.8104,     42.8320,     42.8558,     42.8642,     42.8717,     49.5440,     46.6277,     42.9230,     42.9404,     42.9552,     42.9936,     43.0411,     43.2294,     43.5520,     43.8876,     44.5901,     44.9352,     45.3152,     45.7418,     46.1020,     46.2834,     46.3093,     49.5518,     49.5723,     49.6208,     49.8087,     51.9028,     42.9995,     43.0019,     43.0073,     43.0805,     43.0819,     43.1060,     44.8677,     43.4943
      93,          1.533333,     39.1453,     39.0655,     38.7147,     37.4515,     36.0084,     34.4390,     33.5048,     39.2383,     39.2645,     39.3142,     39.6837,     40.0157,     40.2062,     40.2408,     40.3413,     40.6380,     42.7654,     42.7608,     42.7713,     42.7799,     42.7942,     42.8158,     42.8396,     42.8477,     42.8553,     49.5128,     46.5921,     42.9066,     42.9245,     42.9387,     42.9776,     43.0255,     43.2155,     43.5404,     43.8745,     44.5758,     44.9232,     45.3049,     45.7210,     46.0739,     46.2530,     46.2787,     49.5205,     49.5408,     49.5880,     49.7676,     51.8421,     42.9829,     42.9857,     42.9909,     43.0651,     43.0663,     43.0893,     44.8584,     43.4914
      94,          1.550000,     39.1293,     39.0474,     38.6899,     37.4431,     35.9993,     34.4306,     33.4938,     39.2245,     39.2511,     39.3018,     39.6735,     40.0061,     40.1961,     40.2306,     40.3309,     40.6275,     42.7480,     42.7434,     42.7539,     42.7626,     42.7771,     42.7988,     42.8221,     42.8305,     42.8378,     49.4786,     46.5602,     42.8895,     42.9076,     42.9213,     42.9607,     43.0091,     43.2009,     43.5282,     43.8608,     44.5609,     44.9104,     45.2933,     45.6972,     46.0409,     46.2167,     46.2423,     49.4862,     49.5065,     49.5524,     49.7240,     51.7803,     42.9663,     42.9687,     42.9737,     43.0495,     43.0507,     43.0723,     44.8485,     43.4883
      95,          1.566667,     39.1127,     39.0281,     38.6621,     37.4348,     35.9897,     34.4213,     33.4817,     39.2105,     39.2377,     39.2894,     39.6639,     39.9973,     40.1870,     40.2214,     40.3216,     40.6185,     42.7292,     42.7246,     42.7354,     42.7442,     42.7589,     42.7807,     42.8041,     42.8123,     42.8197,     49.4392,     46.5340,     42.8715,     42.8894,     42.9036,     42.9429,     42.9916,     43.1855,     43.5148,     43.8461,     44.5459,     44.8976,     45.2825,     45.6762,     46.0129,     46.1863,     46.2122,     49.4473,     49.4681,     49.5133,     49.6775,     51.7171,     42.9480,     42.9508,     42.9560,     43.0335,     43.0347,     43.0551,     44.8380,     43.4851
      96,          1.583333,     39.0959,     39.0079,     38.6311,     37.4265,     35.9800,     34.4116,     33.4691,     39.1967,     39.2245,     39.2774,     39.6548,     39.9893,     40.1790,     40.2133,     40.3135,     40.6109,     42.7088,     42.7041,     42.7150,     42.7241,     42.7391,     42.7614,     42.7849,     42.7929,     42.8003,     49.3924,     46.5179,     42.8524,     42.8702,     42.8849,     42.9249,     42.9737,     43.1697,     43.5016,     43.8329,     44.5329,     44.8867,     45.2742,     45.6612,     45.9932,     46.1653,     46.1915,     49.4014,     49.4232,     49.4682,     49.6266,     51.6544,     42.9304,     42.9322,     42.9371,     43.0171,     43.0182,     43.0376,     44.8270,     43.4817
      97,          1.600000,     39.0788,     38.9866,     38.5965,     37.4190,     35.9706,     34.4015,     33.4560,     39.1832,     39.2117,     39.2657,     39.6466,     39.9822,     40.1721,     40.2064,     40.3067,     40.6047,     42.6865,     42.6817,     42.6930,     42.7024,     42.7179,     42.7408,     42.7646,     42.7726,     42.7800,     49.3375,     46.5055,     42.8328,     42.8508,     42.8658,     42.9058,     42.9556,     43.1544,     43.4899,     43.8222,     44.5232,     44.8787,     45.2683,     45.6507,     45.9795,     46.1504,     46.1768,     49.3472,     49.3709,     49.4180,     49.5782,     51.6211,     42.9112,     42.9133,     42.9177,     43.0020,     43.0031,     43.0223,     44.8156,     43.4782
      98,          1.616667,     39.0628,     38.9674,     38.5559,     37.4123,     35.9617,     34.3918,     33.4435,     39.1704,     39.1996,     39.2548,     39.6392,     39.9762,     40.1663,     40.2006,     40.3009,     40.5996,     42.6625,     42.6575,     42.6693,     42.6792,     42.6954,     42.7192,     42.7435,     42.7517,     42.7593,     49.2783,     46.4942,     42.8133,     42.8315,     42.8465,     42.8871,     42.9379,     43.1403,     43.4794,     43.8133,     44.5157,     44.8727,     45.2637,     45.6423,     45.9682,     46.1382,     46.1646,     49.2887,     49.3144,     49.3639,     49.5278,     51.5975,     42.8926,     42.8946,     42.8995,     42.9881,     42.9890,     43.0081,     44.8041,     43.4747
      99,          1.633333,     39.0485,     38.9499,     38.5213,     37.3986,     35.9519,     34.3819,     33.4308,     39.1593,     39.1892,     39.2454,     39.6328,     39.9709,     40.1612,     40.1955,     40.2959,     40.5952,     42.6371,     42.6321,     42.6442,     42.6548,     42.6719,     42.6968,     42.7219,     42.7303,     42.7379,     49.2156,     46.4830,     42.7933,     42.8119,     42.8273,     42.8686,     42.9203,     43.1265,     43.4699,     43.8055,     44.5095,     44.8676,     45.2598,     45.6346,     45.9579,     46.1269,     46.1533,     49.2269,     49.2545,     49.3061,     49.4733,     51.5760,     42.8739,     42.8759,     42.8807,     42.9750,     42.9760,     42.9946,     44.7925,     43.4711
     100,          1.650000,     39.0367,     38.9359,     38.4987,     37.3818,     35.9381,     34.3707,     33.4164,     39.1498,     39.1801,     39.2372,     39.6271,     39.9663,     40.1567,     40.1910,     40.2914,     40.5911,     42.6107,     42.6056,     42.6182,     42.6293,     42.6473,     42.6737,     42.6996,     42.7081,     42.7159,     49.1486,     46.4714,     42.7728,     42.7917,     42.8075,     42.8495,     42.9023,     43.1127,     43.4605,     43.7979,     44.5035,     44.8627,     45.2558,     45.6270,     45.9476,     46.1154,     46.1418,     49.1610,     49.1910,     49.2449,     49.4164,     51.5555,     42.8549,     42.8568,     42.8616,     42.9624,     42.9633,     42.9816,     44.7807,     43.4675
     101,          1.666667,     39.0281,     38.9260,     38.4821,     37.3687,     35.9227,     34.3573,     33.3992,     39.1427,     39.1733,     39.2310,     39.6222,     39.9619,     40.1524,     40.1867,     40.2871,     40.5870,     42.5833,     42.5781,     42.5912,     42.6029,     42.6221,     42.6499,     42.6766,     42.6853,     42.6933,     49.0773,     46.4590,     42.7518,     42.7711,     42.7872,     42.8300,     42.8839,     43.0986,     43.4511,     43.7902,     44.4975,     44.8577,     45.2517,     45.6190,     45.9367,     46.1034,     46.1298,     49.0910,     49.1237,     49.1796,     49.3564,     51.5360,     42.8355,     42.8374,     42.8425,     42.9501,     42.9510,     42.9688,     44.7687,     43.4638
     102,          1.683333,     39.0218,     38.9185,     38.4705,     37.3596,     35.9082,     34.3426,     33.3804,     39.1375,     39.1683,     39.2262,     39.6180,     39.9579,     40.1483,     40.1825,     40.2828,     40.5828,     42.5549,     42.5496,     42.5631,     42.5757,     42.5961,     42.6255,     42.6532,     42.6621,     42.6703,     49.0012,     46.4457,     42.7306,     42.7502,     42.7665,     42.8101,     42.8651,     43.0844,     43.4415,     43.7822,     44.4911,     44.8524,     45.2474,     45.6106,     45.9251,     46.0906,     46.1170,     49.0164,     49.0520,     49.1096,     49.2915,     51.5119,     42.8155,     42.8173,     42.8222,     42.9378,     42.9387,     42.9556,     44.7566,     43.4602
     103,          1.700000,     39.0132,     38.9072,     38.4568,     37.3524,     35.8959,     34.3283,     33.3621,     39.1310,     39.1622,     39.2208,     39.6139,     39.9539,     40.1442,     40.1783,     40.2785,     40.5785,     42.5256,     42.5201,     42.5342,     42.5476,     42.5694,     42.6005,     42.6290,     42.6381,     42.6464,     48.9189,     46.4311,     42.7085,     42.7284,     42.7451,     42.7896,     42.8459,     43.0697,     43.4313,     43.7737,     44.4843,     44.8468,     45.2427,     45.6014,     45.9126,     46.0767,     46.1031,     48.9358,     48.9747,     49.0340,     49.2198,     51.4822,     42.7949,     42.7967,     42.8014,     42.9250,     42.9258,     42.9419,     44.7441,     43.4564
     104,          1.716667,     39.0064,     38.8993,     38.4453,     37.3453,     35.8855,     34.3152,     33.3456,     39.1254,     39.1569,     39.2158,     39.6095,     39.9498,     40.1400,     40.1741,     40.2742,     40.5741,     42.4951,     42.4895,     42.5041,     42.5185,     42.5418,     42.5748,     42.6043,     42.6136,     42.6221,     48.8291,     46.4149,     42.6859,     42.7061,     42.7232,     42.7684,     42.8258,     43.0544,     43.4207,     43.7645,     44.4769,     44.8405,     45.2375,     45.5913,     45.8988,     46.0615,     46.0878,     48.8485,     48.8918,     48.9534,     49.1441,     51.4528,     42.7737,     42.7753,     42.7801,     42.9120,     42.9127,     42.9280,     44.7314,     43.4525
     105,          1.733333,     39.0004,     38.8933,     38.4357,     37.3391,     35.8764,     34.3035,     33.3308,     39.1205,     39.1521,     39.2113,     39.6054,     39.9456,     40.1356,     40.1696,     40.2696,     40.5694,     42.4634,     42.4577,     42.4731,     42.4886,     42.5135,     42.5486,     42.5790,     42.5886,     42.5973,     48.7321,     46.3967,     42.6630,     42.6835,     42.7009,     42.7468,     42.8054,     43.0386,     43.4092,     43.7544,     44.4687,     44.8336,     45.2317,     45.5802,     45.8836,     46.0446,     46.0708,     48.7549,     48.8025,     48.8671,     49.0639,     51.4245,     42.7520,     42.7536,     42.7583,     42.8993,     42.9000,     42.9144,     44.7183,     43.4485
     106,          1.750000,     38.9986,     38.8923,     38.4326,     37.3353,     35.8688,     34.2933,     33.3178,     39.1180,     39.1495,     39.2085,     39.6016,     39.9414,     40.1311,     40.1651,     40.2649,     40.5646,     42.4305,     42.4246,     42.4407,     42.4574,     42.4842,     42.5213,     42.5530,     42.5628,     42.5716,     48.6280,     46.3764,     42.6392,     42.6600,     42.6776,     42.7244,     42.7842,     43.0220,     43.3969,     43.7435,     44.4601,     44.8261,     45.2253,     45.5677,     45.8667,     46.0258,     46.0519,     48.6545,     48.7073,     48.7749,     48.9789,     51.3980,     42.7298,     42.7311,     42.7357,     42.8869,     42.8875,     42.9010,     44.7050,     43.4445
     107,          1.766667,     38.9951,     38.8888,     38.4287,     37.3335,     35.8634,     34.2847,     33.3069,     39.1148,     39.1463,     39.2054,     39.5980,     39.9373,     40.1265,     40.1604,     40.2600,     40.5595,     42.3961,     42.3901,     42.4071,     42.4251,     42.4539,     42.4934,     42.5262,     42.5362,     42.5450,     48.5154,     46.3536,     42.6147,     42.6358,     42.6536,     42.7013,     42.7623,     43.0046,     43.3838,     43.7322,     44.4504,     44.8176,     45.2181,     45.5539,     45.8478,     46.0048,     46.0308,     48.5471,     48.6068,     48.6788,     48.8954,     51.3930,     42.7067,     42.7081,     42.7128,     42.8761,     42.8767,     42.8902,     44.6914,     43.4403
     108,          1.783333,     38.9910,     38.8842,     38.4233,     37.3311,     35.8596,     34.2779,     33.2984,     39.1111,     39.1426,     39.2018,     39.5939,     39.9329,     40.1218,     40.1556,     40.2549,     40.5542,     42.3602,     42.3539,     42.3719,     42.3915,     42.4226,     42.4647,     42.4987,     42.5090,     42.5180,     48.3971,     46.3283,     42.5896,     42.6111,     42.6293,     42.6778,     42.7399,     42.9867,     43.3703,     43.7200,     44.4397,     44.8080,     45.2098,     45.5384,     45.8266,     45.9812,     46.0071,     48.4355,     48.5045,     48.5833,     48.8176,     51.4023,     42.6833,     42.6846,     42.6893,     42.8673,     42.8679,     42.8811,     44.6779,     43.4361
     109,          1.800000,     38.9865,     38.8794,     38.4172,     37.3279,     35.8560,     34.2726,     33.2918,     39.1070,     39.1386,     39.1979,     39.5896,     39.9282,     40.1167,     40.1503,     40.2494,     40.5485,     42.3225,     42.3159,     42.3351,     42.3564,     42.3902,     42.4352,     42.4704,     42.4808,     42.4900,     48.2764,     46.3008,     42.5638,     42.5856,     42.6042,     42.6537,     42.7170,     42.9682,     43.3557,     43.7068,     44.4277,     44.7973,     45.2007,     45.5212,     45.8032,     45.9553,     45.9812,     48.3228,     48.4012,     48.4871,     48.7406,     51.4144,     42.6591,     42.6606,     42.6654,     42.8599,     42.8604,     42.8733,     44.6644,     43.4319
     110,          1.816667,     38.9822,     38.8750,     38.4116,     37.3244,     35.8525,     34.2680,     33.2861,     39.1031,     39.1347,     39.1940,     39.5850,     39.9230,     40.1112,     40.1448,     40.2437,     40.5424,     42.2829,     42.2762,     42.2964,     42.3200,     42.3567,     42.4048,     42.4414,     42.4519,     42.4613,     48.1520,     46.2708,     42.5372,     42.5593,     42.5783,     42.6288,     42.6932,     42.9488,     43.3400,     43.6923,     44.4144,     44.7856,     45.1905,     45.5024,     45.7779,     45.9271,     45.9530,     48.2094,     48.2980,     48.3913,     48.6653,     51.4277,     42.6347,     42.6357,     42.6406,     42.8537,     42.8542,     42.8667,     44.6509,     43.4277
     111,          1.833333,     38.9774,     38.8699,     38.4056,     37.3209,     35.8491,     34.2640,     33.2810,     39.0988,     39.1304,     39.1898,     39.5802,     39.9177,     40.1055,     40.1389,     40.2374,     40.5360,     42.2413,     42.2343,     42.2559,     42.2818,     42.3220,     42.3735,     42.4117,     42.4224,     42.4320,     48.0249,     46.2381,     42.5100,     42.5326,     42.5518,     42.6033,     42.6688,     42.9287,     43.3230,     43.6765,     44.3995,     44.7724,     45.1792,     45.4818,     45.7503,     45.8964,     45.9223,     48.0956,     48.1949,     48.2963,     48.5926,     51.4412,     42.6089,     42.6104,     42.6154,     42.8487,     42.8492,     42.8613,     44.6375,     43.4235
     112,          1.850000,     38.9717,     38.8635,     38.3982,     37.3168,     35.8451,     34.2599,     33.2759,     39.0938,     39.1255,     39.1849,     39.5750,     39.9120,     40.0992,     40.1325,     40.2308,     40.5291,     42.1974,     42.1902,     42.2133,     42.2420,     42.2861,     42.3413,     42.3810,     42.3921,     42.4017,     47.8864,     46.2008,     42.4825,     42.5051,     42.5249,     42.5777,     42.6441,     42.9079,     43.3047,     43.6592,     44.3830,     44.7577,     45.1667,     45.4592,     45.7200,     45.8628,     45.8885,     47.9753,     48.0887,     48.2029,     48.5243,     51.4580,     42.5836,     42.5859,     42.5907,     42.8451,     42.8456,     42.8573,     44.6240,     43.4193
     113,          1.866667,     38.9632,     38.8507,     38.3867,     37.3114,     35.8406,     34.2557,     33.2706,     39.0873,     39.1192,     39.1791,     39.5693,     39.9058,     40.0925,     40.1257,     40.2237,     40.5217,     42.1508,     42.1433,     42.1683,     42.2004,     42.2490,     42.3082,     42.3494,     42.3607,     42.3706,     47.7397,     46.1578,     42.4535,     42.4763,     42.4963,     42.5499,     42.6174,     42.8855,     43.2850,     43.6406,     44.3647,     44.7409,     45.1522,     45.4332,     45.6850,     45.8238,     45.8495,     47.8497,     47.9806,     48.1065,     48.4592,     51.4754,     42.5560,     42.5577,     42.5629,     42.8431,     42.8435,     42.8549,     44.6107,     43.4150
     114,          1.883333,     38.9548,     38.8430,     38.3744,     37.3039,     35.8347,     34.2509,     33.2645,     39.0804,     39.1125,     39.1726,     39.5633,     39.9000,     40.0869,     40.1201,     40.2184,     40.5182,     42.0999,     42.0916,     42.1196,     42.1560,     42.2097,     42.2734,     42.3173,     42.3286,     42.3382,     47.5953,     46.1051,     42.4235,     42.4466,     42.4668,     42.5214,     42.5897,     42.8611,     43.2629,     43.6194,     44.3437,     44.7215,     45.1352,     45.4035,     45.6451,     45.7792,     45.8046,     47.7277,     47.8759,     48.0141,     48.4000,     51.4890,     42.5276,     42.5292,     42.5347,     42.8424,     42.8428,     42.8537,     44.5974,     43.4108
     115,          1.900000,     38.9475,     38.8348,     38.3637,     37.2967,     35.8275,     34.2451,     33.2572,     39.0748,     39.1071,     39.1676,     39.5595,     39.8970,     40.0858,     40.1201,     40.2215,     40.5296,     42.0378,     42.0291,     42.0628,     42.1074,     42.1680,     42.2371,     42.2834,     42.2949,     42.3047,     47.4835,     46.0453,     42.3923,     42.4155,     42.4361,     42.4918,     42.5608,     42.8354,     43.2390,     43.5954,     44.3193,     44.6980,     45.1136,     45.3664,     45.5956,     45.7241,     45.7497,     47.6300,     47.7865,     47.9336,     48.3517,     51.4795,     42.4981,     42.4997,     42.5057,     42.8431,     42.8434,     42.8538,     44.5842,     43.4066
     116,          1.916667,     38.9438,     38.8299,     38.3554,     37.2906,     35.8200,     34.2383,     33.2488,     39.0732,     39.1061,     39.1675,     39.5633,     39.9025,     40.0908,     40.1241,     40.2229,     40.5246,     41.9739,     41.9680,     42.0018,     42.0512,     42.1207,     42.1975,     42.2463,     42.2584,     42.2686,     47.3966,     45.9909,     42.3592,     42.3826,     42.4035,     42.4601,     42.5296,     42.8067,     43.2116,     43.5667,     44.2896,     44.6700,     45.0891,     45.3268,     45.5445,     45.6681,     45.6945,     47.5552,     47.7161,     47.8682,     48.3074,     51.4616,     42.4665,     42.4682,     42.4744,     42.8451,     42.8455,     42.8554,     44.5710,     43.4023
     117,          1.933333,     38.9409,     38.8267,     38.3510,     37.2867,     35.8132,     34.2314,     33.2401,     39.0707,     39.1036,     39.1650,     39.5606,     39.8992,     40.0864,     40.1195,     40.2175,     40.5160,     41.9085,     41.8957,     41.9368,     41.9939,     42.0724,     42.1560,     42.2060,     42.2184,     42.2289,     47.3289,     45.9442,     42.3222,     42.3460,     42.3674,     42.4256,     42.4958,     42.7760,     43.1824,     43.5360,     44.2584,     44.6404,     45.0636,     45.2889,     45.4970,     45.6165,     45.6439,     47.4952,     47.6597,     47.8154,     48.2701,     51.4430,     42.4324,     42.4339,     42.4406,     42.8487,     42.8490,     42.8584,     44.5579,     43.3981
     118,          1.950000,     38.9370,     38.8225,     38.3463,     37.2843,     35.8078,     34.2247,     33.2317,     39.0668,     39.0996,     39.1606,     39.5546,     39.8918,     40.0779,     40.1108,     40.2080,     40.5049,     41.8363,     41.8253,     41.8691,     41.9343,     42.0216,     42.1127,     42.1653,     42.1778,     42.1883,     47.2751,     45.9047,     42.2842,     42.3079,     42.3296,     42.3889,     42.4600,     42.7441,     43.1527,     43.5062,     44.2283,     44.6125,     45.0397,     45.2543,     45.4547,     45.5709,     45.5997,     47.4471,     47.6140,     47.7723,     48.2394,     51.4258,     42.3958,     42.3974,     42.4046,     42.8541,     42.8543,     42.8633,     44.5448,     43.3939
     119,          1.966667,     38.9318,     38.8169,     38.3404,     37.2815,     35.8035,     34.2187,     33.2244,     39.0615,     39.0941,     39.1548,     39.5463,     39.8818,     40.0665,     40.0990,     40.1953,     40.4903,     41.7502,     41.7356,     41.7889,     41.8687,     41.9690,     42.0684,     42.1234,     42.1364,     42.1469,     47.2324,     45.8719,     42.2459,     42.2699,     42.2920,     42.3528,     42.4251,     42.7138,     43.1254,     43.4792,     44.2002,     44.5868,     45.0184,     45.2241,     45.4180,     45.5316,     45.5618,     47.4072,     47.5763,     47.7368,     48.2133,     51.4088,     42.3601,     42.3618,     42.3696,     42.8610,     42.8613,     42.8697,     44.5319,     43.3896
