"M11_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_001.tcf]","Time (h)","SQ FC01.1_R [M11_5m_001]","SQ FC04.1_C [M11_5m_001]","SQ FC01.2_R [M11_5m_001]","SQ FC_weir1 [M11_5m_001]","SQ ds_weir [M11_5m_001]"
     160,          2.650000,      7.6021,      1.8705,     13.4184,      0.9191,     17.5670
     161,          2.666667,      7.4045,      1.7972,     13.0546,      0.7677,     17.1965
     162,          2.683333,      7.2280,      1.7276,     12.7179,      0.6362,     16.8485
     163,          2.700000,      7.0565,      1.6618,     12.3759,      0.5218,     16.5146
     164,          2.716667,      6.8731,      1.5995,     12.0351,      0.4102,     16.1480
     165,          2.733334,      6.6762,      1.5401,     11.7118,      0.2989,     15.7813
     166,          2.750000,      6.4709,      1.4843,     11.3978,      0.1966,     15.4561
     167,          2.766667,      6.2497,      1.4312,     11.0969,      0.1050,     15.1740
     168,          2.783334,      6.0190,      1.3802,     10.8039,      0.0331,     14.9165
     169,          2.800000,      5.7817,      1.3314,     10.4946,      0.0018,     14.6295
     170,          2.816667,      5.5386,      1.2838,     10.2005,      0.0000,     14.2748
     171,          2.833333,      5.2928,      1.2383,      9.9246,      0.0000,     13.8716
     172,          2.850000,      5.0433,      1.1942,      9.6594,      0.0000,     13.4431
     173,          2.866667,      4.7962,      1.1517,      9.4134,      0.0000,     13.0217
     174,          2.883333,      4.5549,      1.1104,      9.1832,      0.0000,     12.6124
     175,          2.900000,      4.3227,      1.0711,      8.9609,      0.0000,     12.2310
     176,          2.916667,      4.0988,      1.0323,      8.7167,      0.0000,     11.8774
     177,          2.933333,      3.8826,      0.9947,      8.4318,      0.0000,     11.5472
     178,          2.950000,      3.6727,      0.9585,      8.1358,      0.0000,     11.2366
     179,          2.966667,      3.4714,      0.9229,      7.8485,      0.0000,     10.9455
     180,          2.983334,      3.2841,      0.8888,      7.5673,      0.0000,     10.6609
     181,          3.000000,      3.1091,      0.8559,      7.2993,      0.0000,     10.3972
