"M11_5m_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_002.tcf]","Time (h)","H ds1.1 [M11_5m_002]","H ds1.2 [M11_5m_002]","H ds2.2 [M11_5m_002]","H ds3.2 [M11_5m_002]","H ds4.2 [M11_5m_002]","H ds5.2 [M11_5m_002]","H ds_weir.2 [M11_5m_002]","H FC01.01.1 [M11_5m_002]","H FC01.02.1 [M11_5m_002]","H FC01.03.1 [M11_5m_002]","H FC01.04.1 [M11_5m_002]","H FC01.05.1 [M11_5m_002]","H FC01.06.1 [M11_5m_002]","H FC01.07.1 [M11_5m_002]","H FC01.08.1 [M11_5m_002]","H FC01.09.1 [M11_5m_002]","H FC01.10_W.1 [M11_5m_002]","H FC01.12.1 [M11_5m_002]","H FC01.13.1 [M11_5m_002]","H FC01.14.1 [M11_5m_002]","H FC01.15.1 [M11_5m_002]","H FC01.16.1 [M11_5m_002]","H FC01.17.1 [M11_5m_002]","H FC01.18.1 [M11_5m_002]","H FC01.19.1 [M11_5m_002]","H FC01.20.1 [M11_5m_002]","H FC01.21.1 [M11_5m_002]","H FC01.22.1 [M11_5m_002]","H FC01.23.1 [M11_5m_002]","H FC01.24.1 [M11_5m_002]","H FC01.25.1 [M11_5m_002]","H FC01.26.1 [M11_5m_002]","H FC01.27.1 [M11_5m_002]","H FC01.28A.1 [M11_5m_002]","H FC01.28B.1 [M11_5m_002]","H FC01.29.1 [M11_5m_002]","H FC01.30.1 [M11_5m_002]","H FC01.31.1 [M11_5m_002]","H FC01.32.1 [M11_5m_002]","H FC01.33.1 [M11_5m_002]","H FC01.34.1 [M11_5m_002]","H FC01.35_B.1 [M11_5m_002]","H FC01.36.1 [M11_5m_002]","H FC01.37.1 [M11_5m_002]","H FC01.38.1 [M11_5m_002]","H FC01.39.1 [M11_5m_002]","H FC01.40.1 [M11_5m_002]","H FC02.01.1 [M11_5m_002]","H FC02.02.1 [M11_5m_002]","H FC02.03.1 [M11_5m_002]","H FC02.04.1 [M11_5m_002]","H FC02.05.1 [M11_5m_002]","H FC02.06.1 [M11_5m_002]","H FC04.1_C.1 [M11_5m_002]","H FC04.1_C.2 [M11_5m_002]"
     142,          2.350000,     38.0561,     37.6919,     37.2361,     36.6816,     35.0084,     33.5620,     32.5790,     38.3023,     38.3279,     38.3711,     38.7021,     38.9561,     39.0732,     39.0907,     39.1503,     39.4624,     39.6847,     39.8766,     40.4971,     40.7896,     41.0610,     41.2945,     41.4067,     41.4220,     41.4320,     41.5658,     41.5906,     41.6152,     41.7018,     41.7954,     42.1630,     42.6073,     42.9497,     43.6043,     43.9966,     44.4761,     44.6548,     44.8243,     44.9282,     45.0951,     45.4305,     45.8824,     46.4359,     46.7346,     46.9670,     47.5998,     50.8048,     41.7143,     41.7175,     42.1595,     42.8904,     42.8905,     42.8934,     44.2184,     43.2751
     143,          2.366667,     38.0393,     37.6696,     37.2155,     36.6715,     34.9893,     33.5498,     32.5790,     38.2862,     38.3114,     38.3539,     38.6821,     38.9347,     39.0507,     39.0679,     39.1270,     39.4408,     39.6640,     39.8599,     40.4831,     40.7725,     41.0420,     41.2735,     41.3862,     41.4013,     41.4112,     41.5444,     41.5692,     41.5936,     41.6806,     41.7752,     42.1454,     42.5901,     42.9319,     43.5838,     43.9749,     44.4544,     44.6330,     44.8026,     44.9065,     45.0828,     45.4170,     45.8607,     46.4163,     46.7148,     46.9478,     47.5846,     50.7893,     41.6932,     41.6965,     42.1571,     42.8870,     42.8872,     42.8900,     44.2040,     43.2687
     144,          2.383333,     38.0226,     37.6478,     37.1951,     36.6614,     34.9698,     33.5375,     32.5790,     38.2703,     38.2951,     38.3369,     38.6624,     38.9136,     39.0285,     39.0456,     39.1042,     39.4196,     39.6434,     39.8432,     40.4695,     40.7559,     41.0236,     41.2531,     41.3660,     41.3809,     41.3908,     41.5233,     41.5479,     41.5723,     41.6596,     41.7551,     42.1278,     42.5729,     42.9138,     43.5631,     43.9526,     44.4333,     44.6120,     44.7816,     44.8857,     45.0716,     45.4051,     45.8409,     46.3986,     46.6975,     46.9307,     47.5709,     50.7748,     41.6722,     41.6756,     42.1548,     42.8837,     42.8838,     42.8866,     44.1895,     43.2621
     145,          2.400000,     38.0054,     37.6266,     37.1758,     36.6514,     34.9503,     33.5253,     32.5790,     38.2543,     38.2788,     38.3201,     38.6428,     38.8928,     39.0066,     39.0234,     39.0815,     39.3989,     39.6231,     39.8265,     40.4566,     40.7398,     41.0055,     41.2330,     41.3461,     41.3609,     41.3706,     41.5025,     41.5270,     41.5513,     41.6389,     41.7352,     42.1105,     42.5559,     42.8961,     43.5428,     43.9315,     44.4127,     44.5913,     44.7607,     44.8648,     45.0604,     45.3933,     45.8221,     46.3819,     46.6808,     46.9146,     47.5577,     50.7603,     41.6514,     41.6548,     42.1526,     42.8803,     42.8805,     42.8832,     44.1749,     43.2555
     146,          2.416667,     37.9881,     37.6055,     37.1568,     36.6420,     34.9306,     33.5132,     32.5790,     38.2385,     38.2627,     38.3034,     38.6234,     38.8722,     38.9850,     39.0017,     39.0593,     39.3789,     39.6032,     39.8105,     40.4439,     40.7241,     40.9878,     41.2132,     41.3265,     41.3411,     41.3507,     41.4820,     41.5063,     41.5304,     41.6184,     41.7157,     42.0938,     42.5395,     42.8791,     43.5233,     43.9111,     44.3923,     44.5708,     44.7403,     44.8448,     45.0500,     45.3825,     45.8051,     46.3673,     46.6649,     46.8995,     47.5449,     50.7460,     41.6308,     41.6344,     42.1504,     42.8766,     42.8767,     42.8794,     44.1602,     43.2488
     147,          2.433333,     37.9708,     37.5845,     37.1381,     36.6326,     34.9108,     33.5015,     32.5790,     38.2229,     38.2467,     38.2869,     38.6044,     38.8522,     38.9639,     38.9803,     39.0374,     39.3591,     39.5827,     39.7943,     40.4318,     40.7087,     40.9702,     41.1936,     41.3071,     41.3215,     41.3311,     41.4616,     41.4858,     41.5098,     41.5981,     41.6965,     42.0776,     42.5237,     42.8627,     43.5045,     43.8915,     44.3723,     44.5507,     44.7209,     44.8257,     45.0403,     45.3722,     45.7888,     46.3529,     46.6498,     46.8848,     47.5312,     50.7287,     41.6105,     41.6142,     42.1482,     42.8727,     42.8728,     42.8753,     44.1454,     43.2421
     148,          2.450000,     37.9534,     37.5636,     37.1196,     36.6233,     34.8910,     33.4899,     32.5790,     38.2075,     38.2310,     38.2706,     38.5857,     38.8325,     38.9430,     38.9593,     39.0159,     39.3395,     39.5622,     39.7781,     40.4200,     40.6938,     40.9531,     41.1744,     41.2880,     41.3022,     41.3117,     41.4416,     41.4657,     41.4895,     41.5783,     41.6777,     42.0620,     42.5087,     42.8470,     43.4865,     43.8724,     44.3531,     44.5315,     44.7021,     44.8073,     45.0309,     45.3624,     45.7726,     46.3372,     46.6343,     46.8687,     47.5140,     50.7064,     41.5906,     41.5944,     42.1460,     42.8685,     42.8686,     42.8710,     44.1305,     43.2352
     149,          2.466667,     37.9360,     37.5426,     37.1015,     36.6143,     34.8709,     33.4786,     32.5790,     38.1923,     38.2154,     38.2546,     38.5672,     38.8130,     38.9225,     38.9386,     38.9947,     39.3204,     39.5416,     39.7621,     40.4079,     40.6788,     40.9361,     41.1552,     41.2690,     41.2831,     41.2925,     41.4218,     41.4457,     41.4695,     41.5586,     41.6592,     42.0468,     42.4938,     42.8316,     43.4688,     43.8536,     44.3349,     44.5134,     44.6839,     44.7893,     45.0218,     45.3523,     45.7563,     46.3226,     46.6169,     46.8506,     47.4945,     50.6822,     41.5708,     41.5748,     42.1438,     42.8637,     42.8638,     42.8661,     44.1154,     43.2280
     150,          2.483333,     37.9189,     37.5222,     37.0836,     36.6054,     34.8506,     33.4676,     32.5790,     38.1771,     38.1999,     38.2386,     38.5491,     38.7938,     38.9021,     38.9181,     38.9738,     39.3017,     39.5210,     39.7460,     40.3958,     40.6638,     40.9193,     41.1362,     41.2501,     41.2641,     41.2734,     41.4022,     41.4260,     41.4496,     41.5391,     41.6411,     42.0321,     42.4796,     42.8168,     43.4517,     43.8357,     44.3171,     44.4955,     44.6658,     44.7711,     45.0121,     45.3400,     45.7349,     46.3025,     46.5971,     46.8308,     47.4738,     50.6571,     41.5512,     41.5553,     42.1417,     42.8584,     42.8585,     42.8608,     44.1002,     43.2207
     151,          2.500000,     37.9013,     37.5020,     37.0662,     36.5965,     34.8301,     33.4565,     32.5790,     38.1617,     38.1843,     38.2226,     38.5308,     38.7745,     38.8820,     38.8978,     38.9531,     39.2829,     39.5000,     39.7297,     40.3838,     40.6488,     40.9024,     41.1173,     41.2314,     41.2452,     41.2545,     41.3826,     41.4063,     41.4298,     41.5194,     41.6229,     42.0175,     42.4654,     42.8019,     43.4344,     43.8174,     44.2980,     44.4758,     44.6458,     44.7510,     45.0016,     45.3269,     45.7132,     46.2822,     46.5759,     46.8091,     47.4521,     50.6312,     41.5314,     41.5354,     42.1373,     42.8529,     42.8530,     42.8552,     44.0848,     43.2132
     152,          2.516667,     37.8840,     37.4839,     37.0485,     36.5874,     34.8098,     33.4460,     32.5790,     38.1466,     38.1690,     38.2068,     38.5127,     38.7555,     38.8622,     38.8778,     38.9328,     39.2644,     39.4792,     39.7137,     40.3722,     40.6343,     40.8857,     41.0985,     41.2126,     41.2263,     41.2355,     41.3631,     41.3866,     41.4100,     41.4997,     41.6046,     42.0028,     42.4508,     42.7865,     43.4165,     43.7982,     44.2774,     44.4548,     44.6250,     44.7303,     44.9905,     45.3130,     45.6904,     46.2611,     46.5539,     46.7867,     47.4298,     50.6045,     41.5116,     41.5157,     42.1326,     42.8476,     42.8477,     42.8497,     44.0697,     43.2057
     153,          2.533334,     37.8666,     37.4664,     37.0314,     36.5782,     34.7891,     33.4356,     32.5790,     38.1318,     38.1539,     38.1912,     38.4952,     38.7366,     38.8425,     38.8579,     38.9125,     39.2460,     39.4583,     39.6978,     40.3607,     40.6198,     40.8689,     41.0796,     41.1936,     41.2072,     41.2163,     41.3433,     41.3666,     41.3899,     41.4797,     41.5860,     41.9876,     42.4357,     42.7704,     43.3977,     43.7780,     44.2553,     44.4324,     44.6028,     44.7082,     44.9790,     45.2987,     45.6670,     46.2393,     46.5310,     46.7633,     47.4066,     50.5768,     41.4914,     41.4956,     42.1280,     42.8425,     42.8426,     42.8445,     44.0546,     43.1982
     154,          2.550000,     37.8490,     37.4493,     37.0146,     36.5692,     34.7681,     33.4256,     32.5790,     38.1170,     38.1388,     38.1757,     38.4776,     38.7177,     38.8227,     38.8380,     38.8921,     39.2273,     39.4370,     39.6819,     40.3494,     40.6053,     40.8520,     41.0604,     41.1744,     41.1879,     41.1969,     41.3231,     41.3462,     41.3694,     41.4594,     41.5669,     41.9716,     42.4193,     42.7531,     43.3771,     43.7557,     44.2328,     44.4096,     44.5798,     44.6851,     44.9669,     45.2839,     45.6429,     46.2166,     46.5072,     46.7389,     47.3829,     50.5483,     41.4709,     41.4753,     42.1236,     42.8376,     42.8377,     42.8395,     44.0395,     43.1907
     155,          2.566667,     37.8325,     37.4312,     36.9978,     36.5600,     34.7472,     33.4157,     32.5790,     38.1024,     38.1239,     38.1603,     38.4600,     38.6988,     38.8030,     38.8181,     38.8718,     39.2087,     39.4157,     39.6662,     40.3381,     40.5907,     40.8350,     41.0410,     41.1548,     41.1681,     41.1770,     41.3025,     41.3255,     41.3485,     41.4385,     41.5472,     41.9548,     42.4023,     42.7349,     43.3559,     43.7327,     44.2092,     44.3858,     44.5559,     44.6612,     44.9545,     45.2683,     45.6180,     46.1932,     46.4827,     46.7139,     47.3586,     50.5193,     41.4499,     41.4543,     42.1192,     42.8326,     42.8327,     42.8344,     44.0246,     43.1832
     156,          2.583333,     37.8187,     37.4132,     36.9801,     36.5504,     34.7259,     33.4062,     32.5790,     38.0885,     38.1097,     38.1456,     38.4428,     38.6800,     38.7833,     38.7983,     38.8515,     39.1903,     39.3948,     39.6510,     40.3260,     40.5757,     40.8177,     41.0213,     41.1347,     41.1478,     41.1567,     41.2815,     41.3043,     41.3271,     41.4172,     41.5272,     41.9379,     42.3850,     42.7165,     43.3344,     43.7097,     44.1848,     44.3611,     44.5313,     44.6368,     44.9420,     45.2528,     45.5932,     46.1707,     46.4577,     46.6885,     47.3340,     50.4901,     41.4286,     41.4331,     42.1147,     42.8276,     42.8277,     42.8293,     44.0100,     43.1758
     157,          2.600000,     37.8048,     37.3962,     36.9629,     36.5402,     34.7044,     33.3968,     32.5790,     38.0746,     38.0955,     38.1309,     38.4254,     38.6613,     38.7635,     38.7783,     38.8312,     39.1717,     39.3735,     39.6351,     40.3129,     40.5598,     40.7996,     41.0010,     41.1140,     41.1270,     41.1358,     41.2599,     41.2825,     41.3052,     41.3954,     41.5068,     41.9207,     42.3674,     42.6977,     43.3124,     43.6862,     44.1590,     44.3351,     44.5057,     44.6115,     44.9294,     45.2368,     45.5682,     46.1462,     46.4324,     46.6632,     47.3114,     50.4663,     41.4067,     41.4114,     42.1103,     42.8228,     42.8228,     42.8244,     43.9956,     43.1686
     158,          2.616667,     37.7906,     37.3795,     36.9463,     36.5298,     34.6824,     33.3878,     32.5790,     38.0606,     38.0812,     38.1162,     38.4078,     38.6425,     38.7436,     38.7583,     38.8106,     39.1525,     39.3513,     39.6187,     40.2997,     40.5435,     40.7809,     40.9801,     41.0929,     41.1058,     41.1144,     41.2380,     41.2604,     41.2829,     41.3733,     41.4860,     41.9031,     42.3492,     42.6782,     43.2895,     43.6613,     44.1327,     44.3086,     44.4793,     44.5853,     44.9161,     45.2201,     45.5426,     46.1222,     46.4079,     46.6394,     47.2925,     50.4464,     41.3847,     41.3895,     42.1062,     42.8182,     42.8182,     42.8199,     43.9816,     43.1616
     159,          2.633333,     37.7756,     37.3630,     36.9298,     36.5192,     34.6599,     33.3790,     32.5790,     38.0463,     38.0667,     38.1012,     38.3902,     38.6234,     38.7234,     38.7379,     38.7898,     39.1328,     39.3284,     39.6020,     40.2860,     40.5268,     40.7616,     40.9585,     41.0719,     41.0846,     41.0932,     41.2159,     41.2382,     41.2605,     41.3509,     41.4649,     41.8849,     42.3303,     42.6579,     43.2658,     43.6357,     44.1059,     44.2816,     44.4527,     44.5591,     44.9031,     45.2045,     45.5194,     46.1010,     46.3854,     46.6178,     47.2756,     50.4278,     41.3622,     41.3672,     42.1023,     42.8138,     42.8139,     42.8154,     43.9681,     43.1547
     160,          2.650000,     37.7597,     37.3465,     36.9132,     36.5081,     34.6374,     33.3703,     32.5790,     38.0317,     38.0518,     38.0858,     38.3723,     38.6041,     38.7028,     38.7172,     38.7686,     39.1126,     39.3047,     39.5850,     40.2727,     40.5104,     40.7425,     40.9370,     41.0500,     41.0626,     41.0711,     41.1932,     41.2153,     41.2375,     41.3282,     41.4436,     41.8666,     42.3113,     42.6376,     43.2421,     43.6105,     44.0796,     44.2555,     44.4271,     44.5340,     44.8910,     45.1902,     45.4986,     46.0832,     46.3650,     46.5980,     47.2596,     50.4096,     41.3395,     41.3448,     42.0985,     42.8097,     42.8097,     42.8112,     43.9549,     43.1480
     161,          2.666667,     37.7428,     37.3301,     36.8963,     36.4963,     34.6144,     33.3621,     32.5790,     38.0168,     38.0366,     38.0701,     38.3540,     38.5842,     38.6818,     38.6959,     38.7469,     39.0922,     39.2806,     39.5676,     40.2595,     40.4940,     40.7233,     40.9152,     41.0277,     41.0401,     41.0485,     41.1702,     41.1921,     41.2142,     41.3052,     41.4222,     41.8486,     42.2928,     42.6179,     43.2193,     43.5863,     44.0543,     44.2305,     44.4028,     44.5103,     44.8797,     45.1768,     45.4781,     46.0626,     46.3462,     46.5795,     47.2439,     50.3912,     41.3166,     41.3221,     42.0951,     42.8058,     42.8059,     42.8073,     43.9423,     43.1414
     162,          2.683333,     37.7246,     37.3135,     36.8793,     36.4836,     34.5912,     33.3542,     32.5790,     38.0012,     38.0207,     38.0538,     38.3350,     38.5637,     38.6604,     38.6744,     38.7248,     39.0716,     39.2560,     39.5497,     40.2462,     40.4773,     40.7041,     40.8936,     41.0054,     41.0177,     41.0260,     41.1472,     41.1690,     41.1910,     41.2825,     41.4013,     41.8314,     42.2751,     42.5991,     43.1976,     43.5631,     44.0303,     44.2067,     44.3796,     44.4878,     44.8691,     45.1646,     45.4600,     46.0454,     46.3283,     46.5614,     47.2274,     50.3696,     41.2939,     41.2996,     42.0916,     42.8019,     42.8019,     42.8032,     43.9302,     43.1350
     163,          2.700000,     37.7053,     37.2970,     36.8620,     36.4698,     34.5680,     33.3464,     32.5790,     37.9845,     38.0039,     38.0366,     38.3155,     38.5428,     38.6385,     38.6523,     38.7024,     39.0509,     39.2314,     39.5325,     40.2317,     40.4603,     40.6849,     40.8721,     40.9834,     40.9955,     41.0037,     41.1244,     41.1461,     41.1680,     41.2600,     41.3809,     41.8151,     42.2583,     42.5811,     43.1770,     43.5412,     44.0078,     44.1844,     44.3580,     44.4666,     44.8589,     45.1523,     45.4420,     46.0283,     46.3096,     46.5422,     47.2069,     50.3419,     41.2714,     41.2773,     42.0878,     42.7976,     42.7976,     42.7988,     43.9184,     43.1288
     164,          2.716667,     37.6842,     37.2805,     36.8443,     36.4541,     34.5492,     33.3376,     32.5790,     37.9671,     37.9863,     38.0187,     38.2955,     38.5213,     38.6162,     38.6298,     38.6795,     39.0296,     39.2066,     39.5157,     40.2169,     40.4431,     40.6656,     40.8507,     40.9614,     40.9734,     40.9816,     41.1019,     41.1235,     41.1454,     41.2381,     41.3612,     41.7997,     42.2425,     42.5643,     43.1576,     43.5205,     43.9864,     44.1631,     44.3371,     44.4462,     44.8485,     45.1390,     45.4219,     46.0090,     46.2889,     46.5205,     47.1832,     50.3113,     41.2495,     41.2556,     42.0840,     42.7932,     42.7932,     42.7943,     43.9071,     43.1228
     165,          2.733334,     37.6607,     37.2638,     36.8257,     36.4361,     34.5343,     33.3288,     32.5790,     37.9485,     37.9675,     37.9997,     38.2751,     38.4994,     38.5934,     38.6069,     38.6561,     39.0079,     39.1815,     39.4993,     40.2021,     40.4258,     40.6462,     40.8293,     40.9395,     40.9514,     40.9596,     41.0798,     41.1013,     41.1232,     41.2166,     41.3420,     41.7849,     42.2272,     42.5478,     43.1384,     43.5000,     43.9649,     44.1415,     44.3157,     44.4250,     44.8374,     45.1248,     45.4007,     45.9880,     46.2659,     46.4963,     47.1575,     50.2790,     41.2280,     41.2342,     42.0800,     42.7886,     42.7886,     42.7896,     43.8961,     43.1170
     166,          2.750000,     37.6351,     37.2467,     36.8062,     36.4155,     34.5221,     33.3210,     32.5790,     37.9290,     37.9479,     37.9800,     38.2544,     38.4772,     38.5703,     38.5837,     38.6326,     38.9862,     39.1568,     39.4831,     40.1875,     40.4092,     40.6273,     40.8084,     40.9181,     40.9299,     40.9380,     41.0581,     41.0796,     41.1014,     41.1956,     41.3234,     41.7703,     42.2119,     42.5314,     43.1192,     43.4792,     43.9430,     44.1195,     44.2938,     44.4034,     44.8251,     45.1090,     45.3772,     45.9652,     46.2410,     46.4704,     47.1308,     50.2458,     41.2070,     41.2134,     42.0757,     42.7837,     42.7837,     42.7846,     43.8856,     43.1114
     167,          2.766667,     37.6139,     37.2261,     36.7838,     36.3915,     34.5113,     33.3141,     32.5790,     37.9090,     37.9278,     37.9596,     38.2330,     38.4551,     38.5473,     38.5605,     38.6090,     38.9647,     39.1325,     39.4665,     40.1730,     40.3926,     40.6088,     40.7879,     40.8971,     40.9088,     40.9168,     41.0367,     41.0580,     41.0798,     41.1747,     41.3050,     41.7558,     42.1965,     42.5147,     43.0995,     43.4578,     43.9203,     44.0966,     44.2709,     44.3807,     44.8108,     45.0916,     45.3520,     45.9407,     46.2145,     46.4430,     47.1029,     50.2104,     41.1861,     41.1927,     42.0714,     42.7787,     42.7787,     42.7795,     43.8754,     43.1058
     168,          2.783334,     37.5924,     37.2048,     36.7588,     36.3651,     34.4984,     33.3078,     32.5790,     37.8913,     37.9097,     37.9410,     38.2118,     38.4330,     38.5243,     38.5375,     38.5858,     38.9430,     39.1082,     39.4506,     40.1585,     40.3761,     40.5904,     40.7676,     40.8762,     40.8878,     40.8957,     41.0153,     41.0366,     41.0583,     41.1539,     41.2864,     41.7408,     42.1805,     42.4973,     43.0788,     43.4354,     43.8963,     44.0723,     44.2467,     44.3567,     44.7944,     45.0730,     45.3253,     45.9149,     46.1865,     46.4139,     47.0732,     50.1728,     41.1653,     41.1721,     42.0668,     42.7733,     42.7733,     42.7741,     43.8655,     43.1005
     169,          2.800000,     37.5726,     37.1842,     36.7333,     36.3416,     34.4777,     33.3003,     32.5790,     37.8733,     37.8916,     37.9226,     38.1910,     38.4113,     38.5015,     38.5145,     38.5624,     38.9204,     39.0828,     39.4337,     40.1458,     40.3601,     40.5721,     40.7473,     40.8553,     40.8667,     40.8746,     40.9940,     41.0152,     41.0368,     41.1330,     41.2676,     41.7253,     42.1637,     42.4790,     43.0572,     43.4120,     43.8714,     44.0473,     44.2218,     44.3322,     44.7744,     45.0528,     45.2969,     45.8878,     46.1569,     46.3831,     47.0421,     50.1335,     41.1445,     41.1515,     42.0619,     42.7678,     42.7678,     42.7685,     43.8558,     43.0952
     170,          2.816667,     37.5537,     37.1647,     36.7093,     36.3208,     34.4530,     33.2909,     32.5790,     37.8540,     37.8721,     37.9030,     38.1704,     38.3890,     38.4781,     38.4909,     38.5383,     38.8985,     39.0578,     39.4180,     40.1346,     40.3452,     40.5542,     40.7271,     40.8343,     40.8456,     40.8535,     40.9725,     40.9935,     41.0151,     41.1120,     41.2486,     41.7094,     42.1463,     42.4601,     43.0348,     43.3877,     43.8456,     44.0213,     44.1958,     44.3063,     44.7505,     45.0305,     45.2665,     45.8593,     46.1258,     46.3508,     47.0099,     50.0928,     41.1235,     41.1309,     42.0577,     42.7618,     42.7618,     42.7624,     43.8462,     43.0898
     171,          2.833333,     37.5358,     37.1464,     36.6871,     36.3026,     34.4269,     33.2802,     32.5790,     37.8326,     37.8508,     37.8816,     38.1486,     38.3664,     38.4548,     38.4675,     38.5147,     38.8785,     39.0350,     39.4040,     40.1225,     40.3300,     40.5363,     40.7070,     40.8133,     40.8246,     40.8323,     40.9510,     40.9719,     40.9933,     41.0909,     41.2295,     41.6932,     42.1284,     42.4405,     43.0114,     43.3622,     43.8182,     43.9933,     44.1675,     44.2782,     44.7240,     45.0066,     45.2345,     45.8298,     46.0935,     46.3175,     46.9769,     50.0511,     41.1026,     41.1103,     42.0541,     42.7553,     42.7553,     42.7559,     43.8369,     43.0846
     172,          2.850000,     37.5184,     37.1287,     36.6662,     36.2862,     34.4011,     33.2686,     32.5790,     37.8088,     37.8271,     37.8581,     38.1258,     38.3435,     38.4316,     38.4443,     38.4913,     38.8591,     39.0133,     39.3906,     40.1088,     40.3141,     40.5180,     40.6867,     40.7921,     40.8032,     40.8109,     40.9291,     40.9499,     40.9712,     41.0693,     41.2096,     41.6758,     42.1091,     42.4193,     42.9859,     43.3343,     43.7881,     43.9625,     44.1366,     44.2474,     44.6955,     44.9812,     45.2011,     45.7992,     46.0599,     46.2829,     46.9442,     50.0115,     41.0813,     41.0894,     42.0504,     42.7485,     42.7484,     42.7490,     43.8277,     43.0792
     173,          2.866667,     37.4972,     37.1090,     36.6463,     36.2710,     34.3763,     33.2571,     32.5790,     37.7882,     37.8062,     37.8368,     38.1030,     38.3207,     38.4085,     38.4211,     38.4682,     38.8398,     38.9922,     39.3770,     40.0933,     40.2973,     40.4994,     40.6659,     40.7705,     40.7814,     40.7891,     40.9068,     40.9274,     40.9486,     41.0472,     41.1891,     41.6572,     42.0883,     42.3963,     42.9583,     43.3041,     43.7556,     43.9295,     44.1037,     44.2150,     44.6668,     44.9552,     45.1672,     45.7681,     46.0260,     46.2486,     46.9134,     49.9737,     41.0595,     41.0681,     42.0465,     42.7413,     42.7414,     42.7418,     43.8187,     43.0739
     174,          2.883333,     37.4777,     37.0895,     36.6258,     36.2558,     34.3529,     33.2456,     32.5790,     37.7687,     37.7866,     37.8170,     38.0815,     38.2982,     38.3857,     38.3983,     38.4453,     38.8206,     38.9714,     39.3632,     40.0756,     40.2794,     40.4800,     40.6447,     40.7482,     40.7591,     40.7666,     40.8838,     40.9042,     40.9252,     41.0243,     41.1675,     41.6372,     42.0660,     42.3719,     42.9291,     43.2722,     43.7218,     43.8955,     44.0701,     44.1820,     44.6382,     44.9292,     45.1335,     45.7375,     45.9925,     46.2148,     46.8835,     49.9359,     41.0369,     41.0462,     42.0426,     42.7340,     42.7341,     42.7345,     43.8097,     43.0686
     175,          2.900000,     37.4592,     37.0710,     36.6060,     36.2404,     34.3307,     33.2348,     32.5790,     37.7490,     37.7668,     37.7972,     38.0610,     38.2765,     38.3635,     38.3760,     38.4229,     38.8017,     38.9513,     39.3492,     40.0545,     40.2599,     40.4596,     40.6226,     40.7252,     40.7359,     40.7434,     40.8600,     40.8801,     40.9010,     41.0006,     41.1451,     41.6165,     42.0429,     42.3465,     42.8989,     43.2396,     43.6874,     43.8609,     44.0360,     44.1486,     44.6096,     44.9034,     45.1004,     45.7074,     45.9595,     46.1813,     46.8538,     49.8976,     41.0136,     41.0235,     42.0385,     42.7264,     42.7264,     42.7268,     43.8011,     43.0634
     176,          2.916667,     37.4418,     37.0536,     36.5870,     36.2255,     34.3094,     33.2246,     32.5790,     37.7291,     37.7469,     37.7772,     38.0405,     38.2552,     38.3416,     38.3540,     38.4007,     38.7809,     38.9284,     39.3297,     40.0348,     40.2395,     40.4379,     40.5995,     40.7012,     40.7118,     40.7192,     40.8355,     40.8554,     40.8761,     40.9765,     41.1223,     41.5955,     42.0192,     42.3207,     42.8682,     43.2066,     43.6527,     43.8261,     44.0019,     44.1155,     44.5816,     44.8780,     45.0679,     45.6776,     45.9268,     46.1481,     46.8236,     49.8582,     40.9900,     41.0010,     42.0228,     42.7185,     42.7185,     42.7189,     43.7924,     43.0582
     177,          2.933333,     37.4248,     37.0368,     36.5688,     36.2106,     34.2888,     33.2149,     32.5790,     37.7080,     37.7258,     37.7561,     38.0187,     38.2335,     38.3186,     38.3308,     38.3770,     38.7554,     38.9012,     39.3141,     40.0171,     40.2200,     40.4161,     40.5758,     40.6764,     40.6869,     40.6942,     40.8101,     40.8299,     40.8504,     40.9516,     41.0992,     41.5744,     41.9956,     42.2950,     42.8373,     43.1734,     43.6180,     43.7914,     43.9679,     44.0825,     44.5539,     44.8531,     45.0360,     45.6482,     45.8941,     46.1148,     46.7933,     49.8200,     40.9656,     40.9774,     42.0099,     42.7104,     42.7104,     42.7108,     43.7839,     43.0531
     178,          2.950000,     37.4058,     37.0188,     36.5504,     36.1957,     34.2687,     33.2057,     32.5790,     37.6867,     37.7044,     37.7344,     37.9955,     38.2101,     38.2943,     38.3064,     38.3523,     38.7295,     38.8753,     39.2986,     39.9992,     40.2003,     40.3942,     40.5516,     40.6511,     40.6614,     40.6687,     40.7842,     40.8038,     40.8242,     40.9263,     41.0759,     41.5534,     41.9719,     42.2691,     42.8064,     43.1402,     43.5833,     43.7568,     43.9343,     44.0500,     44.5267,     44.8283,     45.0044,     45.6190,     45.8618,     46.0820,     46.7654,     49.7858,     40.9408,     40.9540,     41.9957,     42.7023,     42.7023,     42.7027,     43.7755,     43.0480
