"M11_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_001.tcf]","Time (h)","Q ds1 [M11_5m_001]","Q ds2 [M11_5m_001]","Q ds3 [M11_5m_001]","Q ds4 [M11_5m_001]","Q ds5 [M11_5m_001]","Q ds_weir [M11_5m_001]","Q FC01.01 [M11_5m_001]","Q FC01.02 [M11_5m_001]","Q FC01.03 [M11_5m_001]","Q FC01.04 [M11_5m_001]","Q FC01.05 [M11_5m_001]","Q FC01.06 [M11_5m_001]","Q FC01.07 [M11_5m_001]","Q FC01.08 [M11_5m_001]","Q FC01.09 [M11_5m_001]","Q FC01.12 [M11_5m_001]","Q FC01.13 [M11_5m_001]","Q FC01.14 [M11_5m_001]","Q FC01.15 [M11_5m_001]","Q FC01.16 [M11_5m_001]","Q FC01.17 [M11_5m_001]","Q FC01.18 [M11_5m_001]","Q FC01.19 [M11_5m_001]","Q FC01.1_R [M11_5m_001]","Q FC01.20 [M11_5m_001]","Q FC01.21 [M11_5m_001]","Q FC01.22 [M11_5m_001]","Q FC01.23 [M11_5m_001]","Q FC01.24 [M11_5m_001]","Q FC01.25 [M11_5m_001]","Q FC01.26 [M11_5m_001]","Q FC01.27 [M11_5m_001]","Q FC01.28A [M11_5m_001]","Q FC01.28B [M11_5m_001]","Q FC01.29 [M11_5m_001]","Q FC01.2_R [M11_5m_001]","Q FC01.30 [M11_5m_001]","Q FC01.31 [M11_5m_001]","Q FC01.32 [M11_5m_001]","Q FC01.33 [M11_5m_001]","Q FC01.34 [M11_5m_001]","Q FC01.36 [M11_5m_001]","Q FC01.37 [M11_5m_001]","Q FC01.38 [M11_5m_001]","Q FC01.39 [M11_5m_001]","Q FC01.40 [M11_5m_001]","Q FC02.01 [M11_5m_001]","Q FC02.02 [M11_5m_001]","Q FC02.03 [M11_5m_001]","Q FC02.04 [M11_5m_001]","Q FC02.05 [M11_5m_001]","Q FC02.06 [M11_5m_001]","Q FC04.1_C [M11_5m_001]","Q FC_weir1 [M11_5m_001]"
     114,          1.883333,          54.059,          73.488,          74.176,          74.865,          75.808,          76.423,          53.276,          57.469,          60.048,          64.318,          64.231,          64.055,          63.972,          63.919,          61.464,          47.637,          29.526,          31.669,          33.840,          26.575,          22.149,          31.231,          36.208,          26.956,          30.092,          33.092,          31.964,          30.174,          24.500,          24.397,          24.273,          24.197,          24.124,          23.839,          23.443,          70.555,          29.611,          29.687,          29.409,           6.491,          27.319,          25.223,          23.503,          21.968,          20.153,          19.608,           8.646,           2.532,           1.962,           1.888,           1.885,           1.888,           6.677,          21.885
     115,          1.900000,          53.877,          72.866,          73.479,          74.100,          75.151,          75.882,          53.209,          57.372,          59.943,          64.120,          64.081,          64.113,          64.432,          64.618,          62.744,          48.684,          30.918,          32.569,          34.239,          26.718,          22.130,          30.868,          35.614,          24.922,          29.836,          32.575,          31.571,          29.769,          24.027,          23.919,          23.785,          23.701,          23.616,          23.327,          22.924,          72.741,          27.909,          27.824,          27.515,           6.093,          25.256,          23.828,          22.587,          21.436,          19.977,          19.459,           8.535,           2.486,           1.905,           1.827,           1.840,           1.852,           6.571,          20.293
     116,          1.916667,          53.994,          72.603,          72.942,          73.412,          74.445,          75.257,          53.524,          57.752,          60.373,          64.586,          64.575,          64.538,          64.517,          64.497,          62.066,          48.266,          31.084,          33.639,          34.875,          27.001,          22.211,          30.564,          34.949,          23.378,          29.526,          31.991,          31.115,          29.315,          23.475,          23.360,          23.216,          23.126,          23.032,          22.751,          22.373,          71.493,          26.207,          26.050,          25.760,           5.794,          23.667,          22.596,          21.658,          20.776,          19.619,          19.188,           8.436,           2.429,           1.837,           1.764,           1.789,           1.815,           6.466,          18.908
     117,          1.933333,          53.899,          72.417,          72.677,          72.933,          73.792,          74.613,          53.473,          57.670,          60.275,          64.407,          64.313,          64.118,          63.992,          63.902,          61.326,          46.965,          31.445,          34.225,          35.064,          27.136,          21.919,          30.170,          34.262,          22.198,          29.233,          31.440,          30.672,          28.871,          22.890,          22.766,          22.614,          22.519,          22.425,          22.172,          21.828,          70.061,          24.723,          24.505,          24.248,           5.593,          22.436,          21.613,          20.874,          20.176,          19.253,          18.907,           8.367,           2.371,           1.770,           1.699,           1.738,           1.784,           6.362,          17.733
     118,          1.950000,          53.724,          72.073,          72.381,          72.606,          73.255,          73.993,          53.231,          57.353,          59.906,          63.917,          63.778,          63.511,          63.330,          63.200,          60.594,          45.984,          31.594,          34.463,          34.927,          27.088,          21.699,          29.573,          33.374,          21.275,          28.801,          30.723,          30.097,          28.337,          22.301,          22.175,          22.027,          21.938,          21.855,          21.636,          21.348,          68.731,          23.458,          23.230,          23.010,           5.465,          21.469,          20.821,          20.226,          19.672,          18.933,          18.648,           8.229,           2.285,           1.699,           1.634,           1.688,           1.753,           6.259,          16.756
     119,          1.966667,          53.485,          71.591,          71.995,          72.277,          72.824,          73.449,          52.888,          56.896,          59.380,          63.248,          63.066,          62.718,          62.479,          62.305,          59.704,          47.755,          32.495,          34.967,          34.686,          26.994,          21.474,          29.015,          32.538,          20.553,          28.414,          30.052,          29.567,          27.850,          21.767,          21.646,          21.510,          21.430,          21.357,          21.171,          20.931,          67.078,          22.389,          22.175,          21.991,           5.388,          20.711,          20.186,          19.708,          19.251,          18.636,          18.394,           8.095,           2.203,           1.637,           1.577,           1.647,           1.723,           6.158,          15.944
     120,          1.983333,          53.164,          70.964,          71.494,          71.884,          72.434,          72.987,          52.463,          56.326,          58.726,          62.397,          62.173,          61.775,          61.479,          61.273,          58.730,          45.675,          33.238,          35.257,          34.681,          27.078,          21.382,          28.606,          31.796,          19.957,          28.110,          29.447,          29.074,          27.417,          21.307,          21.198,          21.068,          20.999,          20.936,          20.779,          20.563,          65.241,          21.508,          21.315,          21.160,           5.341,          20.089,          19.659,          19.260,          18.877,          18.356,          18.142,           7.971,           2.134,           1.587,           1.526,           1.605,           1.695,           6.057,          15.263
     121,          2.000000,          52.812,          69.820,          70.741,          71.353,          72.023,          72.570,          51.963,          55.656,          57.959,          61.376,          61.104,          60.651,          60.312,          60.069,          57.611,          44.899,          33.678,          35.688,          34.649,          27.155,          21.293,          28.212,          31.063,          19.459,          27.830,          28.912,          28.620,          27.029,          20.897,          20.784,          20.665,          20.597,          20.538,          20.399,          20.205,          63.154,          20.790,          20.617,          20.482,           5.315,          19.570,          19.205,          18.867,          18.539,          18.084,          17.889,           7.817,           2.035,           1.510,           1.460,           1.555,           1.663,           5.957,          14.690
     122,          2.016667,          52.288,          68.654,          69.659,          70.531,          71.486,          72.110,          51.429,          54.913,          57.096,          60.205,          59.887,          59.362,          58.967,          58.685,          56.378,          43.183,          34.569,          35.996,          34.511,          27.221,          21.223,          27.817,          30.365,          19.024,          27.520,          28.361,          28.142,          26.635,          20.511,          20.404,          20.292,          20.231,          20.180,          20.058,          19.886,          60.828,          20.176,          20.024,          19.908,           5.302,          19.119,          18.802,          18.503,          18.204,          17.770,          17.549,           7.659,           1.945,           1.445,           1.400,           1.500,           1.619,           5.858,          14.193
     123,          2.033334,          51.490,          67.234,          68.439,          69.490,          70.770,          71.554,          50.720,          54.023,          56.085,          58.875,          58.506,          57.915,          57.460,          57.148,          54.996,          41.502,          35.172,          36.051,          34.276,          27.281,          21.198,          27.485,          29.708,          18.627,          27.224,          27.839,          27.692,          26.270,          20.165,          20.067,          19.963,          19.906,          19.859,          19.747,          19.583,          58.329,          19.659,          19.522,          19.417,           5.298,          18.715,          18.413,          18.114,          17.816,          17.377,          17.140,           7.507,           1.854,           1.388,           1.350,           1.455,           1.575,           5.759,          13.750
     124,          2.050000,          50.619,          65.612,          66.998,          68.234,          69.846,          70.850,          49.929,          53.022,          54.938,          57.363,          56.943,          56.273,          55.750,          55.389,          53.426,          39.512,          35.415,          35.787,          33.886,          27.315,          21.136,          27.144,          29.077,          18.228,          26.945,          27.351,          27.253,          25.917,          19.845,          19.749,          19.650,          19.596,          19.551,          19.440,          19.276,          55.508,          19.210,          19.074,          18.975,           5.292,          18.315,          18.008,          17.711,          17.408,          16.957,          16.714,           7.354,           1.792,           1.344,           1.309,           1.411,           1.532,           5.660,          13.337
     125,          2.066667,          49.684,          63.788,          65.347,          66.766,          68.705,          69.959,          49.038,          51.874,          53.630,          55.649,          55.164,          54.390,          53.784,          53.359,          51.583,          37.465,          35.182,          35.220,          33.339,          27.300,          21.076,          26.800,          28.462,          17.821,          26.627,          26.856,          26.807,          25.564,          19.520,          19.432,          19.337,          19.284,          19.238,          19.127,          18.953,          52.378,          18.794,          18.656,          18.558,           5.288,          17.907,          17.599,          17.301,          16.989,          16.530,          16.284,           7.215,           1.734,           1.312,           1.316,           1.394,           1.501,           5.561,          12.928
     126,          2.083333,          48.725,          61.782,          63.500,          65.106,          67.372,          68.879,          48.023,          50.559,          52.114,          53.696,          53.132,          52.241,          51.539,          51.054,          49.474,          35.143,          34.407,          34.369,          32.676,          27.257,          21.018,          26.493,          27.910,          17.410,          26.344,          26.430,          26.415,          25.266,          19.183,          19.098,          19.005,          18.949,          18.900,          18.784,          18.600,          49.013,          18.403,          18.260,          18.159,           5.288,          17.503,          17.188,          16.887,          16.565,          16.105,          15.855,           7.152,           1.763,           1.371,           1.381,           1.429,           1.479,           5.463,          12.518
     127,          2.100000,          47.714,          59.576,          61.441,          63.231,          65.826,          67.593,          46.857,          49.029,          50.345,          51.471,          50.820,          49.795,          48.997,          48.447,          47.011,          33.003,          33.171,          33.196,          31.871,          27.181,          20.977,          26.214,          27.399,          16.986,          26.066,          26.019,          26.022,          24.951,          18.819,          18.737,          18.643,          18.585,          18.534,          18.414,          18.221,          45.517,          18.010,          17.858,          17.752,           5.296,          17.075,          16.777,          16.467,          16.139,          15.643,          15.365,           7.098,           1.788,           1.413,           1.416,           1.431,           1.443,           5.365,          12.090
     128,          2.116667,          46.782,          57.257,          59.194,          61.144,          64.077,          66.107,          45.549,          47.311,          48.353,          49.025,          48.317,          47.213,          46.352,          45.755,          44.425,          30.980,          31.908,          31.833,          30.927,          27.021,          20.913,          25.903,          26.875,          16.551,          25.740,          25.572,          25.588,          24.594,          18.442,          18.360,          18.265,          18.204,          18.152,          18.029,          17.828,          42.058,          17.608,          17.453,          17.344,           5.319,          16.643,          16.333,          16.008,          15.663,          15.140,          14.847,           7.021,           1.786,           1.421,           1.421,           1.410,           1.403,           5.265,          11.643
     129,          2.133333,          45.424,          54.895,          56.883,          58.912,          62.129,          64.418,          44.102,          45.475,          46.219,          46.460,          45.697,          44.520,          43.601,          42.966,          41.638,          29.310,          30.684,          30.528,          29.888,          26.736,          20.800,          25.536,          26.314,          16.091,          25.351,          25.084,          25.105,          24.190,          18.050,          17.968,          17.873,          17.811,          17.757,          17.629,          17.417,          38.862,          17.191,          17.031,          16.917,           5.355,          16.188,          15.868,          15.529,          15.168,          14.622,          14.323,           6.916,           1.759,           1.407,           1.404,           1.384,           1.357,           5.165,          11.160
     130,          2.150000,          43.706,          51.210,          53.967,          56.472,          60.015,          62.546,          42.408,          43.458,          43.914,          43.801,          42.975,          41.710,          40.735,          40.063,          38.674,          28.010,          29.589,          29.350,          28.863,          26.305,          20.633,          25.109,          25.718,          15.613,          24.909,          24.561,          24.589,          23.752,          17.642,          17.561,          17.463,          17.399,          17.342,          17.215,          16.995,          36.106,          16.759,          16.590,          16.469,           5.406,          15.712,          15.385,          15.037,          14.664,          14.100,          13.796,           6.795,           1.719,           1.380,           1.375,           1.346,           1.310,           5.064,          10.642
     131,          2.166667,          41.726,          47.826,          50.629,          53.544,          57.644,          60.476,          40.396,          41.179,          41.385,          41.043,          40.233,          38.997,          38.028,          37.354,          35.972,          27.012,          28.570,          28.268,          27.881,          25.798,          20.421,          24.630,          25.089,          15.121,          24.415,          24.012,          24.139,          23.279,          17.215,          17.134,          17.034,          16.968,          16.909,          16.777,          16.556,          33.747,          16.310,          16.132,          16.006,           5.478,          15.225,          14.892,          14.539,          14.157,          13.577,          13.268,           6.700,           1.671,           1.345,           1.339,           1.304,           1.261,           4.963,          10.085
     132,          2.183333,          39.892,          44.561,          47.224,          50.362,          54.968,          58.160,          38.358,          38.856,          38.837,          38.390,          37.600,          36.395,          35.460,          34.807,          33.451,          26.287,          27.607,          27.278,          26.955,          25.243,          20.182,          24.136,          24.466,          14.631,          23.898,          23.450,          23.578,          22.793,          16.773,          16.694,          16.594,          16.527,          16.466,          16.330,          16.103,          31.549,          15.845,          15.662,          15.531,           5.580,          14.738,          14.388,          14.036,          13.654,          13.101,          12.854,           6.579,           1.619,           1.308,           1.303,           1.276,           1.236,           4.861,           9.495
     133,          2.200000,          37.798,          41.593,          43.963,          47.062,          52.042,          55.580,          36.370,          36.648,          36.464,          35.971,          35.214,          34.124,          33.322,          32.757,          31.614,          25.369,          26.694,          26.378,          26.101,          24.664,          19.916,          23.621,          23.842,          14.149,          23.365,          22.882,          23.015,          22.298,          16.322,          16.242,          16.141,          16.070,          16.007,          15.866,          15.628,          30.311,          15.368,          15.184,          15.051,           5.710,          14.253,          13.926,          13.609,          13.267,          12.800,          12.616,           6.460,           1.576,           1.279,           1.275,           1.250,           1.215,           4.759,           8.871
     134,          2.216667,          35.871,          38.853,          40.993,          43.898,          48.990,          52.779,          34.517,          34.634,          34.388,          33.934,          33.270,          32.303,          31.513,          30.940,          29.671,          25.418,          25.806,          25.534,          25.288,          24.076,          19.635,          23.092,          23.216,          13.728,          22.814,          22.313,          22.438,          21.785,          15.850,          15.771,          15.667,          15.594,          15.528,          15.389,          15.159,          28.345,          14.899,          14.713,          14.582,           5.873,          13.815,          13.565,          13.265,          12.984,          12.581,          12.428,           6.346,           1.544,           1.255,           1.251,           1.224,           1.196,           4.657,           8.248
     135,          2.233333,          34.080,          36.420,          38.326,          40.975,          45.958,          49.853,          32.775,          32.697,          32.415,          31.984,          31.261,          30.269,          29.515,          28.984,          27.914,          24.579,          25.045,          24.744,          24.521,          23.479,          19.333,          22.546,          22.593,          13.382,          22.255,          21.740,          21.859,          21.267,          15.376,          15.297,          15.194,          15.123,          15.060,          14.929,          14.708,          27.045,          14.459,          14.279,          14.154,           6.057,          13.459,          13.217,          12.975,          12.739,          12.391,          12.254,           6.233,           1.512,           1.234,           1.230,           1.207,           1.180,           4.556,           7.666
     136,          2.250000,          32.384,          34.253,          35.965,          38.339,          43.060,          46.916,          31.168,          30.923,          30.641,          30.237,          29.595,          28.731,          28.083,          27.620,          26.671,          23.973,          24.264,          23.995,          23.790,          22.895,          19.024,          22.000,          21.990,          13.063,          21.694,          21.175,          21.287,          20.758,          14.922,          14.845,          14.746,          14.678,          14.616,          14.492,          14.281,          25.958,          14.054,          13.892,          13.777,           6.240,          13.135,          12.925,          12.734,          12.513,          12.210,          12.085,           6.113,           1.480,           1.214,           1.212,           1.189,           1.162,           4.434,           7.137
     137,          2.266667,          30.755,          32.229,          33.836,          35.978,          40.357,          44.051,          29.694,          29.330,          29.081,          28.741,          28.162,          27.391,          26.816,          26.405,          25.557,          23.423,          23.538,          23.281,          23.087,          22.317,          18.707,          21.453,          21.384,          12.788,          21.135,          20.614,          20.719,          20.240,          14.486,          14.412,          14.316,          14.251,          14.192,          14.079,          13.893,          24.950,          13.685,          13.537,          13.432,           6.407,          12.850,          12.673,          12.501,          12.298,          12.011,          11.872,           5.978,           1.449,           1.195,           1.193,           1.169,           1.139,           4.311,           6.659
     138,          2.283334,          29.299,          30.450,          31.882,          33.863,          37.900,          41.366,          28.341,          27.969,          27.747,          27.434,          26.916,          26.228,          25.709,          25.338,          24.567,          22.867,          22.843,          22.606,          22.423,          21.761,          18.383,          20.915,          20.806,          12.543,          20.589,          20.078,          20.177,          19.749,          14.082,          14.011,          13.923,          13.863,          13.810,          13.711,          13.545,          24.033,          13.356,          13.220,          13.124,           6.550,          12.602,          12.429,          12.262,          12.065,          11.774,          11.623,           5.841,           1.417,           1.177,           1.174,           1.147,           1.114,           4.190,           6.243
     139,          2.300000,          27.994,          28.926,          30.188,          31.969,          35.670,          38.874,          27.110,          26.750,          26.553,          26.277,          25.806,          25.183,          24.711,          24.370,          23.664,          22.321,          22.181,          21.954,          21.779,          21.217,          18.070,          20.397,          20.267,          12.302,          20.067,          19.572,          19.664,          19.282,          13.720,          13.652,          13.571,          13.518,          13.469,          13.380,          13.230,          23.203,          13.057,          12.933,          12.845,           6.667,          12.353,          12.214,          12.009,          11.821,          11.520,          11.365,           5.697,           1.384,           1.158,           1.155,           1.126,           1.092,           4.071,           5.867
     140,          2.316667,          26.862,          27.629,          28.729,          30.301,          33.659,          36.592,          26.013,          25.666,          25.482,          25.229,          24.805,          24.242,          23.812,          23.503,          22.852,          21.774,          21.548,          21.336,          21.173,          20.690,          17.760,          19.895,          19.756,          12.058,          19.573,          19.096,          19.183,          18.843,          13.390,          13.326,          13.249,          13.198,          13.152,          13.069,          12.929,          22.445,          12.771,          12.657,          12.575,           6.761,          12.111,          11.948,          11.763,          11.570,          11.261,          11.104,           5.554,           1.351,           1.138,           1.135,           1.106,           1.067,           3.952,           5.519
     141,          2.333333,          25.786,          26.459,          27.451,          28.852,          31.721,          34.494,          25.021,          24.695,          24.527,          24.295,          23.907,          23.388,          22.992,          22.708,          22.111,          21.231,          20.970,          20.757,          20.600,          20.184,          17.446,          19.425,          19.280,          11.808,          19.109,          18.651,          18.730,          18.429,          13.083,          13.022,          12.948,          12.899,          12.855,          12.777,          12.649,          21.754,          12.498,          12.389,          12.310,           6.836,          11.864,          11.688,          11.513,          11.313,          11.004,          10.845,           5.416,           1.320,           1.119,           1.116,           1.083,           1.044,           3.835,           5.191
     142,          2.350000,          24.804,          25.404,          26.293,          27.383,          29.972,          32.525,          24.109,          23.813,          23.662,          23.452,          23.096,          22.621,          22.262,          22.001,          21.451,          20.694,          20.411,          20.208,          20.058,          19.697,          17.138,          18.958,          18.819,          11.559,          18.662,          18.235,          18.291,          18.024,          12.791,          12.731,          12.662,          12.615,          12.574,          12.500,          12.380,          21.128,          12.234,          12.128,          12.051,           6.900,          11.613,          11.458,          11.259,          11.065,          10.777,          10.646,           5.277,           1.290,           1.101,           1.099,           1.066,           1.029,           3.718,           4.875
     143,          2.366667,          23.909,          24.446,          25.239,          26.152,          28.434,          30.735,          23.283,          23.012,          22.874,          22.686,          22.364,          21.924,          21.590,          21.349,          20.837,          20.169,          19.876,          19.686,          19.545,          19.232,          16.838,          18.509,          18.373,          11.310,          18.227,          17.885,          17.879,          17.629,          12.511,          12.456,          12.388,          12.344,          12.304,          12.233,          12.117,          20.530,          11.976,          11.870,          11.793,           6.950,          11.359,          11.232,          11.044,          10.868,          10.596,          10.482,           5.139,           1.266,           1.085,           1.083,           1.052,           1.014,           3.602,           4.568
     144,          2.383333,          23.091,          23.571,          24.251,          25.082,          27.097,          29.141,          22.523,          22.276,          22.150,          21.978,          21.678,          21.271,          20.957,          20.732,          20.249,          19.657,          19.369,          19.185,          19.051,          18.776,          16.552,          18.091,          17.960,          11.082,          17.813,          17.452,          17.465,          17.259,          12.246,          12.189,          12.123,          12.078,          12.038,          11.966,          11.851,          19.962,          11.717,          11.618,          11.545,           6.999,          11.131,          10.990,          10.853,          10.683,          10.436,          10.328,           5.009,           1.241,           1.071,           1.068,           1.036,           0.999,           3.486,           4.281
     145,          2.400000,          22.342,          22.772,          23.381,          24.133,          25.930,          27.735,          21.829,          21.597,          21.481,          21.321,          21.042,          20.662,          20.373,          20.159,          19.698,          19.154,          18.882,          18.708,          18.582,          18.339,          16.263,          17.676,          17.548,          10.888,          17.404,          17.057,          17.063,          16.882,          11.980,          11.924,          11.860,          11.816,          11.776,          11.706,          11.599,          19.412,          11.472,          11.380,          11.313,           7.050,          10.939,          10.788,          10.671,          10.501,          10.282,          10.177,           4.881,           1.220,           1.057,           1.054,           1.022,           0.985,           3.372,           4.024
     146,          2.416667,          21.689,          22.067,          22.606,          23.289,          24.903,          26.497,          21.190,          20.969,          20.860,          20.712,          20.448,          20.084,          19.803,          19.599,          19.159,          18.678,          18.420,          18.255,          18.133,          17.910,          15.977,          17.271,          17.147,          10.690,          17.004,          16.673,          16.671,          16.509,          11.722,          11.668,          11.606,          11.565,          11.528,          11.464,          11.366,          18.902,          11.246,          11.157,          11.090,           7.087,          10.733,          10.619,          10.498,          10.350,          10.129,          10.028,           4.751,           1.197,           1.043,           1.040,           1.008,           0.970,           3.259,           3.779
     147,          2.433333,          21.071,          21.423,          21.917,          22.535,          23.994,          25.405,          20.591,          20.380,          20.275,          20.135,          19.883,          19.542,          19.278,          19.082,          18.665,          18.225,          17.992,          17.820,          17.702,          17.497,          15.695,          16.874,          16.753,          10.507,          16.616,          16.300,          16.290,          16.149,          11.481,          11.429,          11.370,          11.331,          11.295,          11.234,          11.142,          18.428,          11.027,          10.942,          10.880,           7.121,          10.549,          10.440,          10.324,          10.183,           9.966,           9.849,           4.617,           1.174,           1.029,           1.027,           0.990,           0.948,           3.146,           3.553
     148,          2.450000,          20.476,          20.808,          21.275,          21.853,          23.181,          24.438,          20.020,          19.817,          19.719,          19.585,          19.352,          19.032,          18.784,          18.600,          18.203,          17.791,          17.574,          17.407,          17.291,          17.096,          15.422,          16.495,          16.378,          10.338,          16.244,          15.941,          15.924,          15.803,          11.253,          11.202,          11.146,          11.109,          11.075,          11.016,          10.930,          17.977,          10.819,          10.737,          10.677,           7.148,          10.373,          10.282,          10.128,           9.994,           9.758,           9.622,           4.486,           1.153,           1.015,           1.013,           0.973,           0.926,           3.035,           3.342
     149,          2.466667,          19.919,          20.231,          20.671,          21.229,          22.450,          23.577,          19.486,          19.295,          19.201,          19.073,          18.854,          18.549,          18.313,          18.139,          17.761,          17.376,          17.167,          17.005,          16.894,          16.713,          15.158,          16.133,          16.017,          10.139,          15.884,          15.595,          15.574,          15.471,          11.034,          10.984,          10.929,          10.892,          10.858,          10.800,          10.713,          17.548,          10.614,          10.538,          10.480,           7.166,          10.181,          10.065,           9.943,           9.783,           9.524,           9.379,           4.358,           1.134,           1.002,           0.999,           0.955,           0.904,           2.925,           3.138
     150,          2.483333,          19.401,          19.690,          20.104,          20.644,          21.782,          22.798,          18.991,          18.808,          18.717,          18.594,          18.386,          18.094,          17.867,          17.698,          17.339,          16.971,          16.771,          16.618,          16.508,          16.336,          14.896,          15.779,          15.665,           9.938,          15.534,          15.255,          15.226,          15.140,          10.818,          10.770,          10.716,          10.680,          10.646,          10.590,          10.506,          17.133,          10.406,          10.331,          10.272,           7.173,           9.984,           9.856,           9.726,           9.555,           9.283,           9.132,           4.230,           1.115,           0.988,           0.986,           0.939,           0.882,           2.816,           2.932
     151,          2.500000,          18.914,          19.187,          19.572,          20.094,          21.160,          22.087,          18.522,          18.341,          18.254,          18.136,          17.936,          17.655,          17.439,          17.276,          16.927,          16.573,          16.387,          16.234,          16.127,          15.957,          14.635,          15.425,          15.314,           9.719,          15.184,          14.915,          14.877,          14.800,          10.607,          10.558,          10.504,          10.468,          10.434,          10.378,          10.298,          16.727,          10.197,          10.119,          10.059,           7.172,           9.768,           9.640,           9.506,           9.320,           9.036,           8.881,           4.092,           1.086,           0.962,           0.957,           0.910,           0.855,           2.707,           2.724
     152,          2.516667,          18.456,          18.686,          19.070,          19.576,          20.588,          21.444,          18.075,          17.901,          17.816,          17.703,          17.509,          17.238,          17.027,          16.870,          16.527,          16.191,          16.010,          15.859,          15.753,          15.584,          14.373,          15.076,          14.964,           9.500,          14.835,          14.574,          14.529,          14.453,          10.396,          10.347,          10.294,          10.257,          10.224,          10.166,          10.086,          16.336,           9.984,           9.904,           9.843,           7.163,           9.550,           9.419,           9.271,           9.084,           8.787,           8.627,           3.956,           1.054,           0.933,           0.929,           0.883,           0.828,           2.602,           2.517
     153,          2.533334,          18.011,          18.225,          18.585,          19.083,          20.044,          20.844,          17.640,          17.471,          17.389,          17.280,          17.097,          16.831,          16.627,          16.472,          16.134,          15.811,          15.639,          15.490,          15.389,          15.222,          14.105,          14.731,          14.619,           9.261,          14.491,          14.239,          14.185,          14.108,          10.184,          10.135,          10.082,          10.046,          10.012,           9.954,           9.873,          15.945,           9.769,           9.686,           9.624,           7.147,           9.315,           9.180,           9.041,           8.841,           8.533,           8.368,           3.824,           1.025,           0.907,           0.902,           0.857,           0.803,           2.499,           2.308
     154,          2.550000,          17.585,          17.790,          18.130,          18.624,          19.533,          20.283,          17.221,          17.056,          16.977,          16.872,          16.694,          16.433,          16.232,          16.083,          15.755,          15.444,          15.284,          15.130,          15.029,          14.866,          13.835,          14.391,          14.279,           9.017,          14.152,          13.905,          13.843,          13.767,           9.970,           9.921,           9.866,           9.826,           9.790,           9.726,           9.639,          15.574,           9.535,           9.454,           9.388,           7.121,           9.070,           8.938,           8.794,           8.596,           8.275,           8.107,           3.696,           0.997,           0.881,           0.877,           0.831,           0.778,           2.399,           2.090
     155,          2.566667,          17.139,          17.363,          17.701,          18.190,          19.057,          19.760,          16.823,          16.659,          16.582,          16.480,          16.307,          16.057,          15.863,          15.716,          15.398,          15.101,          14.937,          14.778,          14.676,          14.516,          13.563,          14.053,          13.940,           8.777,          13.807,          13.567,          13.494,          13.417,           9.741,           9.692,           9.634,           9.592,           9.554,           9.490,           9.403,          15.226,           9.298,           9.215,           9.149,           7.093,           8.833,           8.684,           8.544,           8.338,           8.017,           7.846,           3.573,           0.972,           0.856,           0.852,           0.807,           0.753,           2.301,           1.878
     156,          2.583333,          16.710,          16.911,          17.256,          17.771,          18.609,          19.271,          16.424,          16.273,          16.201,          16.106,          15.939,          15.693,          15.504,          15.359,          15.048,          14.751,          14.590,          14.429,          14.325,          14.163,          13.283,          13.714,          13.597,           8.523,          13.465,          13.228,          13.145,          13.066,           9.509,           9.459,           9.399,           9.358,           9.320,           9.254,           9.170,          14.874,           9.065,           8.979,           8.911,           7.059,           8.583,           8.440,           8.302,           8.087,           7.758,           7.590,           3.453,           0.946,           0.831,           0.827,           0.782,           0.729,           2.207,           1.671
     157,          2.600000,          16.325,          16.513,          16.834,          17.361,          18.183,          18.809,          16.045,          15.895,          15.825,          15.732,          15.568,          15.330,          15.143,          15.000,          14.689,          14.391,          14.233,          14.072,          13.966,          13.803,          12.992,          13.370,          13.251,           8.269,          13.116,          12.884,          12.794,          12.713,           9.274,           9.224,           9.164,           9.123,           9.084,           9.017,           8.931,          14.515,           8.824,           8.734,           8.663,           7.013,           8.328,           8.192,           8.046,           7.838,           7.528,           7.386,           3.335,           0.922,           0.807,           0.803,           0.763,           0.715,           2.117,           1.465
     158,          2.616667,          15.951,          16.132,          16.444,          16.974,          17.781,          18.374,          15.672,          15.523,          15.455,          15.363,          15.201,          14.966,          14.778,          14.636,          14.326,          14.029,          13.878,          13.713,          13.608,          13.448,          12.700,          13.029,          12.909,           8.043,          12.771,          12.542,          12.443,          12.362,           9.035,           8.985,           8.925,           8.882,           8.842,           8.772,           8.683,          14.152,           8.576,           8.485,           8.414,           6.963,           8.092,           7.968,           7.793,           7.625,           7.341,           7.217,           3.222,           0.898,           0.785,           0.782,           0.743,           0.697,           2.030,           1.267
     159,          2.633333,          15.589,          15.766,          16.073,          16.605,          17.395,          17.962,          15.304,          15.156,          15.086,          14.993,          14.833,          14.599,          14.412,          14.269,          13.961,          13.663,          13.519,          13.350,          13.238,          13.069,          12.474,          12.689,          12.561,           7.804,          12.411,          12.196,          12.094,          12.014,           8.792,           8.741,           8.679,           8.634,           8.594,           8.524,           8.436,          13.790,           8.334,           8.247,           8.178,           6.913,           7.857,           7.741,           7.608,           7.436,           7.175,           7.061,           3.117,           0.876,           0.764,           0.761,           0.725,           0.682,           1.948,           1.086
