"EG05_017 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf]","Time (h)","GWh2 Loc1_P [EG05_017]","GWh2 Loc8_P [EG05_017]","GWh2 Loc10_P [EG05_017]"
          41,        0.666667,         38.7355,         35.8981,         42.1825
          42,        0.683333,         38.7362,         35.8988,         42.1832
          43,        0.700000,         38.7369,         35.8994,         42.1839
          44,        0.716667,         38.7375,         35.9001,         42.1845
          45,        0.733333,         38.7382,         35.9008,         42.1852
          46,        0.750000,         38.7389,         35.9014,         42.1859
          47,        0.766667,         38.7395,         35.9021,         42.1865
          48,        0.783333,         38.7402,         35.9028,         42.1872
          49,        0.800000,         38.7409,         35.9034,         42.1879
          50,        0.816667,         38.7415,         35.9041,         42.1885
          51,        0.833333,         38.7422,         35.9048,         42.1892
          52,        0.850000,         38.7429,         35.9055,         42.1899
          53,        0.866667,         38.7435,         35.9061,         42.1905
          54,        0.883333,         38.7442,         35.9068,         42.1912
          55,        0.900000,         38.7449,         35.9075,         42.1919
          56,        0.916667,         38.7455,         35.9081,         42.1926
          57,        0.933333,         38.7462,         35.9088,         42.1932
          58,        0.950000,         38.7469,         35.9095,         42.1939
          59,        0.966667,         38.7475,         35.9102,         42.1946
          60,        0.983333,         38.7482,         35.9108,         42.1952
          61,        1.000000,         38.7489,         35.9115,         42.1959
          62,        1.016667,         38.7495,         35.9122,         42.1966
          63,        1.033333,         38.7502,         35.9128,         42.1972
          64,        1.050000,         38.7509,         35.9135,         42.1979
          65,        1.066667,         38.7515,         35.9142,         42.1986
          66,        1.083333,         38.7522,         35.9148,         42.1992
          67,        1.100000,         38.7529,         35.9155,         42.1999
          68,        1.116667,         38.7535,         35.9162,         42.2006
          69,        1.133333,         38.7542,         35.9169,         42.2012
          70,        1.150000,         38.7549,         35.9175,         42.2019
          71,        1.166667,         38.7555,         35.9182,         42.2026
          72,        1.183333,         38.7562,         35.9189,         42.2032
          73,        1.200000,         38.7569,         35.9196,         42.2039
          74,        1.216667,         38.7575,         35.9202,         42.2046
          75,        1.233333,         38.7582,         35.9209,         42.2052
          76,        1.250000,         38.7589,         35.9216,         42.2059
          77,        1.266667,         38.7596,         35.9222,         42.2066
          78,        1.283333,         38.7602,         35.9229,         42.2072
          79,        1.300000,         38.7609,         35.9236,         42.2079
          80,        1.316667,         38.7616,         35.9243,         42.2086
          81,        1.333333,         38.7622,         35.9249,         42.2093
          82,        1.350000,         38.7629,         35.9256,         42.2099
          83,        1.366667,         38.7636,         35.9263,         42.2106
          84,        1.383333,         38.7642,         35.9269,         42.2113
          85,        1.400000,         38.7649,         35.9276,         42.2119
          86,        1.416667,         38.7656,         35.9283,         42.2126
          87,        1.433333,         38.7662,         35.9290,         42.2133
          88,        1.450000,         38.7669,         35.9296,         42.2139
          89,        1.466667,         38.7676,         35.9303,         42.2146
          90,        1.483333,         38.7682,         35.9310,         42.2153
          91,        1.500000,         38.7689,         35.9317,         42.2159
          92,        1.516667,         38.7696,         35.9323,         42.2166
          93,        1.533333,         38.7702,         35.9330,         42.2173
          94,        1.550000,         38.7709,         35.9337,         42.2179
          95,        1.566667,         38.7716,         35.9343,         42.2186
          96,        1.583333,         38.7722,         35.9350,         42.2193
          97,        1.600000,         38.7729,         35.9357,         42.2199
          98,        1.616667,         38.7736,         35.9364,         42.2206
          99,        1.633333,         38.7742,         35.9370,         42.2213
         100,        1.650000,         38.7749,         35.9377,         42.2220
         101,        1.666667,         38.7756,         35.9384,         42.2226
         102,        1.683333,         38.7762,         35.9391,         42.2233
         103,        1.700000,         38.7769,         35.9397,         42.2240
         104,        1.716667,         38.7776,         35.9404,         42.2246
         105,        1.733333,         38.7782,         35.9411,         42.2253
         106,        1.750000,         38.7789,         35.9418,         42.2260
         107,        1.766667,         38.7796,         35.9424,         42.2266
         108,        1.783333,         38.7802,         35.9431,         42.2273
         109,        1.800000,         38.7809,         35.9438,         42.2280
         110,        1.816667,         38.7816,         35.9445,         42.2286
         111,        1.833333,         38.7822,         35.9451,         42.2293
         112,        1.850000,         38.7829,         35.9458,         42.2300
         113,        1.866667,         38.7836,         35.9465,         42.2306
         114,        1.883333,         38.7842,         35.9472,         42.2313
         115,        1.900000,         38.7849,         35.9478,         42.2320
         116,        1.916667,         38.7856,         35.9485,         42.2326
         117,        1.933333,         38.7862,         35.9492,         42.2333
         118,        1.950000,         38.7869,         35.9499,         42.2340
         119,        1.966667,         38.7876,         35.9505,         42.2346
         120,        1.983333,         38.7882,         35.9512,         42.2353
         121,        2.000000,         38.7889,         35.9519,         42.2360
         122,        2.016667,         38.7896,         35.9526,         42.2367
         123,        2.033333,         38.7902,         35.9532,         42.2373
         124,        2.050000,         38.7909,         35.9539,         42.2380
         125,        2.066667,         38.7916,         35.9546,         42.2387
         126,        2.083333,         38.7923,         35.9553,         42.2393
         127,        2.100000,         38.7929,         35.9559,         42.2400
         128,        2.116667,         38.7936,         35.9566,         42.2407
         129,        2.133333,         38.7943,         35.9573,         42.2413
         130,        2.150000,         38.7949,         35.9580,         42.2420
         131,        2.166667,         38.7956,         35.9586,         42.2427
         132,        2.183333,         38.7963,         35.9593,         42.2433
         133,        2.200000,         38.7969,         35.9600,         42.2440
         134,        2.216667,         38.7976,         35.9607,         42.2447
         135,        2.233333,         38.7983,         35.9613,         42.2454
         136,        2.250000,         38.7989,         35.9620,         42.2460
         137,        2.266667,         38.7996,         35.9627,         42.2467
         138,        2.283333,         38.8003,         35.9634,         42.2474
         139,        2.300000,         38.8009,         35.9640,         42.2480
         140,        2.316667,         38.8016,         35.9647,         42.2487
         141,        2.333333,         38.8023,         35.9654,         42.2494
         142,        2.350000,         38.8029,         35.9661,         42.2500
         143,        2.366667,         38.8036,         35.9668,         42.2507
         144,        2.383333,         38.8043,         35.9674,         42.2514
         145,        2.400000,         38.8049,         35.9681,         42.2520
         146,        2.416667,         38.8056,         35.9688,         42.2527
         147,        2.433333,         38.8063,         35.9695,         42.2534
         148,        2.450000,         38.8069,         35.9701,         42.2541
         149,        2.466667,         38.8076,         35.9708,         42.2547
         150,        2.483333,         38.8083,         35.9714,         42.2554
         151,        2.500000,         38.8089,         35.9714,         42.2559
         152,        2.516667,         38.8089,         35.9714,         42.2559
         153,        2.533333,         38.8089,         35.9714,         42.2559
         154,        2.550000,         38.8089,         35.9714,         42.2559
         155,        2.566667,         38.8089,         35.9714,         42.2559
         156,        2.583333,         38.8089,         35.9714,         42.2559
         157,        2.600000,         38.8089,         35.9714,         42.2559
         158,        2.616667,         38.8089,         35.9714,         42.2559
         159,        2.633333,         38.8089,         35.9714,         42.2559
         160,        2.650000,         38.8089,         35.9714,         42.2559
         161,        2.666667,         38.8089,         35.9714,         42.2559
         162,        2.683333,         38.8089,         35.9714,         42.2559
         163,        2.700000,         38.8089,         35.9714,         42.2559
         164,        2.716667,         38.8089,         35.9714,         42.2559
         165,        2.733333,         38.8089,         35.9714,         42.2559
         166,        2.750000,         38.8089,         35.9714,         42.2559
         167,        2.766667,         38.8089,         35.9714,         42.2559
         168,        2.783333,         38.8089,         35.9714,         42.2559
         169,        2.800000,         38.8089,         35.9714,         42.2559
         170,        2.816667,         38.8089,         35.9714,         42.2559
         171,        2.833333,         38.8089,         35.9714,         42.2559
         172,        2.850000,         38.8089,         35.9714,         42.2559
         173,        2.866667,         38.8089,         35.9714,         42.2559
         174,        2.883333,         38.8089,         35.9714,         42.2559
         175,        2.900000,         38.8089,         35.9714,         42.2559
         176,        2.916667,         38.8089,         35.9714,         42.2559
         177,        2.933333,         38.8089,         35.9714,         42.2559
         178,        2.950000,         38.8089,         35.9714,         42.2559
         179,        2.966667,         38.8089,         35.9714,         42.2559
         180,        2.983333,         38.8089,         35.9714,         42.2559
         181,        3.000000,         38.8089,         35.9714,         42.2559

