"EG05_018 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf]","Time (h)","GWh1 Loc1_P [EG05_018]","GWh1 Loc8_P [EG05_018]","GWh1 Loc10_P [EG05_018]","GWh1 Loc4_P [EG05_018]"
         122,      -69.983330,         38.8089,         35.9714,         42.2559,         40.4115
         123,      -69.966667,         38.8089,         35.9714,         42.2559,         40.4115
         124,      -69.949997,         38.8089,         35.9714,         42.2559,         40.4115
         125,      -69.933334,         38.8089,         35.9714,         42.2559,         40.4115
         126,      -69.916664,         38.8089,         35.9714,         42.2559,         40.4115
         127,      -69.900002,         38.8089,         35.9714,         42.2559,         40.4115
         128,      -69.883331,         38.8089,         35.9714,         42.2559,         40.4115
         129,      -69.866669,         38.8089,         35.9714,         42.2559,         40.4115
         130,      -69.849998,         38.8089,         35.9714,         42.2559,         40.4115
         131,      -69.833336,         38.8089,         35.9714,         42.2559,         40.4115
         132,      -69.816666,         38.8089,         35.9714,         42.2559,         40.4115
         133,      -69.800003,         38.8089,         35.9714,         42.2559,         40.4115
         134,      -69.783333,         38.8089,         35.9714,         42.2559,         40.4115
         135,      -69.766670,         38.8089,         35.9714,         42.2559,         40.4115
         136,      -69.750000,         38.8089,         35.9714,         42.2559,         40.4115
         137,      -69.733330,         38.8089,         35.9714,         42.2559,         40.4115
         138,      -69.716667,         38.8089,         35.9714,         42.2559,         40.4115
         139,      -69.699997,         38.8089,         35.9714,         42.2559,         40.4115
         140,      -69.683334,         38.8089,         35.9714,         42.2559,         40.4115
         141,      -69.666664,         38.8089,         35.9714,         42.2559,         40.4115
         142,      -69.650002,         38.8089,         35.9714,         42.2559,         40.4115
         143,      -69.633331,         38.8089,         35.9714,         42.2559,         40.4115
         144,      -69.616669,         38.8089,         35.9714,         42.2559,         40.4115
         145,      -69.599998,         38.8089,         35.9714,         42.2559,         40.4115
         146,      -69.583336,         38.8089,         35.9714,         42.2559,         40.4115
         147,      -69.566666,         38.8089,         35.9714,         42.2559,         40.4115
         148,      -69.550003,         38.8089,         35.9714,         42.2559,         40.4115
         149,      -69.533333,         38.8089,         35.9714,         42.2559,         40.4115
         150,      -69.516670,         38.8089,         35.9714,         42.2559,         40.4115
         151,      -69.500000,         38.8089,         35.9714,         42.2559,         40.4115
         152,      -69.483330,         38.8089,         35.9714,         42.2559,         40.4115
         153,      -69.466667,         38.8089,         35.9714,         42.2559,         40.4115
         154,      -69.449997,         38.8089,         35.9714,         42.2559,         40.4115
         155,      -69.433334,         38.8089,         35.9714,         42.2559,         40.4115
         156,      -69.416664,         38.8089,         35.9714,         42.2559,         40.4115
         157,      -69.400002,         38.8089,         35.9714,         42.2559,         40.4115
         158,      -69.383331,         38.8089,         35.9714,         42.2559,         40.4115
         159,      -69.366669,         38.8089,         35.9714,         42.2559,         40.4115
         160,      -69.349998,         38.8089,         35.9714,         42.2559,         40.4115
         161,      -69.333336,         38.8089,         35.9714,         42.2559,         40.4115
         162,      -69.316666,         38.8089,         35.9714,         42.2559,         40.4115
         163,      -69.300003,         38.8089,         35.9714,         42.2559,         40.4115
         164,      -69.283333,         38.8089,         35.9714,         42.2559,         40.4115
         165,      -69.266670,         38.8089,         35.9714,         42.2559,         40.4115
         166,      -69.250000,         38.8089,         35.9714,         42.2559,         40.4115
         167,      -69.233330,         38.8089,         35.9714,         42.2559,         40.4115
         168,      -69.216667,         38.8089,         35.9714,         42.2559,         40.4115
         169,      -69.199997,         38.8089,         35.9714,         42.2559,         40.4115
         170,      -69.183334,         38.8089,         35.9714,         42.2559,         40.4115
         171,      -69.166664,         38.8089,         35.9714,         42.2559,         40.4115
         172,      -69.150002,         38.8089,         35.9714,         42.2559,         40.4115
         173,      -69.133331,         38.8089,         35.9714,         42.2559,         40.4115
         174,      -69.116669,         38.8089,         35.9714,         42.2559,         40.4115
         175,      -69.099998,         38.8089,         35.9714,         42.2559,         40.4115
         176,      -69.083336,         38.8089,         35.9714,         42.2559,         40.4115
         177,      -69.066666,         38.8089,         35.9714,         42.2559,         40.4115
         178,      -69.050003,         38.8089,         35.9714,         42.2559,         40.4115
         179,      -69.033333,         38.8089,         35.9714,         42.2559,         40.4115
         180,      -69.016670,         38.8089,         35.9714,         42.2559,         40.4115
         181,      -69.000000,         38.8089,         35.9714,         42.2559,         40.4115
         182,      -68.983330,         38.8089,         35.9714,         42.2559,         40.4115
         183,      -68.966667,         38.8089,         35.9714,         42.2559,         40.4115
         184,      -68.949997,         38.8089,         35.9714,         42.2559,         40.4115
         185,      -68.933334,         38.8089,         35.9714,         42.2559,         40.4115
         186,      -68.916664,         38.8089,         35.9714,         42.2559,         40.4115
         187,      -68.900002,         38.8089,         35.9714,         42.2559,         40.4115
         188,      -68.883331,         38.8089,         35.9714,         42.2559,         40.4115
         189,      -68.866669,         38.8089,         35.9714,         42.2559,         40.4115
         190,      -68.849998,         38.8089,         35.9714,         42.2559,         40.4115
         191,      -68.833336,         38.8089,         35.9714,         42.2559,         40.4115
         192,      -68.816666,         38.8089,         35.9714,         42.2559,         40.4115
         193,      -68.800003,         38.8089,         35.9714,         42.2559,         40.4115
         194,      -68.783333,         38.8089,         35.9714,         42.2559,         40.4115
         195,      -68.766670,         38.8089,         35.9714,         42.2559,         40.4115
         196,      -68.750000,         38.8089,         35.9714,         42.2559,         40.4115
         197,      -68.733330,         38.8089,         35.9714,         42.2559,         40.4115
         198,      -68.716667,         38.8089,         35.9714,         42.2559,         40.4115
         199,      -68.699997,         38.8089,         35.9714,         42.2559,         40.4115
         200,      -68.683334,         38.8089,         35.9714,         42.2559,         40.4115
         201,      -68.666664,         38.8089,         35.9714,         42.2559,         40.4115
         202,      -68.650002,         38.8089,         35.9714,         42.2559,         40.4115
         203,      -68.633331,         38.8089,         35.9714,         42.2559,         40.4115
         204,      -68.616669,         38.8089,         35.9714,         42.2559,         40.4115
         205,      -68.599998,         38.8089,         35.9714,         42.2559,         40.4115
         206,      -68.583336,         38.8089,         35.9714,         42.2559,         40.4115
         207,      -68.566666,         38.8089,         35.9714,         42.2559,         40.4115
         208,      -68.550003,         38.8089,         35.9714,         42.2559,         40.4115
         209,      -68.533333,         38.8089,         35.9714,         42.2559,         40.4115
         210,      -68.516670,         38.8089,         35.9714,         42.2559,         40.4115
         211,      -68.500000,         38.8089,         35.9714,         42.2559,         40.4115
         212,      -68.483330,         38.8089,         35.9714,         42.2559,         40.4115
         213,      -68.466667,         38.8089,         35.9714,         42.2559,         40.4115
         214,      -68.449997,         38.8089,         35.9714,         42.2559,         40.4115
         215,      -68.433334,         38.8089,         35.9714,         42.2559,         40.4115
         216,      -68.416664,         38.8089,         35.9714,         42.2559,         40.4115
         217,      -68.400002,         38.8089,         35.9714,         42.2559,         40.4115
         218,      -68.383331,         38.8089,         35.9714,         42.2559,         40.4115
         219,      -68.366669,         38.8089,         35.9714,         42.2559,         40.4115
         220,      -68.349998,         38.8089,         35.9714,         42.2559,         40.4115
         221,      -68.333336,         38.8089,         35.9714,         42.2559,         40.4115
         222,      -68.316666,         38.8089,         35.9714,         42.2559,         40.4115
         223,      -68.300003,         38.8089,         35.9714,         42.2559,         40.4115
         224,      -68.283333,         38.8089,         35.9714,         42.2559,         40.4115
         225,      -68.266670,         38.8089,         35.9714,         42.2559,         40.4115
         226,      -68.250000,         38.8089,         35.9714,         42.2559,         40.4115
         227,      -68.233330,         38.8089,         35.9714,         42.2559,         40.4115
         228,      -68.216667,         38.8089,         35.9714,         42.2559,         40.4115
         229,      -68.199997,         38.8089,         35.9714,         42.2559,         40.4115
         230,      -68.183334,         38.8089,         35.9714,         42.2559,         40.4115
         231,      -68.166664,         38.8089,         35.9714,         42.2559,         40.4115
