"EG05_018 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf]","Time (h)","GWd1 Loc1_P [EG05_018]","GWd1 Loc8_P [EG05_018]","GWd1 Loc10_P [EG05_018]","GWd1 Loc4_P [EG05_018]"
         132,      -69.816666,          0.0000,          0.0000,  0.000    ,          0.0000
         133,      -69.800003,          0.0000,          0.0000,  0.000    ,          0.0000
         134,      -69.783333,          0.0000,          0.0000,  0.000    ,          0.0000
         135,      -69.766670,          0.0000,          0.0000,  0.000    ,          0.0000
         136,      -69.750000,          0.0000,          0.0000,  0.000    ,          0.0000
         137,      -69.733330,          0.0000,          0.0000,  0.000    ,          0.0000
         138,      -69.716667,          0.0000,          0.0000,  0.000    ,          0.0000
         139,      -69.699997,          0.0000,          0.0000,  0.000    ,          0.0000
         140,      -69.683334,          0.0000,          0.0000,  0.000    ,          0.0000
         141,      -69.666664,          0.0000,          0.0000,  0.000    ,          0.0000
         142,      -69.650002,          0.0000,          0.0000,  0.000    ,          0.0000
         143,      -69.633331,          0.0000,          0.0000,  0.000    ,          0.0000
         144,      -69.616669,          0.0000,          0.0000,  0.000    ,          0.0000
         145,      -69.599998,          0.0000,          0.0000,  0.000    ,          0.0000
         146,      -69.583336,          0.0000,          0.0000,  0.000    ,          0.0000
         147,      -69.566666,          0.0000,          0.0000,  0.000    ,          0.0000
         148,      -69.550003,          0.0000,          0.0000,  0.000    ,          0.0000
         149,      -69.533333,          0.0000,          0.0000,  0.000    ,          0.0000
         150,      -69.516670,          0.0000,          0.0000,  0.000    ,          0.0000
         151,      -69.500000,          0.0000,          0.0000,  0.000    ,          0.0000
         152,      -69.483330,          0.0000,          0.0000,  0.000    ,          0.0000
         153,      -69.466667,          0.0000,          0.0000,  0.000    ,          0.0000
         154,      -69.449997,          0.0000,          0.0000,  0.000    ,          0.0000
         155,      -69.433334,          0.0000,          0.0000,  0.000    ,          0.0000
         156,      -69.416664,          0.0000,          0.0000,  0.000    ,          0.0000
         157,      -69.400002,          0.0000,          0.0000,  0.000    ,          0.0000
         158,      -69.383331,          0.0000,          0.0000,  0.000    ,          0.0000
         159,      -69.366669,          0.0000,          0.0000,  0.000    ,          0.0000
         160,      -69.349998,          0.0000,          0.0000,  0.000    ,          0.0000
         161,      -69.333336,          0.0000,          0.0000,  0.000    ,          0.0000
         162,      -69.316666,          0.0000,          0.0000,  0.000    ,          0.0000
         163,      -69.300003,          0.0000,          0.0000,  0.000    ,          0.0000
         164,      -69.283333,          0.0000,          0.0000,  0.000    ,          0.0000
         165,      -69.266670,          0.0000,          0.0000,  0.000    ,          0.0000
         166,      -69.250000,          0.0000,          0.0000,  0.000    ,          0.0000
         167,      -69.233330,          0.0000,          0.0000,  0.000    ,          0.0000
         168,      -69.216667,          0.0000,          0.0000,  0.000    ,          0.0000
         169,      -69.199997,          0.0000,          0.0000,  0.000    ,          0.0000
         170,      -69.183334,          0.0000,          0.0000,  0.000    ,          0.0000
         171,      -69.166664,          0.0000,          0.0000,  0.000    ,          0.0000
         172,      -69.150002,          0.0000,          0.0000,  0.000    ,          0.0000
         173,      -69.133331,          0.0000,          0.0000,  0.000    ,          0.0000
         174,      -69.116669,          0.0000,          0.0000,  0.000    ,          0.0000
         175,      -69.099998,          0.0000,          0.0000,  0.000    ,          0.0000
         176,      -69.083336,          0.0000,          0.0000,  0.000    ,          0.0000
         177,      -69.066666,          0.0000,          0.0000,  0.000    ,          0.0000
         178,      -69.050003,          0.0000,          0.0000,  0.000    ,          0.0000
         179,      -69.033333,          0.0000,          0.0000,  0.000    ,          0.0000
         180,      -69.016670,          0.0000,          0.0000,  0.000    ,          0.0000
         181,      -69.000000,          0.0000,          0.0000,  0.000    ,          0.0000
         182,      -68.983330,          0.0000,          0.0000,  0.000    ,          0.0000
         183,      -68.966667,          0.0000,          0.0000,  0.000    ,          0.0000
         184,      -68.949997,          0.0000,          0.0000,  0.000    ,          0.0000
         185,      -68.933334,          0.0000,          0.0000,  0.000    ,          0.0000
         186,      -68.916664,          0.0000,          0.0000,  0.000    ,          0.0000
         187,      -68.900002,          0.0000,          0.0000,  0.000    ,          0.0000
         188,      -68.883331,          0.0000,          0.0000,  0.000    ,          0.0000
         189,      -68.866669,          0.0000,          0.0000,  0.000    ,          0.0000
         190,      -68.849998,          0.0000,          0.0000,  0.000    ,          0.0000
         191,      -68.833336,          0.0000,          0.0000,  0.000    ,          0.0000
         192,      -68.816666,          0.0000,          0.0000,  0.000    ,          0.0000
         193,      -68.800003,          0.0000,          0.0000,  0.000    ,          0.0000
         194,      -68.783333,          0.0000,          0.0000,  0.000    ,          0.0000
         195,      -68.766670,          0.0000,          0.0000,  0.000    ,          0.0000
         196,      -68.750000,          0.0000,          0.0000,  0.000    ,          0.0000
         197,      -68.733330,          0.0000,          0.0000,  0.000    ,          0.0000
         198,      -68.716667,          0.0000,          0.0000,  0.000    ,          0.0000
         199,      -68.699997,          0.0000,          0.0000,  0.000    ,          0.0000
         200,      -68.683334,          0.0000,          0.0000,  0.000    ,          0.0000
         201,      -68.666664,          0.0000,          0.0000,  0.000    ,          0.0000
         202,      -68.650002,          0.0000,          0.0000,  0.000    ,          0.0000
         203,      -68.633331,          0.0000,          0.0000,  0.000    ,          0.0000
         204,      -68.616669,          0.0000,          0.0000,  0.000    ,          0.0000
         205,      -68.599998,          0.0000,          0.0000,  0.000    ,          0.0000
         206,      -68.583336,          0.0000,          0.0000,  0.000    ,          0.0000
         207,      -68.566666,          0.0000,          0.0000,  0.000    ,          0.0000
         208,      -68.550003,          0.0000,          0.0000,  0.000    ,          0.0000
         209,      -68.533333,          0.0000,          0.0000,  0.000    ,          0.0000
         210,      -68.516670,          0.0000,          0.0000,  0.000    ,          0.0000
         211,      -68.500000,          0.0000,          0.0000,  0.000    ,          0.0000
         212,      -68.483330,          0.0000,          0.0000,  0.000    ,          0.0000
         213,      -68.466667,          0.0000,          0.0000,  0.000    ,          0.0000
         214,      -68.449997,          0.0000,          0.0000,  0.000    ,          0.0000
         215,      -68.433334,          0.0000,          0.0000,  0.000    ,          0.0000
         216,      -68.416664,          0.0000,          0.0000,  0.000    ,          0.0000
         217,      -68.400002,          0.0000,          0.0000,  0.000    ,          0.0000
         218,      -68.383331,          0.0000,          0.0000,  0.000    ,          0.0000
         219,      -68.366669,          0.0000,          0.0000,  0.000    ,          0.0000
         220,      -68.349998,          0.0000,          0.0000,  0.000    ,          0.0000
         221,      -68.333336,          0.0000,          0.0000,  0.000    ,          0.0000
         222,      -68.316666,          0.0000,          0.0000,  0.000    ,          0.0000
         223,      -68.300003,          0.0000,          0.0000,  0.000    ,          0.0000
         224,      -68.283333,          0.0000,          0.0000,  0.000    ,          0.0000
         225,      -68.266670,          0.0000,          0.0000,  0.000    ,          0.0000
         226,      -68.250000,          0.0000,          0.0000,  0.000    ,          0.0000
         227,      -68.233330,          0.0000,          0.0000,  0.000    ,          0.0000
         228,      -68.216667,          0.0000,          0.0000,  0.000    ,          0.0000
         229,      -68.199997,          0.0000,          0.0000,  0.000    ,          0.0000
         230,      -68.183334,          0.0000,          0.0000,  0.000    ,          0.0000
         231,      -68.166664,          0.0000,          0.0000,  0.000    ,          0.0000
         232,      -68.150002,          0.0000,          0.0000,  0.000    ,          0.0000
         233,      -68.133331,          0.0000,          0.0000,  0.000    ,          0.0000
         234,      -68.116669,          0.0000,          0.0000,  0.000    ,          0.0000
         235,      -68.099998,          0.0000,          0.0000,  0.000    ,          0.0000
         236,      -68.083336,          0.0000,          0.0000,  0.000    ,          0.0000
         237,      -68.066666,          0.0000,          0.0000,  0.000    ,          0.0000
         238,      -68.050003,          0.0000,          0.0000,  0.000    ,          0.0000
         239,      -68.033333,          0.0000,          0.0000,  0.000    ,          0.0000
         240,      -68.016670,          0.0000,          0.0000,  0.000    ,          0.0000
         241,      -68.000000,          0.0000,          0.0000,  0.000    ,          0.0000
         242,      -67.983330,          0.0000,          0.0000,  0.000    ,          0.0000
         243,      -67.966667,          0.0000,          0.0000,  0.000    ,          0.0000
         244,      -67.949997,          0.0000,          0.0000,  0.000    ,          0.0000
         245,      -67.933334,          0.0000,          0.0000,  0.000    ,          0.0000
         246,      -67.916664,          0.0000,          0.0000,  0.000    ,          0.0000
         247,      -67.900002,          0.0000,          0.0000,  0.000    ,          0.0000
         248,      -67.883331,          0.0000,          0.0000,  0.000    ,          0.0000
         249,      -67.866669,          0.0000,          0.0000,  0.000    ,          0.0000
         250,      -67.849998,          0.0000,          0.0000,  0.000    ,          0.0000
         251,      -67.833336,          0.0000,          0.0000,  0.000    ,          0.0000
         252,      -67.816666,          0.0000,          0.0000,  0.000    ,          0.0000
         253,      -67.800003,          0.0000,          0.0000,  0.000    ,          0.0000
         254,      -67.783333,          0.0000,          0.0000,  0.000    ,          0.0000
         255,      -67.766670,          0.0000,          0.0000,  0.000    ,          0.0000
         256,      -67.750000,          0.0000,          0.0000,  0.000    ,          0.0000
         257,      -67.733330,          0.0000,          0.0000,  0.000    ,          0.0000
         258,      -67.716667,          0.0000,          0.0000,  0.000    ,          0.0000
         259,      -67.699997,          0.0000,          0.0000,  0.000    ,          0.0000
         260,      -67.683334,          0.0000,          0.0000,  0.000    ,          0.0000
         261,      -67.666664,          0.0000,          0.0000,  0.000    ,          0.0000
         262,      -67.650002,          0.0000,          0.0000,  0.000    ,          0.0000
         263,      -67.633331,          0.0000,          0.0000,  0.000    ,          0.0000
         264,      -67.616669,          0.0000,          0.0000,  0.000    ,          0.0000
         265,      -67.599998,          0.0000,          0.0000,  0.000    ,          0.0000
         266,      -67.583336,          0.0000,          0.0000,  0.000    ,          0.0000
         267,      -67.566666,          0.0000,          0.0000,  0.000    ,          0.0000
         268,      -67.550003,          0.0000,          0.0000,  0.000    ,          0.0000
         269,      -67.533333,          0.0000,          0.0000,  0.000    ,          0.0000
         270,      -67.516670,          0.0000,          0.0000,  0.000    ,          0.0000
