"EG05_016 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_016.tcf]","Time (h)","GWh1 Loc1_P [EG05_016]","GWh1 Loc8_P [EG05_016]","GWh1 Loc10_P [EG05_016]"
         147,        2.433333,         38.8988,         36.0808,         42.2981
         148,        2.450000,         38.8995,         36.0816,         42.2984
         149,        2.466667,         38.9002,         36.0824,         42.2987
         150,        2.483333,         38.9010,         36.0832,         42.2990
         151,        2.500000,         38.9017,         36.0840,         42.2993
         152,        2.516667,         38.9025,         36.0848,         42.2996
         153,        2.533333,         38.9032,         36.0856,         42.2999
         154,        2.550000,         38.9040,         36.0864,         42.3003
         155,        2.566667,         38.9047,         36.0872,         42.3006
         156,        2.583333,         38.9055,         36.0880,         42.3009
         157,        2.600000,         38.9062,         36.0888,         42.3012
         158,        2.616667,         38.9069,         36.0896,         42.3015
         159,        2.633333,         38.9077,         36.0904,         42.3019
         160,        2.650000,         38.9084,         36.0912,         42.3022
         161,        2.666667,         38.9092,         36.0920,         42.3025
         162,        2.683333,         38.9099,         36.0928,         42.3028
         163,        2.700000,         38.9107,         36.0936,         42.3032
         164,        2.716667,         38.9114,         36.0944,         42.3035
         165,        2.733333,         38.9121,         36.0952,         42.3038
         166,        2.750000,         38.9129,         36.0960,         42.3041
         167,        2.766667,         38.9136,         36.0968,         42.3045
         168,        2.783333,         38.9144,         36.0975,         42.3048
         169,        2.800000,         38.9151,         36.0983,         42.3051
         170,        2.816667,         38.9159,         36.0991,         42.3055
         171,        2.833333,         38.9166,         36.0999,         42.3058
         172,        2.850000,         38.9173,         36.1007,         42.3061
         173,        2.866667,         38.9181,         36.1015,         42.3065
         174,        2.883333,         38.9188,         36.1023,         42.3068
         175,        2.900000,         38.9196,         36.1031,         42.3072
         176,        2.916667,         38.9203,         36.1038,         42.3075
         177,        2.933333,         38.9210,         36.1046,         42.3078
         178,        2.950000,         38.9218,         36.1054,         42.3082
         179,        2.966667,         38.9225,         36.1061,         42.3085
         180,        2.983333,         38.9232,         36.1069,         42.3089
         181,        3.000000,         38.9240,         36.1077,         42.3092

