"EG05_017 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf]","Time (h)","GWd2 Loc1_P [EG05_017]","GWd2 Loc8_P [EG05_017]","GWd2 Loc10_P [EG05_017]"
          34,        0.550000,          0.0219,          0.0220,          0.0220
          35,        0.566667,          0.0226,          0.0227,          0.0227
          36,        0.583333,          0.0233,          0.0234,          0.0233
          37,        0.600000,          0.0240,          0.0240,          0.0240
          38,        0.616667,          0.0246,          0.0247,          0.0247
          39,        0.633333,          0.0253,          0.0254,          0.0253
          40,        0.650000,          0.0260,          0.0261,          0.0260
          41,        0.666667,          0.0266,          0.0267,          0.0267
          42,        0.683333,          0.0273,          0.0274,          0.0273
          43,        0.700000,          0.0280,          0.0281,          0.0280
          44,        0.716667,          0.0286,          0.0287,          0.0287
          45,        0.733333,          0.0293,          0.0294,          0.0294
          46,        0.750000,          0.0300,          0.0301,          0.0300
          47,        0.766667,          0.0306,          0.0307,          0.0307
          48,        0.783333,          0.0313,          0.0314,          0.0314
          49,        0.800000,          0.0320,          0.0321,          0.0320
          50,        0.816667,          0.0326,          0.0328,          0.0327
          51,        0.833333,          0.0333,          0.0334,          0.0334
          52,        0.850000,          0.0340,          0.0341,          0.0340
          53,        0.866667,          0.0346,          0.0348,          0.0347
          54,        0.883333,          0.0353,          0.0354,          0.0354
          55,        0.900000,          0.0360,          0.0361,          0.0360
          56,        0.916667,          0.0366,          0.0368,          0.0367
          57,        0.933333,          0.0373,          0.0374,          0.0374
          58,        0.950000,          0.0380,          0.0381,          0.0380
          59,        0.966667,          0.0386,          0.0388,          0.0387
          60,        0.983333,          0.0393,          0.0395,          0.0394
          61,        1.000000,          0.0400,          0.0401,          0.0400
          62,        1.016667,          0.0406,          0.0408,          0.0407
          63,        1.033333,          0.0413,          0.0415,          0.0414
          64,        1.050000,          0.0420,          0.0421,          0.0420
          65,        1.066667,          0.0426,          0.0428,          0.0427
          66,        1.083333,          0.0433,          0.0435,          0.0434
          67,        1.100000,          0.0440,          0.0442,          0.0440
          68,        1.116667,          0.0446,          0.0448,          0.0447
          69,        1.133333,          0.0453,          0.0455,          0.0454
          70,        1.150000,          0.0460,          0.0462,          0.0460
          71,        1.166667,          0.0466,          0.0468,          0.0467
          72,        1.183333,          0.0473,          0.0475,          0.0474
          73,        1.200000,          0.0480,          0.0482,          0.0480
          74,        1.216667,          0.0486,          0.0489,          0.0487
          75,        1.233333,          0.0493,          0.0495,          0.0494
          76,        1.250000,          0.0500,          0.0502,          0.0500
          77,        1.266667,          0.0506,          0.0509,          0.0507
          78,        1.283333,          0.0513,          0.0515,          0.0514
          79,        1.300000,          0.0520,          0.0522,          0.0521
          80,        1.316667,          0.0526,          0.0529,          0.0527
          81,        1.333333,          0.0533,          0.0536,          0.0534
          82,        1.350000,          0.0540,          0.0542,          0.0541
          83,        1.366667,          0.0546,          0.0549,          0.0547
          84,        1.383333,          0.0553,          0.0556,          0.0554
          85,        1.400000,          0.0560,          0.0563,          0.0561
          86,        1.416667,          0.0566,          0.0569,          0.0567
          87,        1.433333,          0.0573,          0.0576,          0.0574
          88,        1.450000,          0.0580,          0.0583,          0.0581
          89,        1.466667,          0.0586,          0.0589,          0.0587
          90,        1.483333,          0.0593,          0.0596,          0.0594
          91,        1.500000,          0.0600,          0.0603,          0.0601
          92,        1.516667,          0.0606,          0.0610,          0.0607
          93,        1.533333,          0.0613,          0.0616,          0.0614
          94,        1.550000,          0.0620,          0.0623,          0.0621
          95,        1.566667,          0.0626,          0.0630,          0.0627
          96,        1.583333,          0.0633,          0.0637,          0.0634
          97,        1.600000,          0.0640,          0.0643,          0.0641
          98,        1.616667,          0.0646,          0.0650,          0.0648
          99,        1.633333,          0.0653,          0.0657,          0.0654
         100,        1.650000,          0.0660,          0.0664,          0.0661
         101,        1.666667,          0.0667,          0.0670,          0.0668
         102,        1.683333,          0.0673,          0.0677,          0.0674
         103,        1.700000,          0.0680,          0.0684,          0.0681
         104,        1.716667,          0.0687,          0.0690,          0.0688
         105,        1.733333,          0.0693,          0.0697,          0.0694
         106,        1.750000,          0.0700,          0.0704,          0.0701
         107,        1.766667,          0.0707,          0.0711,          0.0708
         108,        1.783333,          0.0713,          0.0717,          0.0714
         109,        1.800000,          0.0720,          0.0724,          0.0721
         110,        1.816667,          0.0727,          0.0731,          0.0728
         111,        1.833333,          0.0733,          0.0738,          0.0734
         112,        1.850000,          0.0740,          0.0744,          0.0741
         113,        1.866667,          0.0747,          0.0751,          0.0748
         114,        1.883333,          0.0753,          0.0758,          0.0754
         115,        1.900000,          0.0760,          0.0765,          0.0761
         116,        1.916667,          0.0767,          0.0771,          0.0768
         117,        1.933333,          0.0773,          0.0778,          0.0775
         118,        1.950000,          0.0780,          0.0785,          0.0781
         119,        1.966667,          0.0787,          0.0792,          0.0788
         120,        1.983333,          0.0793,          0.0798,          0.0795
         121,        2.000000,          0.0800,          0.0805,          0.0801
         122,        2.016667,          0.0807,          0.0812,          0.0808
         123,        2.033333,          0.0813,          0.0819,          0.0815
         124,        2.050000,          0.0820,          0.0825,          0.0821
         125,        2.066667,          0.0827,          0.0832,          0.0828
         126,        2.083333,          0.0833,          0.0839,          0.0835
         127,        2.100000,          0.0840,          0.0846,          0.0841
         128,        2.116667,          0.0847,          0.0852,          0.0848
         129,        2.133333,          0.0853,          0.0859,          0.0855
         130,        2.150000,          0.0860,          0.0866,          0.0861
         131,        2.166667,          0.0867,          0.0873,          0.0868
         132,        2.183333,          0.0873,          0.0879,          0.0875
         133,        2.200000,          0.0880,          0.0886,          0.0882
         134,        2.216667,          0.0887,          0.0893,          0.0888
         135,        2.233333,          0.0893,          0.0900,          0.0895
         136,        2.250000,          0.0900,          0.0907,          0.0902
         137,        2.266667,          0.0907,          0.0913,          0.0908
         138,        2.283333,          0.0914,          0.0920,          0.0915
         139,        2.300000,          0.0920,          0.0927,          0.0922
         140,        2.316667,          0.0927,          0.0934,          0.0928
         141,        2.333333,          0.0934,          0.0940,          0.0935
         142,        2.350000,          0.0940,          0.0947,          0.0942
         143,        2.366667,          0.0947,          0.0954,          0.0948
         144,        2.383333,          0.0954,          0.0961,          0.0955
         145,        2.400000,          0.0960,          0.0967,          0.0962
         146,        2.416667,          0.0967,          0.0974,          0.0969
         147,        2.433333,          0.0974,          0.0981,          0.0975
         148,        2.450000,          0.0980,          0.0988,          0.0982
         149,        2.466667,          0.0987,          0.0994,          0.0989
         150,        2.483333,          0.0994,          0.1000,          0.0995
         151,        2.500000,          0.1000,          0.1000,          0.1000
         152,        2.516667,          0.1000,          0.1000,          0.1000
         153,        2.533333,          0.1000,          0.1000,          0.1000
         154,        2.550000,          0.1000,          0.1000,          0.1000
         155,        2.566667,          0.1000,          0.1000,          0.1000
         156,        2.583333,          0.1000,          0.1000,          0.1000
         157,        2.600000,          0.1000,          0.1000,          0.1000
         158,        2.616667,          0.1000,          0.1000,          0.1000
         159,        2.633333,          0.1000,          0.1000,          0.1000
         160,        2.650000,          0.1000,          0.1000,          0.1000
         161,        2.666667,          0.1000,          0.1000,          0.1000
         162,        2.683333,          0.1000,          0.1000,          0.1000
         163,        2.700000,          0.1000,          0.1000,          0.1000
         164,        2.716667,          0.1000,          0.1000,          0.1000
         165,        2.733333,          0.1000,          0.1000,          0.1000
         166,        2.750000,          0.1000,          0.1000,          0.1000
         167,        2.766667,          0.1000,          0.1000,          0.1000
         168,        2.783333,          0.1000,          0.1000,          0.1000
         169,        2.800000,          0.1000,          0.1000,          0.1000
         170,        2.816667,          0.1000,          0.1000,          0.1000
         171,        2.833333,          0.1000,          0.1000,          0.1000
         172,        2.850000,          0.1000,          0.1000,          0.1000
         173,        2.866667,          0.1000,          0.1000,          0.1000
         174,        2.883333,          0.1000,          0.1000,          0.1000
         175,        2.900000,          0.1000,          0.1000,          0.1000
         176,        2.916667,          0.1000,          0.1000,          0.1000
         177,        2.933333,          0.1000,          0.1000,          0.1000
         178,        2.950000,          0.1000,          0.1000,          0.1000
         179,        2.966667,          0.1000,          0.1000,          0.1000
         180,        2.983333,          0.1000,          0.1000,          0.1000
         181,        3.000000,          0.1000,          0.1000,          0.1000

