"EG05_015 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_015.tcf]","Time (h)","GWh1 Loc1_P [EG05_015]","GWh1 Loc8_P [EG05_015]","GWh1 Loc10_P [EG05_015]"
         134,        2.216667,         38.8174,         35.9800,         42.2644
         135,        2.233333,         38.8174,         35.9800,         42.2644
         136,        2.250000,         38.8175,         35.9801,         42.2644
         137,        2.266667,         38.8175,         35.9801,         42.2645
         138,        2.283333,         38.8175,         35.9801,         42.2645
         139,        2.300000,         38.8175,         35.9801,         42.2645
         140,        2.316667,         38.8175,         35.9801,         42.2645
         141,        2.333333,         38.8176,         35.9802,         42.2645
         142,        2.350000,         38.8176,         35.9802,         42.2646
         143,        2.366667,         38.8176,         35.9802,         42.2646
         144,        2.383333,         38.8176,         35.9802,         42.2646
         145,        2.400000,         38.8176,         35.9802,         42.2646
         146,        2.416667,         38.8177,         35.9803,         42.2646
         147,        2.433333,         38.8177,         35.9803,         42.2647
         148,        2.450000,         38.8177,         35.9803,         42.2647
         149,        2.466667,         38.8177,         35.9803,         42.2647
         150,        2.483333,         38.8177,         35.9803,         42.2647
         151,        2.500000,         38.8178,         35.9804,         42.2647
         152,        2.516667,         38.8178,         35.9804,         42.2648
         153,        2.533333,         38.8178,         35.9804,         42.2648
         154,        2.550000,         38.8178,         35.9804,         42.2648
         155,        2.566667,         38.8178,         35.9804,         42.2648
         156,        2.583333,         38.8179,         35.9805,         42.2648
         157,        2.600000,         38.8179,         35.9805,         42.2649
         158,        2.616667,         38.8179,         35.9805,         42.2649
         159,        2.633333,         38.8179,         35.9805,         42.2649
         160,        2.650000,         38.8179,         35.9805,         42.2649
         161,        2.666667,         38.8180,         35.9806,         42.2649
         162,        2.683333,         38.8180,         35.9806,         42.2650
         163,        2.700000,         38.8180,         35.9806,         42.2650
         164,        2.716667,         38.8180,         35.9806,         42.2650
         165,        2.733333,         38.8180,         35.9806,         42.2650
         166,        2.750000,         38.8181,         35.9807,         42.2650
         167,        2.766667,         38.8181,         35.9807,         42.2651
         168,        2.783333,         38.8181,         35.9807,         42.2651
         169,        2.800000,         38.8181,         35.9807,         42.2651
         170,        2.816667,         38.8181,         35.9807,         42.2651
         171,        2.833333,         38.8182,         35.9808,         42.2651
         172,        2.850000,         38.8182,         35.9808,         42.2652
         173,        2.866667,         38.8182,         35.9808,         42.2652
         174,        2.883333,         38.8182,         35.9808,         42.2652
         175,        2.900000,         38.8182,         35.9808,         42.2652
         176,        2.916667,         38.8183,         35.9809,         42.2652
         177,        2.933333,         38.8183,         35.9809,         42.2653
         178,        2.950000,         38.8183,         35.9809,         42.2653
         179,        2.966667,         38.8183,         35.9809,         42.2653
         180,        2.983333,         38.8183,         35.9809,         42.2653
         181,        3.000000,         38.8184,         35.9810,         42.2653

