"EG05_017 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf]","Time (h)","GWd1 Loc1_P [EG05_017]","GWd1 Loc8_P [EG05_017]","GWd1 Loc10_P [EG05_017]"
          34,        0.550000,          0.0060,          0.0129,          0.0060
          35,        0.566667,          0.0060,          0.0132,          0.0060
          36,        0.583333,          0.0060,          0.0135,          0.0060
          37,        0.600000,          0.0060,          0.0139,          0.0060
          38,        0.616667,          0.0060,          0.0142,          0.0060
          39,        0.633333,          0.0060,          0.0146,          0.0060
          40,        0.650000,          0.0060,          0.0149,          0.0060
          41,        0.666667,          0.0060,          0.0152,          0.0060
          42,        0.683333,          0.0060,          0.0156,          0.0060
          43,        0.700000,          0.0060,          0.0159,          0.0060
          44,        0.716667,          0.0061,          0.0163,          0.0060
          45,        0.733333,          0.0061,          0.0166,          0.0060
          46,        0.750000,          0.0061,          0.0169,          0.0060
          47,        0.766667,          0.0061,          0.0173,          0.0060
          48,        0.783333,          0.0062,          0.0176,          0.0060
          49,        0.800000,          0.0062,          0.0180,          0.0060
          50,        0.816667,          0.0063,          0.0183,          0.0060
          51,        0.833333,          0.0064,          0.0186,          0.0060
          52,        0.850000,          0.0064,          0.0190,          0.0060
          53,        0.866667,          0.0065,          0.0193,          0.0060
          54,        0.883333,          0.0066,          0.0197,          0.0060
          55,        0.900000,          0.0067,          0.0200,          0.0060
          56,        0.916667,          0.0067,          0.0204,          0.0060
          57,        0.933333,          0.0068,          0.0207,          0.0060
          58,        0.950000,          0.0069,          0.0210,          0.0060
          59,        0.966667,          0.0070,          0.0214,          0.0060
          60,        0.983333,          0.0071,          0.0217,          0.0060
          61,        1.000000,          0.0072,          0.0221,          0.0060
          62,        1.016667,          0.0074,          0.0224,          0.0060
          63,        1.033333,          0.0075,          0.0227,          0.0060
          64,        1.050000,          0.0076,          0.0231,          0.0060
          65,        1.066667,          0.0077,          0.0234,          0.0060
          66,        1.083333,          0.0078,          0.0238,          0.0060
          67,        1.100000,          0.0080,          0.0241,          0.0060
          68,        1.116667,          0.0081,          0.0245,          0.0060
          69,        1.133333,          0.0082,          0.0248,          0.0060
          70,        1.150000,          0.0084,          0.0252,          0.0060
          71,        1.166667,          0.0085,          0.0255,          0.0060
          72,        1.183333,          0.0087,          0.0258,          0.0060
          73,        1.200000,          0.0088,          0.0262,          0.0060
          74,        1.216667,          0.0090,          0.0265,          0.0060
          75,        1.233333,          0.0091,          0.0269,          0.0060
          76,        1.250000,          0.0093,          0.0272,          0.0060
          77,        1.266667,          0.0095,          0.0276,          0.0060
          78,        1.283333,          0.0096,          0.0279,          0.0060
          79,        1.300000,          0.0098,          0.0283,          0.0060
          80,        1.316667,          0.0100,          0.0286,          0.0060
          81,        1.333333,          0.0101,          0.0290,          0.0060
          82,        1.350000,          0.0103,          0.0293,          0.0060
          83,        1.366667,          0.0105,          0.0297,          0.0060
          84,        1.383333,          0.0107,          0.0300,          0.0060
          85,        1.400000,          0.0109,          0.0304,          0.0060
          86,        1.416667,          0.0110,          0.0307,          0.0060
          87,        1.433333,          0.0112,          0.0311,          0.0060
          88,        1.450000,          0.0114,          0.0314,          0.0060
          89,        1.466667,          0.0116,          0.0318,          0.0060
          90,        1.483333,          0.0118,          0.0321,          0.0060
          91,        1.500000,          0.0120,          0.0325,          0.0060
          92,        1.516667,          0.0122,          0.0329,          0.0060
          93,        1.533333,          0.0124,          0.0332,          0.0060
          94,        1.550000,          0.0126,          0.0336,          0.0060
          95,        1.566667,          0.0128,          0.0339,          0.0060
          96,        1.583333,          0.0130,          0.0343,          0.0060
          97,        1.600000,          0.0132,          0.0346,          0.0060
          98,        1.616667,          0.0134,          0.0350,          0.0060
          99,        1.633333,          0.0136,          0.0354,          0.0060
         100,        1.650000,          0.0139,          0.0357,          0.0060
         101,        1.666667,          0.0141,          0.0361,          0.0060
         102,        1.683333,          0.0143,          0.0364,          0.0060
         103,        1.700000,          0.0145,          0.0368,          0.0060
         104,        1.716667,          0.0147,          0.0372,          0.0060
         105,        1.733333,          0.0150,          0.0375,          0.0060
         106,        1.750000,          0.0152,          0.0379,          0.0060
         107,        1.766667,          0.0154,          0.0383,          0.0060
         108,        1.783333,          0.0156,          0.0386,          0.0060
         109,        1.800000,          0.0159,          0.0390,          0.0060
         110,        1.816667,          0.0161,          0.0394,          0.0060
         111,        1.833333,          0.0163,          0.0397,          0.0060
         112,        1.850000,          0.0166,          0.0401,          0.0060
         113,        1.866667,          0.0168,          0.0405,          0.0060
         114,        1.883333,          0.0170,          0.0408,          0.0060
         115,        1.900000,          0.0173,          0.0412,          0.0060
         116,        1.916667,          0.0175,          0.0416,          0.0060
         117,        1.933333,          0.0177,          0.0419,          0.0060
         118,        1.950000,          0.0180,          0.0423,          0.0060
         119,        1.966667,          0.0182,          0.0427,          0.0060
         120,        1.983333,          0.0185,          0.0430,          0.0060
         121,        2.000000,          0.0187,          0.0434,          0.0060
         122,        2.016667,          0.0190,          0.0438,          0.0060
         123,        2.033333,          0.0192,          0.0442,          0.0060
         124,        2.050000,          0.0195,          0.0445,          0.0060
         125,        2.066667,          0.0197,          0.0449,          0.0060
         126,        2.083333,          0.0200,          0.0453,          0.0060
         127,        2.100000,          0.0202,          0.0457,          0.0060
         128,        2.116667,          0.0205,          0.0460,          0.0060
         129,        2.133333,          0.0207,          0.0464,          0.0060
         130,        2.150000,          0.0210,          0.0468,          0.0060
         131,        2.166667,          0.0212,          0.0472,          0.0060
         132,        2.183333,          0.0215,          0.0475,          0.0060
         133,        2.200000,          0.0218,          0.0479,          0.0060
         134,        2.216667,          0.0220,          0.0483,          0.0060
         135,        2.233333,          0.0223,          0.0487,          0.0060
         136,        2.250000,          0.0225,          0.0491,          0.0060
         137,        2.266667,          0.0228,          0.0494,          0.0060
         138,        2.283333,          0.0231,          0.0498,          0.0060
         139,        2.300000,          0.0233,          0.0502,          0.0060
         140,        2.316667,          0.0236,          0.0506,          0.0060
         141,        2.333333,          0.0239,          0.0510,          0.0060
         142,        2.350000,          0.0241,          0.0513,          0.0060
         143,        2.366667,          0.0244,          0.0517,          0.0060
         144,        2.383333,          0.0247,          0.0521,          0.0060
         145,        2.400000,          0.0250,          0.0525,          0.0060
         146,        2.416667,          0.0252,          0.0529,          0.0060
         147,        2.433333,          0.0255,          0.0532,          0.0060
         148,        2.450000,          0.0258,          0.0536,          0.0060
         149,        2.466667,          0.0261,          0.0540,          0.0060
         150,        2.483333,          0.0263,          0.0545,          0.0060
         151,        2.500000,          0.0266,          0.0552,          0.0061
         152,        2.516667,          0.0273,          0.0559,          0.0062
         153,        2.533333,          0.0279,          0.0566,          0.0064
         154,        2.550000,          0.0285,          0.0573,          0.0066
         155,        2.566667,          0.0292,          0.0581,          0.0068
         156,        2.583333,          0.0298,          0.0588,          0.0070
         157,        2.600000,          0.0305,          0.0595,          0.0072
         158,        2.616667,          0.0311,          0.0602,          0.0074
         159,        2.633333,          0.0318,          0.0610,          0.0076
         160,        2.650000,          0.0325,          0.0617,          0.0078
         161,        2.666667,          0.0332,          0.0624,          0.0079
         162,        2.683333,          0.0338,          0.0631,          0.0081
         163,        2.700000,          0.0345,          0.0639,          0.0083
         164,        2.716667,          0.0352,          0.0646,          0.0085
         165,        2.733333,          0.0359,          0.0653,          0.0087
         166,        2.750000,          0.0366,          0.0660,          0.0089
         167,        2.766667,          0.0373,          0.0668,          0.0091
         168,        2.783333,          0.0381,          0.0675,          0.0093
         169,        2.800000,          0.0388,          0.0682,          0.0094
         170,        2.816667,          0.0395,          0.0689,          0.0096
         171,        2.833333,          0.0402,          0.0697,          0.0098
         172,        2.850000,          0.0410,          0.0704,          0.0100
         173,        2.866667,          0.0417,          0.0711,          0.0102
         174,        2.883333,          0.0424,          0.0718,          0.0104
         175,        2.900000,          0.0432,          0.0726,          0.0106
         176,        2.916667,          0.0439,          0.0733,          0.0107
         177,        2.933333,          0.0447,          0.0740,          0.0109
         178,        2.950000,          0.0454,          0.0747,          0.0111
         179,        2.966667,          0.0462,          0.0754,          0.0113
         180,        2.983333,          0.0470,          0.0761,          0.0115
         181,        3.000000,          0.0477,          0.0768,          0.0117

