"EG05_017 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf]","Time (h)","GWQ2 Loc1_L [EG05_017]","GWQ2 Loc3_L [EG05_017]","GWQ2 Loc2_L [EG05_017]"
         118,        1.950000, 0.4424E-05, 0.4264E-05, 0.3895E-05
         119,        1.966667, 0.4462E-05, 0.4300E-05, 0.3928E-05
         120,        1.983333, 0.4500E-05, 0.4337E-05, 0.3958E-05
         121,        2.000000, 0.4535E-05, 0.4372E-05, 0.3985E-05
         122,        2.016667, 0.4564E-05, 0.4406E-05, 0.4011E-05
         123,        2.033333, 0.4591E-05, 0.4434E-05, 0.4037E-05
         124,        2.050000, 0.4616E-05, 0.4459E-05, 0.4062E-05
         125,        2.066667, 0.4640E-05, 0.4486E-05, 0.4085E-05
         126,        2.083333, 0.4664E-05, 0.4512E-05, 0.4108E-05
         127,        2.100000, 0.4687E-05, 0.4537E-05, 0.4129E-05
         128,        2.116667, 0.4710E-05, 0.4563E-05, 0.4145E-05
         129,        2.133333, 0.4733E-05, 0.4588E-05, 0.4157E-05
         130,        2.150000, 0.4756E-05, 0.4614E-05, 0.4168E-05
         131,        2.166667, 0.4778E-05, 0.4641E-05, 0.4178E-05
         132,        2.183333, 0.4799E-05, 0.4662E-05, 0.4187E-05
         133,        2.200000, 0.4817E-05, 0.4682E-05, 0.4197E-05
         134,        2.216667, 0.4832E-05, 0.4702E-05, 0.4206E-05
         135,        2.233333, 0.4844E-05, 0.4723E-05, 0.4215E-05
         136,        2.250000, 0.4858E-05, 0.4735E-05, 0.4225E-05
         137,        2.266667, 0.4867E-05, 0.4747E-05, 0.4232E-05
         138,        2.283333, 0.4879E-05, 0.4757E-05, 0.4239E-05
         139,        2.300000, 0.4887E-05, 0.4767E-05, 0.4246E-05
         140,        2.316667, 0.4895E-05, 0.4776E-05, 0.4253E-05
         141,        2.333333, 0.4903E-05, 0.4782E-05, 0.4260E-05
         142,        2.350000, 0.4910E-05, 0.4779E-05, 0.4265E-05
         143,        2.366667, 0.4916E-05, 0.4774E-05, 0.4271E-05
         144,        2.383333, 0.4923E-05, 0.4769E-05, 0.4276E-05
         145,        2.400000, 0.4929E-05, 0.4764E-05, 0.4282E-05
         146,        2.416667, 0.4936E-05, 0.4761E-05, 0.4288E-05
         147,        2.433333, 0.4941E-05, 0.4758E-05, 0.4292E-05
         148,        2.450000, 0.4946E-05, 0.4755E-05, 0.4296E-05
         149,        2.466667, 0.4950E-05, 0.4751E-05, 0.4300E-05
         150,        2.483333, 0.4962E-05, 0.4748E-05, 0.4304E-05
         151,        2.500000, 0.4966E-05, 0.4750E-05, 0.4309E-05
         152,        2.516667, 0.4962E-05, 0.4745E-05, 0.4311E-05
         153,        2.533333, 0.4957E-05, 0.4744E-05, 0.4314E-05
         154,        2.550000, 0.4958E-05, 0.4747E-05, 0.4317E-05
         155,        2.566667, 0.4959E-05, 0.4750E-05, 0.4319E-05
         156,        2.583333, 0.4960E-05, 0.4753E-05, 0.4322E-05
         157,        2.600000, 0.4962E-05, 0.4756E-05, 0.4325E-05
         158,        2.616667, 0.4963E-05, 0.4759E-05, 0.4327E-05
         159,        2.633333, 0.4964E-05, 0.4762E-05, 0.4330E-05
         160,        2.650000, 0.4965E-05, 0.4765E-05, 0.4333E-05
         161,        2.666667, 0.4966E-05, 0.4768E-05, 0.4335E-05
         162,        2.683333, 0.4967E-05, 0.4770E-05, 0.4337E-05
         163,        2.700000, 0.4968E-05, 0.4772E-05, 0.4339E-05
         164,        2.716667, 0.4968E-05, 0.4774E-05, 0.4341E-05
         165,        2.733333, 0.4969E-05, 0.4775E-05, 0.4343E-05
         166,        2.750000, 0.4970E-05, 0.4777E-05, 0.4345E-05
         167,        2.766667, 0.4970E-05, 0.4779E-05, 0.4347E-05
         168,        2.783333, 0.4971E-05, 0.4780E-05, 0.4349E-05
         169,        2.800000, 0.4972E-05, 0.4781E-05, 0.4351E-05
         170,        2.816667, 0.4972E-05, 0.4782E-05, 0.4353E-05
         171,        2.833333, 0.4973E-05, 0.4782E-05, 0.4355E-05
         172,        2.850000, 0.4974E-05, 0.4783E-05, 0.4357E-05
         173,        2.866667, 0.4974E-05, 0.4784E-05, 0.4359E-05
         174,        2.883333, 0.4975E-05, 0.4784E-05, 0.4361E-05
         175,        2.900000, 0.4976E-05, 0.4785E-05, 0.4363E-05
         176,        2.916667, 0.4976E-05, 0.4786E-05, 0.4365E-05
         177,        2.933333, 0.4977E-05, 0.4787E-05, 0.4366E-05
         178,        2.950000, 0.4978E-05, 0.4787E-05, 0.4368E-05
         179,        2.966667, 0.4978E-05, 0.4788E-05, 0.4370E-05
         180,        2.983333, 0.4979E-05, 0.4789E-05, 0.4372E-05
         181,        3.000000, 0.4980E-05, 0.4790E-05, 0.4374E-05

