"EG05_016 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_016.tcf]","Time (h)","GWQ1 Loc1_L [EG05_016]","GWQ1 Loc3_L [EG05_016]","GWQ1 Loc2_L [EG05_016]"
         101,        1.666667, 0.9196E-03, 0.9153E-03, 0.7971E-03
         102,        1.683333, 0.9207E-03, 0.9173E-03, 0.7992E-03
         103,        1.700000, 0.9218E-03, 0.9192E-03, 0.8014E-03
         104,        1.716667, 0.9230E-03, 0.9211E-03, 0.8036E-03
         105,        1.733333, 0.9241E-03, 0.9230E-03, 0.8057E-03
         106,        1.750000, 0.9252E-03, 0.9249E-03, 0.8079E-03
         107,        1.766667, 0.9264E-03, 0.9268E-03, 0.8101E-03
         108,        1.783333, 0.9275E-03, 0.9287E-03, 0.8123E-03
         109,        1.800000, 0.9286E-03, 0.9306E-03, 0.8145E-03
         110,        1.816667, 0.9298E-03, 0.9325E-03, 0.8167E-03
         111,        1.833333, 0.9309E-03, 0.9343E-03, 0.8189E-03
         112,        1.850000, 0.9321E-03, 0.9362E-03, 0.8211E-03
         113,        1.866667, 0.9332E-03, 0.9381E-03, 0.8233E-03
         114,        1.883333, 0.9344E-03, 0.9399E-03, 0.8256E-03
         115,        1.900000, 0.9355E-03, 0.9375E-03, 0.8278E-03
         116,        1.916667, 0.9367E-03, 0.9319E-03, 0.8301E-03
         117,        1.933333, 0.9378E-03, 0.9256E-03, 0.8323E-03
         118,        1.950000, 0.9389E-03, 0.9196E-03, 0.8346E-03
         119,        1.966667, 0.9401E-03, 0.9141E-03, 0.8369E-03
         120,        1.983333, 0.9413E-03, 0.9092E-03, 0.8392E-03
         121,        2.000000, 0.9424E-03, 0.9047E-03, 0.8415E-03
         122,        2.016667, 0.9435E-03, 0.9002E-03, 0.8438E-03
         123,        2.033333, 0.9447E-03, 0.8960E-03, 0.8461E-03
         124,        2.050000, 0.9458E-03, 0.8922E-03, 0.8485E-03
         125,        2.066667, 0.9470E-03, 0.8887E-03, 0.8508E-03
         126,        2.083333, 0.9481E-03, 0.8856E-03, 0.8531E-03
         127,        2.100000, 0.9493E-03, 0.8825E-03, 0.8555E-03
         128,        2.116667, 0.9504E-03, 0.8798E-03, 0.8579E-03
         129,        2.133333, 0.9516E-03, 0.8773E-03, 0.8603E-03
         130,        2.150000, 0.9527E-03, 0.8751E-03, 0.8627E-03
         131,        2.166667, 0.9538E-03, 0.8732E-03, 0.8651E-03
         132,        2.183333, 0.9550E-03, 0.8710E-03, 0.8675E-03
         133,        2.200000, 0.9561E-03, 0.8691E-03, 0.8699E-03
         134,        2.216667, 0.9573E-03, 0.8673E-03, 0.8724E-03
         135,        2.233333, 0.9584E-03, 0.8658E-03, 0.8748E-03
         136,        2.250000, 0.9596E-03, 0.8645E-03, 0.8773E-03
         137,        2.266667, 0.9607E-03, 0.8629E-03, 0.8798E-03
         138,        2.283333, 0.9618E-03, 0.8615E-03, 0.8823E-03
         139,        2.300000, 0.9630E-03, 0.8602E-03, 0.8848E-03
         140,        2.316667, 0.9641E-03, 0.8592E-03, 0.8873E-03
         141,        2.333333, 0.9652E-03, 0.8583E-03, 0.8898E-03
         142,        2.350000, 0.9664E-03, 0.8572E-03, 0.8924E-03
         143,        2.366667, 0.9675E-03, 0.8563E-03, 0.8950E-03
         144,        2.383333, 0.9687E-03, 0.8555E-03, 0.8975E-03
         145,        2.400000, 0.9698E-03, 0.8548E-03, 0.9001E-03
         146,        2.416667, 0.9709E-03, 0.8541E-03, 0.9027E-03
         147,        2.433333, 0.9720E-03, 0.8533E-03, 0.9054E-03
         148,        2.450000, 0.9732E-03, 0.8526E-03, 0.9080E-03
         149,        2.466667, 0.9743E-03, 0.8520E-03, 0.9106E-03
         150,        2.483333, 0.9754E-03, 0.8514E-03, 0.9133E-03
         151,        2.500000, 0.9765E-03, 0.8510E-03, 0.9160E-03
         152,        2.516667, 0.9777E-03, 0.8513E-03, 0.9187E-03
         153,        2.533333, 0.9788E-03, 0.8509E-03, 0.9214E-03
         154,        2.550000, 0.9799E-03, 0.8504E-03, 0.9241E-03
         155,        2.566667, 0.9810E-03, 0.8499E-03, 0.9268E-03
         156,        2.583333, 0.9821E-03, 0.8493E-03, 0.9296E-03
         157,        2.600000, 0.9833E-03, 0.8487E-03, 0.9323E-03
         158,        2.616667, 0.9844E-03, 0.8479E-03, 0.9351E-03
         159,        2.633333, 0.9855E-03, 0.8467E-03, 0.9379E-03
         160,        2.650000, 0.9866E-03, 0.8454E-03, 0.9407E-03
         161,        2.666667, 0.9878E-03, 0.8440E-03, 0.9436E-03
         162,        2.683333, 0.9889E-03, 0.8425E-03, 0.9464E-03
         163,        2.700000, 0.9900E-03, 0.8409E-03, 0.9493E-03
         164,        2.716667, 0.9911E-03, 0.8388E-03, 0.9522E-03
         165,        2.733333, 0.9923E-03, 0.8365E-03, 0.9550E-03
         166,        2.750000, 0.9934E-03, 0.8341E-03, 0.9579E-03
         167,        2.766667, 0.9945E-03, 0.8316E-03, 0.9609E-03
         168,        2.783333, 0.9956E-03, 0.8290E-03, 0.9638E-03
         169,        2.800000, 0.9968E-03, 0.8263E-03, 0.9668E-03
         170,        2.816667, 0.9979E-03, 0.8195E-03, 0.9697E-03
         171,        2.833333, 0.9990E-03, 0.8121E-03, 0.9727E-03
         172,        2.850000, 0.1000E-02, 0.8048E-03, 0.9757E-03
         173,        2.866667, 0.1001E-02, 0.7977E-03, 0.9787E-03
         174,        2.883333, 0.1002E-02, 0.7906E-03, 0.9818E-03
         175,        2.900000, 0.1004E-02, 0.7837E-03, 0.9848E-03
         176,        2.916667, 0.1005E-02, 0.7768E-03, 0.9879E-03
         177,        2.933333, 0.1006E-02, 0.7700E-03, 0.9910E-03
         178,        2.950000, 0.1007E-02, 0.7634E-03, 0.9941E-03
         179,        2.966667, 0.1008E-02, 0.7568E-03, 0.9972E-03
         180,        2.983333, 0.1009E-02, 0.7503E-03, 0.1000E-02
         181,        3.000000, 0.1010E-02, 0.7439E-03, 0.1003E-02

