 RORBWin Batch Run Summary
 *************************
 
 Program version 6.52 (last updated 1st June 2023)
 Copyright Monash University and Hydrology and Risk Consulting
 
 Date run: 08 Aug 2026 22:32

 Catchment file   : E:\Library\Automation\ryan-tools\tests\test_data\RORB\Fig6_7.catg
 Rainfall location: User defined
 Temporal pattern : ARR2016 areal temporal patterns, 200 km² standard area
 Spatial pattern  : Uniform
 Areal Red. Fact. : Based on ARR 2016 (Book 2 Chapter 4)
 Loss factors     : Constant with ARI
 

 Parameters:  kc =    10.00    m = 0.80

 Loss parameters     Initial loss (mm)   Cont. loss (mm/h)
                           12.00              1.90

 Peak  Description
   01  Calculated hydrograph:
 
 Run        Duration             AEP   TPat  Rain(mm)     ARF  PbDepth  Peak0001
  33         96 hour              5%      6    143.00    0.97     0.00   79.2059 
  33         96 hour              5%      7    143.00    0.97     0.00   176.601 
  33         96 hour              5%      8    143.00    0.97     0.00   169.087 
  33         96 hour              5%      9    143.00    0.97     0.00   144.275 
  33         96 hour              5%     10    143.00    0.97     0.00   361.818 
  34        120 hour              5%      1    147.00    0.97     0.00   139.847 
  34        120 hour              5%      2    147.00    0.97     0.00   165.350 
  34        120 hour              5%      3    147.00    0.97     0.00   72.7667 
  34        120 hour              5%      4    147.00    0.97     0.00   85.1499 
  34        120 hour              5%      5    147.00    0.97     0.00   45.6381 
  34        120 hour              5%      6    147.00    0.97     0.00   80.7602 
  34        120 hour              5%      7    147.00    0.97     0.00   435.819 
  34        120 hour              5%      8    147.00    0.97     0.00   139.714 
  34        120 hour              5%      9    147.00    0.97     0.00   60.0495 
  34        120 hour              5%     10    147.00    0.97     0.00   75.7265 
  35        144 hour              5%      1    149.00    0.97     0.00   134.716 
  35        144 hour              5%      2    149.00    0.97     0.00   39.4644 
  35        144 hour              5%      3    149.00    0.97     0.00   112.038 
  35        144 hour              5%      4    149.00    0.97     0.00   60.3371 
  35        144 hour              5%      5    149.00    0.97     0.00   32.9859 
  35        144 hour              5%      6    149.00    0.97     0.00   126.437 
