"EG12_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_012.tcf]","Time (h)","H FC01.1_R.1 [EG12_012]","H FC01.1_R.2 [EG12_012]","H FC04.1_C.1 [EG12_012]","H FC04.1_C.2 [EG12_012]","H OC999.8 [EG12_012]","H OC999.9 [EG12_012]","H SGate1.1 [EG12_012]","H SGate1.2 [EG12_012]"
      27,          0.433333,     46.4561,     45.2654,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      28,          0.450000,     46.5446,     45.3376,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      29,          0.466667,     46.6340,     45.4233,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      30,          0.483333,     46.7579,     45.5129,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      31,          0.500000,     46.8806,     45.6049,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      32,          0.516667,     47.0061,     45.6978,     43.3490,     42.7490,     42.3000,     38.6072,     40.9990,     40.9990
      33,          0.533333,     47.1748,     45.8126,     43.3490,     42.7490,     42.3000,     38.8032,     40.9990,     40.9990
      34,          0.550000,     47.3955,     45.9614,     43.3490,     42.7490,     42.3000,     39.3210,     40.9990,     40.9990
      35,          0.566667,     47.6475,     46.1224,     43.3490,     42.7490,     42.3857,     39.6266,     40.9990,     40.9990
      36,          0.583333,     47.9195,     46.2529,     43.3490,     42.7490,     42.4837,     39.8377,     40.9990,     40.9990
      37,          0.600000,     48.1986,     46.3624,     43.3490,     42.7490,     42.5593,     40.0135,     40.9990,     40.9990
      38,          0.616667,     48.4590,     46.4562,     43.3490,     42.7490,     42.6154,     40.1971,     40.9990,     40.9990
      39,          0.633333,     48.6977,     46.5295,     43.3490,     42.7490,     42.6609,     40.3845,     40.9990,     40.9990
      40,          0.650000,     48.9214,     46.5914,     43.3490,     42.7490,     42.7004,     40.5712,     40.9990,     40.9990
      41,          0.666667,     49.1397,     46.6501,     43.3490,     42.7490,     42.7385,     40.7650,     40.9990,     40.9990
      42,          0.683333,     49.3516,     46.6989,     43.3490,     42.7490,     42.7724,     40.9579,     40.9990,     40.9990
      43,          0.700000,     49.5245,     46.8061,     43.3490,     42.7490,     42.8044,     41.1452,     41.1490,     40.9990
      44,          0.716667,     49.6448,     46.9560,     43.3490,     42.7490,     42.8344,     41.3096,     41.3131,     40.9990
      45,          0.733333,     49.7222,     47.0987,     43.3490,     42.7490,     42.8625,     41.4584,     41.4613,     40.9990
      46,          0.750000,     49.7705,     47.2084,     43.3490,     42.7490,     42.8892,     41.5982,     41.6005,     40.9990
      47,          0.766667,     49.8011,     47.2798,     43.3490,     42.7490,     42.9149,     41.7330,     41.7349,     40.9990
      48,          0.783333,     49.8184,     47.3204,     43.3490,     42.7490,     42.9392,     41.8696,     41.8711,     40.9990
      49,          0.800000,     49.8290,     47.3432,     43.3490,     42.7490,     42.9629,     42.0109,     42.0123,     40.9990
      50,          0.816667,     49.8365,     47.3573,     43.3490,     42.7490,     42.9861,     42.1543,     42.1557,     40.9990
      51,          0.833333,     49.8421,     47.3674,     43.3490,     42.7490,     43.0076,     42.2922,     42.2926,     40.9990
      52,          0.850000,     49.8464,     47.3752,     43.3490,     42.7490,     43.0151,     42.4165,     42.4163,     40.9990
      53,          0.866667,     49.8490,     47.3804,     43.3490,     42.7490,     43.0149,     42.5270,     42.5261,     40.9990
      54,          0.883333,     49.8509,     47.3837,     43.3490,     42.7632,     43.0150,     42.6242,     42.6220,     40.9990
      55,          0.900000,     49.8524,     47.3863,     43.3490,     42.8272,     43.0149,     42.7100,     42.7063,     40.9990
      56,          0.916667,     49.8537,     47.3884,     43.3490,     42.8819,     43.0146,     42.7858,     42.7800,     40.9990
      57,          0.933333,     49.8548,     47.3902,     43.3490,     42.9411,     43.0146,     42.8524,     42.8439,     40.9990
      58,          0.950000,     49.8551,     47.3912,     43.3490,     42.9843,     43.0145,     42.9117,     42.9002,     40.9990
      59,          0.966667,     49.8550,     47.3913,     43.3490,     43.0234,     43.0145,     42.9672,     42.9552,     40.9990
      60,          0.983333,     49.8547,     47.3910,     43.3490,     43.1219,     43.0144,     43.0182,     43.0060,     40.9990
      61,          1.000000,     49.8544,     47.3905,     43.3490,     43.1704,     43.0144,     43.0731,     43.0608,     40.9990
      62,          1.016667,     49.8538,     47.3898,     43.3490,     43.2081,     43.0143,     43.1249,     43.1086,     40.9990
      63,          1.033333,     49.8521,     47.3880,     43.3490,     43.2457,     43.0143,     43.1708,     43.1502,     40.9990
      64,          1.050000,     49.8500,     47.3852,     43.3490,     43.2852,     43.0142,     43.2119,     43.1869,     40.9990
      65,          1.066667,     49.8477,     47.3819,     43.3490,     43.3244,     43.0141,     43.2523,     43.2279,     40.9990
      66,          1.083333,     49.8452,     47.3783,     43.3490,     43.3547,     43.0141,     43.2911,     43.2666,     40.9990
      67,          1.100000,     49.8423,     47.3743,     43.3490,     43.3871,     43.0140,     43.3271,     43.3026,     40.9990
      68,          1.116667,     49.8368,     47.3675,     43.3490,     43.4181,     43.0139,     43.3635,     43.3390,     40.9990
      69,          1.133333,     49.8305,     47.3584,     43.3490,     43.4485,     43.0140,     43.3970,     43.3725,     40.9990
      70,          1.150000,     49.8229,     47.3480,     43.3490,     43.4781,     43.0139,     43.4306,     43.4060,     40.9990
      71,          1.166667,     49.8151,     47.3366,     43.3583,     43.5060,     43.0139,     43.4619,     43.4373,     40.9990
      72,          1.183333,     49.8069,     47.3246,     43.3724,     43.5327,     43.0137,     43.4920,     43.4674,     40.9990
      73,          1.200000,     49.7979,     47.3115,     43.3861,     43.5583,     43.0138,     43.5205,     43.4958,     40.9990
      74,          1.216667,     49.7885,     47.2973,     43.3995,     43.5826,     43.0137,     43.5436,     43.5134,     40.9990
      75,          1.233333,     49.7788,     47.2826,     43.4140,     43.6055,     43.0138,     43.5640,     43.5285,     40.9990
      76,          1.250000,     49.7688,     47.2671,     43.4316,     43.6223,     43.0138,     43.5809,     43.5396,     40.9990
      77,          1.266667,     49.7583,     47.2515,     43.4503,     43.6345,     43.0138,     43.5931,     43.5456,     40.9990
      78,          1.283333,     49.7459,     47.2333,     43.4709,     43.6439,     43.0138,     43.6042,     43.5540,     40.9990
      79,          1.300000,     49.7323,     47.2122,     43.4925,     43.6498,     43.0138,     43.6124,     43.5622,     40.9990
      80,          1.316667,     49.7177,     47.1894,     43.5150,     43.6553,     43.0138,     43.6191,     43.5690,     40.9990
      81,          1.333333,     49.7024,     47.1650,     43.5375,     43.6600,     43.0137,     43.6252,     43.5750,     40.9990
      82,          1.350000,     49.6864,     47.1396,     43.5638,     43.6626,     43.0138,     43.6291,     43.5789,     40.9990
      83,          1.366667,     49.6696,     47.1130,     43.5865,     43.6657,     43.0138,     43.6321,     43.5819,     40.9990
      84,          1.383333,     49.6519,     47.0847,     43.6107,     43.6657,     43.0138,     43.6338,     43.5836,     40.9990
      85,          1.400000,     49.6332,     47.0550,     43.6314,     43.6660,     43.0138,     43.6337,     43.5835,     40.9990
      86,          1.416667,     49.6135,     47.0248,     43.6480,     43.6651,     43.0138,     43.6327,     43.5826,     40.9990
      87,          1.433333,     49.5923,     46.9922,     43.6574,     43.6635,     43.0138,     43.6304,     43.5803,     40.9990
      88,          1.450000,     49.5705,     46.9602,     43.6598,     43.6590,     43.0137,     43.6269,     43.5767,     40.9990
      89,          1.466667,     49.5475,     46.9282,     43.6572,     43.6544,     43.0138,     43.6225,     43.5723,     40.9990
      90,          1.483333,     49.5225,     46.8969,     43.6515,     43.6477,     43.0137,     43.6167,     43.5665,     40.9990
      91,          1.500000,     49.4957,     46.8647,     43.6447,     43.6409,     43.0138,     43.6099,     43.5597,     40.9990
      92,          1.516667,     49.4665,     46.8333,     43.6374,     43.6329,     43.0138,     43.6019,     43.5517,     40.9990
      93,          1.533333,     49.4346,     46.8037,     43.6291,     43.6240,     43.0138,     43.5930,     43.5428,     40.9990
      94,          1.550000,     49.3983,     46.7790,     43.6199,     43.6141,     43.0138,     43.5831,     43.5329,     40.9990
      95,          1.566667,     49.3553,     46.7538,     43.6100,     43.6035,     43.0138,     43.5723,     43.5221,     40.9990
      96,          1.583333,     49.3043,     46.7404,     43.5995,     43.5923,     43.0138,     43.5608,     43.5106,     40.9990
      97,          1.600000,     49.2459,     46.7242,     43.5886,     43.5809,     43.0137,     43.5488,     43.4986,     40.9990
      98,          1.616667,     49.1842,     46.7114,     43.5775,     43.5692,     43.0138,     43.5364,     43.4862,     40.9990
      99,          1.633333,     49.1184,     46.6986,     43.5661,     43.5569,     43.0138,     43.5238,     43.4736,     40.9990
     100,          1.650000,     49.0486,     46.6848,     43.5545,     43.5445,     43.0138,     43.5109,     43.4607,     40.9990
     101,          1.666667,     48.9737,     46.6650,     43.5434,     43.5315,     43.0138,     43.4977,     43.4475,     40.9990
     102,          1.683333,     48.8940,     46.6500,     43.5332,     43.5185,     43.0138,     43.4841,     43.4339,     40.9990
     103,          1.700000,     48.8082,     46.6308,     43.5236,     43.5051,     43.0138,     43.4702,     43.4200,     40.9990
     104,          1.716667,     48.7158,     46.6097,     43.5147,     43.4915,     43.0138,     43.4560,     43.4058,     40.9990
     105,          1.733333,     48.6173,     46.5870,     43.5065,     43.4774,     43.0138,     43.4414,     43.3912,     40.9990
     106,          1.750000,     48.5123,     46.5621,     43.4988,     43.4627,     43.0138,     43.4263,     43.3761,     40.9990
     107,          1.766667,     48.4008,     46.5341,     43.4917,     43.4475,     43.0138,     43.4107,     43.3605,     40.9990
     108,          1.783333,     48.2870,     46.5030,     43.4851,     43.4319,     43.0138,     43.3945,     43.3443,     40.9990
     109,          1.800000,     48.1717,     46.4710,     43.4790,     43.4157,     43.0138,     43.3778,     43.3276,     40.9990
     110,          1.816667,     48.0532,     46.4364,     43.4732,     43.3988,     43.0138,     43.3604,     43.3102,     40.9990
     111,          1.833333,     47.9331,     46.3989,     43.4679,     43.3811,     43.0138,     43.3423,     43.2921,     40.9990
     112,          1.850000,     47.8119,     46.3584,     43.4629,     43.3629,     43.0137,     43.3234,     43.2733,     40.9990
     113,          1.866667,     47.6918,     46.3148,     43.4582,     43.3438,     43.0138,     43.3038,     43.2537,     40.9990
     114,          1.883333,     47.5813,     46.2632,     43.4538,     43.3238,     43.0138,     43.2833,     43.2332,     40.9990
     115,          1.900000,     47.4903,     46.2068,     43.4496,     43.3030,     43.0138,     43.2620,     43.2119,     40.9990
     116,          1.916667,     47.4121,     46.1525,     43.4457,     43.2812,     43.0138,     43.2398,     43.1897,     40.9990
     117,          1.933333,     47.3455,     46.1023,     43.4421,     43.2583,     43.0138,     43.2165,     43.1664,     40.9990
     118,          1.950000,     47.2892,     46.0572,     43.4387,     43.2347,     43.0138,     43.1921,     43.1421,     40.9990
     119,          1.966667,     47.2429,     46.0203,     43.4354,     43.2102,     43.0138,     43.1667,     43.1168,     40.9990
     120,          1.983333,     47.2041,     45.9889,     43.4323,     43.1849,     43.0138,     43.1403,     43.0904,     40.9990
     121,          2.000000,     47.1712,     45.9623,     43.4294,     43.1585,     43.0138,     43.1131,     43.0632,     40.9990
     122,          2.016667,     47.1431,     45.9399,     43.4266,     43.1320,     43.0138,     43.0891,     43.0463,     40.9990
     123,          2.033334,     47.1162,     45.9196,     43.4240,     43.1062,     43.0138,     43.0661,     43.0293,     40.9990
     124,          2.050000,     47.0899,     45.9003,     43.4215,     43.0818,     43.0138,     43.0452,     43.0138,     40.9990
     125,          2.066667,     47.0634,     45.8814,     43.4192,     43.0618,     43.0138,     43.0267,     43.0004,     40.9990
     126,          2.083333,     47.0362,     45.8623,     43.4170,     43.0447,     43.0138,     43.0111,     42.9895,     40.9990
     127,          2.100000,     47.0086,     45.8428,     43.4149,     43.0291,     43.0138,     42.9979,     42.9805,     40.9990
     128,          2.116667,     46.9797,     45.8225,     43.4129,     43.0150,     43.0138,     42.9875,     42.9739,     40.9990
     129,          2.133333,     46.9491,     45.8010,     43.4111,     43.0050,     43.0138,     42.9776,     42.9651,     40.9990
     130,          2.150000,     46.9166,     45.7784,     43.4093,     42.9976,     43.0137,     42.9683,     42.9558,     40.9990
     131,          2.166667,     46.8828,     45.7542,     43.4076,     42.9896,     43.0138,     42.9595,     42.9470,     40.9990
     132,          2.183333,     46.8499,     45.7275,     43.4060,     42.9815,     43.0138,     42.9497,     42.9372,     40.9990
     133,          2.200000,     46.8157,     45.7021,     43.4045,     42.9686,     43.0138,     42.9402,     42.9277,     40.9990
     134,          2.216667,     46.7874,     45.6785,     43.4030,     42.9598,     43.0138,     42.9300,     42.9175,     40.9990
     135,          2.233333,     46.7640,     45.6575,     43.4016,     42.9480,     43.0138,     42.9195,     42.9070,     40.9990
     136,          2.250000,     46.7440,     45.6390,     43.4002,     42.9387,     43.0138,     42.9083,     42.8958,     40.9990
     137,          2.266667,     46.7265,     45.6222,     43.3989,     42.9269,     43.0138,     42.8970,     42.8845,     40.9990
     138,          2.283334,     46.7109,     45.6071,     43.3977,     42.9156,     43.0138,     42.8854,     42.8729,     40.9990
     139,          2.300000,     46.6945,     45.5921,     43.3965,     42.9038,     43.0138,     42.8732,     42.8608,     40.9990
     140,          2.316667,     46.6773,     45.5773,     43.3954,     42.8918,     43.0138,     42.8610,     42.8485,     40.9990
     141,          2.333333,     46.6611,     45.5632,     43.3943,     42.8800,     43.0138,     42.8484,     42.8360,     40.9990
     142,          2.350000,     46.6430,     45.5484,     43.3932,     42.8676,     43.0138,     42.8355,     42.8231,     40.9990
     143,          2.366667,     46.6278,     45.5348,     43.3922,     42.8555,     43.0138,     42.8223,     42.8099,     40.9990
     144,          2.383333,     46.6100,     45.5197,     43.3912,     42.8424,     43.0138,     42.8090,     42.7966,     40.9990
     145,          2.400000,     46.5940,     45.5048,     43.3903,     42.8301,     43.0138,     42.7952,     42.7828,     40.9990
     146,          2.416667,     46.5793,     45.4887,     43.3894,     42.8181,     43.0138,     42.7813,     42.7689,     40.9990
     147,          2.433333,     46.5651,     45.4748,     43.3885,     42.8063,     43.0138,     42.7671,     42.7547,     40.9990
     148,          2.450000,     46.5530,     45.4628,     43.3877,     42.7954,     43.0138,     42.7525,     42.7402,     40.9990
     149,          2.466667,     46.5411,     45.4511,     43.3869,     42.7868,     43.0138,     42.7377,     42.7254,     40.9990
     150,          2.483333,     46.5251,     45.4380,     43.3861,     42.7813,     43.0138,     42.7225,     42.7102,     40.9990
     151,          2.500000,     46.5080,     45.4235,     43.3853,     42.7798,     43.0138,     42.7072,     42.6949,     40.9990
     152,          2.516667,     46.4904,     45.4083,     43.3846,     42.7819,     43.0138,     42.6915,     42.6793,     40.9990
     153,          2.533334,     46.4722,     45.3927,     43.3839,     42.7869,     43.0138,     42.6757,     42.6634,     40.9990
     154,          2.550000,     46.4557,     45.3774,     43.3832,     42.7873,     43.0138,     42.6596,     42.6474,     40.9990
     155,          2.566667,     46.4384,     45.3622,     43.3826,     42.7866,     43.0138,     42.6432,     42.6311,     40.9990
     156,          2.583333,     46.4193,     45.3458,     43.3819,     42.7859,     43.0138,     42.6269,     42.6148,     40.9990
     157,          2.600000,     46.3987,     45.3279,     43.3813,     42.7851,     43.0138,     42.6101,     42.5980,     40.9990
     158,          2.616667,     46.3795,     45.3102,     43.3807,     42.7843,     43.0138,     42.5929,     42.5809,     40.9990
     159,          2.633333,     46.3621,     45.2933,     43.3802,     42.7835,     43.0138,     42.5754,     42.5634,     40.9990
     160,          2.650000,     46.3478,     45.2775,     43.3796,     42.7827,     43.0138,     42.5577,     42.5458,     40.9990
     161,          2.666667,     46.3310,     45.2623,     43.3791,     42.7820,     43.0138,     42.5396,     42.5277,     40.9990
     162,          2.683333,     46.3154,     45.2471,     43.3785,     42.7812,     43.0138,     42.5213,     42.5095,     40.9990
     163,          2.700000,     46.2997,     45.2321,     43.3780,     42.7805,     43.0138,     42.5025,     42.4907,     40.9990
     164,          2.716667,     46.2832,     45.2168,     43.3775,     42.7798,     43.0138,     42.4835,     42.4717,     40.9990
     165,          2.733334,     46.2656,     45.2004,     43.3771,     42.7792,     43.0138,     42.4639,     42.4523,     40.9990
     166,          2.750000,     46.2476,     45.1839,     43.3766,     42.7785,     43.0138,     42.4442,     42.4326,     40.9990
     167,          2.766667,     46.2285,     45.1665,     43.3762,     42.7779,     43.0138,     42.4241,     42.4126,     40.9990
     168,          2.783334,     46.2138,     45.1509,     43.3757,     42.7772,     43.0138,     42.4037,     42.3922,     40.9990
     169,          2.800000,     46.1916,     45.1312,     43.3753,     42.7766,     43.0138,     42.3830,     42.3716,     40.9990
     170,          2.816667,     46.1687,     45.1082,     43.3749,     42.7760,     43.0138,     42.3619,     42.3506,     40.9990
     171,          2.833333,     46.1456,     45.0846,     43.3745,     42.7754,     43.0138,     42.3406,     42.3293,     40.9990
     172,          2.850000,     46.1219,     45.0574,     43.3741,     42.7748,     43.0138,     42.3187,     42.3075,     40.9990
     173,          2.866667,     46.0978,     45.0273,     43.3737,     42.7743,     43.0138,     42.2965,     42.2854,     40.9990
     174,          2.883333,     46.0741,     44.9945,     43.3733,     42.7737,     43.0138,     42.2739,     42.2629,     40.9990
     175,          2.900000,     46.0496,     44.9584,     43.3730,     42.7732,     43.0138,     42.2509,     42.2399,     40.9990
     176,          2.916667,     46.0253,     44.9223,     43.3726,     42.7727,     43.0138,     42.2274,     42.2166,     40.9990
     177,          2.933333,     46.0004,     44.8847,     43.3723,     42.7721,     43.0138,     42.2036,     42.1929,     40.9990
     178,          2.950000,     45.9770,     44.8506,     43.3720,     42.7716,     43.0138,     42.1792,     42.1686,     40.9990
     179,          2.966667,     45.9548,     44.8195,     43.3716,     42.7711,     43.0138,     42.1542,     42.1437,     40.9990
     180,          2.983334,     45.9357,     44.7910,     43.3713,     42.7706,     43.0138,     42.1288,     42.1184,     40.9990
     181,          3.000000,     45.9157,     44.7627,     43.3710,     42.7702,     43.0138,     42.1030,     42.0927,     40.9990
