"EG12_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_012.tcf]","Time (h)","Q FC01.1_R [EG12_012]","Q FC04.1_C [EG12_012]","Q OC_001 [EG12_012]","Q SGate1 [EG12_012]"
     171,          2.833333,           5.335,           0.004,           0.000,          22.982
     172,          2.850000,           5.082,           0.004,           0.000,          22.793
     173,          2.866667,           4.830,           0.004,           0.000,          22.600
     174,          2.883333,           4.586,           0.004,           0.000,          22.401
     175,          2.900000,           4.338,           0.004,           0.000,          22.196
     176,          2.916667,           4.097,           0.004,           0.000,          21.986
     177,          2.933333,           3.854,           0.004,           0.000,          21.771
     178,          2.950000,           3.632,           0.003,           0.000,          21.548
     179,          2.966667,           3.424,           0.003,           0.000,          21.317
     180,          2.983334,           3.249,           0.003,           0.000,          21.080
     181,          3.000000,           3.068,           0.003,           0.000,          20.822
