"EG12_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_009.tcf]","Time (h)","SQ FC04.1_C [EG12_009]","SQ OC_002 [EG12_009]","SQ FC01.1_R [EG12_009]"
     158,          2.616667,      0.0656,     35.8541,      8.0305
     159,          2.633333,      0.0607,     35.6114,      7.8202
     160,          2.650000,      0.0563,     35.3643,      7.6448
     161,          2.666667,      0.0523,     35.1145,      7.4445
     162,          2.683333,      0.0487,     34.8614,      7.2556
     163,          2.700000,      0.0453,     34.6069,      7.0711
     164,          2.716667,      0.0423,     34.3472,      6.8770
     165,          2.733334,      0.0394,     34.0810,      6.6721
     166,          2.750000,      0.0369,     33.8117,      6.4675
     167,          2.766667,      0.0345,     33.5392,      6.2478
     168,          2.783334,      0.0324,     33.2634,      6.0848
     169,          2.800000,      0.0304,     32.9823,      5.8365
     170,          2.816667,      0.0285,     32.6974,      5.5843
     171,          2.833333,      0.0269,     32.3151,      5.3349
     172,          2.850000,      0.0254,     31.3465,      5.0815
     173,          2.866667,      0.0240,     30.3952,      4.8294
     174,          2.883333,      0.0227,     29.4639,      4.5860
     175,          2.900000,      0.0215,     28.5552,      4.3381
     176,          2.916667,      0.0203,     27.6733,      4.0974
     177,          2.933333,      0.0193,     26.8142,      3.8545
     178,          2.950000,      0.0183,     25.9734,      3.6316
     179,          2.966667,      0.0174,     25.1505,      3.4247
     180,          2.983334,      0.0165,     24.3475,      3.2488
     181,          3.000000,      0.0157,     23.5708,      3.0691
