"EG12_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_004.tcf]","Time (h)","Q FC01.1_R [EG12_004]","Q FC01.2_R [EG12_004]","Q FC04.1_C [EG12_004]","Q OC_001 [EG12_004]"
     156,          2.583333,           8.526,          11.360,           0.000,           0.000
     157,          2.600000,           8.266,          11.194,           0.000,           0.000
     158,          2.616667,           8.029,          10.948,           0.000,           0.000
     159,          2.633333,           7.818,          10.708,           0.000,           0.000
     160,          2.650000,           7.644,          10.484,           0.000,           0.000
     161,          2.666667,           7.443,          10.261,           0.000,           0.000
     162,          2.683333,           7.253,          10.046,           0.000,           0.000
     163,          2.700000,           7.069,           9.815,           0.000,           0.000
     164,          2.716667,           6.877,           9.583,           0.000,           0.000
     165,          2.733334,           6.671,           9.374,           0.000,           0.000
     166,          2.750000,           6.465,           9.158,           0.000,           0.000
     167,          2.766667,           6.249,           8.957,           0.000,           0.000
     168,          2.783334,           6.057,           8.814,           0.000,           0.000
     169,          2.800000,           5.834,           8.578,           0.000,           0.000
     170,          2.816667,           5.582,           8.266,           0.000,           0.000
     171,          2.833333,           5.333,          13.764,           0.000,           0.000
     172,          2.850000,           5.082,           1.361,           0.000,           0.000
     173,          2.866667,           4.829,          15.959,           0.000,           0.000
     174,          2.883333,           4.585,          12.481,           0.000,           0.000
     175,          2.900000,           4.336,          15.577,           0.000,           0.000
     176,          2.916667,           4.095,          11.878,           0.000,           0.000
     177,          2.933333,           3.853,           2.029,           0.000,           0.000
     178,          2.950000,           3.630,          14.798,           0.000,           0.000
     179,          2.966667,           3.423,          -2.056,           0.000,           0.000
     180,          2.983334,           3.248,          -2.325,           0.000,           0.000
     181,          3.000000,           3.069,          -3.541,           0.000,           0.000
