"EG12_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_011.tcf]","Time (h)","Q FC01.1_R [EG12_011]","Q FC04.1_C [EG12_011]","Q OC_001 [EG12_011]","Q OC_002 [EG12_011]"
     150,          2.483333,           9.889,           0.011,           0.000,          24.802
     151,          2.500000,           9.663,           0.011,           0.000,          24.247
     152,          2.516667,           9.434,           0.010,           0.000,          23.705
     153,          2.533334,           9.199,           0.010,           0.000,          23.181
     154,          2.550000,           8.988,           0.009,           0.000,          22.665
     155,          2.566667,           8.768,           0.009,           0.000,          22.165
     156,          2.583333,           8.526,           0.009,           0.000,          21.677
     157,          2.600000,           8.271,           0.008,           0.000,          21.203
     158,          2.616667,           8.031,           0.008,           0.000,          20.735
     159,          2.633333,           7.820,           0.008,           0.000,          20.270
     160,          2.650000,           7.644,           0.007,           0.000,          19.819
     161,          2.666667,           7.444,           0.007,           0.000,          19.376
     162,          2.683333,           7.257,           0.007,           0.000,          18.940
     163,          2.700000,           7.071,           0.007,           0.000,          18.515
     164,          2.716667,           6.877,           0.006,           0.000,          18.095
     165,          2.733334,           6.672,           0.006,           0.000,          17.682
     166,          2.750000,           6.467,           0.006,           0.000,          17.278
     167,          2.766667,           6.248,           0.006,           0.000,          16.883
     168,          2.783334,           6.084,           0.006,           0.000,          16.495
     169,          2.800000,           5.838,           0.005,           0.000,          16.115
     170,          2.816667,           5.586,           0.005,           0.000,          15.741
     171,          2.833333,           5.336,           0.005,           0.000,          15.378
     172,          2.850000,           5.083,           0.005,           0.000,          15.019
     173,          2.866667,           4.831,           0.005,           0.000,          14.669
     174,          2.883333,           4.587,           0.005,           0.000,          14.325
     175,          2.900000,           4.338,           0.004,           0.000,          13.987
     176,          2.916667,           4.099,           0.004,           0.000,          13.653
     177,          2.933333,           3.856,           0.004,           0.000,          13.327
     178,          2.950000,           3.633,           0.004,           0.000,          13.003
     179,          2.966667,           3.425,           0.004,           0.000,          12.680
     180,          2.983334,           3.249,           0.004,           0.000,          12.362
     181,          3.000000,           3.070,           0.004,           0.000,          12.051
