"EG12_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_011.tcf]","Time (h)","H FC01.1_R.1 [EG12_011]","H FC01.1_R.2 [EG12_011]","H FC04.1_C.1 [EG12_011]","H FC04.1_C.2 [EG12_011]","H OC999.8 [EG12_011]","H OC999.9 [EG12_011]","H OC_002.1 [EG12_011]","H OC_002.2 [EG12_011]"
      17,          0.266667,     45.9071,     44.6491,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      18,          0.283333,     45.9555,     44.7121,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      19,          0.300000,     45.9931,     44.7739,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      20,          0.316667,     46.0437,     44.8294,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      21,          0.333333,     46.0928,     44.8838,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      22,          0.350000,     46.1405,     44.9362,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      23,          0.366667,     46.1908,     44.9906,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      24,          0.383333,     46.2516,     45.0556,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      25,          0.400000,     46.3118,     45.1270,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      26,          0.416667,     46.3793,     45.1949,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      27,          0.433333,     46.4561,     45.2654,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      28,          0.450000,     46.5446,     45.3376,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      29,          0.466667,     46.6340,     45.4233,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      30,          0.483333,     46.7579,     45.5129,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      31,          0.500000,     46.8806,     45.6049,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      32,          0.516667,     47.0061,     45.6978,     43.3490,     42.7490,     42.3000,     38.6072,     41.9990,     41.9990
      33,          0.533333,     47.1748,     45.8126,     43.3490,     42.7490,     42.3000,     38.7457,     41.9990,     41.9990
      34,          0.550000,     47.3955,     45.9614,     43.3490,     42.7490,     42.3000,     39.2352,     41.9990,     41.9990
      35,          0.566667,     47.6475,     46.1224,     43.3490,     42.7490,     42.3079,     39.5771,     41.9990,     41.9990
      36,          0.583333,     47.9195,     46.2529,     43.3490,     42.7490,     42.3927,     39.8060,     41.9990,     41.9990
      37,          0.600000,     48.1986,     46.3624,     43.3490,     42.7490,     42.5051,     39.9795,     41.9990,     41.9990
      38,          0.616667,     48.4590,     46.4562,     43.3490,     42.7490,     42.6067,     40.1607,     41.9990,     41.9990
      39,          0.633333,     48.6977,     46.5295,     43.3490,     42.7490,     42.6965,     40.3433,     41.9990,     41.9990
      40,          0.650000,     48.9214,     46.5914,     43.3490,     42.7490,     42.7776,     40.5254,     41.9990,     41.9990
      41,          0.666667,     49.1397,     46.6501,     43.3490,     42.7490,     42.8611,     40.7142,     41.9990,     41.9990
      42,          0.683333,     49.3516,     46.6989,     43.3490,     42.7490,     42.9413,     40.9034,     41.9990,     41.9990
      43,          0.700000,     49.5245,     46.8061,     43.3490,     42.7490,     43.0229,     41.0915,     41.9990,     41.9990
      44,          0.716667,     49.6448,     46.9560,     43.3490,     42.7490,     43.1031,     41.2582,     41.9990,     41.9990
      45,          0.733333,     49.7222,     47.0987,     43.3490,     42.7490,     43.1709,     41.4089,     41.9990,     41.9990
      46,          0.750000,     49.7705,     47.2083,     43.3490,     42.7490,     43.2258,     41.5503,     41.9990,     41.9990
      47,          0.766667,     49.8011,     47.2798,     43.3490,     42.7490,     43.2821,     41.6876,     41.9990,     41.9990
      48,          0.783333,     49.8184,     47.3204,     43.3490,     42.7490,     43.3462,     41.8255,     41.9990,     41.9990
      49,          0.800000,     49.8290,     47.3432,     43.3490,     42.7490,     43.3983,     41.9688,     41.9990,     41.9990
      50,          0.816667,     49.8365,     47.3573,     43.3490,     42.7490,     43.4580,     42.1145,     42.1171,     41.9990
      51,          0.833333,     49.8421,     47.3674,     43.3490,     42.7490,     43.5089,     42.2558,     42.2581,     41.9990
      52,          0.850000,     49.8464,     47.3752,     43.3490,     42.7490,     43.5605,     42.3874,     42.3894,     41.9990
      53,          0.866667,     49.8490,     47.3804,     43.3490,     42.7490,     43.6033,     42.5078,     42.5096,     41.9990
      54,          0.883333,     49.8509,     47.3837,     43.3490,     42.7490,     43.6396,     42.6179,     42.6193,     41.9990
      55,          0.900000,     49.8524,     47.3863,     43.3490,     42.8149,     43.6740,     42.7188,     42.7199,     41.9990
      56,          0.916667,     49.8537,     47.3884,     43.3490,     42.8797,     43.6971,     42.8117,     42.8127,     41.9990
      57,          0.933333,     49.8548,     47.3902,     43.3490,     42.9461,     43.7212,     42.8974,     42.8981,     41.9990
      58,          0.950000,     49.8551,     47.3912,     43.3490,     43.0124,     43.7359,     42.9778,     42.9783,     41.9990
      59,          0.966667,     49.8550,     47.3913,     43.3490,     43.0692,     43.7467,     43.0533,     43.0538,     41.9990
      60,          0.983333,     49.8547,     47.3910,     43.3490,     43.1841,     43.7554,     43.1234,     43.1236,     41.9990
      61,          1.000000,     49.8544,     47.3905,     43.3490,     43.2600,     43.7544,     43.1966,     43.1957,     41.9990
      62,          1.016667,     49.8538,     47.3898,     43.3490,     43.3126,     43.7569,     43.2675,     43.2667,     41.9990
      63,          1.033333,     49.8521,     47.3880,     43.3490,     43.3653,     43.7560,     43.3308,     43.3291,     41.9990
      64,          1.050000,     49.8500,     47.3852,     43.3490,     43.4262,     43.7549,     43.3884,     43.3852,     41.9990
      65,          1.066667,     49.8477,     47.3819,     43.3490,     43.4811,     43.7574,     43.4407,     43.4358,     41.9990
      66,          1.083333,     49.8452,     47.3783,     43.3661,     43.5266,     43.7543,     43.4898,     43.4825,     41.9990
      67,          1.100000,     49.8422,     47.3743,     43.3878,     43.5684,     43.7566,     43.5337,     43.5237,     41.9990
      68,          1.116667,     49.8369,     47.3675,     43.4074,     43.6071,     43.7560,     43.5742,     43.5610,     41.9990
      69,          1.133333,     49.8305,     47.3584,     43.4293,     43.6429,     43.7547,     43.6095,     43.5927,     41.9990
      70,          1.150000,     49.8229,     47.3480,     43.4525,     43.6749,     43.7574,     43.6417,     43.6209,     41.9990
      71,          1.166667,     49.8151,     47.3366,     43.4787,     43.7014,     43.7545,     43.6697,     43.6447,     41.9990
      72,          1.183333,     49.8069,     47.3246,     43.5095,     43.7257,     43.7564,     43.6939,     43.6643,     41.9990
      73,          1.200000,     49.7979,     47.3115,     43.5437,     43.7456,     43.7562,     43.7142,     43.6797,     41.9990
      74,          1.216667,     49.7885,     47.2973,     43.5795,     43.7629,     43.7546,     43.7311,     43.6916,     41.9990
      75,          1.233333,     49.7788,     47.2826,     43.6156,     43.7765,     43.7573,     43.7442,     43.6994,     41.9990
      76,          1.250000,     49.7688,     47.2671,     43.6557,     43.7861,     43.7547,     43.7542,     43.7040,     41.9990
      77,          1.266667,     49.7583,     47.2515,     43.6944,     43.7935,     43.7562,     43.7607,     43.7050,     41.9990
      78,          1.283333,     49.7459,     47.2333,     43.7297,     43.7984,     43.7563,     43.7639,     43.7027,     41.9990
      79,          1.300000,     49.7323,     47.2122,     43.7597,     43.8002,     43.7547,     43.7661,     43.7028,     41.9990
      80,          1.316667,     49.7176,     47.1894,     43.7822,     43.7998,     43.7573,     43.7665,     43.7031,     41.9990
      81,          1.333333,     49.7024,     47.1650,     43.7940,     43.7993,     43.7549,     43.7654,     43.7021,     41.9990
      82,          1.350000,     49.6864,     47.1396,     43.7966,     43.7966,     43.7561,     43.7638,     43.7007,     41.9990
      83,          1.366667,     49.6696,     47.1130,     43.7956,     43.7938,     43.7566,     43.7609,     43.6980,     41.9990
      84,          1.383333,     49.6519,     47.0847,     43.7918,     43.7884,     43.7545,     43.7572,     43.6946,     41.9990
      85,          1.400000,     49.6332,     47.0549,     43.7863,     43.7830,     43.7572,     43.7523,     43.6901,     41.9990
      86,          1.416667,     49.6135,     47.0248,     43.7805,     43.7769,     43.7550,     43.7461,     43.6844,     41.9990
      87,          1.433333,     49.5923,     46.9922,     43.7736,     43.7696,     43.7558,     43.7393,     43.6780,     41.9990
      88,          1.450000,     49.5705,     46.9602,     43.7654,     43.7611,     43.7566,     43.7313,     43.6707,     41.9990
      89,          1.466667,     49.5475,     46.9283,     43.7563,     43.7517,     43.7546,     43.7224,     43.6625,     41.9990
      90,          1.483333,     49.5225,     46.8969,     43.7465,     43.7417,     43.7571,     43.7127,     43.6535,     41.9990
      91,          1.500000,     49.4957,     46.8647,     43.7360,     43.7311,     43.7552,     43.7020,     43.6437,     41.9990
      92,          1.516667,     49.4665,     46.8333,     43.7248,     43.7197,     43.7558,     43.6909,     43.6334,     41.9990
      93,          1.533333,     49.4346,     46.8037,     43.7129,     43.7077,     43.7568,     43.6790,     43.6224,     41.9990
      94,          1.550000,     49.3983,     46.7790,     43.7005,     43.6950,     43.7546,     43.6666,     43.6109,     41.9990
      95,          1.566667,     49.3553,     46.7538,     43.6879,     43.6821,     43.7570,     43.6537,     43.5990,     41.9990
      96,          1.583333,     49.3043,     46.7404,     43.6751,     43.6690,     43.7553,     43.6404,     43.5867,     41.9990
      97,          1.600000,     49.2459,     46.7242,     43.6623,     43.6559,     43.7555,     43.6271,     43.5743,     41.9990
      98,          1.616667,     49.1842,     46.7114,     43.6495,     43.6428,     43.7568,     43.6138,     43.5620,     41.9990
      99,          1.633333,     49.1184,     46.6986,     43.6368,     43.6297,     43.7546,     43.6005,     43.5497,     41.9990
     100,          1.650000,     49.0486,     46.6848,     43.6242,     43.6168,     43.7568,     43.5875,     43.5376,     41.9990
     101,          1.666667,     48.9737,     46.6646,     43.6117,     43.6039,     43.7556,     43.5744,     43.5255,     41.9990
     102,          1.683333,     48.8940,     46.6500,     43.5992,     43.5910,     43.7554,     43.5615,     43.5135,     41.9990
     103,          1.700000,     48.8082,     46.6306,     43.5869,     43.5783,     43.7569,     43.5486,     43.5014,     41.9990
     104,          1.716667,     48.7158,     46.6096,     43.5747,     43.5657,     43.7547,     43.5357,     43.4895,     41.9990
     105,          1.733333,     48.6173,     46.5870,     43.5626,     43.5529,     43.7567,     43.5229,     43.4775,     41.9990
     106,          1.750000,     48.5123,     46.5621,     43.5510,     43.5397,     43.7557,     43.5099,     43.4654,     41.9990
     107,          1.766667,     48.4008,     46.5341,     43.5402,     43.5266,     43.7553,     43.4969,     43.4533,     41.9990
     108,          1.783333,     48.2870,     46.5031,     43.5301,     43.5135,     43.7569,     43.4836,     43.4409,     41.9990
     109,          1.800000,     48.1717,     46.4710,     43.5208,     43.5000,     43.7547,     43.4702,     43.4284,     41.9990
     110,          1.816667,     48.0532,     46.4364,     43.5121,     43.4863,     43.7566,     43.4566,     43.4156,     41.9990
     111,          1.833333,     47.9331,     46.3989,     43.5041,     43.4723,     43.7559,     43.4427,     43.4026,     41.9990
     112,          1.850000,     47.8119,     46.3584,     43.4966,     43.4579,     43.7551,     43.4285,     43.3893,     41.9990
     113,          1.866667,     47.6918,     46.3148,     43.4896,     43.4433,     43.7570,     43.4140,     43.3757,     41.9990
     114,          1.883333,     47.5813,     46.2631,     43.4832,     43.4280,     43.7548,     43.3991,     43.3618,     41.9990
     115,          1.900000,     47.4903,     46.2068,     43.4772,     43.4124,     43.7564,     43.3839,     43.3475,     41.9990
     116,          1.916667,     47.4121,     46.1525,     43.4715,     43.3964,     43.7560,     43.3682,     43.3328,     41.9990
     117,          1.933333,     47.3455,     46.1023,     43.4663,     43.3799,     43.7550,     43.3520,     43.3176,     41.9990
     118,          1.950000,     47.2892,     46.0572,     43.4614,     43.3628,     43.7569,     43.3353,     43.3019,     41.9990
     119,          1.966667,     47.2429,     46.0203,     43.4568,     43.3455,     43.7549,     43.3183,     43.2858,     41.9990
     120,          1.983333,     47.2041,     45.9890,     43.4525,     43.3279,     43.7563,     43.3008,     43.2694,     41.9990
     121,          2.000000,     47.1712,     45.9624,     43.4484,     43.3101,     43.7561,     43.2831,     43.2527,     41.9990
     122,          2.016667,     47.1432,     45.9400,     43.4446,     43.2924,     43.7549,     43.2655,     43.2360,     41.9990
     123,          2.033334,     47.1162,     45.9196,     43.4410,     43.2751,     43.7570,     43.2477,     43.2193,     41.9990
     124,          2.050000,     47.0899,     45.9003,     43.4376,     43.2565,     43.7550,     43.2301,     43.2026,     41.9990
     125,          2.066667,     47.0634,     45.8815,     43.4344,     43.2400,     43.7561,     43.2125,     43.1859,     41.9990
     126,          2.083333,     47.0362,     45.8624,     43.4314,     43.2226,     43.7563,     43.1953,     43.1696,     41.9990
     127,          2.100000,     47.0087,     45.8429,     43.4285,     43.2059,     43.7549,     43.1781,     43.1533,     41.9990
     128,          2.116667,     46.9797,     45.8226,     43.4258,     43.1884,     43.7569,     43.1612,     43.1373,     41.9990
     129,          2.133333,     46.9491,     45.8011,     43.4232,     43.1721,     43.7551,     43.1444,     43.1213,     41.9990
     130,          2.150000,     46.9166,     45.7784,     43.4208,     43.1553,     43.7559,     43.1278,     43.1055,     41.9990
     131,          2.166667,     46.8828,     45.7541,     43.4185,     43.1393,     43.7564,     43.1115,     43.0900,     41.9990
     132,          2.183333,     46.8500,     45.7272,     43.4163,     43.1227,     43.7549,     43.0953,     43.0745,     41.9990
     133,          2.200000,     46.8157,     45.7017,     43.4143,     43.1067,     43.7569,     43.0793,     43.0593,     41.9990
     134,          2.216667,     46.7874,     45.6782,     43.4123,     43.0907,     43.7553,     43.0634,     43.0441,     41.9990
     135,          2.233333,     46.7640,     45.6574,     43.4105,     43.0747,     43.7558,     43.0476,     43.0290,     41.9990
     136,          2.250000,     46.7440,     45.6390,     43.4088,     43.0591,     43.7565,     43.0319,     43.0140,     41.9990
     137,          2.266667,     46.7265,     45.6223,     43.4071,     43.0435,     43.7548,     43.0164,     42.9991,     41.9990
     138,          2.283334,     46.7109,     45.6063,     43.4055,     43.0282,     43.7567,     43.0010,     42.9844,     41.9990
     139,          2.300000,     46.6945,     45.5917,     43.4040,     43.0130,     43.7554,     42.9860,     42.9699,     41.9990
     140,          2.316667,     46.6773,     45.5771,     43.4025,     42.9976,     43.7556,     42.9710,     42.9556,     41.9990
     141,          2.333333,     46.6611,     45.5632,     43.4012,     42.9828,     43.7566,     42.9564,     42.9415,     41.9990
     142,          2.350000,     46.6430,     45.5484,     43.3998,     42.9686,     43.7549,     42.9419,     42.9276,     41.9990
     143,          2.366667,     46.6278,     45.5348,     43.3985,     42.9544,     43.7566,     42.9276,     42.9138,     41.9990
     144,          2.383333,     46.6101,     45.5197,     43.3973,     42.9406,     43.7556,     42.9135,     42.9003,     41.9990
     145,          2.400000,     46.5941,     45.5049,     43.3961,     42.9259,     43.7556,     42.8997,     42.8870,     41.9990
     146,          2.416667,     46.5792,     45.4888,     43.3950,     42.9123,     43.7567,     42.8861,     42.8739,     41.9990
     147,          2.433333,     46.5651,     45.4749,     43.3939,     42.8991,     43.7549,     42.8726,     42.8609,     41.9990
     148,          2.450000,     46.5531,     45.4630,     43.3929,     42.8858,     43.7565,     42.8594,     42.8481,     41.9990
     149,          2.466667,     46.5410,     45.4512,     43.3919,     42.8728,     43.7557,     42.8464,     42.8355,     41.9990
     150,          2.483333,     46.5252,     45.4381,     43.3909,     42.8597,     43.7554,     42.8334,     42.8229,     41.9990
     151,          2.500000,     46.5080,     45.4236,     43.3900,     42.8475,     43.7567,     42.8207,     42.8106,     41.9990
     152,          2.516667,     46.4904,     45.4084,     43.3891,     42.8355,     43.7550,     42.8082,     42.7985,     41.9990
     153,          2.533334,     46.4722,     45.3928,     43.3883,     42.8237,     43.7564,     42.7960,     42.7867,     41.9990
     154,          2.550000,     46.4558,     45.3775,     43.3874,     42.8125,     43.7559,     42.7839,     42.7750,     41.9990
     155,          2.566667,     46.4384,     45.3624,     43.3866,     42.8022,     43.7553,     42.7721,     42.7635,     41.9990
     156,          2.583333,     46.4192,     45.3461,     43.3859,     42.7937,     43.7567,     42.7605,     42.7523,     41.9990
     157,          2.600000,     46.3988,     45.3282,     43.3851,     42.7855,     43.7550,     42.7492,     42.7413,     41.9990
     158,          2.616667,     46.3794,     45.3107,     43.3844,     42.7800,     43.7563,     42.7379,     42.7303,     41.9990
     159,          2.633333,     46.3622,     45.2937,     43.3837,     42.7772,     43.7559,     42.7267,     42.7194,     41.9990
     160,          2.650000,     46.3477,     45.2778,     43.3830,     42.7770,     43.7552,     42.7157,     42.7086,     41.9990
     161,          2.666667,     46.3311,     45.2626,     43.3824,     42.7790,     43.7567,     42.7048,     42.6980,     41.9990
     162,          2.683333,     46.3154,     45.2474,     43.3818,     42.7828,     43.7551,     42.6940,     42.6875,     41.9990
     163,          2.700000,     46.2998,     45.2324,     43.3811,     42.7845,     43.7562,     42.6834,     42.6772,     41.9990
     164,          2.716667,     46.2832,     45.2171,     43.3806,     42.7839,     43.7561,     42.6729,     42.6669,     41.9990
     165,          2.733334,     46.2655,     45.2008,     43.3800,     42.7832,     43.7552,     42.6625,     42.6568,     41.9990
     166,          2.750000,     46.2477,     45.1843,     43.3794,     42.7825,     43.7567,     42.6522,     42.6467,     41.9990
     167,          2.766667,     46.2284,     45.1668,     43.3789,     42.7818,     43.7552,     42.6421,     42.6368,     41.9990
     168,          2.783334,     46.2140,     45.1508,     43.3784,     42.7811,     43.7561,     42.6320,     42.6270,     41.9990
     169,          2.800000,     46.1918,     45.1315,     43.3779,     42.7803,     43.7562,     42.6222,     42.6173,     41.9990
     170,          2.816667,     46.1688,     45.1087,     43.3774,     42.7796,     43.7551,     42.6124,     42.6078,     41.9990
     171,          2.833333,     46.1457,     45.0851,     43.3769,     42.7790,     43.7567,     42.6028,     42.5984,     41.9990
     172,          2.850000,     46.1220,     45.0581,     43.3765,     42.7783,     43.7552,     42.5933,     42.5890,     41.9990
     173,          2.866667,     46.0979,     45.0280,     43.3760,     42.7777,     43.7559,     42.5839,     42.5798,     41.9990
     174,          2.883333,     46.0742,     44.9954,     43.3756,     42.7770,     43.7563,     42.5746,     42.5707,     41.9990
     175,          2.900000,     46.0496,     44.9593,     43.3752,     42.7764,     43.7551,     42.5654,     42.5617,     41.9990
     176,          2.916667,     46.0254,     44.9231,     43.3748,     42.7758,     43.7566,     42.5563,     42.5527,     41.9990
     177,          2.933333,     46.0005,     44.8857,     43.3744,     42.7752,     43.7554,     42.5473,     42.5439,     41.9990
     178,          2.950000,     45.9771,     44.8513,     43.3740,     42.7747,     43.7559,     42.5383,     42.5350,     41.9990
     179,          2.966667,     45.9549,     44.8201,     43.3736,     42.7741,     43.7564,     42.5292,     42.5261,     41.9990
     180,          2.983334,     45.9357,     44.7916,     43.3732,     42.7736,     43.7551,     42.5203,     42.5173,     41.9990
     181,          3.000000,     45.9158,     44.7635,     43.3729,     42.7730,     43.7565,     42.5114,     42.5086,     41.9990
