"M09_5m_02p_1hr_001","Location","Flow","Water Level","Velocity"
,        0.950000,         61.8064,         43.0329,          0.3527
,        0.966667,         66.9744,         43.0555,          0.3830
,        0.983333,         65.8305,         43.0698,          0.3755
,        1.000000,         65.5423,         43.0837,          0.3698
,        1.016667,         64.8724,         43.0906,          0.3639
,        1.033333,         64.5156,         43.0956,          0.3611
,        1.050000,         63.4119,         43.0983,          0.3557
,        1.066667,         62.3992,         43.0982,          0.3510
,        1.083333,         60.4492,         43.0969,          0.3420
,        1.100000,         58.8546,         43.0939,          0.3348
,        1.116667,         56.8102,         43.0897,          0.3258
,        1.133333,         54.9612,         43.0849,          0.3175
,        1.150000,         53.1010,         43.0793,          0.3094
,        1.166667,         51.2370,         43.0735,          0.3012
,        1.183333,         49.4420,         43.0672,          0.2934
,        1.200000,         47.5407,         43.0607,          0.2849
,        1.216667,         45.7289,         43.0541,          0.2770
,        1.233333,         43.7826,         43.0472,          0.2681
,        1.250000,         41.7507,         43.0400,          0.2587
,        1.266667,         39.7982,         43.0328,          0.2497
,        1.283333,         37.8933,         43.0253,          0.2407
,        1.300000,         36.0011,         43.0179,          0.2317
,        1.316667,         34.1362,         43.0103,          0.2226
,        1.333333,         32.4965,         43.0030,          0.2146
,        1.350000,         31.0514,         42.9959,          0.2074
,        1.366667,         29.7354,         42.9891,          0.2007
,        1.383333,         28.7021,         42.9828,          0.1957
,        1.400000,         27.6828,         42.9768,          0.1906
,        1.416667,         26.7162,         42.9711,          0.1857
,        1.433333,         25.6330,         42.9656,          0.1801
,        1.450000,         24.6413,         42.9604,          0.1749
,        1.466667,         23.6238,         42.9551,          0.1695
,        1.483333,         22.6155,         42.9500,          0.1639
,        1.500000,         21.7187,         42.9450,          0.1589
,        1.516667,         20.8766,         42.9401,          0.1540
,        1.533333,         20.2294,         42.9356,          0.1504
,        1.550000,         19.6044,         42.9313,          0.1468
,        1.566667,         19.1067,         42.9272,          0.1439
,        1.583333,         18.5732,         42.9235,          0.1409
,        1.600000,         18.1861,         42.9199,          0.1386
,        1.616667,         17.7544,         42.9166,          0.1361
,        1.633333,         17.4006,         42.9136,          0.1341
,        1.650000,         17.0346,         42.9106,          0.1319
,        1.666667,         16.6874,         42.9079,          0.1299
,        1.683333,         16.3470,         42.9053,          0.1278
,        1.700000,         15.9936,         42.9028,          0.1256
,        1.716667,         15.6061,         42.9002,          0.1232
,        1.733333,         15.2251,         42.8978,          0.1209
,        1.750000,         14.8799,         42.8954,          0.1186
,        1.766667,         14.4678,         42.8929,          0.1159
,        1.783333,         14.0395,         42.8904,          0.1131
,        1.800000,         13.5988,         42.8879,          0.1102
,        1.816667,         13.1918,         42.8853,          0.1074
,        1.833333,         12.7634,         42.8827,          0.1045
,        1.850000,         12.4096,         42.8801,          0.1019
,        1.866667,         12.0132,         42.8774,          0.0991
,        1.883333,         11.6580,         42.8749,          0.0966
,        1.900000,         11.3866,         42.8723,          0.0945
,        1.916667,         11.0830,         42.8699,          0.0923
,        1.933333,         10.8077,         42.8676,          0.0902
,        1.950000,         10.5223,         42.8652,          0.0882
,        1.966667,         10.3946,         42.8631,          0.0871
,        1.983333,         10.1020,         42.8609,          0.0849
,        2.000000,          9.8629,         42.8588,          0.0831
,        2.016667,          9.5520,         42.8568,          0.0809
,        2.033333,          9.4224,         42.8549,          0.0798
,        2.050000,          9.2264,         42.8529,          0.0782
,        2.066667,          9.0074,         42.8510,          0.0766
,        2.083333,          8.7432,         42.8491,          0.0746
,        2.100000,          8.4716,         42.8472,          0.0726
,        2.116667,          8.2561,         42.8453,          0.0709
,        2.133333,          7.9563,         42.8434,          0.0687
,        2.150000,          7.7412,         42.8414,          0.0669
,        2.166667,          7.4498,         42.8394,          0.0648
,        2.183333,          7.2693,         42.8375,          0.0633
,        2.200000,          7.0396,         42.8355,          0.0615
,        2.216667,          6.8686,         42.8336,          0.0600
,        2.233333,          6.6598,         42.8317,          0.0584
,        2.250000,          6.4672,         42.8298,          0.0569
,        2.266667,          6.3028,         42.8279,          0.0555
,        2.283333,          6.0744,         42.8260,          0.0538
,        2.300000,          5.8699,         42.8241,          0.0522
,        2.316667,          5.6206,         42.8222,          0.0502
,        2.333333,          5.4095,         42.8203,          0.0485
,        2.350000,          5.1942,         42.8184,          0.0469
,        2.366667,          4.9872,         42.8163,          0.0452
,        2.383333,          4.7893,         42.8144,          0.0437
,        2.400000,          4.5929,         42.8122,          0.0420
,        2.416667,          4.3687,         42.8103,          0.0403
,        2.433333,          4.1243,         42.8081,          0.0384
,        2.450000,          3.8809,         42.8059,          0.0365
,        2.466667,          3.7285,         42.8038,          0.0352
,        2.483333,          3.6155,         42.8018,          0.0343
,        2.500000,          3.4782,         42.7996,          0.0330
,        2.516667,          3.2087,         42.7975,          0.0311
,        2.533333,          3.0486,         42.7954,          0.0297
,        2.550000,          2.8848,         42.7932,          0.0285
,        2.566667,          2.8544,         42.7912,          0.0279
,        2.583333,          2.7364,         42.7892,          0.0270
,        2.600000,          2.6365,         42.7873,          0.0261
,        2.616667,          2.4645,         42.7854,          0.0248
,        2.633333,          2.4035,         42.7835,          0.0242
,        2.650000,          2.3586,         42.7818,          0.0237
,        2.666667,          2.2952,         42.7800,          0.0231
,        2.683333,          2.2009,         42.7783,          0.0223
,        2.700000,          2.1112,         42.7767,          0.0216
,        2.716667,          2.0944,         42.7752,          0.0213
,        2.733333,          2.0643,         42.7737,          0.0209
,        2.750000,          2.0006,         42.7722,          0.0204
,        2.766667,          1.9197,         42.7708,          0.0197
,        2.783333,          1.8704,         42.7695,          0.0193
,        2.800000,          1.8637,         42.7682,          0.0191
,        2.816667,          1.8343,         42.7669,          0.0188
,        2.833333,          1.8027,         42.7657,          0.0185
,        2.850000,          1.7257,         42.7646,          0.0179
,        2.866667,          1.7382,         42.7635,          0.0178
,        2.883333,          1.7162,         42.7624,          0.0176
,        2.900000,          1.7053,         42.7614,          0.0174
,        2.916667,          1.6244,         42.7604,          0.0168
,        2.933333,          1.6144,         42.7594,          0.0166
,        2.950000,          1.6165,         42.7586,          0.0166
,        2.966667,          1.6404,         42.7576,          0.0166
,        2.983333,          1.5687,         42.7568,          0.0161
,        3.000000,          1.5283,         42.7560,          0.0157

