"M05_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_05\Complete_Model\TUFLOW\runs\M05_5m_001.tcf]","Time (h)","H Pipe16.2 [M05_5m_001]","H Pit1 [M05_5m_001]","H Pit1.1 [M05_5m_001]","H Pit10 [M05_5m_001]","H Pit10.1 [M05_5m_001]","H Pit11 [M05_5m_001]","H Pit11.1 [M05_5m_001]","H Pit12 [M05_5m_001]","H Pit12.1 [M05_5m_001]","H Pit13 [M05_5m_001]","H Pit13.1 [M05_5m_001]","H Pit14 [M05_5m_001]","H Pit14.1 [M05_5m_001]","H Pit15 [M05_5m_001]","H Pit15.1 [M05_5m_001]","H Pit16 [M05_5m_001]","H Pit16.1 [M05_5m_001]","H Pit17 [M05_5m_001]","H Pit17.1 [M05_5m_001]","H Pit18 [M05_5m_001]","H Pit18.1 [M05_5m_001]","H Pit19 [M05_5m_001]","H Pit19.1 [M05_5m_001]","H Pit2 [M05_5m_001]","H Pit2.1 [M05_5m_001]","H Pit3 [M05_5m_001]","H Pit3.1 [M05_5m_001]","H Pit4 [M05_5m_001]","H Pit4.1 [M05_5m_001]","H Pit5 [M05_5m_001]","H Pit5.1 [M05_5m_001]","H Pit6 [M05_5m_001]","H Pit6.1 [M05_5m_001]","H Pit7 [M05_5m_001]","H Pit7.1 [M05_5m_001]","H Pit8 [M05_5m_001]","H Pit8.1 [M05_5m_001]","H Pit9 [M05_5m_001]","H Pit9.1 [M05_5m_001]"
       1,          0.000000,     39.7990,     41.6009,     43.2509,     40.7645,     42.7528,     40.6586,     42.7820,     40.5253,     42.8195,     39.9990,     42.8386,     40.8677,     42.8605,     40.9729,     42.9589,     41.1447,     43.1152,     41.3168,     43.3165,     41.4118,     43.3131,     41.6968,     43.3403,     41.4668,     43.3562,     41.3484,     43.3440,     41.4497,     43.3410,     41.8990,     43.3266,     41.6710,     43.3131,     41.1545,     43.1302,     40.9873,     42.9308,     40.8067,     42.8000
       2,          0.016667,     39.7990,     41.6442,     43.2509,     40.7810,     42.7542,     40.6751,     42.7834,     40.5370,     42.8195,     40.0080,     42.8389,     40.8799,     42.8605,     40.9841,     42.9589,     41.1576,     43.1152,     41.3422,     43.3188,     41.4697,     43.3158,     41.7611,     43.3430,     41.4997,     43.3592,     41.3708,     43.3471,     41.4652,     43.3427,     41.9188,     43.3280,     41.6980,     43.3146,     41.1665,     43.1302,     40.9978,     42.9312,     40.8190,     42.8012
       3,          0.033333,     39.7990,     41.6648,     43.2509,     40.8002,     42.7558,     40.6988,     42.7831,     40.5571,     42.8195,     40.0224,     42.8416,     40.8956,     42.8605,     40.9983,     42.9589,     41.1791,     43.1170,     41.4109,     43.3204,     41.5460,     43.3185,     41.8072,     43.3457,     41.5438,     43.3623,     41.4080,     43.3504,     41.4896,     43.3448,     41.9448,     43.3279,     41.7263,     43.3144,     41.2045,     43.1310,     41.0170,     42.9308,     40.8344,     42.8000
       4,          0.050000,     39.7990,     41.7198,     43.2732,     40.8224,     42.7542,     40.7222,     42.7833,     40.5810,     42.8195,     40.0418,     42.8386,     40.9169,     42.8611,     41.0242,     42.9604,     41.2167,     43.1173,     41.4879,     43.3226,     41.6011,     43.3213,     41.8384,     43.3483,     41.5767,     43.3637,     41.4542,     43.3492,     41.5172,     43.3472,     41.9631,     43.3287,     41.7399,     43.3151,     41.2736,     43.1321,     41.0644,     42.9308,     40.8626,     42.8000
       5,          0.066667,     39.7990,     41.7022,     43.2509,     40.8540,     42.7545,     40.7472,     42.7837,     40.6102,     42.8230,     40.0694,     42.8386,     40.9467,     42.8612,     41.0684,     42.9637,     41.2684,     43.1173,     41.5464,     43.3165,     41.6417,     43.3238,     41.8628,     43.3511,     41.6156,     43.3616,     41.5068,     43.3508,     41.5395,     43.3470,     41.9768,     43.3293,     41.7531,     43.3159,     41.3516,     43.1318,     41.1405,     42.9374,     40.9261,     42.8028
       6,          0.083333,     39.7990,     41.7301,     43.2698,     40.9225,     42.7549,     40.7953,     42.7841,     40.6472,     42.8241,     40.1112,     42.8406,     40.9958,     42.8649,     41.1261,     42.9634,     41.3288,     43.1152,     41.5951,     43.3183,     41.6770,     43.3264,     41.8871,     43.3538,     41.6406,     43.3630,     41.5600,     43.3508,     41.5672,     43.3485,     41.9880,     43.3300,     41.7636,     43.3165,     41.4133,     43.1322,     41.2155,     42.9308,     41.0161,     42.8034
       7,          0.100000,     39.7990,     41.7234,     43.2675,     41.0121,     42.7553,     40.8795,     42.7845,     40.7189,     42.8220,     40.1774,     42.8410,     41.0646,     42.8629,     41.1826,     42.9613,     41.3780,     43.1207,     41.6341,     43.3206,     41.7049,     43.3300,     41.9048,     43.3574,     41.6600,     43.3643,     41.5977,     43.3521,     41.6039,     43.3451,     41.9980,     43.3307,     41.7730,     43.3172,     41.4638,     43.1326,     41.2789,     42.9354,     41.1010,     42.8015
       8,          0.116667,     39.8085,     41.7516,     43.2509,     41.0864,     42.7558,     40.9670,     42.7849,     40.8140,     42.8224,     40.2802,     42.8415,     41.1255,     42.8633,     41.2366,     42.9617,     41.4206,     43.1181,     41.6646,     43.3212,     41.7286,     43.3340,     41.9205,     43.3613,     41.6813,     43.3656,     41.6318,     43.3534,     41.6382,     43.3457,     42.0074,     43.3314,     41.7816,     43.3178,     41.5011,     43.1330,     41.3259,     42.9354,     41.1689,     42.8029
       9,          0.133333,     39.8221,     41.7947,     43.2665,     41.1391,     42.7562,     41.0295,     42.7853,     40.8912,     42.8228,     40.4307,     42.8419,     41.1768,     42.8637,     41.2825,     42.9621,     41.4602,     43.1184,     41.6928,     43.3221,     41.7525,     43.3391,     41.9352,     43.3653,     41.7125,     43.3669,     41.6674,     43.3547,     41.6736,     43.3463,     42.0161,     43.3321,     41.7897,     43.3185,     41.5323,     43.1334,     41.3629,     42.9382,     41.2222,     42.8033
      10,          0.150000,     39.8457,     41.7862,     43.2509,     41.1886,     42.7566,     41.0718,     42.7857,     40.9413,     42.8232,     40.5249,     42.8423,     41.2216,     42.8641,     41.3235,     42.9625,     41.4962,     43.1188,     41.7225,     43.3233,     41.7766,     43.3446,     41.9483,     43.3690,     41.7282,     43.3682,     41.6984,     43.3559,     41.7050,     43.3470,     42.0241,     43.3327,     41.7971,     43.3191,     41.5635,     43.1338,     41.3962,     42.9391,     41.2715,     42.8037
      11,          0.166667,     39.8592,     41.8053,     43.2664,     41.2415,     42.7571,     41.1106,     42.7860,     40.9824,     42.8236,     40.5982,     42.8427,     41.2583,     42.8645,     41.3603,     42.9629,     41.5268,     43.1192,     41.7501,     43.3248,     41.8026,     43.3496,     41.9606,     43.3724,     41.7517,     43.3695,     41.7253,     43.3572,     41.7321,     43.3477,     42.0317,     43.3334,     41.8042,     43.3198,     41.5939,     43.1342,     41.4303,     42.9349,     41.3264,     42.8041
      12,          0.183333,     39.8721,     41.8103,     43.2678,     41.2988,     42.7575,     41.1521,     42.7864,     41.0263,     42.8240,     40.6576,     42.8431,     41.2900,     42.8649,     41.3949,     42.9633,     41.5528,     43.1196,     41.7837,     43.3266,     41.8290,     43.3543,     41.9714,     43.3754,     41.7698,     43.3709,     41.7485,     43.3585,     41.7555,     43.3484,     42.0390,     43.3341,     41.8109,     43.3204,     41.6213,     43.1346,     41.4662,     42.9353,     41.3887,     42.8045
      13,          0.200000,     39.8813,     41.8184,     43.2700,     41.3461,     42.7579,     41.1986,     42.7868,     41.0695,     42.8244,     40.7070,     42.8435,     41.3169,     42.8653,     41.4294,     42.9637,     41.5750,     43.1200,     41.8171,     43.3284,     41.8615,     43.3586,     41.9813,     43.3782,     41.7884,     43.3728,     41.7677,     43.3604,     41.7751,     43.3491,     42.0455,     43.3347,     41.8257,     43.3211,     41.6492,     43.1350,     41.5393,     42.9357,     41.4423,     42.8049
      14,          0.216667,     39.8886,     41.8290,     43.2728,     41.3949,     42.7584,     41.2450,     42.7873,     41.1051,     42.8247,     40.7510,     42.8438,     41.3408,     42.8657,     41.4612,     42.9641,     41.5951,     43.1204,     41.8652,     43.3301,     41.9056,     43.3626,     41.9904,     43.3810,     41.8084,     43.3749,     41.7865,     43.3622,     41.7940,     43.3497,     42.0517,     43.3354,     41.8706,     43.3219,     41.7412,     43.1356,     41.6303,     42.9361,     41.5158,     42.8053
      15,          0.233333,     39.8949,     41.8426,     43.2755,     41.4708,     42.7588,     41.2951,     42.7876,     41.1390,     42.8251,     40.7883,     42.8443,     41.3655,     42.8661,     41.4935,     42.9645,     41.6149,     43.1208,     42.0314,     43.3325,     42.0691,     43.3662,     42.0811,     43.3837,     41.8276,     43.3769,     41.8048,     43.3638,     41.8124,     43.3504,     42.0580,     43.3360,     42.0321,     43.3226,     41.8894,     43.1367,     41.7531,     42.9365,     41.6147,     42.8057
      16,          0.250000,     39.9008,     41.8614,     43.2785,     41.5819,     42.7593,     41.3653,     42.7880,     41.1762,     42.8256,     40.8278,     42.8447,     41.3920,     42.8665,     41.5250,     42.9649,     41.6404,     43.1212,     42.3110,     43.3353,     42.3706,     43.3696,     42.3846,     43.3865,     41.8470,     43.3787,     41.8226,     43.3655,     41.8305,     43.3511,     42.0638,     43.3367,     42.3160,     43.3232,     42.1207,     43.1377,     41.9404,     42.9369,     41.7631,     42.8061
      17,          0.266667,     39.9069,     41.8747,     43.2800,     41.7359,     42.7594,     41.4666,     42.7882,     41.2163,     42.8257,     40.8736,     42.8448,     41.4136,     42.8666,     41.5516,     42.9650,     41.6712,     43.1214,     42.6304,     43.3373,     42.6991,     43.3719,     42.7154,     43.3879,     41.8635,     43.3794,     41.8390,     43.3659,     41.8469,     43.3513,     42.0671,     43.3369,     42.6351,     43.3235,     42.4031,     43.1381,     42.1822,     42.9370,     41.9625,     42.8062
      18,          0.283333,     39.9119,     41.8869,     43.2809,     41.8314,     42.7595,     41.5255,     42.7883,     41.2423,     42.8258,     40.9096,     42.8449,     41.4290,     42.8667,     41.5721,     42.9651,     41.6978,     43.1217,     42.8250,     43.3379,     42.8983,     43.3733,     42.9157,     43.3888,     41.8761,     43.3798,     41.8515,     43.3653,     41.8595,     43.3516,     42.0686,     43.3371,     42.8298,     43.3237,     42.5783,     43.1389,     42.3336,     42.9371,     42.0888,     42.8063
      19,          0.300000,     39.9148,     41.8985,     43.2816,     41.8994,     42.7596,     41.5669,     42.7884,     41.2599,     42.8259,     40.9309,     42.8450,     41.4374,     42.8668,     41.5834,     42.9652,     41.7140,     43.1221,     42.9646,     43.3387,     43.0408,     43.3743,     43.0589,     43.3895,     41.8881,     43.3803,     41.8637,     43.3648,     41.8717,     43.3517,     42.0701,     43.3372,     42.9695,     43.3239,     42.7055,     43.1400,     42.4428,     42.9372,     42.1792,     42.8064
      20,          0.316667,     39.9169,     41.9106,     43.2822,     41.9552,     42.7597,     41.6007,     42.7885,     41.2739,     42.8260,     40.9476,     42.8451,     41.4443,     42.8669,     41.5928,     42.9653,     41.7291,     43.1228,     43.0769,     43.3394,     43.1555,     43.3751,     43.1740,     43.3902,     41.9006,     43.3807,     41.8766,     43.3649,     41.8846,     43.3519,     42.0716,     43.3374,     43.0819,     43.3241,     42.8079,     43.1409,     42.5312,     42.9376,     42.2518,     42.8065
      21,          0.333333,     39.9187,     41.9254,     43.2829,     42.0051,     42.7598,     41.6309,     42.7886,     41.2861,     42.8261,     40.9628,     42.8452,     41.4509,     42.8670,     41.6022,     42.9654,     41.7458,     43.1234,     43.1753,     43.3400,     43.2559,     43.3759,     43.2750,     43.3909,     41.9156,     43.3812,     41.8921,     43.3653,     41.9000,     43.3521,     42.0729,     43.3375,     43.1803,     43.3243,     42.8975,     43.1412,     42.6105,     42.9385,     42.3168,     42.8066
      22,          0.350000,     39.9202,     41.9444,     43.2836,     42.0546,     42.7599,     41.6656,     42.7887,     41.3066,     42.8262,     40.9746,     42.8453,     41.4568,     42.8671,     41.6107,     42.9655,     41.7638,     43.1240,     43.2442,     43.3407,     43.3204,     43.3787,     43.3407,     43.3916,     41.9348,     43.3816,     41.9118,     43.3659,     41.9196,     43.3523,     42.0743,     43.3377,     43.2492,     43.3245,     42.9680,     43.1417,     42.6786,     42.9394,     42.3764,     42.8067
      23,          0.366667,     39.9210,     41.9712,     43.2843,     42.0741,     42.7600,     41.6814,     42.7888,     41.3175,     42.8264,     40.9808,     42.8454,     41.4611,     42.8671,     41.6172,     42.9657,     41.7806,     43.1244,     43.2554,     43.3428,     43.3263,     43.3823,     43.3452,     43.3943,     41.9619,     43.3821,     41.9391,     43.3666,     41.9469,     43.3525,     42.0756,     43.3379,     43.2607,     43.3247,     42.9856,     43.1420,     42.6998,     42.9401,     42.3972,     42.8068
      24,          0.383333,     39.9220,     42.0075,     43.2850,     42.0908,     42.7601,     41.6959,     42.7889,     41.3292,     42.8265,     40.9903,     42.8455,     41.4722,     42.8672,     41.6353,     42.9667,     41.8070,     43.1247,     43.2669,     43.3452,     43.3327,     43.3865,     43.3505,     43.3979,     42.0002,     43.3825,     41.9722,     43.3672,     41.9818,     43.3527,     42.0772,     43.3381,     43.2722,     43.3250,     43.0018,     43.1426,     42.7175,     42.9404,     42.4146,     42.8069
      25,          0.400000,     39.9233,     42.0547,     43.2857,     42.1115,     42.7603,     41.7142,     42.7891,     41.3441,     42.8267,     41.0027,     42.8456,     41.4865,     42.8674,     41.6614,     42.9684,     41.8430,     43.1250,     43.2804,     43.3478,     43.3401,     43.3911,     43.3566,     43.4018,     42.0473,     43.3830,     42.0187,     43.3677,     42.0276,     43.3529,     42.0787,     43.3383,     43.2858,     43.3254,     43.0219,     43.1435,     42.7389,     42.9407,     42.4362,     42.8071
      26,          0.416667,     39.9246,     42.1251,     43.2864,     42.1391,     42.7604,     41.7368,     42.7892,     41.3612,     42.8269,     41.0152,     42.8457,     41.4992,     42.8675,     41.7045,     42.9695,     41.8971,     43.1252,     43.2961,     43.3506,     43.3486,     43.3962,     43.3636,     43.4061,     42.1155,     43.3834,     42.0846,     43.3682,     42.0925,     43.3532,     42.0994,     43.3384,     43.3017,     43.3257,     43.0474,     43.1452,     42.7676,     42.9411,     42.4667,     42.8082
      27,          0.433333,     39.9261,     42.1775,     43.2871,     42.1714,     42.7606,     41.7630,     42.7894,     41.3805,     42.8270,     41.0286,     42.8458,     41.5114,     42.8676,     41.7301,     42.9699,     41.9348,     43.1255,     43.3117,     43.3535,     43.3576,     43.4015,     43.3710,     43.4106,     42.1680,     43.3838,     42.1341,     43.3687,     42.1458,     43.3534,     42.1485,     43.3387,     43.3170,     43.3291,     43.0765,     43.1478,     42.8015,     42.9418,     42.5024,     42.8091
      28,          0.450000,     39.9274,     42.2236,     43.2879,     42.2023,     42.7607,     41.7883,     42.7895,     41.3990,     42.8272,     41.0412,     42.8459,     41.5225,     42.8681,     41.7526,     42.9703,     41.9678,     43.1256,     43.3278,     43.3581,     43.3592,     43.4067,     43.3770,     43.4151,     42.2138,     43.3843,     42.1779,     43.3692,     42.1896,     43.3537,     42.1926,     43.3389,     43.3266,     43.3377,     43.1035,     43.1516,     42.8348,     42.9428,     42.5363,     42.8098
      29,          0.466667,     39.9288,     42.2653,     43.2887,     42.2323,     42.7609,     41.8137,     42.7896,     41.4184,     42.8274,     41.0556,     42.8460,     41.5357,     42.8695,     41.7754,     42.9707,     41.9993,     43.1258,     43.3357,     43.3634,     43.3652,     43.4110,     43.3823,     43.4191,     42.2553,     43.3847,     42.2180,     43.3696,     42.2299,     43.3539,     42.2329,     43.3392,     43.3346,     43.3450,     43.1303,     43.1574,     42.8688,     42.9443,     42.5698,     42.8105
      30,          0.483333,     39.9301,     42.3108,     43.2894,     42.2628,     42.7611,     41.8411,     42.7897,     41.4404,     42.8275,     41.0730,     42.8462,     41.5482,     42.8707,     41.7986,     42.9710,     42.0325,     43.1260,     43.3403,     43.3671,     43.3693,     43.4146,     43.3860,     43.4223,     42.3003,     43.3851,     42.2615,     43.3701,     42.2686,     43.3541,     42.2778,     43.3401,     43.3391,     43.3489,     43.1423,     43.1663,     42.8982,     42.9493,     42.6023,     42.8115
      31,          0.500000,     39.9301,     42.3555,     43.2901,     42.3532,     42.7614,     41.9488,     42.7899,     41.5552,     42.8277,     41.1916,     42.8464,     41.5579,     42.8710,     41.8193,     42.9712,     42.0641,     43.1261,     43.3454,     43.3704,     43.3732,     43.4174,     43.3895,     43.4250,     42.3444,     43.3855,     42.3041,     43.3705,     42.3164,     43.3543,     42.3202,     43.3407,     43.3442,     43.3531,     43.1610,     43.1793,     42.9452,     42.9641,     42.6768,     42.8140
      32,          0.516667,     39.9317,     42.4046,     43.2914,     42.3929,     42.7620,     41.9822,     42.7901,     41.5802,     42.8280,     41.2083,     42.8469,     41.5683,     42.8714,     41.8421,     42.9716,     42.0986,     43.1264,     43.3493,     43.3733,     43.3767,     43.4204,     43.3928,     43.4279,     42.3928,     43.3862,     42.3503,     43.3712,     42.3628,     43.3547,     42.3668,     43.3420,     43.3481,     43.3567,     43.1707,     43.1857,     42.9690,     42.9871,     42.7201,     42.8230
      33,          0.533333,     39.9337,     42.4700,     43.2930,     42.4631,     42.7651,     42.0385,     42.7903,     41.6198,     42.8284,     41.2322,     42.8474,     41.5808,     42.8716,     41.8716,     42.9720,     42.1442,     43.1268,     43.3535,     43.3763,     43.3806,     43.4239,     43.3964,     43.4313,     42.4571,     43.3870,     42.4120,     43.3722,     42.4186,     43.3552,     42.4299,     43.3434,     43.3523,     43.3604,     43.1800,     43.1925,     42.9949,     43.0054,     42.7890,     42.8389
      34,          0.550000,     39.9363,     42.5583,     43.2946,     42.5630,     42.7911,     42.1232,     42.7905,     41.6788,     42.8289,     41.2659,     42.8478,     41.5964,     42.8716,     41.9103,     42.9725,     42.2055,     43.1273,     43.3531,     43.3791,     43.3880,     43.4271,     43.3997,     43.4344,     42.5445,     43.3877,     42.4971,     43.3732,     42.5089,     43.3559,     42.5168,     43.3451,     43.3561,     43.3640,     43.1878,     43.1977,     43.0103,     43.0168,     42.8295,     42.8601
      35,          0.566667,     39.9400,     42.6596,     43.2962,     42.6890,     42.8222,     42.2658,     42.8013,     41.7753,     42.8293,     41.3175,     42.8482,     41.6159,     42.8723,     41.9566,     42.9730,     42.2781,     43.1277,     43.3554,     43.3816,     43.3922,     43.4300,     43.4027,     43.4372,     42.6446,     43.3883,     42.5946,     43.3741,     42.6077,     43.3566,     42.6165,     43.3468,     43.3595,     43.3674,     43.1945,     43.2023,     43.0257,     43.0271,     42.8702,     42.8818
      36,          0.583333,     39.9436,     42.7454,     43.2974,     42.7695,     42.8502,     42.3988,     42.8245,     41.8656,     42.8297,     41.3627,     42.8485,     41.6438,     42.8726,     42.0039,     42.9734,     42.3443,     43.1280,     43.3576,     43.3830,     43.3940,     43.4314,     43.4045,     43.4388,     42.7298,     43.3889,     42.6777,     43.3746,     42.6920,     43.3573,     42.7010,     43.3483,     43.3618,     43.3698,     43.1986,     43.2052,     43.0364,     43.0340,     42.8970,     42.8984
      37,          0.600000,     39.9458,     42.8151,     43.2978,     42.7947,     42.8683,     42.4801,     42.8456,     41.9269,     42.8322,     41.3904,     42.8486,     41.6785,     42.8726,     42.0499,     42.9730,     42.4014,     43.1277,     43.3568,     43.3819,     43.3928,     43.4298,     43.4032,     43.4374,     42.7991,     43.3893,     42.7456,     43.3743,     42.7608,     43.3576,     42.7701,     43.3491,     43.3610,     43.3694,     43.1983,     43.2044,     43.0384,     43.0344,     42.9061,     42.9040
      38,          0.616667,     39.9479,     42.8672,     43.2986,     42.8119,     42.8772,     42.5471,     42.8587,     42.0068,     42.8465,     41.4219,     42.8487,     41.7113,     42.8724,     42.0875,     42.9725,     42.4448,     43.1274,     43.3552,     43.3804,     43.3912,     43.4281,     43.4016,     43.4359,     42.8508,     43.3898,     42.7955,     43.3741,     42.8109,     43.3578,     42.8202,     43.3492,     43.3595,     43.3678,     43.1968,     43.2026,     43.0379,     43.0325,     42.9107,     42.9053
      39,          0.633333,     39.9494,     42.9159,     43.2997,     42.8220,     42.8823,     42.5851,     42.8660,     42.0546,     42.8552,     41.4425,     42.8486,     41.7341,     42.8722,     42.1163,     42.9719,     42.4818,     43.1273,     43.3543,     43.3796,     43.3905,     43.4274,     43.4010,     43.4354,     42.8987,     43.3904,     42.8412,     43.3742,     42.8568,     43.3580,     42.8660,     43.3491,     43.3586,     43.3667,     43.1957,     43.2014,     43.0372,     43.0309,     42.9133,     42.9059
      40,          0.650000,     39.9505,     42.9633,     43.3011,     42.8275,     42.8849,     42.6056,     42.8696,     42.0833,     42.8601,     41.4586,     42.8499,     41.7525,     42.8718,     42.1420,     42.9714,     42.5166,     43.1273,     43.3541,     43.3796,     43.3905,     43.4276,     43.4011,     43.4357,     42.9453,     43.3910,     42.8855,     43.3745,     42.9011,     43.3583,     42.9104,     43.3492,     43.3584,     43.3664,     43.1953,     43.2009,     43.0368,     43.0299,     42.9148,     42.9063
      41,          0.666667,     39.9515,     43.0173,     43.3024,     42.8311,     42.8865,     42.6191,     42.8715,     42.1041,     42.8636,     41.4735,     42.8511,     41.7728,     42.8716,     42.1722,     42.9712,     42.5570,     43.1275,     43.3545,     43.3799,     43.3911,     43.4282,     43.4017,     43.4364,     42.9985,     43.3916,     42.9363,     43.3749,     42.9522,     43.3587,     42.9615,     43.3495,     43.3587,     43.3667,     43.1954,     43.2010,     43.0370,     43.0297,     42.9160,     42.9068
      42,          0.683333,     39.9525,     43.0793,     43.3036,     42.8342,     42.8878,     42.6298,     42.8730,     42.1211,     42.8660,     41.4880,     42.8522,     41.7954,     42.8716,     42.2073,     42.9712,     42.6038,     43.1277,     43.3552,     43.3806,     43.3919,     43.4292,     43.4026,     43.4374,     43.0595,     43.3922,     42.9951,     43.3754,     43.0114,     43.3592,     43.0208,     43.3500,     43.3594,     43.3673,     43.1960,     43.2015,     43.0375,     43.0300,     42.9173,     42.9076
      43,          0.700000,     39.9534,     43.1476,     43.3049,     42.8373,     42.8893,     42.6395,     42.8744,     42.1356,     42.8676,     41.5018,     42.8531,     41.8190,     42.8716,     42.2456,     42.9713,     42.6555,     43.1279,     43.3561,     43.3814,     43.3930,     43.4303,     43.4037,     43.4385,     43.1270,     43.3928,     43.0601,     43.3759,     43.0770,     43.3597,     43.0865,     43.3506,     43.3603,     43.3681,     43.1968,     43.2023,     43.0385,     43.0308,     42.9189,     42.9087
      44,          0.716667,     39.9542,     43.2216,     43.3062,     42.8407,     42.8911,     42.6495,     42.8759,     42.1501,     42.8690,     41.5164,     42.8543,     41.8453,     42.8719,     42.2879,     42.9714,     42.7119,     43.1281,     43.3571,     43.3823,     43.3941,     43.4315,     43.4048,     43.4397,     43.2000,     43.3934,     43.1307,     43.3765,     43.1482,     43.3602,     43.1578,     43.3514,     43.3613,     43.3691,     43.1978,     43.2032,     43.0397,     43.0318,     42.9208,     42.9101
      45,          0.733333,     39.9551,     43.2595,     43.3109,     42.8446,     42.8932,     42.6603,     42.8777,     42.1648,     42.8705,     41.5295,     42.8551,     41.8679,     42.8723,     42.3215,     42.9716,     42.7530,     43.1283,     43.3582,     43.3833,     43.3953,     43.4327,     43.4060,     43.4410,     43.2410,     43.3940,     43.1754,     43.3770,     43.1946,     43.3608,     43.2044,     43.3522,     43.3624,     43.3702,     43.1989,     43.2043,     43.0411,     43.0330,     42.9231,     42.9120
      46,          0.750000,     39.9557,     43.2765,     43.3259,     42.8488,     42.8957,     42.6714,     42.8797,     42.1789,     42.8722,     41.5399,     42.8565,     41.8827,     42.8729,     42.3397,     42.9718,     42.7730,     43.1286,     43.3593,     43.3843,     43.3965,     43.4340,     43.4073,     43.4423,     43.2593,     43.3946,     43.1958,     43.3776,     43.2159,     43.3614,     43.2258,     43.3531,     43.3635,     43.3714,     43.2001,     43.2054,     43.0426,     43.0343,     42.9256,     42.9140
      47,          0.766667,     39.9562,     43.2883,     43.3387,     42.8527,     42.8981,     42.6816,     42.8817,     42.1912,     42.8738,     41.5471,     42.8570,     41.8916,     42.8734,     42.3489,     42.9716,     42.7824,     43.1284,     43.3597,     43.3846,     43.3966,     43.4340,     43.4073,     43.4421,     43.2704,     43.3940,     43.2062,     43.3771,     43.2262,     43.3609,     43.2361,     43.3530,     43.3639,     43.3719,     43.2007,     43.2059,     43.0438,     43.0352,     42.9279,     42.9160
      48,          0.783333,     39.9565,     43.2911,     43.3439,     42.8561,     42.9001,     42.6902,     42.8835,     42.2010,     42.8753,     41.5516,     42.8575,     41.8954,     42.8738,     42.3497,     42.9713,     42.7813,     43.1281,     43.3591,     43.3839,     43.3957,     43.4328,     43.4062,     43.4408,     43.2715,     43.3930,     43.2050,     43.3763,     43.2243,     43.3602,     43.2342,     43.3525,     43.3633,     43.3714,     43.2007,     43.2058,     43.0445,     43.0357,     42.9299,     42.9177
      49,          0.800000,     39.9567,     43.2874,     43.3430,     42.8587,     42.9017,     42.6971,     42.8850,     42.2087,     42.8766,     41.5540,     42.8579,     41.8955,     42.8740,     42.3451,     42.9711,     42.7734,     43.1277,     43.3577,     43.3826,     43.3941,     43.4310,     43.4045,     43.4389,     43.2655,     43.3919,     43.1960,     43.3754,     43.2142,     43.3593,     43.2239,     43.3515,     43.3620,     43.3702,     43.1998,     43.2049,     43.0444,     43.0354,     42.9312,     42.9190
      50,          0.816667,     39.9567,     43.2766,     43.3354,     42.8598,     42.9024,     42.7008,     42.8859,     42.2129,     42.8775,     41.5541,     42.8582,     41.8917,     42.8742,     42.3351,     42.9708,     42.7588,     43.1273,     43.3561,     43.3810,     43.3921,     43.4289,     43.4025,     43.4368,     43.2522,     43.3908,     43.1793,     43.3743,     43.1962,     43.3583,     43.2056,     43.3501,     43.3603,     43.3685,     43.1985,     43.2035,     43.0436,     43.0343,     42.9314,     42.9191
      51,          0.833333,     39.9566,     43.2537,     43.3149,     42.8591,     42.9020,     42.6999,     42.8859,     42.2116,     42.8778,     41.5503,     42.8581,     41.8823,     42.8742,     42.3175,     42.9704,     42.7350,     43.1269,     43.3541,     43.3793,     43.3899,     43.4266,     43.4003,     43.4344,     43.2270,     43.3896,     43.1513,     43.3732,     43.1669,     43.3573,     43.1761,     43.3485,     43.3584,     43.3666,     43.1968,     43.2018,     43.0421,     43.0327,     42.9305,     42.9182
      52,          0.850000,     39.9557,     43.0791,     43.2984,     42.8560,     42.9004,     42.6917,     42.8849,     42.1982,     42.8772,     41.5310,     42.8575,     41.8403,     42.8739,     42.2430,     42.9701,     42.6272,     43.1264,     43.3520,     43.3774,     43.3876,     43.4241,     43.3979,     43.4319,     43.0611,     43.3883,     43.0020,     43.3721,     43.0182,     43.3563,     43.0275,     43.3469,     43.3563,     43.3644,     43.1948,     43.1998,     43.0401,     43.0307,     42.9283,     42.9165
      53,          0.866667,     40.0140,     42.8671,     43.2939,     42.8502,     42.8977,     42.6753,     42.8830,     42.1715,     42.8759,     41.4959,     42.8563,     41.7696,     42.8733,     42.1250,     42.9697,     42.4672,     43.1259,     43.3497,     43.3753,     43.3851,     43.4215,     43.3953,     43.4293,     42.8521,     43.3871,     42.8004,     43.3709,     42.8148,     43.3552,     42.8237,     43.3451,     43.3540,     43.3622,     43.1926,     43.1977,     43.0376,     43.0285,     42.9248,     42.9138
      54,          0.883333,     40.1476,     42.6912,     43.2912,     42.8429,     42.8940,     42.6549,     42.8801,     42.1413,     42.8737,     41.4618,     42.8549,     41.7055,     42.8724,     42.0228,     42.9692,     42.3295,     43.1255,     43.3473,     43.3732,     43.3825,     43.4188,     43.3927,     43.4265,     42.6778,     43.3859,     42.6308,     43.3697,     42.6435,     43.3544,     42.6520,     43.3434,     43.3516,     43.3598,     43.1902,     43.1954,     43.0347,     43.0260,     42.9205,     42.9103
