"M08_2.5m_001","Location","Flow","Water Level","Velocity"
"q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_08\Complete_Model\TUFLOW\runs\M08_~s1~_001.tcf","Time","Loc1_L","Loc1_P","Loc1_P"
,        2.783333,          7.8788,         42.8305,          0.0698
,        2.800000,          7.6701,         42.8286,          0.0682
,        2.816667,          7.4837,         42.8268,          0.0667
,        2.833333,          7.3326,         42.8249,          0.0653
,        2.850000,          7.0182,         42.8228,          0.0630
,        2.866667,          6.7097,         42.8209,          0.0606
,        2.883333,          6.4833,         42.8188,          0.0589
,        2.900000,          6.2840,         42.8166,          0.0571
,        2.916667,          6.0135,         42.8145,          0.0551
,        2.933333,          5.8146,         42.8123,          0.0534
,        2.950000,          5.5957,         42.8101,          0.0516
,        2.966667,          5.4072,         42.8080,          0.0501
,        2.983333,          5.1667,         42.8057,          0.0481
,        3.000000,          4.9146,         42.8035,          0.0462

