"M06_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_06\Complete_Model\TUFLOW\runs\M06_5m_001.tcf]","Time (h)","H Loc1_P [M06_5m_001]"
         135,        2.233333,         42.9309
         136,        2.250000,         42.9284
         137,        2.266667,         42.9261
         138,        2.283333,         42.9237
         139,        2.300000,         42.9214
         140,        2.316667,         42.9193
         141,        2.333333,         42.9172
         142,        2.350000,         42.9148
         143,        2.366667,         42.9126
         144,        2.383333,         42.9104
         145,        2.400000,         42.9082
         146,        2.416667,         42.9061
         147,        2.433333,         42.9040
         148,        2.450000,         42.9020
         149,        2.466667,         42.8999
         150,        2.483333,         42.8979
         151,        2.500000,         42.8960
         152,        2.516667,         42.8937
         153,        2.533333,         42.8915
         154,        2.550000,         42.8893
         155,        2.566667,         42.8872
         156,        2.583333,         42.8851
         157,        2.600000,         42.8831
         158,        2.616667,         42.8809
         159,        2.633333,         42.8789
         160,        2.650000,         42.8768
         161,        2.666667,         42.8747
         162,        2.683333,         42.8725
         163,        2.700000,         42.8703
         164,        2.716667,         42.8681
         165,        2.733333,         42.8659
         166,        2.750000,         42.8637
         167,        2.766667,         42.8615
         168,        2.783333,         42.8594
         169,        2.800000,         42.8572
         170,        2.816667,         42.8550
         171,        2.833333,         42.8528
         172,        2.850000,         42.8503
         173,        2.866667,         42.8477
         174,        2.883333,         42.8453
         175,        2.900000,         42.8428
         176,        2.916667,         42.8403
         177,        2.933333,         42.8378
         178,        2.950000,         42.8353
         179,        2.966667,         42.8326
         180,        2.983333,         42.8301
         181,        3.000000,         42.8276

