"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Time(h)","Entry LC FC01.1_R [EG14_003]","Additional LC FC01.1_R [EG14_003]","Exit LC FC01.1_R [EG14_003]","Entry LC FC01.2_R [EG14_003]","Additional LC FC01.2_R [EG14_003]","Exit LC FC01.2_R [EG14_003]","Entry LC FC04.1_C [EG14_003]","Additional LC FC04.1_C [EG14_003]","Exit LC FC04.1_C [EG14_003]","Entry LC Pipe0 [EG14_003]","Additional LC Pipe0 [EG14_003]","Exit LC Pipe0 [EG14_003]","Entry LC Pipe1 [EG14_003]","Additional LC Pipe1 [EG14_003]","Exit LC Pipe1 [EG14_003]","Entry LC Pipe10 [EG14_003]","Additional LC Pipe10 [EG14_003]","Exit LC Pipe10 [EG14_003]","Entry LC Pipe11 [EG14_003]","Additional LC Pipe11 [EG14_003]","Exit LC Pipe11 [EG14_003]","Entry LC Pipe12 [EG14_003]","Additional LC Pipe12 [EG14_003]","Exit LC Pipe12 [EG14_003]","Entry LC Pipe13 [EG14_003]","Additional LC Pipe13 [EG14_003]","Exit LC Pipe13 [EG14_003]","Entry LC Pipe14 [EG14_003]","Additional LC Pipe14 [EG14_003]","Exit LC Pipe14 [EG14_003]","Entry LC Pipe15 [EG14_003]","Additional LC Pipe15 [EG14_003]","Exit LC Pipe15 [EG14_003]","Entry LC Pipe16 [EG14_003]","Additional LC Pipe16 [EG14_003]","Exit LC Pipe16 [EG14_003]","Entry LC Pipe17 [EG14_003]","Additional LC Pipe17 [EG14_003]","Exit LC Pipe17 [EG14_003]","Entry LC Pipe19 [EG14_003]","Additional LC Pipe19 [EG14_003]","Exit LC Pipe19 [EG14_003]","Entry LC Pipe2 [EG14_003]","Additional LC Pipe2 [EG14_003]","Exit LC Pipe2 [EG14_003]","Entry LC Pipe3 [EG14_003]","Additional LC Pipe3 [EG14_003]","Exit LC Pipe3 [EG14_003]","Entry LC Pipe4 [EG14_003]","Additional LC Pipe4 [EG14_003]","Exit LC Pipe4 [EG14_003]","Entry LC Pipe5 [EG14_003]","Additional LC Pipe5 [EG14_003]","Exit LC Pipe5 [EG14_003]","Entry LC Pipe6 [EG14_003]","Additional LC Pipe6 [EG14_003]","Exit LC Pipe6 [EG14_003]","Entry LC Pipe7 [EG14_003]","Additional LC Pipe7 [EG14_003]","Exit LC Pipe7 [EG14_003]","Entry LC Pipe8 [EG14_003]","Additional LC Pipe8 [EG14_003]","Exit LC Pipe8 [EG14_003]","Entry LC Pipe9 [EG14_003]","Additional LC Pipe9 [EG14_003]","Exit LC Pipe9 [EG14_003]","LC Pit1 [EG14_003]","LC Pit10 [EG14_003]","LC Pit11 [EG14_003]","LC Pit12 [EG14_003]","LC Pit13 [EG14_003]","LC Pit14 [EG14_003]","LC Pit15 [EG14_003]","LC Pit16 [EG14_003]","LC Pit17 [EG14_003]","LC Pit18 [EG14_003]","LC Pit19 [EG14_003]","LC Pit2 [EG14_003]","LC Pit3 [EG14_003]","LC Pit4 [EG14_003]","LC Pit5 [EG14_003]","LC Pit6 [EG14_003]","LC Pit7 [EG14_003]","LC Pit8 [EG14_003]","LC Pit9 [EG14_003]"
      11,          0.166667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.24,0.00,1.00,0.24,0.00,1.00,0.00,0.18,0.93,0.07,0.02,1.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.66,0.00,0.00,0.00,0.19,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      12,          0.183333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.76,0.18,0.00,0.39,0.20,0.00,0.50,0.19,0.00,0.46,0.20,0.45,0.52,0.21,0.00,0.55,0.22,0.18,0.40,0.00,0.20,1.00,0.21,0.00,0.74,0.03,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,1.00,0.18,0.00,0.00,0.19,0.12,0.88,0.00,0.00,0.00,0.05,0.00,0.71,0.00,1.45,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      13,          0.200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.06,0.22,0.00,0.45,0.19,0.00,0.65,0.19,0.00,0.67,0.19,0.00,0.66,0.19,0.59,0.65,0.19,0.00,0.68,0.17,0.18,0.73,0.01,0.20,1.00,0.19,0.00,0.80,0.12,0.00,0.00,0.50,0.00,0.00,0.07,0.00,1.00,0.19,0.18,0.41,0.17,0.00,0.68,0.17,0.18,0.84,0.50,0.00,0.41,0.22,0.00,0.42,0.21,0.50,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      14,          0.216667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.32,0.20,0.00,0.59,0.18,0.00,0.60,0.20,0.00,0.62,0.04,0.54,0.23,0.13,0.00,0.31,0.18,0.16,0.73,0.00,0.02,1.00,0.21,0.00,0.58,0.21,0.78,0.60,0.50,0.00,0.00,0.50,0.00,0.37,0.22,0.00,0.09,0.20,0.00,0.61,0.20,0.00,0.59,0.50,0.00,0.35,0.22,0.00,0.40,0.21,0.54,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      15,          0.233333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.32,0.22,0.00,0.25,0.20,0.00,0.59,0.18,0.00,0.59,0.20,0.00,0.62,0.09,0.54,0.30,0.13,0.00,0.24,0.17,0.17,0.73,0.00,0.02,1.00,0.21,0.00,0.58,0.21,0.75,0.60,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.13,0.20,0.00,0.60,0.20,0.00,0.60,0.50,0.00,0.34,0.22,0.00,0.42,0.21,0.50,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      16,          0.250000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.33,0.22,0.00,0.22,0.20,0.00,0.59,0.17,0.00,0.59,0.20,0.00,0.62,0.10,0.53,0.41,0.05,0.00,0.02,0.16,0.17,0.72,0.00,0.02,1.00,0.20,0.00,0.57,0.21,0.74,0.60,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.16,0.20,0.00,0.60,0.19,0.00,0.60,0.50,0.00,0.34,0.22,0.00,0.44,0.21,0.46,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      17,          0.266667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.31,0.22,0.00,0.21,0.20,0.00,0.59,0.16,0.00,0.58,0.19,0.00,0.62,0.13,0.52,0.54,0.50,0.00,1.00,0.16,0.16,0.72,0.00,0.02,1.00,0.18,0.00,0.53,0.21,0.74,0.60,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.17,0.20,0.00,0.60,0.19,0.00,0.60,0.50,0.00,0.34,0.22,0.00,0.44,0.21,0.45,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      18,          0.283333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.29,0.22,0.00,0.19,0.20,0.00,0.59,0.15,0.00,0.58,0.19,0.00,0.61,0.13,0.52,0.52,0.00,0.00,0.00,0.15,0.16,0.72,0.00,0.02,1.00,0.17,0.00,0.48,0.21,0.74,0.60,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.17,0.20,0.00,0.60,0.19,0.00,0.60,0.50,0.00,0.34,0.22,0.00,0.45,0.21,0.43,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      19,          0.300000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.27,0.22,0.00,0.17,0.20,0.00,0.59,0.15,0.00,0.56,0.19,0.00,0.61,0.13,0.50,0.51,0.00,0.00,0.00,0.15,0.16,0.71,0.00,0.02,1.00,0.17,0.00,0.49,0.21,0.73,0.60,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.19,0.20,0.00,0.60,0.19,0.00,0.59,0.50,0.00,0.34,0.22,0.00,0.45,0.21,0.43,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      20,          0.316667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.25,0.22,0.00,0.15,0.20,0.00,0.59,0.15,0.00,0.56,0.19,0.00,0.61,0.13,0.50,0.50,0.00,0.00,0.00,0.15,0.16,0.71,0.00,0.02,1.00,0.17,0.00,0.47,0.21,0.73,0.60,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.20,0.20,0.00,0.60,0.18,0.00,0.59,0.50,0.00,0.34,0.22,0.00,0.46,0.21,0.42,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      21,          0.333333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.23,0.22,0.00,0.13,0.20,0.00,0.59,0.15,0.00,0.55,0.18,0.00,0.61,0.13,0.48,0.50,0.00,0.00,0.00,0.15,0.16,0.71,0.00,0.02,1.00,0.17,0.00,0.45,0.21,0.72,0.60,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.21,0.20,0.00,0.60,0.18,0.00,0.59,0.50,0.00,0.34,0.22,0.00,0.45,0.21,0.41,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      22,          0.350000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.21,0.22,0.00,0.12,0.20,0.00,0.59,0.15,0.00,0.56,0.18,0.00,0.61,0.13,0.50,0.49,0.00,0.00,0.00,0.15,0.16,0.70,0.00,0.02,1.00,0.17,0.00,0.41,0.21,0.72,0.60,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.21,0.20,0.00,0.60,0.17,0.00,0.58,0.50,0.00,0.34,0.22,0.00,0.46,0.21,0.41,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      23,          0.366667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.19,0.22,0.00,0.13,0.20,0.00,0.59,0.15,0.00,0.56,0.18,0.00,0.59,0.13,0.49,0.48,0.00,0.00,0.00,0.16,0.14,0.70,0.00,0.02,1.00,0.17,0.00,0.39,0.21,0.74,0.56,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.23,0.20,0.00,0.62,0.17,0.00,0.57,0.50,0.00,0.34,0.22,0.00,0.44,0.21,0.38,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      24,          0.383333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.18,0.22,0.00,0.10,0.20,0.00,0.60,0.15,0.00,0.55,0.17,0.00,0.59,0.13,0.48,0.46,0.00,0.00,0.00,0.15,0.15,0.69,0.00,0.02,1.00,0.17,0.00,0.39,0.21,0.72,0.58,0.50,0.00,0.00,0.50,0.00,0.33,0.22,0.00,0.23,0.20,0.00,0.62,0.16,0.00,0.56,0.50,0.00,0.34,0.22,0.00,0.46,0.21,0.40,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      25,          0.400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.16,0.22,0.00,0.10,0.19,0.00,0.60,0.15,0.00,0.54,0.17,0.00,0.58,0.13,0.47,0.45,0.00,0.00,0.00,0.15,0.15,0.68,0.00,0.02,1.00,0.16,0.00,0.34,0.21,0.73,0.58,0.50,0.00,0.00,0.50,0.00,0.30,0.22,0.00,0.24,0.20,0.00,0.61,0.16,0.00,0.56,0.50,0.00,0.34,0.22,0.00,0.46,0.21,0.39,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      26,          0.416667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.14,0.22,0.00,0.12,0.19,0.00,0.59,0.15,0.00,0.53,0.16,0.00,0.58,0.13,0.46,0.42,0.00,0.00,0.00,0.15,0.14,0.68,0.00,0.02,1.00,0.16,0.00,0.33,0.21,0.75,0.58,0.50,0.00,0.00,0.50,0.00,0.30,0.22,0.00,0.25,0.19,0.00,0.61,0.15,0.00,0.56,0.50,0.00,0.34,0.22,0.00,0.46,0.21,0.39,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      27,          0.433333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.13,0.22,0.00,0.07,0.19,0.00,0.59,0.15,0.00,0.52,0.16,0.00,0.57,0.12,0.45,0.39,0.00,0.00,0.00,0.15,0.15,0.67,0.00,0.02,1.00,0.16,0.00,0.34,0.21,0.70,0.58,0.50,0.00,1.00,0.50,0.00,0.30,0.23,0.00,0.23,0.19,0.00,0.61,0.15,0.00,0.55,0.50,0.00,0.33,0.22,0.00,0.46,0.21,0.38,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      28,          0.450000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.11,0.22,0.00,0.07,0.19,0.00,0.59,0.15,0.00,0.51,0.15,0.00,0.57,0.12,0.44,0.37,0.00,0.00,0.00,0.15,0.15,0.67,0.00,0.02,1.00,0.16,0.00,0.31,0.21,0.70,0.57,0.00,0.00,1.00,0.50,0.00,0.29,0.23,0.00,0.24,0.19,0.00,0.60,0.15,0.00,0.56,0.50,0.00,0.33,0.22,0.00,0.44,0.21,0.37,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      29,          0.466667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.09,0.22,0.00,0.06,0.19,0.00,0.59,0.15,0.00,0.51,0.15,0.00,0.56,0.12,0.43,0.36,0.00,0.00,0.00,0.15,0.15,0.66,0.00,0.02,1.00,0.16,0.00,0.29,0.22,0.70,0.57,0.00,0.00,1.00,0.50,0.00,0.27,0.23,0.00,0.24,0.19,0.00,0.59,0.15,0.00,0.55,0.50,0.00,0.33,0.22,0.00,0.44,0.21,0.37,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      30,          0.483333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.08,0.22,0.00,0.03,0.19,0.00,0.59,0.15,0.00,0.50,0.15,0.00,0.56,0.12,0.42,0.34,0.00,0.00,0.00,0.15,0.14,0.65,0.00,0.01,1.00,0.16,0.00,0.26,0.22,0.67,0.59,0.00,0.00,1.00,0.50,0.00,0.26,0.23,0.00,0.23,0.18,0.00,0.58,0.15,0.00,0.55,0.50,0.00,0.33,0.22,0.00,0.45,0.21,0.38,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
