"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Time (h)","Q FC01.1_R [EG14_003]","Q FC01.2_R [EG14_003]","Q FC04.1_C [EG14_003]","Q Pipe0 [EG14_003]","Q Pipe1 [EG14_003]","Q Pipe10 [EG14_003]","Q Pipe11 [EG14_003]","Q Pipe12 [EG14_003]","Q Pipe13 [EG14_003]","Q Pipe14 [EG14_003]","Q Pipe15 [EG14_003]","Q Pipe16 [EG14_003]","Q Pipe17 [EG14_003]","Q Pipe19 [EG14_003]","Q Pipe2 [EG14_003]","Q Pipe3 [EG14_003]","Q Pipe4 [EG14_003]","Q Pipe5 [EG14_003]","Q Pipe6 [EG14_003]","Q Pipe7 [EG14_003]","Q Pipe8 [EG14_003]","Q Pipe9 [EG14_003]","Q Pit1 [EG14_003]","Q Pit10 [EG14_003]","Q Pit11 [EG14_003]","Q Pit12 [EG14_003]","Q Pit13 [EG14_003]","Q Pit14 [EG14_003]","Q Pit15 [EG14_003]","Q Pit16 [EG14_003]","Q Pit17 [EG14_003]","Q Pit18 [EG14_003]","Q Pit19 [EG14_003]","Q Pit2 [EG14_003]","Q Pit3 [EG14_003]","Q Pit4 [EG14_003]","Q Pit5 [EG14_003]","Q Pit6 [EG14_003]","Q Pit7 [EG14_003]","Q Pit8 [EG14_003]","Q Pit9 [EG14_003]"
      11,          0.166667,           0.000,           0.000,           0.000,           0.039,           0.073,           0.176,           0.076,           0.179,          -0.003,          -0.007,           0.027,           0.014,          -0.004,           0.148,           0.026,           0.025,           0.044,           0.151,           0.109,           0.052,           0.100,           0.172,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      12,          0.183333,           0.000,           0.000,           0.000,           0.041,           0.031,           0.010,           0.016,           0.013,           0.020,           0.025,          -0.031,           0.006,           0.029,          -0.028,           0.010,           0.028,          -0.011,          -0.032,          -0.030,           0.057,           0.035,           0.008,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      13,          0.200000,           0.000,           0.000,           0.000,           0.034,           0.065,           0.131,           0.105,           0.119,           0.095,           0.086,          -0.031,           0.023,           0.076,          -0.007,           0.018,          -0.116,          -0.098,          -0.015,          -0.023,           0.048,           0.088,           0.143,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      14,          0.216667,           0.872,           0.000,           0.000,           0.047,           0.091,           0.234,           0.187,           0.239,           0.047,          -0.055,           0.152,           0.001,          -0.122,           0.193,           0.031,           0.030,           0.057,           0.203,           0.214,           0.065,           0.128,           0.222,           0.000,          -0.155,          -0.117,          -0.082,          -0.043,          -0.077,          -0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,          -0.010,          -0.067
      15,          0.233333,           1.801,           0.000,           0.000,           0.053,           0.094,           0.259,           0.187,           0.261,           0.059,          -0.052,           0.155,           0.001,          -0.115,           0.223,           0.025,           0.037,           0.073,           0.239,           0.235,           0.074,           0.147,           0.245,          -0.002,          -0.144,          -0.127,          -0.080,          -0.055,          -0.096,          -0.021,           0.000,           0.000,           0.000,           0.000,          -0.015,           0.000,           0.000,           0.000,          -0.012,          -0.002,          -0.015,          -0.091
      16,          0.250000,           2.469,           0.000,           0.000,           0.057,           0.089,           0.263,           0.163,           0.256,           0.056,          -0.024,           0.140,           0.000,          -0.091,           0.227,           0.015,           0.039,           0.079,           0.245,           0.230,           0.079,           0.158,           0.252,          -0.002,          -0.124,          -0.097,          -0.085,          -0.065,          -0.108,          -0.033,           0.000,          -0.000,           0.000,           0.000,          -0.027,           0.000,           0.000,           0.000,          -0.024,          -0.006,          -0.025,          -0.110
      17,          0.266667,           2.990,           0.000,           0.000,           0.054,           0.087,           0.262,           0.141,           0.249,           0.062,          -0.000,           0.124,           0.000,          -0.062,           0.228,           0.013,           0.040,           0.080,           0.245,           0.223,           0.080,           0.161,           0.253,          -0.006,          -0.096,          -0.079,          -0.080,          -0.080,          -0.116,          -0.041,          -0.000,          -0.001,           0.000,           0.000,          -0.027,           0.000,           0.000,           0.000,          -0.027,          -0.009,          -0.031,          -0.126
      18,          0.283333,           3.429,           0.000,           0.000,           0.051,           0.085,           0.261,           0.127,           0.238,           0.056,           0.004,           0.113,           0.001,          -0.046,           0.227,           0.010,           0.041,           0.082,           0.245,           0.211,           0.082,           0.163,           0.253,          -0.010,          -0.089,          -0.071,          -0.068,          -0.084,          -0.117,          -0.052,          -0.001,          -0.003,           0.000,           0.000,          -0.028,           0.000,           0.000,           0.000,          -0.031,          -0.010,          -0.041,          -0.129
      19,          0.300000,           3.783,           0.000,           0.000,           0.048,           0.081,           0.258,           0.117,           0.226,           0.051,           0.002,           0.106,           0.001,          -0.044,           0.226,           0.008,           0.042,           0.083,           0.243,           0.197,           0.083,           0.166,           0.252,          -0.014,          -0.085,          -0.067,          -0.064,          -0.079,          -0.110,          -0.064,          -0.002,          -0.005,          -0.000,           0.000,          -0.030,           0.000,           0.000,           0.000,          -0.033,          -0.013,          -0.051,          -0.127
      20,          0.316667,           4.277,           0.000,           0.000,           0.045,           0.077,           0.254,           0.110,           0.212,           0.047,           0.002,           0.099,           0.000,          -0.041,           0.225,           0.007,           0.043,           0.085,           0.240,           0.183,           0.084,           0.168,           0.252,          -0.018,          -0.081,          -0.064,          -0.061,          -0.076,          -0.103,          -0.075,          -0.004,          -0.007,          -0.001,           0.000,          -0.031,           0.000,           0.000,           0.000,          -0.035,          -0.017,          -0.061,          -0.121
      21,          0.333333,           4.776,           0.000,           0.000,           0.043,           0.074,           0.250,           0.104,           0.199,           0.046,           0.003,           0.092,           0.000,          -0.037,           0.225,           0.006,           0.044,           0.086,           0.237,           0.170,           0.087,           0.170,           0.251,          -0.022,          -0.078,          -0.062,          -0.059,          -0.073,          -0.097,          -0.087,          -0.006,          -0.010,          -0.003,           0.001,          -0.033,           0.000,           0.000,           0.001,          -0.037,          -0.021,          -0.070,          -0.113
      22,          0.350000,           5.278,           0.000,           0.000,           0.041,           0.072,           0.246,           0.099,           0.186,           0.044,           0.004,           0.083,           0.000,          -0.033,           0.225,           0.005,           0.044,           0.088,           0.233,           0.155,           0.087,           0.171,           0.250,          -0.024,          -0.074,          -0.059,          -0.056,          -0.069,          -0.091,          -0.098,          -0.011,          -0.012,          -0.003,          -0.000,          -0.034,           0.000,           0.000,           0.001,          -0.039,          -0.024,          -0.080,          -0.105
      23,          0.366667,           5.824,           0.000,           0.000,           0.039,           0.071,           0.242,           0.092,           0.172,           0.040,           0.004,           0.075,           0.000,          -0.029,           0.225,           0.003,           0.044,           0.088,           0.228,           0.141,           0.088,           0.172,           0.250,          -0.027,          -0.071,          -0.056,          -0.053,          -0.065,          -0.085,          -0.106,          -0.019,          -0.015,          -0.004,          -0.000,          -0.035,           0.000,           0.000,           0.000,          -0.041,          -0.026,          -0.089,          -0.100
      24,          0.383333,           6.509,           0.000,           0.000,           0.038,           0.069,           0.238,           0.086,           0.159,           0.037,           0.003,           0.068,           0.000,          -0.028,           0.225,           0.002,           0.044,           0.089,           0.221,           0.128,           0.089,           0.173,           0.249,          -0.029,          -0.069,          -0.054,          -0.050,          -0.060,          -0.079,          -0.113,          -0.024,          -0.016,          -0.006,          -0.001,          -0.037,           0.000,           0.000,          -0.001,          -0.042,          -0.031,          -0.099,          -0.093
      25,          0.400000,           7.212,           0.000,           0.000,           0.037,           0.068,           0.233,           0.078,           0.144,           0.034,           0.003,           0.062,           0.000,          -0.024,           0.222,           0.001,           0.043,           0.090,           0.213,           0.118,           0.090,           0.174,           0.248,          -0.031,          -0.064,          -0.051,          -0.047,          -0.058,          -0.076,          -0.115,          -0.029,          -0.019,          -0.007,          -0.001,          -0.037,          -0.004,           0.000,          -0.003,          -0.044,          -0.035,          -0.109,          -0.086
      26,          0.416667,           8.027,           0.000,           0.000,           0.037,           0.069,           0.226,           0.070,           0.131,           0.030,           0.002,           0.058,           0.000,          -0.022,           0.219,           0.000,           0.044,           0.089,           0.204,           0.111,           0.091,           0.175,           0.246,          -0.031,          -0.061,          -0.048,          -0.045,          -0.056,          -0.073,          -0.114,          -0.036,          -0.021,          -0.009,          -0.001,          -0.038,          -0.005,           0.000,          -0.001,          -0.046,          -0.041,          -0.115,          -0.082
      27,          0.433333,           8.989,           0.000,           0.000,           0.034,           0.062,           0.219,           0.064,           0.122,           0.026,           0.001,           0.055,           0.000,          -0.022,           0.219,           0.000,           0.041,           0.087,           0.194,           0.105,           0.092,           0.175,           0.245,          -0.036,          -0.059,          -0.046,          -0.043,          -0.054,          -0.071,          -0.109,          -0.046,          -0.024,          -0.011,          -0.002,          -0.042,          -0.000,           0.000,          -0.006,          -0.047,          -0.047,          -0.117,          -0.079
      28,          0.450000,          10.141,           0.000,           0.000,           0.032,           0.059,           0.210,           0.060,           0.115,           0.024,           0.001,           0.052,           0.000,          -0.020,           0.216,          -0.001,           0.039,           0.086,           0.185,           0.100,           0.092,           0.175,           0.243,          -0.039,          -0.057,          -0.044,          -0.042,          -0.053,          -0.069,          -0.105,          -0.054,          -0.027,          -0.012,          -0.003,          -0.044,           0.001,           0.000,          -0.008,          -0.048,          -0.053,          -0.116,          -0.076
      29,          0.466667,          11.350,           0.000,           0.000,           0.031,           0.057,           0.201,           0.057,           0.110,           0.023,           0.001,           0.049,           0.000,          -0.018,           0.214,          -0.002,           0.037,           0.085,           0.175,           0.095,           0.093,           0.175,           0.240,          -0.041,          -0.056,          -0.043,          -0.041,          -0.051,          -0.068,          -0.101,          -0.061,          -0.030,          -0.014,          -0.003,          -0.046,          -0.000,           0.000,          -0.011,          -0.050,          -0.061,          -0.112,          -0.074
      30,          0.483333,          13.102,           0.000,           0.000,           0.030,           0.054,           0.191,           0.054,           0.105,           0.022,           0.001,           0.046,           0.000,          -0.017,           0.211,          -0.002,           0.036,           0.085,           0.165,           0.091,           0.093,           0.174,           0.237,          -0.043,          -0.054,          -0.042,          -0.040,          -0.051,          -0.066,          -0.096,          -0.068,          -0.033,          -0.016,          -0.004,          -0.049,          -0.001,           0.000,          -0.013,          -0.051,          -0.067,          -0.108,          -0.072
      31,          0.500000,          14.918,           0.000,           0.000,           0.028,           0.052,           0.182,           0.051,           0.100,           0.020,           0.000,           0.044,           0.000,          -0.016,           0.209,          -0.003,           0.034,           0.084,           0.155,           0.086,           0.094,           0.174,           0.234,          -0.046,          -0.053,          -0.042,          -0.038,          -0.049,          -0.064,          -0.091,          -0.076,          -0.036,          -0.018,          -0.005,          -0.051,          -0.001,           0.000,          -0.015,          -0.053,          -0.074,          -0.104,          -0.071
      32,          0.516667,          16.854,           0.000,           0.000,           0.027,           0.049,           0.173,           0.049,           0.096,           0.019,           0.001,           0.041,           0.000,          -0.015,           0.206,          -0.004,           0.032,           0.083,           0.145,           0.081,           0.095,           0.175,           0.231,          -0.049,          -0.052,          -0.041,          -0.038,          -0.048,          -0.063,          -0.086,          -0.084,          -0.040,          -0.021,          -0.007,          -0.053,          -0.002,           0.000,          -0.018,          -0.055,          -0.081,          -0.100,          -0.069
      33,          0.533333,          19.577,           2.621,           0.000,           0.026,           0.047,           0.164,           0.047,           0.092,           0.018,           0.001,           0.037,           0.000,          -0.013,           0.204,          -0.005,           0.031,           0.082,           0.135,           0.075,           0.095,           0.175,           0.229,          -0.052,          -0.052,          -0.040,          -0.037,          -0.047,          -0.061,          -0.083,          -0.092,          -0.044,          -0.024,          -0.008,          -0.056,          -0.003,          -0.001,          -0.021,          -0.057,          -0.088,          -0.096,          -0.068
      34,          0.550000,          23.338,           3.656,           0.000,           0.025,           0.045,           0.155,           0.044,           0.087,           0.017,           0.001,           0.034,           0.000,          -0.012,           0.201,          -0.006,           0.029,           0.080,           0.126,           0.070,           0.096,           0.175,           0.226,          -0.055,          -0.051,          -0.040,          -0.037,          -0.046,          -0.059,          -0.080,          -0.098,          -0.049,          -0.027,          -0.010,          -0.059,          -0.004,          -0.002,          -0.024,          -0.059,          -0.095,          -0.092,          -0.067
      35,          0.566667,          27.898,           4.795,           0.000,           0.024,           0.044,           0.147,           0.042,           0.083,           0.016,           0.001,           0.031,           0.000,          -0.011,           0.197,          -0.007,           0.028,           0.078,           0.118,           0.065,           0.096,           0.174,           0.224,          -0.058,          -0.050,          -0.039,          -0.036,          -0.044,          -0.057,          -0.078,          -0.103,          -0.052,          -0.031,          -0.012,          -0.061,          -0.006,          -0.005,          -0.026,          -0.061,          -0.101,          -0.088,          -0.065
      36,          0.583333,          30.984,           5.486,           0.000,           0.023,           0.043,           0.138,           0.039,           0.078,           0.014,           0.001,           0.029,           0.000,          -0.010,           0.192,          -0.008,           0.027,           0.076,           0.111,           0.060,           0.096,           0.174,           0.221,          -0.060,          -0.049,          -0.038,          -0.035,          -0.043,          -0.056,          -0.076,          -0.106,          -0.055,          -0.034,          -0.015,          -0.064,          -0.010,          -0.007,          -0.028,          -0.064,          -0.107,          -0.085,          -0.064
      37,          0.600000,          33.857,           6.788,           0.000,           0.022,           0.041,           0.131,           0.036,           0.073,           0.014,           0.001,           0.027,           0.000,          -0.009,           0.186,          -0.010,           0.026,           0.073,           0.105,           0.056,           0.096,           0.173,           0.217,          -0.063,          -0.048,          -0.038,          -0.035,          -0.043,          -0.055,          -0.074,          -0.106,          -0.059,          -0.037,          -0.017,          -0.066,          -0.014,          -0.010,          -0.030,          -0.067,          -0.112,          -0.083,          -0.062
      38,          0.616667,          36.334,           8.148,           0.000,           0.021,           0.039,           0.125,           0.034,           0.069,           0.012,           0.001,           0.025,           0.000,          -0.008,           0.180,          -0.011,           0.025,           0.071,           0.100,           0.054,           0.096,           0.171,           0.213,          -0.066,          -0.047,          -0.037,          -0.035,          -0.042,          -0.054,          -0.073,          -0.106,          -0.063,          -0.041,          -0.020,          -0.069,          -0.017,          -0.012,          -0.033,          -0.069,          -0.114,          -0.081,          -0.061
      39,          0.633333,          38.464,          10.135,           0.000,           0.020,           0.037,           0.119,           0.032,           0.066,           0.012,           0.001,           0.024,           0.000,          -0.008,           0.174,          -0.013,           0.024,           0.068,           0.096,           0.051,           0.096,           0.170,           0.208,          -0.068,          -0.047,          -0.037,          -0.035,          -0.042,          -0.054,          -0.072,          -0.104,          -0.067,          -0.044,          -0.023,          -0.072,          -0.020,          -0.015,          -0.035,          -0.072,          -0.115,          -0.080,          -0.060
      40,          0.650000,          40.359,          12.203,           0.000,           0.019,           0.035,           0.115,           0.030,           0.063,           0.011,           0.001,           0.022,           0.000,          -0.007,           0.167,          -0.015,           0.023,           0.065,           0.092,           0.049,           0.095,           0.168,           0.203,          -0.071,          -0.046,          -0.037,          -0.035,          -0.042,          -0.053,          -0.071,          -0.101,          -0.071,          -0.048,          -0.026,          -0.075,          -0.024,          -0.018,          -0.038,          -0.075,          -0.115,          -0.079,          -0.060
      41,          0.666667,          42.125,          14.768,           0.000,           0.018,           0.033,           0.111,           0.029,           0.061,           0.010,           0.001,           0.021,           0.000,          -0.007,           0.160,          -0.017,           0.022,           0.063,           0.089,           0.047,           0.094,           0.167,           0.198,          -0.074,          -0.046,          -0.037,          -0.035,          -0.042,          -0.053,          -0.070,          -0.099,          -0.076,          -0.051,          -0.029,          -0.078,          -0.029,          -0.020,          -0.040,          -0.078,          -0.114,          -0.078,          -0.059
      42,          0.683333,          43.772,          17.738,           0.000,           0.017,           0.031,           0.107,           0.028,           0.058,           0.010,           0.001,           0.020,           0.000,          -0.006,           0.153,          -0.018,           0.021,           0.061,           0.085,           0.044,           0.093,           0.165,           0.192,          -0.077,          -0.046,          -0.037,          -0.035,          -0.041,          -0.052,          -0.069,          -0.096,          -0.080,          -0.055,          -0.032,          -0.080,          -0.035,          -0.023,          -0.041,          -0.081,          -0.113,          -0.077,          -0.059
      43,          0.700000,          45.070,          20.740,           0.000,           0.016,           0.030,           0.104,           0.027,           0.056,           0.010,           0.001,           0.019,           0.000,          -0.006,           0.145,          -0.020,           0.021,           0.059,           0.081,           0.042,           0.092,           0.163,           0.186,          -0.080,          -0.046,          -0.038,          -0.035,          -0.041,          -0.052,          -0.068,          -0.093,          -0.084,          -0.058,          -0.036,          -0.083,          -0.040,          -0.026,          -0.043,          -0.084,          -0.111,          -0.076,          -0.058
      44,          0.716667,          45.954,          23.799,           0.000,           0.017,           0.028,           0.101,           0.026,           0.054,           0.009,           0.001,           0.018,           0.000,          -0.005,           0.138,          -0.022,           0.019,           0.056,           0.078,           0.040,           0.091,           0.161,           0.180,          -0.081,          -0.046,          -0.038,          -0.035,          -0.041,          -0.051,          -0.067,          -0.090,          -0.089,          -0.061,          -0.039,          -0.086,          -0.044,          -0.029,          -0.046,          -0.087,          -0.109,          -0.075,          -0.058
      45,          0.733333,          46.514,          26.449,           0.000,           0.016,           0.027,           0.098,           0.025,           0.053,           0.009,           0.001,           0.016,           0.000,          -0.005,           0.130,          -0.024,           0.018,           0.053,           0.073,           0.037,           0.090,           0.159,           0.174,          -0.084,          -0.046,          -0.038,          -0.035,          -0.041,          -0.051,          -0.065,          -0.087,          -0.093,          -0.065,          -0.043,          -0.088,          -0.050,          -0.032,          -0.048,          -0.090,          -0.107,          -0.075,          -0.057
      46,          0.750000,          46.859,          28.955,           0.000,           0.015,           0.025,           0.095,           0.024,           0.051,           0.009,           0.001,           0.015,           0.000,          -0.004,           0.122,          -0.026,           0.017,           0.049,           0.068,           0.034,           0.089,           0.157,           0.169,          -0.087,          -0.046,          -0.038,          -0.035,          -0.040,          -0.050,          -0.064,          -0.085,          -0.098,          -0.068,          -0.047,          -0.091,          -0.054,          -0.036,          -0.051,          -0.094,          -0.103,          -0.075,          -0.057
      47,          0.766667,          47.077,          31.591,           0.000,           0.013,           0.023,           0.090,           0.022,           0.048,           0.008,           0.001,           0.012,           0.000,          -0.003,           0.112,          -0.027,           0.016,           0.046,           0.061,           0.030,           0.086,           0.152,           0.159,          -0.086,          -0.043,          -0.036,          -0.034,          -0.038,          -0.047,          -0.060,          -0.080,          -0.097,          -0.065,          -0.045,          -0.088,          -0.055,          -0.035,          -0.050,          -0.092,          -0.099,          -0.071,          -0.055
      48,          0.783333,          47.201,          34.544,           0.000,           0.011,           0.020,           0.085,           0.020,           0.044,           0.007,           0.001,           0.010,           0.000,          -0.002,           0.101,          -0.027,           0.014,           0.042,           0.054,           0.025,           0.083,           0.147,           0.150,          -0.084,          -0.041,          -0.034,          -0.032,          -0.036,          -0.044,          -0.057,          -0.075,          -0.096,          -0.064,          -0.043,          -0.086,          -0.057,          -0.035,          -0.049,          -0.091,          -0.093,          -0.069,          -0.053
      49,          0.800000,          47.276,          38.162,           0.000,           0.010,           0.019,           0.080,           0.018,           0.041,           0.006,           0.001,           0.008,           0.000,          -0.002,           0.090,          -0.028,           0.012,           0.038,           0.047,           0.021,           0.081,           0.141,           0.140,          -0.082,          -0.039,          -0.033,          -0.030,          -0.033,          -0.040,          -0.053,          -0.071,          -0.096,          -0.062,          -0.041,          -0.083,          -0.058,          -0.036,          -0.049,          -0.089,          -0.088,          -0.066,          -0.051
      50,          0.816667,          47.329,          42.284,           0.000,           0.009,           0.018,           0.073,           0.015,           0.037,           0.005,           0.001,           0.006,           0.000,          -0.001,           0.080,          -0.029,           0.010,           0.032,           0.040,           0.017,           0.078,           0.136,           0.130,          -0.080,          -0.037,          -0.031,          -0.028,          -0.031,          -0.037,          -0.050,          -0.066,          -0.095,          -0.061,          -0.040,          -0.079,          -0.059,          -0.037,          -0.049,          -0.088,          -0.084,          -0.063,          -0.048
      51,          0.833333,          47.369,          46.665,           0.000,           0.008,           0.018,           0.066,           0.013,           0.032,           0.004,           0.001,           0.005,           0.000,          -0.001,           0.068,          -0.029,           0.007,           0.024,           0.033,           0.013,           0.076,           0.129,           0.120,          -0.077,          -0.034,          -0.029,          -0.027,          -0.029,          -0.034,          -0.045,          -0.060,          -0.093,          -0.060,          -0.038,          -0.075,          -0.059,          -0.040,          -0.049,          -0.086,          -0.079,          -0.059,          -0.045
      52,          0.850000,          47.399,          50.618,           0.000,           0.008,           0.017,           0.060,           0.011,           0.028,           0.003,           0.001,           0.003,           0.000,          -0.000,           0.056,          -0.030,           0.004,           0.015,           0.025,           0.010,           0.073,           0.123,           0.111,          -0.074,          -0.032,          -0.027,          -0.025,          -0.027,          -0.031,          -0.040,          -0.055,          -0.092,          -0.059,          -0.036,          -0.072,          -0.059,          -0.043,          -0.050,          -0.084,          -0.075,          -0.056,          -0.042
      53,          0.866667,          47.417,          53.751,           0.000,           0.007,           0.017,           0.054,           0.009,           0.025,           0.003,           0.000,           0.002,           0.000,           0.000,           0.046,          -0.029,           0.002,           0.008,           0.020,           0.007,           0.070,           0.116,           0.102,          -0.071,          -0.030,          -0.026,          -0.024,          -0.025,          -0.029,          -0.036,          -0.050,          -0.089,          -0.058,          -0.035,          -0.068,          -0.057,          -0.046,          -0.051,          -0.081,          -0.072,          -0.053,          -0.039
      54,          0.883333,          47.431,          56.202,           0.000,           0.007,           0.017,           0.049,           0.008,           0.021,           0.002,           0.000,           0.001,           0.000,           0.000,           0.039,          -0.028,           0.000,           0.002,           0.016,           0.005,           0.066,           0.109,           0.095,          -0.068,          -0.028,          -0.024,          -0.023,          -0.024,          -0.027,          -0.033,          -0.046,          -0.086,          -0.058,          -0.034,          -0.065,          -0.055,          -0.048,          -0.050,          -0.078,          -0.068,          -0.050,          -0.036
      55,          0.900000,          47.441,          58.143,           0.000,           0.006,           0.016,           0.045,           0.007,           0.019,           0.002,           0.000,           0.001,           0.000,           0.000,           0.034,          -0.027,           0.000,           0.000,           0.014,           0.004,           0.062,           0.101,           0.087,          -0.065,          -0.027,          -0.023,          -0.021,          -0.022,          -0.025,          -0.031,          -0.042,          -0.083,          -0.057,          -0.033,          -0.062,          -0.054,          -0.048,          -0.048,          -0.074,          -0.064,          -0.047,          -0.034
