"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Time(h)","V FC01.1_R [EG14_003]","V FC01.2_R [EG14_003]","V FC04.1_C [EG14_003]","V Pipe0 [EG14_003]","V Pipe1 [EG14_003]","V Pipe10 [EG14_003]","V Pipe11 [EG14_003]","V Pipe12 [EG14_003]","V Pipe13 [EG14_003]","V Pipe14 [EG14_003]","V Pipe15 [EG14_003]","V Pipe16 [EG14_003]","V Pipe17 [EG14_003]","V Pipe19 [EG14_003]","V Pipe2 [EG14_003]","V Pipe3 [EG14_003]","V Pipe4 [EG14_003]","V Pipe5 [EG14_003]","V Pipe6 [EG14_003]","V Pipe7 [EG14_003]","V Pipe8 [EG14_003]","V Pipe9 [EG14_003]","V Pit1 [EG14_003]","V Pit10 [EG14_003]","V Pit11 [EG14_003]","V Pit12 [EG14_003]","V Pit13 [EG14_003]","V Pit14 [EG14_003]","V Pit15 [EG14_003]","V Pit16 [EG14_003]","V Pit17 [EG14_003]","V Pit18 [EG14_003]","V Pit19 [EG14_003]","V Pit2 [EG14_003]","V Pit3 [EG14_003]","V Pit4 [EG14_003]","V Pit5 [EG14_003]","V Pit6 [EG14_003]","V Pit7 [EG14_003]","V Pit8 [EG14_003]","V Pit9 [EG14_003]"
      12,          0.183333,    0.000,    0.000,    0.000,    0.625,    0.145,    0.037,    0.058,    0.044,    0.071,    0.089,   -0.109,    0.010,    0.104,   -0.111,    0.216,    0.674,   -0.060,   -0.113,   -0.107,    0.811,    0.140,    0.028,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
      13,          0.200000,    0.000,    0.000,    0.000,    0.119,    0.229,    0.465,    0.373,    0.420,    0.337,    0.303,   -0.108,    0.037,    0.267,   -0.024,    0.064,   -0.513,   -0.348,   -0.055,   -0.082,    0.171,    0.310,    0.505,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
      14,          0.216667,    1.208,    0.000,    0.000,    0.166,    0.323,    0.828,    0.662,    0.847,    0.167,   -0.194,    0.537,    0.002,   -0.430,    0.682,    0.108,    0.107,    0.203,    0.718,    0.758,    0.230,    0.453,    0.786,    0.000,   -0.367,   -0.371,   -0.382,   -0.228,   -0.376,   -0.226,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.904,   -0.330
      15,          0.233333,    1.538,    0.000,    0.000,    0.187,    0.331,    0.918,    0.661,    0.924,    0.209,   -0.183,    0.548,    0.001,   -0.408,    0.788,    0.089,    0.130,    0.260,    0.846,    0.830,    0.260,    0.520,    0.869,   -0.472,   -0.296,   -0.339,   -0.292,   -0.229,   -0.370,   -0.185,    0.000,    0.000,    0.000,    0.000,   -0.175,    0.000,    0.000,    0.000,   -0.163,   -0.102,   -0.110,   -0.341
      16,          0.250000,    1.708,    0.000,    0.000,    0.203,    0.317,    0.932,    0.578,    0.906,    0.199,   -0.084,    0.495,    0.001,   -0.323,    0.804,    0.055,    0.139,    0.278,    0.867,    0.813,    0.279,    0.559,    0.891,   -0.032,   -0.230,   -0.211,   -0.244,   -0.224,   -0.368,   -0.247,    0.000,   -0.044,    0.000,    0.000,   -0.204,    0.000,    0.000,    0.000,   -0.197,   -0.098,   -0.153,   -0.358
      17,          0.266667,    1.821,    0.000,    0.000,    0.192,    0.308,    0.927,    0.497,    0.880,    0.219,   -0.000,    0.440,    0.001,   -0.218,    0.805,    0.047,    0.142,    0.284,    0.868,    0.788,    0.285,    0.569,    0.896,   -0.080,   -0.178,   -0.148,   -0.194,   -0.230,   -0.355,   -0.272,   -0.014,   -0.040,    0.000,    0.000,   -0.182,    0.000,    0.000,    0.000,   -0.193,   -0.121,   -0.172,   -0.361
      18,          0.283333,    1.906,    0.000,    0.000,    0.181,    0.299,    0.922,    0.450,    0.842,    0.199,    0.013,    0.400,    0.001,   -0.164,    0.805,    0.037,    0.144,    0.289,    0.866,    0.748,    0.289,    0.578,    0.895,   -0.109,   -0.164,   -0.131,   -0.142,   -0.205,   -0.308,   -0.300,   -0.022,   -0.063,    0.000,    0.000,   -0.165,    0.000,    0.000,    0.000,   -0.199,   -0.107,   -0.200,   -0.322
      19,          0.300000,    1.969,    0.000,    0.000,    0.170,    0.286,    0.912,    0.413,    0.799,    0.179,    0.005,    0.374,    0.001,   -0.156,    0.799,    0.030,    0.147,    0.294,    0.858,    0.698,    0.294,    0.587,    0.893,   -0.132,   -0.157,   -0.124,   -0.118,   -0.165,   -0.248,   -0.317,   -0.035,   -0.091,   -0.042,    0.000,   -0.161,    0.000,    0.000,    0.000,   -0.202,   -0.119,   -0.223,   -0.279
      20,          0.316667,    2.052,    0.000,    0.000,    0.160,    0.273,    0.898,    0.389,    0.749,    0.167,    0.006,    0.351,    0.001,   -0.146,    0.796,    0.026,    0.151,    0.300,    0.849,    0.649,    0.299,    0.594,    0.892,   -0.150,   -0.150,   -0.119,   -0.114,   -0.140,   -0.206,   -0.330,   -0.052,   -0.117,   -0.048,    0.000,   -0.157,    0.000,    0.000,    0.045,   -0.203,   -0.141,   -0.243,   -0.236
      21,          0.333333,    2.128,    0.000,    0.000,    0.151,    0.262,    0.884,    0.368,    0.705,    0.162,    0.010,    0.325,    0.001,   -0.131,    0.795,    0.020,    0.154,    0.306,    0.840,    0.601,    0.307,    0.601,    0.889,   -0.161,   -0.144,   -0.114,   -0.109,   -0.135,   -0.180,   -0.341,   -0.070,   -0.136,   -0.092,    0.230,   -0.155,    0.000,    0.000,    0.032,   -0.206,   -0.156,   -0.257,   -0.209
      22,          0.350000,    2.201,    0.000,    0.000,    0.145,    0.256,    0.870,    0.352,    0.657,    0.157,    0.016,    0.294,    0.001,   -0.116,    0.797,    0.016,    0.156,    0.310,    0.825,    0.548,    0.306,    0.604,    0.886,   -0.168,   -0.138,   -0.110,   -0.105,   -0.127,   -0.169,   -0.352,   -0.111,   -0.150,   -0.074,   -0.035,   -0.150,    0.000,    0.000,    0.018,   -0.209,   -0.165,   -0.268,   -0.195
      23,          0.366667,    2.274,    0.000,    0.000,    0.140,    0.250,    0.855,    0.326,    0.610,    0.143,    0.013,    0.267,    0.001,   -0.104,    0.796,    0.012,    0.157,    0.313,    0.807,    0.498,    0.311,    0.609,    0.885,   -0.173,   -0.132,   -0.104,   -0.098,   -0.120,   -0.157,   -0.350,   -0.161,   -0.169,   -0.085,   -0.021,   -0.148,    0.000,    0.000,    0.002,   -0.212,   -0.170,   -0.280,   -0.185
      24,          0.383333,    2.360,    0.000,    0.000,    0.134,    0.243,    0.841,    0.303,    0.562,    0.130,    0.009,    0.242,    0.001,   -0.098,    0.795,    0.009,    0.156,    0.314,    0.780,    0.452,    0.315,    0.612,    0.880,   -0.179,   -0.127,   -0.100,   -0.092,   -0.111,   -0.147,   -0.333,   -0.189,   -0.177,   -0.101,   -0.020,   -0.149,    0.000,    0.000,   -0.013,   -0.213,   -0.187,   -0.289,   -0.173
      25,          0.400000,    2.442,    0.000,    0.000,    0.130,    0.242,    0.823,    0.275,    0.509,    0.120,    0.012,    0.221,    0.001,   -0.084,    0.785,    0.005,    0.152,    0.317,    0.754,    0.418,    0.319,    0.615,    0.876,   -0.183,   -0.119,   -0.094,   -0.088,   -0.107,   -0.141,   -0.307,   -0.207,   -0.188,   -0.112,   -0.021,   -0.146,   -0.894,    0.000,   -0.043,   -0.216,   -0.199,   -0.297,   -0.160
      26,          0.416667,    2.531,    0.000,    0.000,    0.132,    0.243,    0.800,    0.249,    0.465,    0.106,    0.008,    0.206,    0.001,   -0.078,    0.774,    0.001,    0.157,    0.313,    0.721,    0.391,    0.322,    0.618,    0.871,   -0.176,   -0.113,   -0.089,   -0.083,   -0.103,   -0.135,   -0.274,   -0.227,   -0.197,   -0.122,   -0.025,   -0.147,   -0.699,    0.000,   -0.019,   -0.217,   -0.215,   -0.290,   -0.151
      27,          0.433333,    2.628,    0.000,    0.000,    0.120,    0.218,    0.773,    0.227,    0.432,    0.093,    0.003,    0.196,    0.001,   -0.076,    0.775,    0.000,    0.144,    0.309,    0.687,    0.373,    0.325,    0.618,    0.866,   -0.192,   -0.108,   -0.085,   -0.080,   -0.100,   -0.131,   -0.238,   -0.258,   -0.207,   -0.132,   -0.033,   -0.156,   -0.005,    0.000,   -0.071,   -0.217,   -0.231,   -0.272,   -0.146
      28,          0.450000,    2.736,    0.000,    0.000,    0.115,    0.209,    0.742,    0.213,    0.408,    0.086,    0.003,    0.184,    0.001,   -0.070,    0.764,   -0.002,    0.138,    0.305,    0.655,    0.355,    0.327,    0.619,    0.859,   -0.196,   -0.105,   -0.082,   -0.077,   -0.098,   -0.128,   -0.208,   -0.275,   -0.219,   -0.139,   -0.041,   -0.158,    0.017,    0.000,   -0.089,   -0.217,   -0.243,   -0.247,   -0.141
      29,          0.466667,    2.840,    0.000,    0.000,    0.110,    0.201,    0.710,    0.203,    0.389,    0.081,    0.003,    0.174,    0.001,   -0.065,    0.757,   -0.006,    0.132,    0.302,    0.618,    0.337,    0.328,    0.619,    0.848,   -0.199,   -0.103,   -0.080,   -0.075,   -0.095,   -0.125,   -0.187,   -0.284,   -0.226,   -0.146,   -0.047,   -0.160,   -0.011,    0.000,   -0.103,   -0.216,   -0.255,   -0.219,   -0.137
      30,          0.483333,    2.979,    0.000,    0.000,    0.105,    0.192,    0.676,    0.192,    0.371,    0.076,    0.004,    0.164,    0.001,   -0.060,    0.747,   -0.009,    0.127,    0.299,    0.584,    0.321,    0.330,    0.617,    0.838,   -0.203,   -0.100,   -0.078,   -0.073,   -0.094,   -0.122,   -0.178,   -0.294,   -0.234,   -0.154,   -0.053,   -0.163,   -0.013,    0.000,   -0.115,   -0.215,   -0.263,   -0.200,   -0.134
      31,          0.500000,    3.111,    0.000,    0.000,    0.100,    0.183,    0.645,    0.182,    0.355,    0.071,    0.001,    0.155,    0.001,   -0.057,    0.738,   -0.011,    0.122,    0.296,    0.547,    0.304,    0.331,    0.617,    0.828,   -0.207,   -0.099,   -0.077,   -0.071,   -0.091,   -0.119,   -0.168,   -0.303,   -0.242,   -0.160,   -0.057,   -0.165,   -0.015,    0.000,   -0.124,   -0.214,   -0.270,   -0.192,   -0.131
      32,          0.516667,    3.240,    0.000,    0.000,    0.095,    0.174,    0.612,    0.174,    0.339,    0.068,    0.003,    0.146,    0.001,   -0.052,    0.731,   -0.015,    0.115,    0.294,    0.514,    0.288,    0.335,    0.617,    0.819,   -0.212,   -0.097,   -0.076,   -0.070,   -0.090,   -0.116,   -0.160,   -0.312,   -0.253,   -0.172,   -0.067,   -0.168,   -0.023,    0.000,   -0.138,   -0.215,   -0.277,   -0.185,   -0.128
      33,          0.533333,    3.406,    0.561,    0.000,    0.091,    0.167,    0.580,    0.166,    0.324,    0.064,    0.004,    0.133,    0.000,   -0.047,    0.722,   -0.018,    0.109,    0.289,    0.479,    0.266,    0.337,    0.618,    0.809,   -0.215,   -0.096,   -0.074,   -0.069,   -0.087,   -0.113,   -0.154,   -0.317,   -0.262,   -0.182,   -0.075,   -0.171,   -0.032,   -0.081,   -0.149,   -0.215,   -0.283,   -0.177,   -0.126
      34,          0.550000,    3.612,    0.583,    0.000,    0.087,    0.160,    0.549,    0.156,    0.308,    0.060,    0.004,    0.121,    0.000,   -0.042,    0.711,   -0.022,    0.103,    0.283,    0.447,    0.246,    0.340,    0.618,    0.801,   -0.218,   -0.094,   -0.073,   -0.068,   -0.084,   -0.109,   -0.149,   -0.316,   -0.270,   -0.190,   -0.083,   -0.174,   -0.042,   -0.104,   -0.158,   -0.215,   -0.288,   -0.170,   -0.123
      35,          0.566667,    4.071,    0.634,    0.000,    0.084,    0.155,    0.519,    0.147,    0.293,    0.056,    0.004,    0.111,    0.000,   -0.038,    0.697,   -0.025,    0.099,    0.275,    0.418,    0.228,    0.341,    0.617,    0.792,   -0.220,   -0.093,   -0.072,   -0.066,   -0.082,   -0.106,   -0.144,   -0.308,   -0.272,   -0.198,   -0.092,   -0.176,   -0.055,   -0.154,   -0.164,   -0.216,   -0.291,   -0.163,   -0.121
      36,          0.583333,    5.313,    0.637,    0.000,    0.082,    0.151,    0.489,    0.137,    0.275,    0.051,    0.003,    0.101,    0.000,   -0.034,    0.679,   -0.030,    0.096,    0.268,    0.393,    0.212,    0.341,    0.614,    0.781,   -0.222,   -0.091,   -0.071,   -0.065,   -0.080,   -0.104,   -0.140,   -0.294,   -0.275,   -0.206,   -0.102,   -0.178,   -0.082,   -0.174,   -0.168,   -0.216,   -0.291,   -0.158,   -0.118
      37,          0.600000,    5.805,    0.689,    0.000,    0.079,    0.146,    0.462,    0.129,    0.260,    0.048,    0.004,    0.094,    0.000,   -0.031,    0.659,   -0.035,    0.093,    0.260,    0.373,    0.200,    0.341,    0.611,    0.768,   -0.224,   -0.089,   -0.070,   -0.065,   -0.079,   -0.102,   -0.137,   -0.275,   -0.277,   -0.212,   -0.112,   -0.180,   -0.107,   -0.193,   -0.171,   -0.217,   -0.286,   -0.153,   -0.115
      38,          0.616667,    6.230,    0.723,    0.000,    0.076,    0.139,    0.441,    0.120,    0.245,    0.044,    0.003,    0.089,    0.000,   -0.029,    0.637,   -0.040,    0.089,    0.250,    0.355,    0.189,    0.340,    0.607,    0.753,   -0.226,   -0.088,   -0.069,   -0.065,   -0.078,   -0.101,   -0.135,   -0.254,   -0.280,   -0.219,   -0.122,   -0.183,   -0.121,   -0.209,   -0.175,   -0.218,   -0.274,   -0.151,   -0.113
      39,          0.633333,    6.595,    0.789,    0.000,    0.072,    0.132,    0.422,    0.113,    0.232,    0.041,    0.002,    0.084,    0.000,   -0.028,    0.614,   -0.046,    0.084,    0.240,    0.340,    0.180,    0.339,    0.602,    0.736,   -0.228,   -0.087,   -0.069,   -0.065,   -0.077,   -0.100,   -0.133,   -0.234,   -0.282,   -0.226,   -0.131,   -0.185,   -0.136,   -0.217,   -0.179,   -0.220,   -0.261,   -0.148,   -0.112
      40,          0.650000,    6.920,    0.848,    0.000,    0.068,    0.125,    0.406,    0.108,    0.223,    0.039,    0.002,    0.079,    0.000,   -0.026,    0.590,   -0.052,    0.081,    0.231,    0.327,    0.173,    0.337,    0.595,    0.718,   -0.230,   -0.086,   -0.069,   -0.065,   -0.077,   -0.099,   -0.131,   -0.214,   -0.285,   -0.233,   -0.141,   -0.187,   -0.151,   -0.221,   -0.181,   -0.220,   -0.245,   -0.146,   -0.110
      41,          0.666667,    7.223,    1.026,    0.000,    0.064,    0.117,    0.392,    0.103,    0.215,    0.037,    0.002,    0.075,    0.000,   -0.024,    0.566,   -0.059,    0.078,    0.224,    0.314,    0.165,    0.334,    0.589,    0.699,   -0.232,   -0.085,   -0.069,   -0.065,   -0.077,   -0.098,   -0.129,   -0.197,   -0.287,   -0.237,   -0.150,   -0.189,   -0.166,   -0.224,   -0.182,   -0.221,   -0.230,   -0.144,   -0.109
      42,          0.683333,    7.505,    1.232,    0.000,    0.061,    0.111,    0.380,    0.099,    0.207,    0.035,    0.002,    0.071,    0.000,   -0.023,    0.540,   -0.065,    0.076,    0.217,    0.300,    0.156,    0.331,    0.583,    0.679,   -0.233,   -0.085,   -0.069,   -0.065,   -0.077,   -0.097,   -0.127,   -0.181,   -0.288,   -0.240,   -0.160,   -0.191,   -0.188,   -0.225,   -0.181,   -0.222,   -0.215,   -0.143,   -0.109
      43,          0.700000,    7.728,    1.440,    0.000,    0.057,    0.105,    0.368,    0.095,    0.200,    0.034,    0.002,    0.067,    0.000,   -0.021,    0.514,   -0.071,    0.074,    0.210,    0.287,    0.149,    0.327,    0.576,    0.659,   -0.234,   -0.085,   -0.070,   -0.065,   -0.076,   -0.096,   -0.125,   -0.171,   -0.290,   -0.243,   -0.168,   -0.192,   -0.204,   -0.227,   -0.181,   -0.222,   -0.205,   -0.141,   -0.108
      44,          0.716667,    7.880,    1.653,    0.000,    0.059,    0.101,    0.356,    0.091,    0.193,    0.032,    0.002,    0.063,    0.000,   -0.019,    0.488,   -0.078,    0.069,    0.198,    0.274,    0.142,    0.323,    0.569,    0.639,   -0.230,   -0.085,   -0.070,   -0.065,   -0.076,   -0.095,   -0.124,   -0.166,   -0.292,   -0.246,   -0.177,   -0.195,   -0.213,   -0.232,   -0.184,   -0.223,   -0.202,   -0.140,   -0.107
      45,          0.733333,    7.976,    1.837,    0.000,    0.056,    0.096,    0.345,    0.088,    0.186,    0.031,    0.003,    0.057,    0.000,   -0.017,    0.460,   -0.085,    0.065,    0.187,    0.257,    0.132,    0.319,    0.561,    0.617,   -0.230,   -0.085,   -0.070,   -0.065,   -0.076,   -0.094,   -0.121,   -0.161,   -0.294,   -0.249,   -0.186,   -0.194,   -0.225,   -0.235,   -0.185,   -0.224,   -0.197,   -0.138,   -0.106
      46,          0.750000,    8.035,    2.011,    0.000,    0.052,    0.090,    0.336,    0.085,    0.180,    0.030,    0.003,    0.052,    0.000,   -0.015,    0.433,   -0.091,    0.060,    0.173,    0.240,    0.122,    0.314,    0.554,    0.597,   -0.230,   -0.085,   -0.070,   -0.065,   -0.075,   -0.093,   -0.118,   -0.157,   -0.296,   -0.251,   -0.194,   -0.194,   -0.228,   -0.242,   -0.187,   -0.224,   -0.191,   -0.138,   -0.106
      47,          0.766667,    8.072,    2.194,    0.000,    0.045,    0.080,    0.318,    0.078,    0.169,    0.028,    0.003,    0.044,    0.000,   -0.011,    0.396,   -0.094,    0.056,    0.162,    0.216,    0.106,    0.304,    0.537,    0.563,   -0.224,   -0.080,   -0.067,   -0.062,   -0.070,   -0.087,   -0.112,   -0.148,   -0.290,   -0.244,   -0.189,   -0.187,   -0.228,   -0.230,   -0.179,   -0.219,   -0.183,   -0.132,   -0.102
      48,          0.783333,    8.093,    2.399,    0.000,    0.039,    0.072,    0.300,    0.070,    0.157,    0.024,    0.003,    0.036,    0.000,   -0.009,    0.357,   -0.096,    0.051,    0.150,    0.191,    0.090,    0.295,    0.519,    0.530,   -0.217,   -0.076,   -0.064,   -0.059,   -0.066,   -0.081,   -0.105,   -0.140,   -0.286,   -0.240,   -0.184,   -0.179,   -0.228,   -0.222,   -0.174,   -0.214,   -0.173,   -0.127,   -0.098
      49,          0.800000,    8.106,    2.650,    0.000,    0.034,    0.066,    0.282,    0.063,    0.145,    0.022,    0.003,    0.029,    0.000,   -0.006,    0.319,   -0.098,    0.044,    0.133,    0.166,    0.075,    0.286,    0.500,    0.497,   -0.209,   -0.072,   -0.060,   -0.056,   -0.062,   -0.075,   -0.099,   -0.131,   -0.282,   -0.237,   -0.179,   -0.170,   -0.228,   -0.219,   -0.171,   -0.210,   -0.163,   -0.122,   -0.094
      50,          0.816667,    8.115,    2.936,    0.000,    0.032,    0.065,    0.258,    0.054,    0.130,    0.018,    0.003,    0.022,    0.000,   -0.004,    0.282,   -0.101,    0.035,    0.112,    0.143,    0.060,    0.277,    0.480,    0.460,   -0.199,   -0.068,   -0.057,   -0.052,   -0.058,   -0.069,   -0.092,   -0.122,   -0.278,   -0.236,   -0.175,   -0.161,   -0.225,   -0.221,   -0.169,   -0.206,   -0.155,   -0.116,   -0.089
      51,          0.833333,    8.122,    3.241,    0.000,    0.029,    0.064,    0.235,    0.047,    0.115,    0.015,    0.002,    0.016,    0.000,   -0.002,    0.242,   -0.104,    0.026,    0.086,    0.118,    0.047,    0.268,    0.458,    0.425,   -0.189,   -0.063,   -0.054,   -0.049,   -0.054,   -0.063,   -0.084,   -0.112,   -0.273,   -0.235,   -0.171,   -0.151,   -0.219,   -0.228,   -0.168,   -0.202,   -0.147,   -0.110,   -0.083
      52,          0.850000,    8.127,    3.515,    0.000,    0.027,    0.061,    0.212,    0.040,    0.101,    0.012,    0.002,    0.011,    0.000,   -0.001,    0.197,   -0.105,    0.015,    0.055,    0.089,    0.034,    0.257,    0.435,    0.392,   -0.178,   -0.060,   -0.051,   -0.046,   -0.050,   -0.057,   -0.074,   -0.101,   -0.266,   -0.234,   -0.167,   -0.141,   -0.210,   -0.237,   -0.168,   -0.196,   -0.139,   -0.104,   -0.077
      53,          0.866667,    8.131,    3.733,    0.000,    0.026,    0.062,    0.192,    0.033,    0.087,    0.010,    0.001,    0.007,    0.000,    0.000,    0.164,   -0.102,    0.006,    0.028,    0.070,    0.025,    0.246,    0.411,    0.363,   -0.166,   -0.056,   -0.048,   -0.044,   -0.047,   -0.053,   -0.067,   -0.093,   -0.257,   -0.234,   -0.164,   -0.131,   -0.197,   -0.243,   -0.166,   -0.188,   -0.133,   -0.098,   -0.072
      54,          0.883333,    8.133,    3.903,    0.000,    0.025,    0.061,    0.174,    0.028,    0.076,    0.007,    0.000,    0.005,    0.000,    0.000,    0.139,   -0.099,    0.000,    0.008,    0.057,    0.019,    0.234,    0.385,    0.335,   -0.155,   -0.052,   -0.045,   -0.042,   -0.044,   -0.049,   -0.061,   -0.085,   -0.245,   -0.234,   -0.161,   -0.122,   -0.183,   -0.242,   -0.161,   -0.179,   -0.126,   -0.093,   -0.067
      55,          0.900000,    8.135,    4.038,    0.000,    0.023,    0.057,    0.157,    0.024,    0.067,    0.006,    0.000,    0.004,    0.000,    0.000,    0.121,   -0.094,    0.000,    0.000,    0.048,    0.016,    0.221,    0.358,    0.310,   -0.145,   -0.049,   -0.043,   -0.040,   -0.041,   -0.046,   -0.057,   -0.078,   -0.233,   -0.233,   -0.159,   -0.115,   -0.170,   -0.232,   -0.151,   -0.168,   -0.119,   -0.087,   -0.062
