"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time(h)","F ds1 [EG14_002]","F ds2 [EG14_002]","F ds3 [EG14_002]","F ds4 [EG14_002]","F ds5 [EG14_002]","F ds_weir [EG14_002]","F FC01.01 [EG14_002]","F FC01.02 [EG14_002]","F FC01.03 [EG14_002]","F FC01.04 [EG14_002]","F FC01.05 [EG14_002]","F FC01.06 [EG14_002]","F FC01.07 [EG14_002]","F FC01.08 [EG14_002]","F FC01.09 [EG14_002]","F FC01.12 [EG14_002]","F FC01.13 [EG14_002]","F FC01.14 [EG14_002]","F FC01.15 [EG14_002]","F FC01.16 [EG14_002]","F FC01.17 [EG14_002]","F FC01.18 [EG14_002]","F FC01.19 [EG14_002]","F FC01.1_R [EG14_002]","F FC01.20 [EG14_002]","F FC01.21 [EG14_002]","F FC01.22 [EG14_002]","F FC01.23 [EG14_002]","F FC01.24 [EG14_002]","F FC01.25 [EG14_002]","F FC01.26 [EG14_002]","F FC01.27 [EG14_002]","F FC01.28A [EG14_002]","F FC01.28B [EG14_002]","F FC01.29 [EG14_002]","F FC01.2_R [EG14_002]","F FC01.30 [EG14_002]","F FC01.31 [EG14_002]","F FC01.32 [EG14_002]","F FC01.33 [EG14_002]","F FC01.34 [EG14_002]","F FC01.36 [EG14_002]","F FC01.37 [EG14_002]","F FC01.38 [EG14_002]","F FC01.39 [EG14_002]","F FC01.40 [EG14_002]","F FC02.01 [EG14_002]","F FC02.02 [EG14_002]","F FC02.03 [EG14_002]","F FC02.04 [EG14_002]","F FC02.05 [EG14_002]","F FC02.06 [EG14_002]","F FC_weir1 [EG14_002]","F RD_weir [EG14_002]"
      68,          1.116667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      69,          1.133333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,,,T,,E
      70,          1.150000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      71,          1.166667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,,,T,,E
      72,          1.183333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      73,          1.200000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      74,          1.216667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A L,,,,E,,,,,E,E,,,,,,T,,E
      75,          1.233333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      76,          1.250000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A L,,,,E,,,,,E,E,,,,,,T,,E
      77,          1.266667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      78,          1.283333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A L,,,,E,,,,,E,E,,,,,,T,,E
      79,          1.300000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      80,          1.316667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      81,          1.333333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      82,          1.350000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A L,,,,E,,,,,E,E,,,,,,T,,E
      83,          1.366667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      84,          1.383333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      85,          1.400000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      86,          1.416667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      87,          1.433333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      88,          1.450000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      89,          1.466667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      90,          1.483333,,,,,A,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      91,          1.500000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      92,          1.516667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      93,          1.533333,,,,,A,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      94,          1.550000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A L,,,,E,,,,,E,E,,,,,,T,,E
      95,          1.566667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      96,          1.583333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      97,          1.600000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      98,          1.616667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
      99,          1.633333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     100,          1.650000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     101,          1.666667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     102,          1.683333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     103,          1.700000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     104,          1.716667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     105,          1.733333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     106,          1.750000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     107,          1.766667,,,,,A,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     108,          1.783333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     109,          1.800000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     110,          1.816667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     111,          1.833333,,,,,A,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     112,          1.850000,,,,,A,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     113,          1.866667,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     114,          1.883333,,,,,A,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     115,          1.900000,,,,,A,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     116,          1.916667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     117,          1.933333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     118,          1.950000,,,,,A,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
     119,          1.966667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,E,,,,,E,E,,,,,,T,,E
