"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Time (h)","SQ Pipe7 [EG14_003]","SQ Pipe6 [EG14_003]","SQ Pipe5 [EG14_003]","SQ Pipe19 [EG14_003]","SQ Pipe3 [EG14_003]","SQ Pipe2 [EG14_003]","SQ Pipe1 [EG14_003]","SQ Pipe0 [EG14_003]","SQ Pipe17 [EG14_003]","SQ Pipe16 [EG14_003]","SQ Pipe15 [EG14_003]","SQ Pipe14 [EG14_003]","SQ Pipe13 [EG14_003]","SQ Pipe12 [EG14_003]","SQ Pipe11 [EG14_003]","SQ Pipe10 [EG14_003]","SQ Pipe9 [EG14_003]","SQ Pipe8 [EG14_003]","SQ Pipe4 [EG14_003]","SQ FC04.1_C [EG14_003]","SQ FC01.2_R [EG14_003]","SQ FC01.1_R [EG14_003]"
      56,          0.916667,      0.0579,      0.0037,      0.0118,      0.0306,      0.0000,     -0.0243,      0.0147,      0.0057,      0.0000,      0.0001,      0.0007,      0.0000,      0.0013,      0.0164,      0.0056,      0.0398,      0.0803,      0.0917,     -0.0007,      0.0000,     59.7291,     47.4505
      57,          0.933333,      0.0533,      0.0030,      0.0103,      0.0273,      0.0000,     -0.0223,      0.0133,      0.0050,      0.0000,      0.0001,      0.0005,      0.0000,      0.0009,      0.0141,      0.0046,      0.0350,      0.0728,      0.0824,     -0.0013,      0.0000,     61.0814,     47.4586
      58,          0.950000,      0.0481,      0.0025,      0.0091,      0.0247,      0.0000,     -0.0204,      0.0118,      0.0043,      0.0000,      0.0001,      0.0003,      0.0000,      0.0006,      0.0117,      0.0036,      0.0299,      0.0647,      0.0723,     -0.0013,      0.0000,     62.2545,     47.4606
      59,          0.966667,      0.0433,      0.0021,      0.0082,      0.0225,      0.0000,     -0.0186,      0.0101,      0.0036,      0.0000,      0.0001,      0.0002,      0.0000,      0.0003,      0.0097,      0.0028,      0.0256,      0.0577,      0.0638,     -0.0011,      0.0000,     63.2911,     47.4600
      60,          0.983333,      0.0387,      0.0017,      0.0072,      0.0204,      0.0000,     -0.0170,      0.0086,      0.0029,      0.0000,      0.0001,      0.0000,      0.0000,      0.0001,      0.0080,      0.0021,      0.0219,      0.0509,      0.0559,     -0.0010,      0.0000,     64.2245,     47.4580
      61,          1.000000,      0.0343,      0.0014,      0.0063,      0.0184,      0.0000,     -0.0156,      0.0073,      0.0022,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0065,      0.0015,      0.0186,      0.0444,      0.0485,     -0.0011,      0.0000,     65.0886,     47.4553
      62,          1.016667,      0.0312,      0.0014,      0.0061,      0.0179,      0.0000,     -0.0148,      0.0072,      0.0021,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0059,      0.0013,      0.0171,      0.0415,      0.0441,     -0.0013,      0.0000,     65.8661,     47.4512
      63,          1.033333,      0.0285,      0.0014,      0.0061,      0.0177,      0.0000,     -0.0138,      0.0071,      0.0019,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0056,      0.0012,      0.0163,      0.0394,      0.0406,     -0.0013,      0.0000,     66.5754,     47.4397
      64,          1.050000,      0.0258,      0.0014,      0.0060,      0.0175,      0.0000,     -0.0128,      0.0068,      0.0018,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0052,      0.0011,      0.0155,      0.0376,      0.0374,     -0.0011,      0.0000,     67.2392,     47.4249
      65,          1.066667,      0.0233,      0.0013,      0.0059,      0.0172,      0.0000,     -0.0120,      0.0067,      0.0017,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0049,      0.0010,      0.0146,      0.0359,      0.0346,     -0.0011,      0.0000,     67.9296,     47.4084
      66,          1.083333,      0.0210,      0.0012,      0.0056,      0.0167,      0.0000,     -0.0113,      0.0065,      0.0016,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0045,      0.0009,      0.0137,      0.0341,      0.0319,     -0.0012,      0.0000,     68.5846,     47.3910
      67,          1.100000,      0.0189,      0.0012,      0.0054,      0.0162,      0.0000,     -0.0106,      0.0063,      0.0016,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0041,      0.0007,      0.0129,      0.0325,      0.0295,     -0.0013,      0.0000,     69.1538,     47.3702
      68,          1.116667,      0.0169,      0.0011,      0.0053,      0.0159,      0.0000,     -0.0099,      0.0062,      0.0015,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0038,      0.0006,      0.0121,      0.0309,      0.0272,     -0.0013,      0.0000,     69.6766,     47.3323
      69,          1.133333,      0.0150,      0.0011,      0.0052,      0.0157,      0.0000,     -0.0093,      0.0060,      0.0015,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0035,      0.0005,      0.0116,      0.0296,      0.0252,     -0.0013,      0.0000,     70.1274,     47.2872
      70,          1.150000,      0.0134,      0.0010,      0.0051,      0.0154,      0.0000,     -0.0088,      0.0059,      0.0014,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0033,      0.0005,      0.0110,      0.0285,      0.0233,     -0.0012,      0.0000,     70.4757,     47.2341
      71,          1.166667,      0.0121,      0.0010,      0.0049,      0.0151,      0.0000,     -0.0084,      0.0058,      0.0014,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0031,      0.0004,      0.0105,      0.0275,      0.0217,     -0.0012,      0.0000,     70.7022,     47.1787
      72,          1.183333,      0.0109,      0.0009,      0.0048,      0.0147,      0.0000,     -0.0081,      0.0056,      0.0013,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0029,      0.0004,      0.0101,      0.0265,      0.0202,     -0.0013,      0.0000,     70.8413,     47.1213
      73,          1.200000,      0.0098,      0.0009,      0.0046,      0.0144,      0.0000,     -0.0077,      0.0054,      0.0012,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0028,      0.0003,      0.0096,      0.0256,      0.0189,     -0.0012,      0.0000,     70.9162,     47.0573
      74,          1.216667,      0.0089,      0.0008,      0.0045,      0.0141,      0.0000,     -0.0074,      0.0053,      0.0012,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0026,      0.0003,      0.0092,      0.0248,      0.0177,     -0.0013,      0.0000,     70.9469,     46.9908
      75,          1.233333,      0.0081,      0.0008,      0.0044,      0.0139,      0.0000,     -0.0071,      0.0052,      0.0012,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0025,      0.0002,      0.0089,      0.0240,      0.0166,     -0.0012,      0.0000,     70.9525,     46.9213
      76,          1.250000,      0.0074,      0.0008,      0.0043,      0.0136,      0.0000,     -0.0068,      0.0051,      0.0011,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0023,      0.0002,      0.0086,      0.0233,      0.0156,     -0.0012,      0.0000,     70.9435,     46.8497
      77,          1.266667,      0.0070,      0.0008,      0.0043,      0.0135,      0.0000,     -0.0067,      0.0050,      0.0011,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0023,      0.0002,      0.0085,      0.0230,      0.0151,     -0.0012,      0.0000,     70.9268,     46.7743
      78,          1.283333,      0.0065,      0.0008,      0.0042,      0.0134,      0.0000,     -0.0066,      0.0050,      0.0011,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0022,      0.0002,      0.0083,      0.0227,      0.0146,     -0.0012,      0.0000,     70.9057,     46.6856
      79,          1.300000,      0.0062,      0.0007,      0.0042,      0.0133,      0.0000,     -0.0065,      0.0049,      0.0010,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0022,      0.0001,      0.0082,      0.0224,      0.0142,     -0.0012,      0.0000,     70.8814,     46.5880
      80,          1.316667,      0.0058,      0.0007,      0.0042,      0.0132,      0.0000,     -0.0064,      0.0049,      0.0010,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0021,      0.0001,      0.0081,      0.0222,      0.0138,     -0.0012,      0.0000,     70.8533,     46.4831
      81,          1.333333,      0.0056,      0.0007,      0.0041,      0.0131,      0.0000,     -0.0063,      0.0048,      0.0010,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0021,      0.0001,      0.0080,      0.0219,      0.0135,     -0.0012,      0.0000,     70.8194,     46.3730
      82,          1.350000,      0.0053,      0.0007,      0.0040,      0.0130,      0.0000,     -0.0062,      0.0048,      0.0010,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0020,      0.0001,      0.0079,      0.0216,      0.0131,     -0.0012,      0.0000,     70.7797,     46.2575
      83,          1.366667,      0.0051,      0.0007,      0.0040,      0.0129,      0.0000,     -0.0061,      0.0047,      0.0010,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0020,      0.0001,      0.0078,      0.0214,      0.0129,     -0.0012,      0.0000,     70.7321,     46.1361
      84,          1.383333,      0.0049,      0.0007,      0.0040,      0.0129,      0.0000,     -0.0061,      0.0047,      0.0010,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0020,      0.0000,      0.0077,      0.0212,      0.0126,     -0.0012,      0.0000,     70.6743,     46.0077
      85,          1.400000,      0.0046,      0.0007,      0.0040,      0.0128,      0.0000,     -0.0060,      0.0046,      0.0010,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0019,      0.0001,      0.0076,      0.0210,      0.0123,     -0.0012,      0.0000,     70.6037,     45.8722
      86,          1.416667,      0.0044,      0.0007,      0.0039,      0.0127,      0.0000,     -0.0059,      0.0046,      0.0010,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0019,      0.0000,      0.0075,      0.0208,      0.0121,     -0.0012,      0.0000,     70.5149,     45.7282
      87,          1.433333,      0.0043,      0.0006,      0.0039,      0.0126,      0.0000,     -0.0059,      0.0045,      0.0009,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0019,      0.0000,      0.0074,      0.0206,      0.0119,     -0.0012,      0.0000,     70.4027,     45.5737
      88,          1.450000,      0.0041,      0.0006,      0.0038,      0.0125,      0.0000,     -0.0058,      0.0045,      0.0009,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0018,      0.0000,      0.0073,      0.0204,      0.0117,     -0.0012,      0.0000,     70.2609,     45.4136
      89,          1.466667,      0.0042,      0.0006,      0.0038,      0.0124,      0.0000,     -0.0057,      0.0045,      0.0009,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0018,      0.0000,      0.0072,      0.0203,      0.0115,     -0.0012,      0.0000,     70.0789,     45.2438
      90,          1.483333,      0.0040,      0.0006,      0.0038,      0.0123,      0.0000,     -0.0057,      0.0045,      0.0009,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0018,      0.0000,      0.0072,      0.0201,      0.0114,     -0.0012,      0.0000,     69.8403,     45.0595
      91,          1.500000,      0.0039,      0.0006,      0.0037,      0.0122,      0.0000,     -0.0056,      0.0044,      0.0009,      0.0000,      0.0001,      0.0000,      0.0000,      0.0000,      0.0017,      0.0000,      0.0071,      0.0200,      0.0112,     -0.0012,      0.0000,     69.5317,     44.8611
