"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time (h)","SQ FC01.1_R [EG14_002]","SQ FC01.2_R [EG14_002]","SQ FC02.04 [EG14_002]","SQ FC_weir1 [EG14_002]","SQ ds_weir [EG14_002]"
     129,          2.133333,      0.2135,      1.0043,      0.0520,      0.2455,      0.0602
     130,          2.150000,      0.2065,      0.9785,      0.0510,      0.2363,      0.0614
     131,          2.166667,      0.1987,      0.9524,      0.0494,      0.2284,      0.0485
     132,          2.183333,      0.1910,      0.9272,      0.0483,      0.2196,      0.0392
     133,          2.200000,      0.1812,      0.9028,      0.0465,      0.2104,      0.0393
     134,          2.216667,      0.1711,      0.8773,      0.0446,      0.1989,      0.0394
     135,          2.233333,      0.1611,      0.8517,      0.0427,      0.1874,      0.0395
     136,          2.250000,      0.1495,      0.8266,      0.0412,      0.1761,      0.0449
     137,          2.266667,      0.1373,      0.8012,      0.0395,      0.1643,      0.0769
     138,          2.283334,      0.1255,      0.7766,      0.0377,      0.1514,      0.0142
     139,          2.300000,      0.1138,      0.7514,      0.0360,      0.1381,      0.0667
     140,          2.316667,      0.1013,      0.7256,      0.0343,      0.1249,      0.0555
     141,          2.333333,      0.0877,      0.7005,      0.0327,      0.1120,      0.0559
     142,          2.350000,      0.0748,      0.6759,      0.0311,      0.0989,      0.0560
     143,          2.366667,      0.0630,      0.6515,      0.0295,      0.0858,      0.0561
     144,          2.383333,      0.0517,      0.6277,      0.0279,      0.0735,      0.0561
     145,          2.400000,      0.0410,      0.6040,      0.0264,      0.0616,      0.0562
     146,          2.416667,      0.0312,      0.5804,      0.0251,      0.0510,      0.0395
     147,          2.433333,      0.0230,      0.5575,      0.0237,      0.0417,      0.0537
     148,          2.450000,      0.0178,      0.5355,      0.0223,      0.0338,      0.0759
     149,          2.466667,      0.0158,      0.5141,      0.0209,      0.0285,      0.0394
     150,          2.483333,      0.0139,      0.4937,      0.0195,      0.0243,      0.0395
     151,          2.500000,      0.0099,      0.4740,      0.0184,      0.0209,      0.0529
     152,          2.516667,      0.0081,      0.4545,      0.0174,      0.0179,      0.0379
     153,          2.533334,      0.0064,      0.4360,      0.0166,      0.0156,      0.0379
     154,          2.550000,      0.0062,      0.4181,      0.0158,      0.0136,      0.0379
     155,          2.566667,      0.0061,      0.4008,      0.0152,      0.0120,      0.0380
     156,          2.583333,      0.0051,      0.3839,      0.0146,      0.0111,      0.0369
     157,          2.600000,      0.0040,      0.3673,      0.0140,      0.0099,      0.0369
     158,          2.616667,      0.0034,      0.3513,      0.0134,      0.0091,      0.0370
     159,          2.633333,      0.0030,      0.3359,      0.0129,      0.0084,      0.0370
     160,          2.650000,      0.0030,      0.3206,      0.0123,      0.0077,      0.0124
     161,          2.666667,      0.0030,      0.3061,      0.0118,      0.0071,      0.0124
     162,          2.683333,      0.0032,      0.2916,      0.0113,      0.0065,      0.0371
     163,          2.700000,      0.0030,      0.2780,      0.0107,      0.0059,      0.0282
     164,          2.716667,      0.0030,      0.2651,      0.0102,      0.0053,      0.0282
     165,          2.733334,      0.0027,      0.2528,      0.0097,      0.0048,      0.0158
     166,          2.750000,      0.0026,      0.2409,      0.0093,      0.0044,      0.0418
     167,          2.766667,      0.0021,      0.2292,      0.0088,      0.0041,      0.0158
     168,          2.783334,      0.0019,      0.2176,      0.0083,      0.0038,      0.0158
     169,          2.800000,      0.0016,      0.2067,      0.0078,      0.0036,      0.0158
     170,          2.816667,      0.0017,      0.1967,      0.0073,      0.0034,      0.0158
     171,          2.833333,      0.0014,      0.1876,      0.0069,      0.0033,      0.0159
     172,          2.850000,      0.0013,      0.1791,      0.0064,      0.0032,      0.0159
     173,          2.866667,      0.0013,      0.1712,      0.0060,      0.0032,      0.0159
     174,          2.883333,      0.0013,      0.1618,      0.0059,      0.0032,      0.0159
     175,          2.900000,      0.0014,      0.1535,      0.0058,      0.0031,      0.0159
     176,          2.916667,      0.0013,      0.1450,      0.0055,      0.0030,      0.0159
     177,          2.933333,      0.0013,      0.1354,      0.0054,      0.0029,      0.0159
     178,          2.950000,      0.0016,      0.1319,      0.0054,      0.0029,      0.0159
     179,          2.966667,      0.0011,      0.1270,      0.0054,      0.0029,      0.0159
     180,          2.983334,      0.0009,      0.1214,      0.0054,      0.0029,      0.0159
     181,          3.000000,      0.0013,      0.1161,      0.0052,      0.0028,      0.0159
