"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time(h)","V ds1 [EG14_002]","V ds2 [EG14_002]","V ds3 [EG14_002]","V ds4 [EG14_002]","V ds5 [EG14_002]","V ds_weir [EG14_002]","V FC01.01 [EG14_002]","V FC01.02 [EG14_002]","V FC01.03 [EG14_002]","V FC01.04 [EG14_002]","V FC01.05 [EG14_002]","V FC01.06 [EG14_002]","V FC01.07 [EG14_002]","V FC01.08 [EG14_002]","V FC01.09 [EG14_002]","V FC01.12 [EG14_002]","V FC01.13 [EG14_002]","V FC01.14 [EG14_002]","V FC01.15 [EG14_002]","V FC01.16 [EG14_002]","V FC01.17 [EG14_002]","V FC01.18 [EG14_002]","V FC01.19 [EG14_002]","V FC01.1_R [EG14_002]","V FC01.20 [EG14_002]","V FC01.21 [EG14_002]","V FC01.22 [EG14_002]","V FC01.23 [EG14_002]","V FC01.24 [EG14_002]","V FC01.25 [EG14_002]","V FC01.26 [EG14_002]","V FC01.27 [EG14_002]","V FC01.28A [EG14_002]","V FC01.28B [EG14_002]","V FC01.29 [EG14_002]","V FC01.2_R [EG14_002]","V FC01.30 [EG14_002]","V FC01.31 [EG14_002]","V FC01.32 [EG14_002]","V FC01.33 [EG14_002]","V FC01.34 [EG14_002]","V FC01.36 [EG14_002]","V FC01.37 [EG14_002]","V FC01.38 [EG14_002]","V FC01.39 [EG14_002]","V FC01.40 [EG14_002]","V FC02.01 [EG14_002]","V FC02.02 [EG14_002]","V FC02.03 [EG14_002]","V FC02.04 [EG14_002]","V FC02.05 [EG14_002]","V FC02.06 [EG14_002]","V FC_weir1 [EG14_002]","V RD_weir [EG14_002]"
       1,          0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.053,    0.185,    0.096,    0.046,    0.045,    0.043,    0.064,    0.064,    0.134,    0.000,    0.076,   -0.137,    0.256,    0.099,    0.226,    0.136,    0.131,    0.146,    0.123,    0.105,    0.120,    0.155,    0.135,    0.141,    0.154,    0.000,    0.143,    0.106,    0.149,    0.135,    0.000,    0.000,    0.071,    0.182,    0.236,    0.000,   -0.007,    0.262,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.041,    0.077,    0.153,    0.268,    0.151,    0.075,    0.061,    0.069,    0.087,    0.101,    0.156,    0.000,    0.107,   -0.182,    0.349,    0.191,    0.351,    0.209,    0.216,    0.224,    0.189,    0.178,    0.192,    0.406,    0.201,    0.213,    0.194,    0.000,    0.171,    0.047,    0.226,    0.201,    0.000,    0.000,    0.122,    0.246,    0.301,    0.000,   -0.020,    0.430,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.069,    0.036,    0.162,    0.241,    0.334,    0.191,    0.102,    0.075,    0.085,    0.114,    0.133,    0.180,    0.886,    0.108,   -0.175,    0.405,    0.324,    0.417,    0.276,    0.290,    0.284,    0.240,    0.237,    0.253,    0.502,    0.271,    0.255,    0.213,    0.000,    0.248,    0.141,    0.258,    0.252,    0.000,    0.000,    0.149,    0.318,    0.339,    0.000,    0.012,    0.531,    0.000,    0.000
       5,          0.066667,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.017,    0.032,    0.102,    0.253,    0.299,    0.410,    0.224,    0.133,    0.090,    0.101,    0.147,    0.145,    0.188,    1.182,    0.120,   -0.031,    0.407,    0.479,    0.430,    0.366,    0.364,    0.377,    0.310,    0.316,    0.345,    0.584,    0.332,    0.297,    0.226,    0.000,    0.204,    0.310,    0.284,    0.271,    0.000,    0.000,    0.137,    0.364,    0.356,    0.000,    0.003,    0.581,    0.000,    0.000
       6,          0.083333,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.002,    0.028,    0.087,    0.191,    0.308,    0.342,    0.481,    0.258,    0.169,    0.113,    0.122,    0.185,    0.147,    0.192,    1.376,    0.211,    0.119,    0.430,    0.632,    0.437,    0.471,    0.409,    0.482,    0.386,    0.407,    0.435,    0.662,    0.366,    0.325,    0.239,    0.000,    0.196,    0.433,    0.311,    0.264,    0.000,    0.000,    0.117,    0.378,    0.376,    0.000,   -0.019,    0.528,    0.000,    0.000
       7,          0.100000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.049,    0.030,    0.060,    0.174,    0.200,    0.325,    0.387,    0.543,    0.290,    0.206,    0.147,    0.146,    0.216,    0.152,    0.211,    1.508,    0.308,    0.172,    0.436,    0.742,    0.483,    0.562,    0.461,    0.596,    0.470,    0.488,    0.495,    0.728,    0.385,    0.406,    0.586,    0.000,    0.246,    0.527,    0.343,    0.240,    0.000,    0.000,    0.130,    0.363,    0.392,    0.000,   -0.013,    0.530,    0.591,    0.000
       8,          0.116667,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.031,    0.041,    0.120,    0.211,    0.183,    0.344,    0.433,    0.601,    0.318,    0.243,    0.188,    0.173,    0.248,    0.175,    0.256,    1.535,    0.414,    0.200,    0.420,    0.833,    0.545,    0.632,    0.523,    0.694,    0.548,    0.556,    0.612,    0.698,    0.661,    0.789,    0.766,    0.000,    0.299,    0.581,    0.367,    0.221,    0.000,    0.000,    0.145,    0.338,    0.406,    0.000,   -0.007,    0.596,    0.742,    0.000
       9,          0.133333,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.033,    0.036,    0.085,    0.173,    0.230,    0.197,    0.365,    0.481,    0.668,    0.349,    0.284,    0.235,    0.210,    0.306,    0.212,    0.294,    1.635,    0.521,    0.223,    0.394,    0.877,    0.620,    0.703,    0.596,    0.818,    0.686,    0.772,    0.888,    0.619,    0.776,    0.801,    0.784,    0.000,    0.338,    0.630,    0.385,    0.216,    0.000,    0.000,    0.150,    0.323,    0.416,    0.000,   -0.009,    0.617,    0.791,    0.000
      10,          0.150000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.060,    0.030,    0.073,    0.138,    0.222,    0.247,    0.213,    0.393,    0.536,    0.711,    0.391,    0.328,    0.296,    0.268,    0.381,    0.235,    0.306,    1.727,    0.600,    0.249,    0.389,    0.916,    0.737,    0.828,    0.759,    1.080,    0.920,    0.940,    0.968,    0.567,    0.772,    0.789,    0.787,    0.000,    0.367,    0.673,    0.404,    0.220,    0.000,    0.000,    0.136,    0.312,    0.423,    0.000,   -0.010,    0.627,    0.820,    0.000
      11,          0.166667,    0.063,    0.000,    0.000,    0.000,    0.000,    0.000,    0.025,    0.069,    0.116,    0.196,    0.268,    0.263,    0.231,    0.421,    0.588,    0.745,    0.447,    0.384,    0.375,    0.336,    0.444,    0.252,    0.309,    1.778,    0.657,    0.290,    0.431,    1.016,    0.954,    1.017,    0.912,    1.250,    1.041,    0.992,    0.994,    0.548,    0.783,    0.789,    0.789,    0.000,    0.391,    0.707,    0.423,    0.227,    0.000,    0.000,    0.065,    0.276,    0.428,    0.000,   -0.010,    0.636,    0.842,    0.000
      12,          0.183333,    0.026,    0.000,    0.000,    0.000,    0.000,    0.000,    0.045,    0.125,    0.153,    0.263,    0.311,    0.287,    0.249,    0.448,    0.639,    0.797,    0.525,    0.454,    0.463,    0.402,    0.502,    0.275,    0.323,    1.818,    0.718,    0.341,    0.486,    1.127,    1.084,    1.128,    0.984,    1.333,    1.104,    1.028,    1.014,    0.560,    0.793,    0.794,    0.793,    0.000,    0.411,    0.734,    0.438,    0.233,    0.000,    0.000,    0.051,    0.195,    0.420,    0.000,   -0.008,    0.642,    0.860,    0.000
      13,          0.200000,    0.032,    0.000,    0.000,    0.000,    0.000,    0.000,    0.096,    0.168,    0.198,    0.342,    0.348,    0.312,    0.268,    0.475,    0.698,    0.877,    0.621,    0.530,    0.554,    0.468,    0.563,    0.299,    0.338,    1.851,    0.764,    0.374,    0.506,    1.169,    1.136,    1.188,    1.028,    1.386,    1.147,    1.057,    1.033,    0.602,    0.803,    0.799,    0.798,    0.000,    0.428,    0.755,    0.450,    0.239,    0.000,    0.000,    0.062,    0.160,    0.389,    0.000,   -0.008,    0.647,    0.874,    0.000
      14,          0.216667,    0.073,    0.085,    0.000,    0.000,    0.000,    0.000,    0.172,    0.186,    0.250,    0.421,    0.388,    0.341,    0.292,    0.512,    0.776,    0.985,    0.730,    0.612,    0.646,    0.531,    0.611,    0.314,    0.341,    1.879,    0.774,    0.389,    0.507,    1.173,    1.162,    1.227,    1.059,    1.424,    1.179,    1.080,    1.049,    0.670,    0.812,    0.805,    0.803,    0.000,    0.443,    0.774,    0.461,    0.244,    0.000,    0.000,    0.070,    0.149,    0.356,    0.000,   -0.008,    0.651,    0.886,    0.000
      15,          0.233333,    0.148,    0.088,    0.075,    0.000,    0.000,    0.000,    0.261,    0.190,    0.279,    0.503,    0.441,    0.384,    0.332,    0.571,    0.878,    1.091,    0.843,    0.688,    0.725,    0.578,    0.637,    0.320,    0.334,    1.904,    0.758,    0.393,    0.501,    1.162,    1.177,    1.255,    1.084,    1.454,    1.204,    1.099,    1.063,    0.744,    0.821,    0.811,    0.808,    0.000,    0.456,    0.789,    0.470,    0.248,    0.000,    0.000,    0.072,    0.141,    0.330,    0.000,   -0.007,    0.655,    0.897,    0.000
      16,          0.250000,    0.239,    0.186,    0.071,    0.143,    0.000,    0.000,    0.356,    0.217,    0.304,    0.594,    0.520,    0.446,    0.380,    0.637,    0.985,    1.179,    0.946,    0.748,    0.783,    0.610,    0.650,    0.321,    0.327,    1.926,    0.735,    0.390,    0.492,    1.144,    1.184,    1.276,    1.104,    1.479,    1.225,    1.115,    1.076,    0.827,    0.829,    0.817,    0.813,    0.000,    0.468,    0.803,    0.478,    0.251,    0.000,    0.000,    0.073,    0.133,    0.307,    0.000,   -0.007,    0.659,    0.906,    0.000
      17,          0.266667,    0.334,    0.290,    0.150,    0.065,    0.121,    0.000,    0.459,    0.263,    0.350,    0.708,    0.621,    0.510,    0.420,    0.683,    1.068,    1.244,    1.029,    0.795,    0.827,    0.635,    0.659,    0.322,    0.322,    1.944,    0.716,    0.386,    0.482,    1.122,    1.186,    1.293,    1.121,    1.500,    1.243,    1.129,    1.088,    0.904,    0.836,    0.822,    0.817,    0.000,    0.477,    0.815,    0.485,    0.254,    0.000,    0.000,    0.071,    0.125,    0.284,    0.000,   -0.005,    0.662,    0.915,    0.000
      18,          0.283333,    0.485,    0.386,    0.263,    0.107,    0.067,    0.000,    0.572,    0.321,    0.408,    0.830,    0.718,    0.555,    0.440,    0.695,    1.114,    1.294,    1.089,    0.833,    0.862,    0.655,    0.667,    0.324,    0.319,    1.958,    0.702,    0.382,    0.472,    1.100,    1.183,    1.305,    1.135,    1.518,    1.258,    1.141,    1.096,    0.737,    0.841,    0.826,    0.820,    0.000,    0.485,    0.824,    0.490,    0.256,    0.000,    0.000,    0.069,    0.118,    0.262,    0.000,   -0.004,    0.663,    0.921,    0.000
      19,          0.300000,    0.665,    0.495,    0.381,    0.201,    0.063,    0.000,    0.688,    0.376,    0.453,    0.928,    0.795,    0.584,    0.448,    0.689,    1.132,    1.334,    1.134,    0.866,    0.890,    0.672,    0.676,    0.327,    0.318,    1.970,    0.693,    0.379,    0.465,    1.080,    1.176,    1.313,    1.146,    1.532,    1.270,    1.150,    1.103,    0.544,    0.845,    0.828,    0.822,    0.000,    0.491,    0.832,    0.495,    0.258,    0.000,    0.000,    0.068,    0.112,    0.242,    0.000,   -0.005,    0.665,    0.926,    0.000
      20,          0.316667,    0.815,    0.623,    0.494,    0.311,    0.106,    0.000,    0.792,    0.419,    0.484,    0.989,    0.852,    0.603,    0.450,    0.675,    1.130,    1.365,    1.168,    0.893,    0.915,    0.688,    0.685,    0.330,    0.318,    1.980,    0.688,    0.377,    0.458,    1.062,    1.168,    1.318,    1.156,    1.544,    1.280,    1.157,    1.109,    0.564,    0.848,    0.831,    0.824,    0.000,    0.496,    0.838,    0.499,    0.260,    0.000,    0.000,    0.068,    0.108,    0.224,    0.000,   -0.005,    0.666,    0.930,    0.000
      21,          0.333333,    0.916,    0.747,    0.609,    0.434,    0.178,    0.000,    0.878,    0.454,    0.507,    1.029,    0.893,    0.617,    0.450,    0.662,    1.120,    1.388,    1.196,    0.915,    0.935,    0.702,    0.693,    0.333,    0.319,    1.989,    0.685,    0.376,    0.454,    1.048,    1.159,    1.322,    1.163,    1.553,    1.289,    1.164,    1.114,    0.584,    0.852,    0.833,    0.825,    0.000,    0.501,    0.843,    0.502,    0.261,    0.000,    0.000,    0.068,    0.105,    0.209,    0.000,   -0.005,    0.668,    0.934,    0.000
      22,          0.350000,    0.996,    0.826,    0.727,    0.581,    0.263,    0.000,    0.943,    0.482,    0.526,    1.058,    0.923,    0.628,    0.451,    0.653,    1.107,    1.405,    1.219,    0.931,    0.952,    0.713,    0.700,    0.335,    0.320,    1.995,    0.683,    0.375,    0.450,    1.036,    1.151,    1.324,    1.169,    1.561,    1.296,    1.169,    1.118,    0.599,    0.854,    0.835,    0.826,    0.000,    0.505,    0.848,    0.504,    0.263,    0.000,    0.000,    0.069,    0.102,    0.195,    0.000,   -0.004,    0.668,    0.937,    0.000
      23,          0.366667,    1.062,    0.872,    0.812,    0.758,    0.365,    0.000,    0.995,    0.505,    0.541,    1.082,    0.946,    0.636,    0.451,    0.646,    1.096,    1.417,    1.239,    0.943,    0.965,    0.723,    0.706,    0.338,    0.321,    1.999,    0.681,    0.374,    0.447,    1.026,    1.142,    1.325,    1.174,    1.568,    1.301,    1.173,    1.121,    0.611,    0.855,    0.835,    0.827,    0.000,    0.507,    0.851,    0.507,    0.264,    0.000,    0.000,    0.070,    0.101,    0.185,    0.000,   -0.005,    0.668,    0.938,    0.000
      24,          0.383333,    1.111,    0.911,    0.840,    0.939,    0.482,    0.000,    1.037,    0.523,    0.555,    1.103,    0.964,    0.645,    0.453,    0.642,    1.085,    1.424,    1.255,    0.953,    0.975,    0.730,    0.710,    0.339,    0.322,    2.002,    0.680,    0.373,    0.445,    1.018,    1.134,    1.324,    1.178,    1.572,    1.305,    1.176,    1.123,    0.620,    0.856,    0.836,    0.827,    0.000,    0.508,    0.853,    0.508,    0.265,    0.000,    0.000,    0.071,    0.099,    0.176,    0.000,   -0.004,    0.668,    0.940,    0.000
      25,          0.400000,    1.147,    0.949,    0.825,    1.092,    0.602,    0.000,    1.070,    0.539,    0.567,    1.121,    0.980,    0.652,    0.455,    0.639,    1.076,    1.428,    1.269,    0.961,    0.984,    0.737,    0.714,    0.341,    0.322,    2.004,    0.679,    0.373,    0.442,    1.010,    1.127,    1.323,    1.180,    1.575,    1.308,    1.178,    1.124,    0.637,    0.857,    0.836,    0.827,    0.000,    0.509,    0.855,    0.509,    0.265,    0.000,    0.000,    0.072,    0.099,    0.170,    0.000,   -0.004,    0.668,    0.941,    0.000
      26,          0.416667,    1.176,    0.977,    0.804,    1.198,    0.725,    0.000,    1.097,    0.551,    0.577,    1.135,    0.991,    0.657,    0.457,    0.637,    1.068,    1.428,    1.277,    0.969,    0.991,    0.742,    0.717,    0.342,    0.323,    2.005,    0.678,    0.372,    0.440,    1.004,    1.120,    1.322,    1.182,    1.577,    1.309,    1.179,    1.125,    0.654,    0.857,    0.836,    0.827,    0.000,    0.510,    0.856,    0.510,    0.266,    0.000,    0.000,    0.073,    0.098,    0.165,    0.000,   -0.004,    0.668,    0.941,    0.000
      27,          0.433333,    1.201,    0.992,    0.798,    1.265,    0.828,    0.000,    1.118,    0.562,    0.586,    1.149,    1.000,    0.660,    0.458,    0.634,    1.059,    1.423,    1.277,    0.971,    0.995,    0.746,    0.720,    0.343,    0.323,    2.006,    0.677,    0.372,    0.439,    0.998,    1.114,    1.320,    1.183,    1.579,    1.311,    1.180,    1.126,    0.667,    0.858,    0.836,    0.827,    0.000,    0.511,    0.857,    0.510,    0.266,    0.000,    0.000,    0.073,    0.098,    0.161,    0.000,   -0.003,    0.668,    0.942,    0.000
      28,          0.450000,    1.221,    1.000,    0.798,    1.313,    0.878,    0.000,    1.136,    0.571,    0.593,    1.159,    1.006,    0.663,    0.458,    0.632,    1.049,    1.418,    1.279,    0.971,    0.998,    0.749,    0.722,    0.344,    0.323,    2.008,    0.676,    0.371,    0.437,    0.994,    1.109,    1.319,    1.184,    1.580,    1.312,    1.181,    1.126,    0.678,    0.858,    0.837,    0.827,    0.000,    0.511,    0.857,    0.511,    0.266,    0.000,    0.000,    0.074,    0.098,    0.158,    0.000,   -0.004,    0.668,    0.942,    0.000
      29,          0.466667,    1.238,    1.005,    0.797,    1.357,    0.854,    0.222,    1.151,    0.578,    0.599,    1.169,    1.011,    0.666,    0.460,    0.632,    1.044,    1.413,    1.282,    0.972,    1.000,    0.751,    0.723,    0.345,    0.324,    2.009,    0.675,    0.371,    0.436,    0.990,    1.105,    1.317,    1.185,    1.581,    1.313,    1.182,    1.127,    0.689,    0.859,    0.837,    0.827,    0.000,    0.512,    0.858,    0.511,    0.266,    0.000,    0.000,    0.075,    0.098,    0.155,    0.000,   -0.003,    0.669,    0.943,    0.000
      30,          0.483333,    1.251,    1.008,    0.792,    1.400,    0.805,    0.084,    1.164,    0.584,    0.605,    1.177,    1.015,    0.669,    0.462,    0.633,    1.039,    1.409,    1.284,    0.973,    1.001,    0.753,    0.724,    0.345,    0.324,    2.010,    0.675,    0.371,    0.435,    0.987,    1.101,    1.316,    1.186,    1.582,    1.314,    1.183,    1.128,    0.699,    0.859,    0.837,    0.828,    0.000,    0.513,    0.859,    0.512,    0.266,    0.000,    0.000,    0.075,    0.098,    0.153,    0.000,   -0.003,    0.669,    0.943,    0.000
      31,          0.500000,    1.263,    1.010,    0.786,    1.431,    0.737,    0.048,    1.174,    0.589,    0.609,    1.184,    1.019,    0.671,    0.463,    0.633,    1.035,    1.405,    1.286,    0.975,    1.003,    0.755,    0.725,    0.345,    0.324,    2.011,    0.674,    0.370,    0.434,    0.984,    1.099,    1.316,    1.186,    1.583,    1.315,    1.184,    1.128,    0.707,    0.859,    0.837,    0.828,    0.000,    0.513,    0.859,    0.512,    0.267,    0.000,    0.000,    0.075,    0.097,    0.152,    0.000,   -0.003,    0.669,    0.944,    0.000
      32,          0.516667,    1.272,    1.010,    0.780,    1.444,    0.683,    0.034,    1.183,    0.593,    0.613,    1.190,    1.021,    0.673,    0.464,    0.633,    1.030,    1.401,    1.288,    0.977,    1.005,    0.756,    0.726,    0.346,    0.324,    2.011,    0.674,    0.370,    0.434,    0.982,    1.096,    1.315,    1.187,    1.584,    1.315,    1.184,    1.129,    0.713,    0.859,    0.837,    0.828,    0.000,    0.513,    0.860,    0.512,    0.267,    0.000,    0.000,    0.075,    0.097,    0.150,    0.000,   -0.003,    0.669,    0.944,    0.000
      33,          0.533333,    1.280,    1.009,    0.773,    1.453,    0.642,    0.026,    1.190,    0.597,    0.617,    1.195,    1.023,    0.675,    0.465,    0.633,    1.027,    1.398,    1.289,    0.978,    1.006,    0.758,    0.726,    0.346,    0.324,    2.009,    0.673,    0.370,    0.433,    0.980,    1.093,    1.314,    1.187,    1.584,    1.315,    1.184,    1.128,    0.719,    0.859,    0.836,    0.826,    0.000,    0.512,    0.859,    0.512,    0.267,    0.000,    0.000,    0.076,    0.097,    0.148,    0.000,   -0.003,    0.668,    0.943,    0.000
      34,          0.550000,    1.286,    1.007,    0.769,    1.459,    0.609,    0.022,    1.196,    0.600,    0.619,    1.198,    1.023,    0.676,    0.466,    0.633,    1.023,    1.395,    1.290,    0.979,    1.007,    0.758,    0.727,    0.346,    0.324,    2.007,    0.673,    0.369,    0.432,    0.978,    1.091,    1.312,    1.186,    1.583,    1.314,    1.183,    1.127,    0.723,    0.858,    0.835,    0.825,    0.000,    0.511,    0.858,    0.512,    0.267,    0.000,    0.000,    0.076,    0.097,    0.147,    0.000,   -0.003,    0.667,    0.942,    0.000
      35,          0.566667,    1.291,    1.005,    0.766,    1.462,    0.581,    0.019,    1.200,    0.602,    0.621,    1.201,    1.023,    0.676,    0.466,    0.633,    1.020,    1.393,    1.291,    0.980,    1.008,    0.759,    0.727,    0.346,    0.324,    2.004,    0.672,    0.369,    0.431,    0.975,    1.088,    1.310,    1.185,    1.582,    1.313,    1.182,    1.126,    0.726,    0.857,    0.834,    0.824,    0.000,    0.510,    0.857,    0.512,    0.267,    0.000,    0.000,    0.076,    0.097,    0.146,    0.000,   -0.003,    0.666,    0.941,    0.000
      36,          0.583333,    1.294,    1.002,    0.765,    1.463,    0.555,    0.017,    1.204,    0.603,    0.622,    1.202,    1.023,    0.676,    0.466,    0.632,    1.016,    1.389,    1.292,    0.980,    1.008,    0.759,    0.726,    0.346,    0.323,    2.001,    0.671,    0.368,    0.430,    0.973,    1.085,    1.308,    1.183,    1.580,    1.311,    1.180,    1.124,    0.727,    0.856,    0.833,    0.823,    0.000,    0.508,    0.856,    0.511,    0.267,    0.000,    0.000,    0.077,    0.097,    0.145,    0.000,   -0.003,    0.665,    0.940,    0.000
      37,          0.600000,    1.296,    1.001,    0.766,    1.462,    0.527,    0.015,    1.206,    0.604,    0.622,    1.203,    1.022,    0.676,    0.466,    0.631,    1.013,    1.387,    1.291,    0.980,    1.008,    0.759,    0.726,    0.345,    0.323,    1.995,    0.669,    0.367,    0.429,    0.970,    1.082,    1.305,    1.181,    1.577,    1.309,    1.178,    1.122,    0.728,    0.854,    0.831,    0.821,    0.000,    0.505,    0.854,    0.510,    0.267,    0.000,    0.000,    0.077,    0.097,    0.144,    0.000,   -0.003,    0.663,    0.938,    0.000
      38,          0.616667,    1.298,    1.001,    0.769,    1.457,    0.482,    0.013,    1.208,    0.604,    0.623,    1.203,    1.022,    0.675,    0.465,    0.630,    1.010,    1.384,    1.291,    0.979,    1.007,    0.758,    0.724,    0.344,    0.322,    1.987,    0.668,    0.366,    0.427,    0.967,    1.078,    1.302,    1.178,    1.573,    1.305,    1.174,    1.119,    0.728,    0.850,    0.827,    0.817,    0.000,    0.501,    0.850,    0.509,    0.267,    0.000,    0.000,    0.077,    0.096,    0.143,    0.000,   -0.002,    0.660,    0.935,    0.000
      39,          0.633333,    1.300,    1.001,    0.775,    1.447,    0.451,    0.012,    1.209,    0.605,    0.623,    1.203,    1.021,    0.675,    0.464,    0.628,    1.007,    1.383,    1.291,    0.978,    1.006,    0.756,    0.723,    0.343,    0.321,    1.978,    0.665,    0.364,    0.425,    0.963,    1.074,    1.297,    1.173,    1.567,    1.300,    1.170,    1.114,    0.726,    0.847,    0.823,    0.813,    0.000,    0.496,    0.846,    0.507,    0.267,    0.000,    0.000,    0.077,    0.096,    0.142,    0.000,   -0.002,    0.656,    0.931,    0.000
      40,          0.650000,    1.301,    1.002,    0.782,    1.434,    0.424,    0.012,    1.210,    0.605,    0.623,    1.202,    1.019,    0.674,    0.463,    0.626,    1.004,    1.382,    1.290,    0.975,    1.004,    0.754,    0.720,    0.342,    0.319,    1.967,    0.663,    0.362,    0.423,    0.959,    1.069,    1.291,    1.168,    1.560,    1.294,    1.164,    1.109,    0.723,    0.842,    0.820,    0.810,    0.000,    0.490,    0.841,    0.505,    0.267,    0.000,    0.000,    0.077,    0.096,    0.143,    0.000,   -0.002,    0.653,    0.927,    0.000
      41,          0.666667,    1.302,    1.004,    0.790,    1.420,    0.396,    0.011,    1.210,    0.604,    0.622,    1.201,    1.018,    0.672,    0.462,    0.624,    1.000,    1.380,    1.289,    0.973,    1.001,    0.751,    0.718,    0.340,    0.318,    1.956,    0.659,    0.360,    0.420,    0.954,    1.063,    1.285,    1.162,    1.552,    1.287,    1.158,    1.103,    0.719,    0.838,    0.815,    0.806,    0.000,    0.484,    0.836,    0.503,    0.267,    0.000,    0.000,    0.078,    0.096,    0.143,    0.000,   -0.002,    0.650,    0.922,    0.000
      42,          0.683333,    1.301,    1.006,    0.798,    1.404,    0.366,    0.010,    1.209,    0.604,    0.621,    1.199,    1.016,    0.671,    0.460,    0.622,    0.997,    1.378,    1.288,    0.970,    0.998,    0.748,    0.714,    0.339,    0.316,    1.945,    0.656,    0.358,    0.417,    0.949,    1.057,    1.278,    1.155,    1.542,    1.279,    1.151,    1.097,    0.717,    0.834,    0.811,    0.802,    0.000,    0.478,    0.830,    0.500,    0.266,    0.000,    0.000,    0.078,    0.097,    0.144,    0.000,   -0.002,    0.647,    0.917,    0.000
      43,          0.700000,    1.301,    1.007,    0.807,    1.386,    0.335,    0.009,    1.208,    0.603,    0.620,    1.197,    1.015,    0.669,    0.459,    0.619,    0.994,    1.377,    1.286,    0.966,    0.994,    0.744,    0.711,    0.337,    0.314,    1.933,    0.652,    0.355,    0.414,    0.944,    1.052,    1.271,    1.148,    1.533,    1.271,    1.144,    1.091,    0.708,    0.829,    0.807,    0.798,    0.000,    0.471,    0.824,    0.497,    0.265,    0.000,    0.000,    0.078,    0.097,    0.146,    0.000,   -0.002,    0.643,    0.912,    0.000
      44,          0.716667,    1.300,    1.009,    0.815,    1.366,    0.306,    0.010,    1.207,    0.602,    0.619,    1.194,    1.013,    0.666,    0.457,    0.616,    0.990,    1.376,    1.283,    0.962,    0.990,    0.740,    0.707,    0.334,    0.312,    1.921,    0.648,    0.353,    0.411,    0.939,    1.046,    1.264,    1.140,    1.523,    1.262,    1.136,    1.084,    0.701,    0.824,    0.803,    0.794,    0.000,    0.465,    0.817,    0.494,    0.264,    0.000,    0.000,    0.079,    0.098,    0.148,    0.000,   -0.002,    0.640,    0.907,    0.000
      45,          0.733333,    1.298,    1.010,    0.823,    1.344,    0.280,    0.010,    1.205,    0.600,    0.617,    1.191,    1.011,    0.664,    0.455,    0.613,    0.987,    1.374,    1.281,    0.959,    0.985,    0.736,    0.703,    0.332,    0.310,    1.908,    0.644,    0.350,    0.409,    0.934,    1.041,    1.257,    1.133,    1.513,    1.253,    1.129,    1.078,    0.694,    0.819,    0.798,    0.790,    0.000,    0.458,    0.810,    0.491,    0.264,    0.000,    0.000,    0.079,    0.098,    0.150,    0.000,   -0.002,    0.637,    0.902,    0.000
      46,          0.750000,    1.296,    1.011,    0.832,    1.318,    0.259,    0.010,    1.203,    0.599,    0.615,    1.188,    1.009,    0.662,    0.452,    0.610,    0.984,    1.372,    1.279,    0.955,    0.981,    0.731,    0.698,    0.330,    0.308,    1.896,    0.640,    0.348,    0.406,    0.930,    1.036,    1.250,    1.125,    1.503,    1.244,    1.121,    1.071,    0.685,    0.815,    0.794,    0.786,    0.000,    0.452,    0.804,    0.487,    0.263,    0.000,    0.000,    0.079,    0.099,    0.153,    0.000,   -0.001,    0.633,    0.897,    0.000
